date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,10,0.0,8.7,5,5,37,11:36 AM,11:20 PM,07:22 AM,05:42 PM,-6,14,14,14,5,12,24,0.0,1021,18,10,190,3
2020-01-02,18,11,0.0,7.1,4,4,44,12:06 PM,No moonset,07:22 AM,05:42 PM,-4,14,14,14,7,52,28,0.0,1023,18,10,203,4
2020-01-03,19,12,0.0,8.7,5,5,51,12:36 PM,12:12 AM,07:22 AM,05:43 PM,-2,15,15,15,8,21,33,0.0,1020,19,10,148,5
2020-01-04,21,12,0.0,8.7,5,5,59,01:07 PM,01:04 AM,07:23 AM,05:44 PM,-1,16,16,16,5,11,32,0.0,1017,21,10,140,3
2020-01-05,16,13,0.0,3.8,3,3,66,01:39 PM,01:57 AM,07:23 AM,05:44 PM,7,14,14,14,8,84,63,5.4,1017,16,8,126,6
2020-01-06,12,12,0.0,3.8,3,3,73,02:13 PM,02:51 AM,07:23 AM,05:45 PM,10,12,12,12,7,85,87,23.1,1018,12,7,332,5
2020-01-07,17,10,0.0,8.7,4,4,80,02:52 PM,03:48 AM,07:23 AM,05:46 PM,8,14,13,14,4,10,73,0.0,1018,17,10,182,3
2020-01-08,19,11,0.0,8.7,5,5,88,03:37 PM,04:47 AM,07:23 AM,05:47 PM,-2,14,14,14,14,0,34,0.0,1018,19,10,274,8
2020-01-09,18,11,0.0,8.7,5,5,95,04:27 PM,05:48 AM,07:23 AM,05:47 PM,-3,14,14,14,5,0,32,0.0,1019,18,10,162,4
2020-01-10,17,11,0.0,8.7,5,5,100,05:26 PM,06:49 AM,07:23 AM,05:48 PM,-2,14,14,14,6,22,34,0.0,1020,17,10,180,4
2020-01-11,15,12,0.0,3.8,3,3,100,06:28 PM,07:47 AM,07:23 AM,05:49 PM,2,12,13,12,15,73,48,0.3,1020,15,10,313,11
2020-01-12,13,10,0.0,7.1,3,3,83,07:35 PM,08:41 AM,07:23 AM,05:50 PM,6,10,12,10,18,71,67,8.8,1018,13,8,328,14
2020-01-13,17,10,0.0,8.7,4,4,76,08:42 PM,09:30 AM,07:23 AM,05:51 PM,1,12,12,12,19,27,51,1.2,1014,17,9,284,14
2020-01-14,17,9,0.0,8.7,4,4,69,09:49 PM,10:13 AM,07:23 AM,05:51 PM,-4,12,13,12,12,1,33,0.0,1018,17,10,209,7
2020-01-15,17,10,0.0,8.7,4,4,61,10:54 PM,10:53 AM,07:23 AM,05:52 PM,-3,13,13,13,8,8,33,0.0,1021,17,10,45,4
2020-01-16,19,10,0.0,8.7,5,5,54,11:57 PM,11:31 AM,07:23 AM,05:53 PM,-4,13,14,13,14,2,29,0.0,1021,19,10,303,8
2020-01-17,19,11,0.0,8.7,5,5,47,No moonrise,12:07 PM,07:23 AM,05:54 PM,-5,13,14,13,21,12,28,0.0,1021,19,10,323,12
2020-01-18,19,9,0.0,8.7,5,5,40,01:00 AM,12:44 PM,07:23 AM,05:55 PM,-7,13,14,13,11,1,24,0.0,1022,19,10,70,6
2020-01-19,18,11,0.0,8.7,5,5,32,02:03 AM,01:24 PM,07:23 AM,05:55 PM,-5,14,14,14,6,9,26,0.0,1020,18,10,149,4
2020-01-20,18,11,0.0,8.7,5,5,25,03:05 AM,02:05 PM,07:22 AM,05:56 PM,-2,15,15,15,5,26,31,0.0,1017,18,10,94,3
2020-01-21,19,13,0.0,8.7,5,5,18,04:07 AM,02:51 PM,07:22 AM,05:57 PM,2,16,16,16,9,20,38,0.0,1020,19,10,120,6
2020-01-22,19,12,0.0,8.7,5,5,11,05:07 AM,03:42 PM,07:22 AM,05:58 PM,4,16,16,16,5,25,46,0.0,1024,19,10,181,3
2020-01-23,22,13,0.0,8.7,5,5,3,06:04 AM,04:35 PM,07:22 AM,05:59 PM,6,17,17,17,4,3,49,0.0,1022,22,10,237,2
2020-01-24,21,14,0.0,10.8,5,5,0,06:56 AM,05:31 PM,07:21 AM,06:00 PM,6,17,17,17,5,10,49,0.0,1018,21,10,159,3
