date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,18,0.0,8.7,6,6,37,10:43 AM,10:38 PM,06:20 AM,05:15 PM,12,21,22,21,20,22,59,0.1,1018,24,10,63,14
2020-01-02,24,18,0.0,7.2,5,5,44,11:18 AM,11:27 PM,06:20 AM,05:16 PM,16,21,23,21,22,58,70,0.0,1018,24,10,78,15
2020-01-03,21,12,0.0,4.1,5,5,51,11:51 AM,No moonset,06:21 AM,05:16 PM,18,19,20,19,27,91,86,12.3,1016,21,9,30,18
2020-01-04,21,16,0.0,4.1,5,5,59,12:25 PM,12:15 AM,06:21 AM,05:17 PM,18,20,21,20,18,73,86,0.8,1014,21,9,48,13
2020-01-05,24,17,0.0,7.2,5,5,66,01:00 PM,01:04 AM,06:21 AM,05:18 PM,17,21,22,21,17,38,79,0.3,1014,24,10,61,12
2020-01-06,23,14,0.0,8.7,6,6,73,01:39 PM,01:55 AM,06:21 AM,05:18 PM,13,20,21,20,22,0,62,0.0,1017,23,10,60,15
2020-01-07,24,16,0.0,8.7,6,6,80,02:20 PM,02:49 AM,06:22 AM,05:19 PM,11,20,21,20,15,0,56,0.0,1016,24,10,75,11
2020-01-08,24,15,0.0,8.7,6,6,88,03:07 PM,03:45 AM,06:22 AM,05:20 PM,14,20,22,20,14,5,61,0.0,1014,24,10,81,10
2020-01-09,24,13,0.0,7.2,5,5,95,03:59 PM,04:43 AM,06:22 AM,05:20 PM,16,23,23,20,11,50,71,1.1,1014,24,10,89,8
2020-01-10,23,17,0.0,5.6,5,5,100,04:57 PM,05:43 AM,06:22 AM,05:21 PM,16,21,23,21,19,45,72,0.0,1015,23,10,54,14
2020-01-11,24,12,0.0,8.7,6,6,100,05:59 PM,06:42 AM,06:22 AM,05:22 PM,12,19,20,19,21,2,58,0.0,1016,24,10,51,14
2020-01-12,24,14,0.0,8.7,6,6,83,07:03 PM,07:38 AM,06:23 AM,05:22 PM,10,19,20,19,17,0,51,0.0,1014,24,10,45,12
2020-01-13,26,16,0.0,8.7,6,6,76,08:07 PM,08:30 AM,06:23 AM,05:23 PM,11,20,21,20,11,0,52,0.0,1013,26,10,86,9
2020-01-14,26,14,0.0,8.7,6,6,69,09:10 PM,09:18 AM,06:23 AM,05:24 PM,15,22,22,21,10,0,61,0.0,1013,26,10,124,8
2020-01-15,25,19,0.0,8.7,6,6,61,10:10 PM,10:02 AM,06:23 AM,05:24 PM,15,24,24,22,12,0,62,0.0,1014,25,10,106,9
2020-01-16,25,17,0.0,8.7,6,6,54,11:09 PM,10:44 AM,06:23 AM,05:25 PM,16,24,24,22,11,0,63,0.0,1014,25,10,115,9
2020-01-17,26,19,0.0,8.7,6,6,47,No moonrise,11:25 AM,06:23 AM,05:26 PM,17,24,24,23,11,0,69,0.0,1015,26,10,128,8
2020-01-18,28,20,0.0,8.7,6,6,40,12:08 AM,12:06 PM,06:23 AM,05:26 PM,17,25,25,24,13,0,65,0.0,1014,28,10,125,9
2020-01-19,28,21,0.0,8.7,6,6,32,01:06 AM,12:49 PM,06:23 AM,05:27 PM,15,25,25,24,15,5,61,0.0,1014,28,10,132,10
2020-01-20,24,17,0.0,8.7,6,6,25,02:05 AM,01:34 PM,06:23 AM,05:28 PM,17,24,24,21,20,23,74,0.0,1015,24,10,76,15
2020-01-21,24,19,0.0,8.7,6,6,18,03:04 AM,02:22 PM,06:23 AM,05:28 PM,18,24,24,22,15,13,75,0.0,1017,24,10,86,11
2020-01-22,27,19,0.0,8.7,6,6,11,04:02 AM,03:14 PM,06:23 AM,05:29 PM,17,24,24,23,12,1,68,0.0,1017,27,10,108,9
2020-01-23,27,21,0.0,8.7,6,6,3,04:58 AM,04:07 PM,06:23 AM,05:30 PM,18,25,25,24,16,11,73,0.0,1014,27,10,174,11
2020-01-24,25,17,0.0,8.7,5,5,0,05:51 AM,05:02 PM,06:22 AM,05:30 PM,19,24,24,22,18,20,80,0.1,1014,25,10,69,13
2020-01-25,25,17,0.0,8.7,6,6,0,06:39 AM,05:56 PM,06:22 AM,05:31 PM,16,21,23,21,14,3,68,0.0,1014,25,10,97,11
2020-01-26,25,16,0.0,5.7,5,5,4,07:24 AM,06:50 PM,06:22 AM,05:32 PM,18,23,23,21,11,39,75,1.0,1012,25,10,108,8
2020-01-27,25,19,0.0,8.7,6,6,11,08:04 AM,07:41 PM,06:22 AM,05:32 PM,15,23,23,22,17,4,67,0.0,1012,25,10,69,12
2020-01-28,26,22,0.0,8.7,6,6,18,08:41 AM,08:31 PM,06:22 AM,05:33 PM,17,26,26,24,18,9,64,0.0,1013,26,10,165,13
