date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,14,0.0,7.1,5,5,37,11:29 AM,11:23 PM,07:06 AM,05:56 PM,13,20,21,20,13,27,69,0.0,1015,27,10,204,9
2020-01-02,28,16,0.0,8.7,6,6,44,12:02 PM,No moonset,07:06 AM,05:56 PM,14,22,22,22,12,22,64,0.0,1016,28,10,199,8
2020-01-03,26,16,0.0,8.7,6,6,51,12:35 PM,12:11 AM,07:07 AM,05:57 PM,11,21,21,21,9,14,56,0.0,1016,26,10,230,7
2020-01-04,25,14,0.0,8.7,6,6,59,01:09 PM,01:00 AM,07:07 AM,05:58 PM,8,19,20,19,13,9,50,0.0,1015,25,10,38,9
2020-01-05,25,14,0.0,8.7,5,5,66,01:44 PM,01:50 AM,07:07 AM,05:58 PM,6,18,19,18,20,0,47,0.0,1016,25,10,70,13
2020-01-06,29,14,0.0,8.7,6,6,73,02:21 PM,02:41 AM,07:08 AM,05:59 PM,5,22,22,22,16,3,39,0.0,1017,29,10,136,10
2020-01-07,29,17,0.0,10.9,6,6,80,03:03 PM,03:36 AM,07:08 AM,06:00 PM,11,24,24,23,10,27,45,0.0,1014,29,10,240,7
2020-01-08,28,19,0.0,10.1,7,7,88,03:49 PM,04:32 AM,07:08 AM,06:00 PM,12,25,25,24,20,37,49,0.5,1012,28,10,272,14
2020-01-09,25,15,0.0,10.9,6,6,95,04:41 PM,05:31 AM,07:08 AM,06:01 PM,6,20,21,20,16,0,45,0.0,1016,25,10,51,11
2020-01-10,22,11,0.0,10.9,5,5,100,05:40 PM,06:31 AM,07:08 AM,06:02 PM,1,15,17,15,22,0,38,0.0,1018,22,10,71,14
2020-01-11,27,12,0.0,10.9,5,5,100,06:42 PM,07:30 AM,07:08 AM,06:02 PM,5,18,19,18,17,2,43,0.0,1017,27,10,48,10
2020-01-12,29,16,0.0,10.9,6,6,83,07:46 PM,08:25 AM,07:09 AM,06:03 PM,9,22,22,22,14,1,43,0.0,1015,29,10,46,9
2020-01-13,30,18,0.0,11.0,6,6,76,08:50 PM,09:17 AM,07:09 AM,06:04 PM,12,23,23,23,14,11,50,0.0,1012,30,10,249,10
2020-01-14,27,17,0.0,10.1,5,5,69,09:54 PM,10:03 AM,07:09 AM,06:04 PM,14,23,23,22,10,38,64,0.0,1013,27,10,201,7
2020-01-15,30,17,0.0,11.0,6,6,61,10:55 PM,10:47 AM,07:09 AM,06:05 PM,11,23,23,23,15,19,49,0.0,1012,30,10,193,10
2020-01-16,25,16,0.0,11.0,6,6,54,11:55 PM,11:29 AM,07:09 AM,06:06 PM,5,20,22,20,20,22,39,0.0,1013,25,10,255,14
2020-01-17,26,12,0.0,11.0,5,5,47,No moonrise,12:09 PM,07:09 AM,06:06 PM,5,19,20,19,7,1,39,0.0,1015,26,10,138,5
2020-01-18,27,15,0.0,11.0,6,6,40,12:54 AM,12:49 PM,07:09 AM,06:07 PM,7,21,21,21,9,2,41,0.0,1015,27,10,162,7
2020-01-19,26,14,0.0,11.0,6,6,32,01:53 AM,01:32 PM,07:09 AM,06:08 PM,7,19,20,19,18,3,46,0.0,1016,26,10,58,12
2020-01-20,28,13,0.0,10.1,6,6,25,02:52 AM,02:16 PM,07:09 AM,06:08 PM,8,21,22,21,16,26,45,0.0,1015,28,10,39,10
2020-01-21,31,17,0.0,11.0,7,7,18,03:51 AM,03:04 PM,07:09 AM,06:09 PM,11,24,24,24,14,20,46,0.0,1014,31,10,220,9
2020-01-22,32,18,0.0,11.0,7,7,11,04:49 AM,03:56 PM,07:08 AM,06:10 PM,11,26,26,26,10,16,42,0.0,1016,32,10,249,6
