date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,19,0.0,8.7,6,6,37,10:57 AM,10:48 PM,06:37 AM,05:22 PM,14,24,24,23,11,12,59,0.0,1017,28,10,297,7
2020-01-02,25,19,0.0,8.7,5,5,44,11:31 AM,11:38 PM,06:38 AM,05:23 PM,16,24,24,22,9,34,67,0.5,1019,25,10,232,6
2020-01-03,22,15,0.0,5.6,5,5,51,12:03 PM,No moonset,06:38 AM,05:23 PM,16,20,21,20,15,61,77,1.7,1017,22,9,186,10
2020-01-04,24,17,0.0,7.2,5,5,59,12:35 PM,12:27 AM,06:38 AM,05:24 PM,17,21,21,21,9,46,80,1.6,1014,24,10,267,6
2020-01-05,23,18,0.0,8.7,6,6,66,01:10 PM,01:18 AM,06:38 AM,05:25 PM,16,20,21,20,9,21,77,0.0,1014,23,10,318,7
2020-01-06,24,18,0.0,8.7,6,6,73,01:47 PM,02:09 AM,06:39 AM,05:25 PM,13,21,22,21,12,0,61,0.0,1017,24,10,268,10
2020-01-07,24,17,0.0,8.7,6,6,80,02:27 PM,03:04 AM,06:39 AM,05:26 PM,9,20,20,20,15,3,51,0.0,1015,24,10,310,11
2020-01-08,25,15,0.0,8.7,6,6,88,03:13 PM,04:01 AM,06:39 AM,05:27 PM,10,20,20,20,14,31,56,0.0,1014,25,10,245,9
2020-01-09,20,18,0.0,5.6,4,4,95,04:05 PM,05:00 AM,06:39 AM,05:27 PM,12,19,19,19,15,54,61,0.0,1014,20,10,21,9
2020-01-10,26,16,0.0,8.7,6,6,100,05:03 PM,06:00 AM,06:39 AM,05:28 PM,13,20,21,20,18,9,64,0.0,1014,26,10,334,12
2020-01-11,25,17,0.0,8.7,6,6,100,06:05 PM,06:59 AM,06:39 AM,05:29 PM,13,20,20,20,18,0,63,0.0,1015,25,10,320,13
