date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,14,0.0,6.1,4,4,37,10:54 AM,11:21 PM,06:09 AM,06:37 PM,16,17,18,17,5,79,93,34.6,1013,21,6,148,2
2020-01-02,20,15,0.0,6.1,4,4,44,11:38 AM,No moonset,06:09 AM,06:37 PM,16,17,17,17,6,88,94,41.3,1012,20,7,179,4
2020-01-03,23,14,0.0,8.9,4,4,51,12:20 PM,12:00 AM,06:10 AM,06:38 PM,15,17,18,17,5,70,89,30.2,1010,23,5,172,3
2020-01-04,22,15,0.0,7.5,4,4,59,01:04 PM,12:39 AM,06:10 AM,06:38 PM,16,18,18,18,4,78,92,33.3,1009,22,6,164,2
2020-01-05,23,16,0.0,6.1,4,4,66,01:48 PM,01:19 AM,06:11 AM,06:38 PM,16,17,18,17,2,88,94,55.5,1010,23,7,92,1
2020-01-06,20,15,0.0,7.5,4,4,73,02:34 PM,02:00 AM,06:11 AM,06:39 PM,16,16,16,16,3,74,96,73.7,1011,20,7,193,2
2020-01-07,22,15,0.0,6.1,4,4,80,03:24 PM,02:44 AM,06:12 AM,06:39 PM,16,18,18,18,7,81,92,28.4,1010,22,7,169,4
2020-01-08,21,15,0.0,6.1,4,4,88,04:17 PM,03:32 AM,06:12 AM,06:40 PM,16,17,17,17,3,88,95,80.6,1010,21,6,98,2
2020-01-09,22,15,0.0,6.1,4,4,95,05:14 PM,04:24 AM,06:13 AM,06:40 PM,16,17,17,17,5,93,94,38.1,1010,22,7,149,3
2020-01-10,21,15,0.0,6.1,4,4,100,06:12 PM,05:20 AM,06:13 AM,06:40 PM,16,17,17,17,5,84,94,28.0,1009,21,6,164,3
2020-01-11,21,15,0.0,6.1,4,4,100,07:12 PM,06:19 AM,06:14 AM,06:41 PM,16,17,17,17,3,85,95,62.6,1008,21,6,212,2
