date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,18,0.0,11.1,6,6,37,11:31 AM,11:31 PM,07:02 AM,06:11 PM,14,24,24,23,13,9,60,0.0,1013,30,10,208,8
2020-01-02,31,18,0.0,11.1,7,7,44,12:06 PM,No moonset,07:02 AM,06:11 PM,15,24,24,23,11,6,65,0.0,1015,31,10,204,7
2020-01-03,30,19,0.0,11.1,6,6,51,12:41 PM,12:18 AM,07:03 AM,06:12 PM,14,23,23,23,11,3,61,0.0,1014,30,10,263,8
2020-01-04,29,17,0.0,11.1,6,6,59,01:17 PM,01:05 AM,07:03 AM,06:13 PM,14,24,24,23,9,1,64,0.0,1013,29,10,243,6
2020-01-05,29,18,0.0,11.1,6,6,66,01:54 PM,01:53 AM,07:03 AM,06:13 PM,15,24,24,23,11,14,65,0.0,1012,29,10,103,9
2020-01-06,27,18,0.0,8.6,5,5,73,02:33 PM,02:42 AM,07:03 AM,06:14 PM,16,23,23,22,17,38,69,0.0,1014,27,10,115,12
2020-01-07,31,19,0.0,11.1,7,7,80,03:16 PM,03:34 AM,07:04 AM,06:14 PM,17,26,26,25,12,27,69,0.0,1013,31,10,144,8
2020-01-08,28,19,0.0,8.6,6,6,88,04:04 PM,04:29 AM,07:04 AM,06:15 PM,17,24,24,24,12,35,69,0.2,1012,28,10,260,8
2020-01-09,31,18,0.0,11.1,7,7,95,04:57 PM,05:27 AM,07:04 AM,06:16 PM,15,25,25,24,6,14,64,0.0,1013,31,10,196,4
2020-01-10,28,19,0.0,10.1,5,5,100,05:56 PM,06:26 AM,07:05 AM,06:16 PM,16,24,24,23,14,32,63,0.0,1013,28,10,95,10
2020-01-11,27,18,0.0,8.6,5,5,100,06:57 PM,07:25 AM,07:05 AM,06:17 PM,16,24,24,23,16,33,68,0.2,1014,27,10,97,11
2020-01-12,30,19,0.0,11.1,6,6,83,08:00 PM,08:22 AM,07:05 AM,06:17 PM,14,25,25,24,12,7,60,0.0,1013,30,10,108,9
2020-01-13,32,18,0.0,11.1,7,7,76,09:03 PM,09:15 AM,07:05 AM,06:18 PM,15,26,26,25,7,8,62,0.0,1012,32,10,270,5
2020-01-14,32,19,0.0,11.1,7,7,69,10:03 PM,10:04 AM,07:05 AM,06:19 PM,16,24,24,24,10,6,67,0.0,1011,32,10,220,7
2020-01-15,31,18,0.0,11.1,7,7,61,11:02 PM,10:50 AM,07:05 AM,06:19 PM,15,24,24,23,12,12,68,0.0,1012,31,9,206,9
2020-01-16,28,15,0.0,11.2,5,5,54,12:00 AM,11:34 AM,07:05 AM,06:20 PM,13,21,22,21,13,32,68,0.0,1013,28,8,256,9
2020-01-17,29,15,0.0,11.1,6,6,47,No moonrise,12:16 PM,07:06 AM,06:20 PM,10,23,23,22,12,8,52,0.0,1013,29,10,171,7
2020-01-18,31,17,0.0,11.2,7,7,40,12:56 AM,12:59 PM,07:06 AM,06:21 PM,12,25,25,24,8,7,51,0.0,1012,31,10,117,5
2020-01-19,33,19,0.0,11.2,7,7,32,01:53 AM,01:44 PM,07:06 AM,06:22 PM,14,26,26,26,9,10,53,0.0,1012,33,10,255,6
2020-01-20,32,19,0.0,11.2,7,7,25,02:50 AM,02:30 PM,07:06 AM,06:22 PM,13,26,26,26,8,12,52,0.0,1013,32,10,88,5
2020-01-21,32,20,0.0,11.2,7,7,18,03:48 AM,03:20 PM,07:06 AM,06:23 PM,14,27,27,26,11,19,53,0.0,1014,32,10,152,7
2020-01-22,32,19,0.0,11.2,7,7,11,04:45 AM,04:11 PM,07:06 AM,06:23 PM,10,25,25,25,17,4,44,0.0,1015,32,10,105,12
2020-01-23,31,19,0.0,11.2,7,7,3,05:41 AM,05:05 PM,07:06 AM,06:24 PM,10,26,26,26,17,0,42,0.0,1014,31,10,96,12
2020-01-24,32,20,0.0,11.2,7,7,0,06:34 AM,06:00 PM,07:06 AM,06:25 PM,9,27,27,27,11,1,35,0.0,1013,32,10,94,8
2020-01-25,32,20,0.0,11.2,7,7,0,07:23 AM,06:53 PM,07:06 AM,06:25 PM,9,28,28,27,8,3,37,0.0,1013,32,10,87,6
2020-01-26,35,22,0.0,11.2,7,7,4,08:08 AM,07:46 PM,07:05 AM,06:26 PM,12,29,29,28,7,2,41,0.0,1012,35,10,170,4
2020-01-27,33,21,0.0,11.2,7,7,11,08:50 AM,08:36 PM,07:05 AM,06:26 PM,13,27,27,26,16,4,53,0.0,1011,33,10,241,11
2020-01-28,29,16,0.0,11.2,6,6,18,09:28 AM,09:24 PM,07:05 AM,06:27 PM,15,22,22,21,17,22,74,0.0,1013,29,9,257,12
2020-01-29,31,15,0.0,11.2,6,6,26,10:04 AM,10:11 PM,07:05 AM,06:27 PM,14,24,24,23,11,13,67,0.0,1014,31,10,297,7
2020-01-30,33,18,0.0,11.2,7,7,33,10:39 AM,10:58 PM,07:05 AM,06:28 PM,13,25,25,25,10,0,55,0.0,1013,33,10,206,7
2020-01-31,32,19,0.0,11.2,7,7,37,11:14 AM,11:45 PM,07:05 AM,06:28 PM,12,26,26,25,12,0,56,0.0,1011,32,10,222,8
2020-02-01,32,16,0.0,11.3,7,7,49,11:50 AM,No moonset,07:04 AM,06:29 PM,11,24,24,24,12,0,56,0.0,1012,32,10,193,8
2020-02-02,32,17,0.0,11.3,7,7,57,12:27 PM,12:33 AM,07:04 AM,06:29 PM,12,25,25,24,13,11,53,0.0,1014,32,10,165,8
2020-02-03,33,19,0.0,11.3,7,7,64,01:08 PM,01:23 AM,07:04 AM,06:30 PM,14,26,26,25,10,15,58,0.0,1014,33,10,211,7
2020-02-04,32,19,0.0,11.3,7,7,72,01:52 PM,02:15 AM,07:04 AM,06:30 PM,15,26,26,25,11,15,61,0.0,1012,32,10,242,7
2020-02-05,32,18,0.0,11.3,7,7,79,02:42 PM,03:10 AM,07:03 AM,06:31 PM,12,26,26,25,13,5,52,0.0,1013,32,10,183,9
2020-02-06,31,18,0.0,11.3,7,7,87,03:37 PM,04:08 AM,07:03 AM,06:31 PM,12,25,25,24,17,3,54,0.0,1013,31,10,252,12
2020-02-07,29,15,0.0,11.3,6,6,95,04:37 PM,05:07 AM,07:03 AM,06:32 PM,11,22,22,22,17,0,61,0.0,1014,29,10,253,12
2020-02-08,33,15,0.0,11.3,6,6,100,05:41 PM,06:05 AM,07:02 AM,06:32 PM,11,24,24,24,11,1,59,0.0,1014,33,10,171,7
2020-02-09,31,17,0.0,11.3,7,7,100,06:44 PM,07:01 AM,07:02 AM,06:33 PM,14,25,25,25,16,16,65,0.0,1014,31,10,114,12
2020-02-10,31,18,0.0,8.6,6,6,83,07:48 PM,07:53 AM,07:02 AM,06:33 PM,16,24,24,24,15,53,64,0.2,1013,31,10,115,11
2020-02-11,31,19,0.0,11.3,7,7,75,08:50 PM,08:42 AM,07:01 AM,06:33 PM,14,26,26,25,21,21,54,0.0,1014,31,10,100,14
2020-02-12,32,19,0.0,11.3,7,7,68,09:50 PM,09:28 AM,07:01 AM,06:34 PM,12,27,27,26,20,9,49,0.0,1015,32,10,101,14
2020-02-13,33,19,0.0,11.3,7,7,60,10:49 PM,10:13 AM,07:00 AM,06:34 PM,13,27,27,26,14,6,49,0.0,1014,33,10,69,10
2020-02-14,35,20,0.0,11.4,7,7,53,11:48 PM,10:57 AM,07:00 AM,06:35 PM,10,29,29,28,11,2,39,0.0,1013,35,10,44,7
2020-02-15,38,21,0.0,11.4,8,8,45,No moonrise,11:42 AM,07:00 AM,06:35 PM,12,31,31,30,9,1,42,0.0,1012,38,10,61,6
2020-02-16,35,22,0.0,11.6,7,7,38,12:46 AM,12:28 PM,06:59 AM,06:35 PM,10,30,30,29,11,0,37,0.0,1013,35,10,116,8
2020-02-17,34,21,0.0,11.6,7,7,30,01:44 AM,01:17 PM,06:59 AM,06:36 PM,9,29,29,29,12,2,35,0.0,1014,34,10,102,9
2020-02-18,35,22,0.0,11.6,7,7,22,02:41 AM,02:08 PM,06:58 AM,06:36 PM,10,29,29,29,13,2,37,0.0,1013,35,10,101,8
2020-02-19,37,22,0.0,11.6,8,8,15,03:37 AM,03:01 PM,06:57 AM,06:37 PM,10,31,31,30,9,1,39,0.0,1012,37,10,52,6
2020-02-20,35,21,0.0,11.6,7,7,7,04:29 AM,03:54 PM,06:57 AM,06:37 PM,12,30,30,29,9,3,43,0.0,1012,35,10,146,6
2020-02-21,34,20,0.0,11.6,7,7,0,05:19 AM,04:47 PM,06:56 AM,06:37 PM,11,28,28,28,10,5,43,0.0,1014,34,10,91,7
2020-02-22,34,20,0.0,11.6,7,7,0,06:05 AM,05:40 PM,06:56 AM,06:38 PM,9,29,29,28,11,4,36,0.0,1015,34,10,87,8
2020-02-23,35,21,0.0,11.6,7,7,0,06:47 AM,06:30 PM,06:55 AM,06:38 PM,8,29,29,28,12,3,32,0.0,1014,35,10,86,9
2020-02-24,37,20,0.0,11.6,7,7,0,07:27 AM,07:19 PM,06:55 AM,06:38 PM,9,27,27,27,13,6,35,0.0,1012,37,10,190,8
