date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,25,0.0,11.6,7,7,37,11:16 AM,11:25 PM,06:38 AM,06:15 PM,23,31,31,28,11,35,75,1.1,1012,31,10,213,9
2020-01-02,31,26,0.0,11.6,7,7,44,11:54 AM,No moonset,06:39 AM,06:16 PM,24,32,32,28,13,36,78,0.4,1013,31,10,231,10
2020-01-03,31,26,0.0,11.6,7,7,51,12:32 PM,12:09 AM,06:39 AM,06:16 PM,23,32,32,28,11,38,75,0.8,1012,31,10,208,8
2020-01-04,31,26,0.0,7.3,6,6,59,01:10 PM,12:53 AM,06:39 AM,06:17 PM,24,32,32,28,11,72,81,4.5,1011,31,10,278,8
2020-01-05,30,26,0.0,10.2,6,6,66,01:50 PM,01:38 AM,06:40 AM,06:17 PM,24,32,32,28,11,63,79,4.0,1010,30,10,279,8
2020-01-06,31,25,0.0,11.6,7,7,73,02:31 PM,02:25 AM,06:40 AM,06:18 PM,23,32,32,28,13,26,74,0.3,1011,31,10,183,10
2020-01-07,33,25,0.0,11.6,7,7,80,03:18 PM,03:15 AM,06:40 AM,06:18 PM,22,32,32,28,17,3,71,0.0,1011,33,10,195,12
2020-01-08,31,25,0.0,11.6,7,7,88,04:07 PM,04:07 AM,06:41 AM,06:19 PM,22,31,31,28,16,10,71,0.0,1011,31,10,187,12
2020-01-09,32,25,0.0,11.6,7,7,95,05:02 PM,05:03 AM,06:41 AM,06:19 PM,22,31,31,28,13,9,70,0.0,1011,32,10,205,10
2020-01-10,31,25,0.0,11.6,7,7,100,06:01 PM,06:02 AM,06:41 AM,06:20 PM,22,31,31,28,13,12,69,0.1,1011,31,10,195,11
2020-01-11,32,24,0.0,11.6,7,7,100,07:01 PM,07:01 AM,06:42 AM,06:20 PM,20,30,30,28,21,0,65,0.0,1011,32,10,223,15
2020-01-12,34,23,0.0,11.6,7,7,83,08:02 PM,07:59 AM,06:42 AM,06:21 PM,19,30,30,28,20,0,61,0.0,1011,34,10,227,15
2020-01-13,30,25,0.0,11.6,7,7,76,09:02 PM,08:54 AM,06:42 AM,06:21 PM,22,30,30,28,11,9,71,0.1,1011,30,10,242,9
2020-01-14,32,24,0.0,10.2,6,6,69,10:00 PM,09:47 AM,06:43 AM,06:22 PM,22,31,31,28,13,41,70,0.9,1011,32,10,217,10
2020-01-15,31,24,0.0,11.6,7,7,61,10:55 PM,10:36 AM,06:43 AM,06:22 PM,21,30,30,27,13,22,68,0.0,1011,31,10,200,10
2020-01-16,30,24,0.0,11.6,7,7,54,11:49 PM,11:23 AM,06:43 AM,06:23 PM,20,29,29,27,14,46,69,0.8,1011,30,10,210,11
2020-01-17,32,25,0.0,11.6,7,7,47,No moonrise,12:09 PM,06:43 AM,06:23 PM,21,30,30,28,11,12,67,0.2,1011,32,10,287,9
2020-01-18,30,25,0.0,11.6,7,7,40,12:42 AM,12:55 PM,06:44 AM,06:24 PM,22,30,30,27,10,24,74,0.0,1010,30,10,255,8
2020-01-19,31,26,0.0,11.6,7,7,32,01:36 AM,01:43 PM,06:44 AM,06:24 PM,22,31,31,28,16,25,71,0.0,1011,31,10,186,11
2020-01-20,32,25,0.0,11.6,7,7,25,02:30 AM,02:32 PM,06:44 AM,06:25 PM,21,31,31,28,17,7,67,0.0,1011,32,10,199,12
2020-01-21,32,25,0.0,11.6,7,7,18,03:26 AM,03:23 PM,06:44 AM,06:25 PM,21,31,31,28,18,10,66,0.0,1012,32,10,183,13
2020-01-22,32,25,0.0,11.6,7,7,11,04:21 AM,04:16 PM,06:44 AM,06:26 PM,21,31,31,28,23,5,66,0.0,1012,32,10,152,17
2020-01-23,33,26,0.0,11.6,7,7,3,05:17 AM,05:10 PM,06:44 AM,06:26 PM,22,33,33,29,23,7,67,0.0,1011,33,10,156,16
2020-01-24,33,25,0.0,11.6,7,7,0,06:09 AM,06:04 PM,06:44 AM,06:26 PM,22,33,33,29,18,3,68,0.0,1011,33,10,161,14
2020-01-25,33,24,0.0,11.6,7,7,0,07:00 AM,06:56 PM,06:44 AM,06:27 PM,22,32,32,29,14,0,66,0.0,1012,33,10,182,11
2020-01-26,32,24,0.0,11.6,7,7,4,07:47 AM,07:46 PM,06:45 AM,06:27 PM,21,31,31,28,13,0,67,0.0,1012,32,10,226,11
2020-01-27,30,26,0.0,11.6,7,7,11,08:31 AM,08:34 PM,06:45 AM,06:28 PM,21,30,30,28,10,4,69,0.0,1012,30,10,222,9
2020-01-28,30,25,0.0,11.6,7,7,18,09:12 AM,09:20 PM,06:45 AM,06:28 PM,23,30,30,27,12,19,77,0.0,1012,30,10,275,10
2020-01-29,32,25,0.0,11.6,7,7,26,09:51 AM,10:04 PM,06:45 AM,06:28 PM,23,31,31,28,11,21,75,0.1,1012,32,10,274,9
2020-01-30,32,25,0.0,11.6,7,7,33,10:28 AM,10:47 PM,06:45 AM,06:29 PM,23,31,31,28,13,24,78,0.1,1012,32,10,272,10
2020-01-31,32,25,0.0,11.6,7,7,37,11:06 AM,11:32 PM,06:45 AM,06:29 PM,23,31,31,28,12,23,77,0.1,1010,32,10,254,9
2020-02-01,30,25,0.0,10.2,6,6,49,11:45 AM,No moonset,06:45 AM,06:29 PM,22,30,30,27,15,35,74,0.7,1011,30,10,220,12
