date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,25,0.0,5.9,6,6,37,11:58 AM,No moonset,07:21 AM,07:08 PM,23,29,29,26,31,70,82,6.4,1015,27,10,74,21
2020-01-02,27,25,0.0,5.9,6,6,44,12:38 PM,12:11 AM,07:22 AM,07:08 PM,23,29,29,26,34,84,86,11.8,1015,27,10,68,22
2020-01-03,27,25,0.0,5.9,6,6,51,01:17 PM,12:54 AM,07:22 AM,07:09 PM,23,29,29,26,31,82,85,6.7,1014,27,10,68,20
2020-01-04,28,25,0.0,7.4,6,6,59,01:56 PM,01:37 AM,07:22 AM,07:09 PM,23,29,29,26,24,77,83,1.2,1012,28,10,83,16
2020-01-05,28,25,0.0,7.4,6,6,66,02:36 PM,02:21 AM,07:23 AM,07:10 PM,22,28,28,26,23,60,82,2.8,1012,28,10,79,15
2020-01-06,28,24,0.0,5.9,6,6,73,03:19 PM,03:07 AM,07:23 AM,07:10 PM,21,28,28,26,10,80,77,0.3,1013,28,10,63,7
2020-01-07,28,23,0.0,11.6,6,6,80,04:05 PM,03:55 AM,07:24 AM,07:11 PM,22,28,28,26,13,50,81,0.5,1011,28,10,72,9
2020-01-08,28,25,0.0,7.4,6,6,88,04:55 PM,04:46 AM,07:24 AM,07:11 PM,23,29,29,26,18,72,84,16.0,1011,28,9,78,12
2020-01-09,29,25,0.0,8.8,6,6,95,05:50 PM,05:42 AM,07:24 AM,07:12 PM,23,29,29,27,22,62,80,1.0,1011,29,10,87,15
2020-01-10,28,25,0.0,10.2,6,6,100,06:49 PM,06:40 AM,07:25 AM,07:12 PM,23,29,29,26,16,56,83,0.8,1010,28,10,77,11
