date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,34,23,0.0,10.2,6,6,37,11:17 AM,11:25 PM,06:40 AM,06:14 PM,23,31,31,27,6,43,78,0.4,1012,34,10,191,4
2020-01-02,35,24,0.0,10.2,6,6,44,11:55 AM,No moonset,06:40 AM,06:15 PM,23,31,31,28,7,43,80,1.3,1013,35,8,251,5
2020-01-03,35,24,0.0,10.2,6,6,51,12:32 PM,12:09 AM,06:40 AM,06:15 PM,23,32,32,28,6,34,78,0.7,1012,35,9,267,4
2020-01-04,35,24,0.0,8.7,6,6,59,01:10 PM,12:54 AM,06:41 AM,06:16 PM,24,32,32,28,7,53,81,1.7,1011,35,7,271,5
2020-01-05,34,23,0.0,7.3,6,6,66,01:49 PM,01:39 AM,06:41 AM,06:16 PM,23,31,31,27,6,72,81,1.3,1011,34,8,279,5
2020-01-06,36,23,0.0,10.2,7,7,73,02:31 PM,02:26 AM,06:42 AM,06:17 PM,23,32,32,28,6,43,78,0.8,1012,36,9,207,4
2020-01-07,36,24,0.0,11.6,8,8,80,03:17 PM,03:16 AM,06:42 AM,06:17 PM,22,32,32,29,6,9,71,0.0,1012,36,10,207,5
2020-01-08,36,23,0.0,11.6,7,7,88,04:06 PM,04:08 AM,06:42 AM,06:18 PM,22,30,30,28,7,28,72,0.6,1012,36,10,295,5
2020-01-09,36,23,0.0,11.6,7,7,95,05:01 PM,05:05 AM,06:43 AM,06:19 PM,22,31,31,27,7,28,76,0.4,1011,36,10,280,5
2020-01-10,36,22,0.0,11.6,7,7,100,06:00 PM,06:03 AM,06:43 AM,06:19 PM,22,30,30,27,7,13,73,0.1,1011,36,9,242,5
2020-01-11,35,22,0.0,11.6,7,7,100,07:00 PM,07:02 AM,06:43 AM,06:20 PM,20,30,30,28,7,0,66,0.0,1011,35,10,191,5
2020-01-12,36,22,0.0,11.6,7,7,83,08:02 PM,08:00 AM,06:44 AM,06:20 PM,19,30,30,28,6,0,64,0.0,1012,36,10,199,5
2020-01-13,34,22,0.0,11.6,7,7,76,09:02 PM,08:56 AM,06:44 AM,06:21 PM,20,29,29,27,7,15,68,0.0,1011,34,10,243,5
2020-01-14,34,23,0.0,11.6,7,7,69,09:59 PM,09:48 AM,06:44 AM,06:21 PM,21,30,30,27,7,37,71,0.0,1011,34,10,267,5
2020-01-15,35,23,0.0,11.6,7,7,61,10:55 PM,10:36 AM,06:44 AM,06:22 PM,21,29,29,27,6,33,72,0.0,1011,35,10,250,5
2020-01-16,36,21,0.0,11.6,7,7,54,11:49 PM,11:23 AM,06:45 AM,06:22 PM,20,29,29,27,8,36,69,0.3,1011,36,10,272,6
2020-01-17,36,22,0.0,11.6,7,7,47,No moonrise,12:09 PM,06:45 AM,06:23 PM,21,30,30,27,8,22,74,0.3,1011,36,10,282,6
2020-01-18,34,22,0.0,7.3,6,6,40,12:43 AM,12:55 PM,06:45 AM,06:23 PM,22,30,30,27,6,52,73,0.0,1010,34,10,264,5
2020-01-19,36,24,0.0,7.3,6,6,32,01:37 AM,01:42 PM,06:45 AM,06:24 PM,22,31,31,28,7,55,74,1.0,1011,36,10,233,5
2020-01-20,36,23,0.0,11.6,7,7,25,02:31 AM,02:31 PM,06:45 AM,06:24 PM,22,31,31,28,7,20,73,0.1,1012,36,10,236,5
2020-01-21,37,23,0.0,11.6,8,8,18,03:27 AM,03:22 PM,06:45 AM,06:24 PM,21,31,31,28,7,13,69,0.0,1012,37,10,292,5
2020-01-22,38,23,0.0,11.6,8,8,11,04:23 AM,04:15 PM,06:45 AM,06:25 PM,20,31,31,29,7,4,64,0.0,1012,38,10,216,5
2020-01-23,37,23,0.0,11.6,8,8,3,05:18 AM,05:09 PM,06:46 AM,06:25 PM,21,31,31,29,6,7,65,0.0,1011,37,10,221,4
2020-01-24,37,25,0.0,11.6,8,8,0,06:11 AM,06:03 PM,06:46 AM,06:26 PM,21,32,32,29,6,5,67,0.0,1011,37,10,192,5
2020-01-25,38,24,0.0,11.6,8,8,0,07:02 AM,06:55 PM,06:46 AM,06:26 PM,20,31,31,29,7,2,65,0.0,1012,38,10,278,5
2020-01-26,35,23,0.0,11.6,7,7,4,07:49 AM,07:46 PM,06:46 AM,06:27 PM,20,30,30,28,7,1,65,0.0,1012,35,10,256,6
2020-01-27,34,22,0.0,11.6,7,7,11,08:32 AM,08:33 PM,06:46 AM,06:27 PM,21,29,29,27,8,21,74,0.4,1012,34,10,247,6
2020-01-28,35,22,0.0,11.6,7,7,18,09:13 AM,09:20 PM,06:46 AM,06:27 PM,22,30,30,27,9,33,78,0.1,1012,35,8,289,6
2020-01-29,35,22,0.0,11.6,7,7,26,09:52 AM,10:04 PM,06:46 AM,06:28 PM,22,30,30,27,8,29,76,0.0,1013,35,8,281,6
2020-01-30,36,22,0.0,11.6,7,7,33,10:29 AM,10:48 PM,06:46 AM,06:28 PM,22,31,31,28,9,23,77,0.1,1012,36,7,281,7
2020-01-31,36,23,0.0,11.6,7,7,37,11:06 AM,11:32 PM,06:46 AM,06:28 PM,22,31,31,28,8,25,75,0.2,1010,36,8,285,6
2020-02-01,37,22,0.0,11.6,7,7,49,11:45 AM,No moonset,06:46 AM,06:29 PM,21,30,30,28,8,30,71,0.1,1011,37,8,236,6
2020-02-02,36,22,0.0,11.6,7,7,57,12:24 PM,12:17 AM,06:46 AM,06:29 PM,20,29,29,27,7,23,67,0.0,1012,36,10,183,5
2020-02-03,36,22,0.0,11.6,7,7,64,01:07 PM,01:05 AM,06:46 AM,06:29 PM,20,30,30,27,8,12,66,0.0,1013,36,10,260,6
2020-02-04,37,22,0.0,11.6,7,7,72,01:54 PM,01:55 AM,06:46 AM,06:30 PM,20,30,30,28,7,11,69,0.0,1012,37,10,268,5
2020-02-05,36,22,0.0,11.6,7,7,79,02:45 PM,02:49 AM,06:45 AM,06:30 PM,21,30,30,27,7,36,74,2.1,1012,36,10,272,5
2020-02-06,36,23,0.0,8.8,6,6,87,03:41 PM,03:45 AM,06:45 AM,06:30 PM,22,30,30,27,7,68,78,1.5,1012,36,9,266,5
2020-02-07,33,24,0.0,7.3,6,6,95,04:41 PM,04:44 AM,06:45 AM,06:31 PM,23,30,30,27,8,67,79,2.6,1013,33,9,258,6
2020-02-08,35,23,0.0,11.6,7,7,100,05:43 PM,05:43 AM,06:45 AM,06:31 PM,22,30,30,27,9,34,77,0.2,1013,35,9,287,7
2020-02-09,36,23,0.0,11.6,7,7,100,06:45 PM,06:40 AM,06:45 AM,06:31 PM,21,30,30,28,8,37,69,0.0,1012,36,10,282,6
2020-02-10,38,23,0.0,11.6,8,8,83,07:46 PM,07:36 AM,06:45 AM,06:31 PM,21,31,31,29,7,18,69,0.1,1012,38,10,194,5
2020-02-11,37,22,0.0,11.6,8,8,75,08:44 PM,08:27 AM,06:44 AM,06:32 PM,19,31,31,28,7,8,62,0.0,1012,37,10,188,5
2020-02-12,37,24,0.0,11.6,8,8,68,09:41 PM,09:17 AM,06:44 AM,06:32 PM,20,31,31,29,7,7,63,0.0,1013,37,10,229,5
2020-02-13,38,23,0.0,11.6,8,8,60,10:37 PM,10:04 AM,06:44 AM,06:32 PM,21,32,32,29,7,23,68,0.1,1013,38,10,197,6
2020-02-14,37,23,0.0,11.6,8,8,53,11:32 PM,10:52 AM,06:44 AM,06:32 PM,21,31,31,28,9,27,70,0.2,1012,37,10,275,7
2020-02-15,37,23,0.0,10.2,7,7,45,No moonrise,11:40 AM,06:43 AM,06:33 PM,23,32,32,28,8,44,76,0.6,1012,37,8,252,6
2020-02-16,40,23,0.0,11.6,8,8,38,12:27 AM,12:28 PM,06:43 AM,06:33 PM,23,33,33,29,8,37,73,0.7,1012,40,9,256,6
2020-02-17,40,22,0.0,11.6,8,8,30,01:23 AM,01:19 PM,06:43 AM,06:33 PM,20,31,31,29,8,12,67,0.0,1013,40,10,175,6
2020-02-18,39,22,0.0,11.6,8,8,22,02:19 AM,02:11 PM,06:42 AM,06:33 PM,20,30,30,28,8,7,65,0.0,1013,39,10,263,6
2020-02-19,38,21,0.0,11.6,8,8,15,03:14 AM,03:05 PM,06:42 AM,06:33 PM,19,31,31,28,7,7,64,0.0,1012,38,10,278,5
2020-02-20,39,23,0.0,11.6,8,8,7,04:07 AM,03:58 PM,06:42 AM,06:33 PM,20,31,31,29,7,1,63,0.0,1012,39,10,241,6
2020-02-21,39,22,0.0,11.6,8,8,0,04:57 AM,04:50 PM,06:41 AM,06:34 PM,18,31,31,29,7,4,57,0.0,1013,39,10,200,5
2020-02-22,39,24,0.0,11.6,8,8,0,05:45 AM,05:40 PM,06:41 AM,06:34 PM,21,32,32,29,7,18,64,0.0,1013,39,10,197,5
2020-02-23,40,25,0.0,11.6,8,8,0,06:29 AM,06:28 PM,06:41 AM,06:34 PM,21,32,32,30,7,6,64,0.0,1012,40,10,203,5
2020-02-24,40,24,0.0,11.6,8,8,0,07:11 AM,07:15 PM,06:40 AM,06:34 PM,21,32,32,29,8,6,65,0.0,1011,40,10,276,6
2020-02-25,39,23,0.0,11.6,8,8,8,07:50 AM,08:00 PM,06:40 AM,06:34 PM,21,32,32,29,8,12,68,0.0,1010,39,10,267,6
2020-02-26,39,22,0.0,11.6,8,8,15,08:27 AM,08:44 PM,06:39 AM,06:34 PM,22,32,32,29,8,13,71,0.0,1010,39,8,274,6
2020-02-27,39,22,0.0,11.6,8,8,23,09:05 AM,09:28 PM,06:39 AM,06:34 PM,22,32,32,29,8,17,71,0.0,1010,39,9,284,6
2020-02-28,38,23,0.0,11.6,8,8,30,09:43 AM,10:13 PM,06:39 AM,06:34 PM,21,31,31,29,9,36,69,0.6,1009,38,10,289,6
2020-02-29,37,22,0.0,11.6,8,8,38,10:21 AM,10:59 PM,06:38 AM,06:34 PM,20,31,31,28,10,42,66,1.5,1010,37,10,262,7
2020-03-01,38,23,0.0,11.6,8,8,44,11:02 AM,11:47 PM,06:38 AM,06:34 PM,21,31,31,29,9,27,68,0.5,1010,38,10,274,6
2020-03-02,35,24,0.0,11.6,7,7,51,11:46 AM,No moonset,06:37 AM,06:34 PM,21,31,31,28,9,51,69,0.5,1011,35,10,281,7
2020-03-03,34,23,0.0,6.0,6,6,58,12:34 PM,12:37 AM,06:37 AM,06:35 PM,22,31,31,28,9,56,74,3.8,1011,34,10,285,7
2020-03-04,35,24,0.0,8.8,7,7,65,01:26 PM,01:32 AM,06:36 AM,06:35 PM,22,32,32,28,10,57,74,1.9,1010,35,10,294,7
2020-03-05,31,24,0.0,6.0,6,6,73,02:22 PM,02:27 AM,06:36 AM,06:35 PM,24,31,31,27,8,66,81,13.5,1010,31,9,298,5
