date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,24,0.0,10.2,6,6,37,11:21 AM,11:28 PM,06:46 AM,06:14 PM,22,29,29,27,11,58,77,0.9,1013,30,10,255,8
2020-01-02,30,24,0.0,10.2,7,7,44,11:58 AM,No moonset,06:46 AM,06:15 PM,23,30,30,27,12,47,80,0.9,1014,30,10,283,9
2020-01-03,31,24,0.0,11.6,7,7,51,12:35 PM,12:12 AM,06:46 AM,06:15 PM,23,30,30,27,13,26,80,1.0,1013,31,10,263,9
2020-01-04,29,25,0.0,10.2,7,7,59,01:13 PM,12:57 AM,06:47 AM,06:16 PM,23,30,30,27,16,34,82,1.1,1012,29,10,294,12
2020-01-05,29,24,0.0,11.6,7,7,66,01:51 PM,01:43 AM,06:47 AM,06:17 PM,22,29,29,27,12,19,78,0.0,1011,29,10,275,9
2020-01-06,31,24,0.0,10.2,6,6,73,02:32 PM,02:30 AM,06:48 AM,06:17 PM,23,30,30,27,11,41,78,1.2,1012,31,10,263,8
2020-01-07,32,24,0.0,11.6,7,7,80,03:18 PM,03:21 AM,06:48 AM,06:18 PM,23,30,30,27,12,38,76,0.4,1012,32,10,252,9
2020-01-08,32,24,0.0,11.6,7,7,88,04:07 PM,04:14 AM,06:48 AM,06:18 PM,22,30,30,27,14,27,73,0.4,1012,32,10,255,10
2020-01-09,31,24,0.0,11.6,7,7,95,05:01 PM,05:11 AM,06:49 AM,06:19 PM,22,30,30,27,13,26,75,0.1,1012,31,10,241,10
2020-01-10,30,24,0.0,11.6,7,7,100,06:00 PM,06:09 AM,06:49 AM,06:19 PM,22,30,30,27,12,37,74,0.2,1012,30,10,248,9
2020-01-11,32,23,0.0,11.6,7,7,100,07:01 PM,07:09 AM,06:49 AM,06:20 PM,21,29,29,27,13,21,71,0.2,1012,32,10,243,9
2020-01-12,30,22,0.0,11.6,7,7,83,08:02 PM,08:06 AM,06:49 AM,06:20 PM,19,28,28,26,13,2,67,0.0,1012,30,10,261,10
2020-01-13,30,22,0.0,11.6,7,7,76,09:03 PM,09:01 AM,06:50 AM,06:21 PM,20,28,28,26,13,8,70,0.0,1011,30,10,251,10
2020-01-14,31,23,0.0,11.6,7,7,69,10:01 PM,09:52 AM,06:50 AM,06:21 PM,20,28,28,26,15,27,71,0.2,1011,31,10,263,11
2020-01-15,31,23,0.0,11.6,7,7,61,10:58 PM,10:40 AM,06:50 AM,06:22 PM,21,28,28,26,13,30,74,0.2,1011,31,10,249,10
2020-01-16,30,23,0.0,11.6,7,7,54,11:53 PM,11:27 AM,06:50 AM,06:22 PM,20,28,28,26,14,41,71,0.5,1012,30,10,259,10
2020-01-17,30,22,0.0,11.6,7,7,47,No moonrise,12:11 PM,06:50 AM,06:23 PM,21,28,28,26,14,10,73,0.0,1012,30,10,273,10
2020-01-18,30,23,0.0,11.6,7,7,40,12:47 AM,12:57 PM,06:51 AM,06:23 PM,21,29,29,26,12,21,73,0.0,1011,30,10,269,9
2020-01-19,31,24,0.0,11.6,7,7,32,01:42 AM,01:44 PM,06:51 AM,06:24 PM,22,30,30,27,13,42,75,1.0,1012,31,10,272,10
2020-01-20,32,24,0.0,11.6,7,7,25,02:36 AM,02:32 PM,06:51 AM,06:24 PM,23,31,31,28,12,30,75,0.3,1012,32,10,267,9
2020-01-21,32,25,0.0,11.6,7,7,18,03:33 AM,03:23 PM,06:51 AM,06:25 PM,22,31,31,28,13,33,74,1.9,1013,32,10,252,10
2020-01-22,33,24,0.0,11.6,7,7,11,04:29 AM,04:15 PM,06:51 AM,06:25 PM,21,30,30,28,14,4,67,0.0,1013,33,10,277,10
2020-01-23,32,24,0.0,11.6,7,7,3,05:24 AM,05:09 PM,06:51 AM,06:26 PM,22,31,31,28,11,6,70,0.0,1012,32,10,279,9
2020-01-24,33,24,0.0,11.6,7,7,0,06:17 AM,06:03 PM,06:51 AM,06:26 PM,21,30,30,28,11,6,67,0.0,1012,33,10,248,9
2020-01-25,32,24,0.0,11.6,7,7,0,07:07 AM,06:56 PM,06:51 AM,06:27 PM,20,29,29,27,13,1,67,0.0,1013,32,10,243,10
2020-01-26,31,23,0.0,11.6,7,7,4,07:54 AM,07:47 PM,06:51 AM,06:27 PM,20,29,29,27,12,1,68,0.0,1012,31,10,258,9
2020-01-27,30,22,0.0,11.6,7,7,11,08:37 AM,08:35 PM,06:51 AM,06:28 PM,21,29,29,26,13,23,74,0.2,1012,30,10,261,10
2020-01-28,30,24,0.0,11.6,7,7,18,09:17 AM,09:22 PM,06:51 AM,06:28 PM,22,29,29,27,13,26,75,0.5,1012,30,10,291,10
2020-01-29,30,23,0.0,11.6,7,7,26,09:55 AM,10:06 PM,06:51 AM,06:29 PM,22,29,29,26,15,21,77,0.0,1013,30,10,277,11
2020-01-30,30,23,0.0,11.6,7,7,33,10:32 AM,10:51 PM,06:51 AM,06:29 PM,22,29,29,26,17,9,78,0.0,1012,30,10,286,12
