date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,16,0.0,8.7,6,6,37,10:37 AM,10:28 PM,06:17 AM,05:01 PM,12,21,21,21,16,10,56,0.0,1019,26,10,336,11
2020-01-02,29,18,0.0,8.7,6,6,44,11:10 AM,11:18 PM,06:18 AM,05:02 PM,13,23,23,22,18,25,59,0.0,1019,29,10,151,12
2020-01-03,19,11,0.0,4.1,4,4,51,11:43 AM,No moonset,06:18 AM,05:02 PM,14,17,17,17,18,67,81,5.9,1017,19,7,92,12
2020-01-04,26,15,0.0,8.7,6,6,59,12:15 PM,12:07 AM,06:18 AM,05:03 PM,14,20,21,20,6,34,70,0.0,1014,26,9,219,4
2020-01-05,24,18,0.0,5.6,5,5,66,12:49 PM,12:58 AM,06:18 AM,05:04 PM,13,20,21,20,15,55,65,1.7,1015,24,9,304,10
2020-01-06,25,18,0.0,8.7,6,6,73,01:26 PM,01:50 AM,06:19 AM,05:04 PM,10,21,22,21,11,0,49,0.0,1018,25,10,234,9
2020-01-07,24,15,0.0,8.7,6,6,80,02:07 PM,02:44 AM,06:19 AM,05:05 PM,8,19,20,19,14,5,47,0.0,1016,24,10,221,10
2020-01-08,25,15,0.0,8.7,6,6,88,02:53 PM,03:41 AM,06:19 AM,05:06 PM,7,20,20,20,13,42,45,0.0,1015,25,10,326,8
2020-01-09,23,19,0.0,7.2,6,6,95,03:45 PM,04:40 AM,06:19 AM,05:06 PM,13,21,21,21,10,42,61,0.1,1015,23,10,68,7
2020-01-10,25,16,0.0,8.7,6,6,100,04:42 PM,05:41 AM,06:19 AM,05:07 PM,11,20,20,20,18,9,61,0.0,1015,25,10,308,13
2020-01-11,24,15,0.0,8.7,5,5,100,05:45 PM,06:39 AM,06:19 AM,05:08 PM,11,19,20,19,17,9,64,0.0,1016,24,10,340,13
2020-01-12,25,15,0.0,8.7,6,6,83,06:49 PM,07:35 AM,06:20 AM,05:09 PM,11,19,20,19,16,0,58,0.0,1014,25,10,336,12
2020-01-13,25,16,0.0,8.7,6,6,76,07:55 PM,08:25 AM,06:20 AM,05:09 PM,8,20,21,20,12,0,47,0.0,1012,25,10,209,9
2020-01-14,27,17,0.0,8.7,6,6,69,08:58 PM,09:12 AM,06:20 AM,05:10 PM,11,23,23,23,7,0,50,0.0,1013,27,10,202,5
2020-01-15,29,19,0.0,8.7,6,6,61,10:00 PM,09:55 AM,06:20 AM,05:11 PM,10,24,24,24,7,1,43,0.0,1014,29,10,211,6
2020-01-16,31,18,0.0,8.7,7,7,54,11:01 PM,10:35 AM,06:20 AM,05:11 PM,11,24,24,24,12,3,46,0.0,1014,31,10,336,8
2020-01-17,31,21,0.0,8.7,7,7,47,No moonrise,11:15 AM,06:20 AM,05:12 PM,12,26,26,25,12,3,47,0.0,1015,31,10,260,8
2020-01-18,30,20,0.0,8.7,7,7,40,12:01 AM,11:55 AM,06:20 AM,05:13 PM,11,25,25,24,10,5,46,0.0,1014,30,10,189,6
2020-01-19,27,18,0.0,8.7,6,6,32,01:01 AM,12:36 PM,06:19 AM,05:14 PM,13,23,23,22,17,29,59,0.0,1014,27,10,122,12
2020-01-20,25,17,0.0,8.7,6,6,25,02:01 AM,01:21 PM,06:19 AM,05:14 PM,9,20,21,20,17,37,51,0.0,1016,25,10,308,12
2020-01-21,25,15,0.0,7.2,5,5,18,03:00 AM,02:08 PM,06:19 AM,05:15 PM,7,19,19,19,13,29,45,0.0,1017,25,10,217,8
2020-01-22,26,16,0.0,8.7,6,6,11,03:59 AM,02:59 PM,06:19 AM,05:16 PM,7,21,21,21,11,4,41,0.0,1017,26,10,317,7
2020-01-23,25,16,0.0,7.2,6,6,3,04:55 AM,03:53 PM,06:19 AM,05:17 PM,8,20,21,20,12,37,47,0.0,1014,25,10,279,8
2020-01-24,25,17,0.0,8.7,6,6,0,05:48 AM,04:47 PM,06:19 AM,05:17 PM,5,20,20,20,15,0,38,0.0,1015,25,10,304,11
2020-01-25,25,15,0.0,8.7,6,6,0,06:36 AM,05:43 PM,06:19 AM,05:18 PM,7,20,20,20,11,0,45,0.0,1014,25,10,207,8
2020-01-26,25,16,0.0,8.7,6,6,4,07:20 AM,06:37 PM,06:18 AM,05:19 PM,8,20,20,20,12,1,46,0.0,1013,25,10,301,9
2020-01-27,25,15,0.0,8.7,6,6,11,07:59 AM,07:30 PM,06:18 AM,05:19 PM,8,20,21,20,15,2,48,0.0,1012,25,10,303,11
2020-01-28,27,16,0.0,8.7,6,6,18,08:35 AM,08:20 PM,06:18 AM,05:20 PM,8,22,22,21,9,12,45,0.0,1012,27,10,196,6
2020-01-29,29,18,0.0,5.7,5,5,26,09:09 AM,09:10 PM,06:17 AM,05:21 PM,15,23,23,23,13,53,62,3.8,1013,29,10,149,9
2020-01-30,28,16,0.0,4.1,5,5,33,09:42 AM,09:59 PM,06:17 AM,05:21 PM,15,23,23,22,12,69,65,4.6,1012,28,9,237,8
2020-01-31,26,18,0.0,8.7,6,6,37,10:14 AM,10:49 PM,06:17 AM,05:22 PM,9,22,22,21,18,30,45,0.0,1013,26,10,292,13
2020-02-01,26,16,0.0,8.7,6,6,49,10:47 AM,11:40 PM,06:16 AM,05:23 PM,7,22,22,21,11,2,41,0.0,1015,26,10,317,8
2020-02-02,25,15,0.0,8.7,6,6,57,11:22 AM,No moonset,06:16 AM,05:24 PM,5,19,20,19,19,7,40,0.0,1017,25,10,303,12
