date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,19,0.0,4.2,6,6,37,11:15 AM,11:16 PM,06:45 AM,05:57 PM,18,25,25,24,24,54,73,0.5,1015,29,10,133,17
2020-01-02,29,20,0.0,8.7,6,6,44,11:51 AM,No moonset,06:45 AM,05:58 PM,19,26,26,25,19,59,74,4.2,1015,29,9,144,13
2020-01-03,30,21,0.0,4.2,6,6,51,12:25 PM,12:02 AM,06:45 AM,05:58 PM,19,27,27,26,17,49,69,1.5,1013,30,10,194,11
2020-01-04,31,22,0.0,7.2,6,6,59,01:01 PM,12:49 AM,06:46 AM,05:59 PM,18,28,28,27,11,24,62,0.1,1012,31,10,129,7
2020-01-05,30,22,0.0,7.2,6,6,66,01:39 PM,01:36 AM,06:46 AM,06:00 PM,19,27,27,25,18,65,70,2.9,1013,30,10,81,12
2020-01-06,28,21,0.0,5.8,6,6,73,02:18 PM,02:25 AM,06:46 AM,06:00 PM,19,26,26,24,19,61,73,0.2,1015,28,10,102,14
2020-01-07,30,21,0.0,10.1,6,6,80,03:02 PM,03:17 AM,06:47 AM,06:01 PM,19,26,26,25,20,46,72,0.3,1015,30,10,131,15
2020-01-08,29,20,0.0,11.5,7,7,88,03:50 PM,04:12 AM,06:47 AM,06:01 PM,18,25,25,24,25,35,71,0.0,1013,29,10,153,18
2020-01-09,30,20,0.0,11.6,7,7,95,04:43 PM,05:10 AM,06:47 AM,06:02 PM,18,26,26,25,19,34,66,0.0,1013,30,10,155,13
2020-01-10,28,21,0.0,7.2,6,6,100,05:42 PM,06:08 AM,06:47 AM,06:03 PM,17,26,26,24,19,54,67,0.2,1014,28,10,104,13
2020-01-11,30,19,0.0,11.6,7,7,100,06:43 PM,07:08 AM,06:48 AM,06:03 PM,17,25,25,24,19,32,69,0.0,1015,30,10,114,13
2020-01-12,30,20,0.0,11.6,7,7,83,07:46 PM,08:04 AM,06:48 AM,06:04 PM,16,25,25,24,14,21,64,0.0,1014,30,10,125,10
2020-01-13,31,20,0.0,11.6,7,7,76,08:48 PM,08:58 AM,06:48 AM,06:04 PM,13,26,26,26,13,2,50,0.0,1012,31,10,75,8
2020-01-14,30,20,0.0,11.6,7,7,69,09:48 PM,09:47 AM,06:48 AM,06:05 PM,13,25,25,24,20,2,54,0.0,1012,30,10,123,12
2020-01-15,30,18,0.0,11.6,6,6,61,10:46 PM,10:33 AM,06:48 AM,06:05 PM,13,23,23,23,25,1,58,0.0,1013,30,10,126,17
2020-01-16,29,17,0.0,11.6,6,6,54,11:44 PM,11:18 AM,06:48 AM,06:06 PM,13,23,23,23,26,3,59,0.0,1013,29,10,145,17
2020-01-17,29,18,0.0,11.6,6,6,47,No moonrise,12:01 PM,06:49 AM,06:07 PM,14,25,25,24,24,8,57,0.0,1013,29,10,152,16
2020-01-18,31,20,0.0,11.6,7,7,40,12:40 AM,12:44 PM,06:49 AM,06:07 PM,17,25,25,25,24,25,66,0.0,1013,31,10,132,17
2020-01-19,29,20,0.0,11.6,7,7,32,01:37 AM,01:29 PM,06:49 AM,06:08 PM,17,26,26,25,19,36,64,0.2,1014,29,10,135,13
2020-01-20,31,20,0.0,11.6,7,7,25,02:33 AM,02:15 PM,06:49 AM,06:08 PM,16,26,26,25,22,14,58,0.0,1014,31,10,118,15
2020-01-21,32,20,0.0,11.6,7,7,18,03:31 AM,03:05 PM,06:49 AM,06:09 PM,13,26,26,25,29,8,50,0.0,1016,32,10,124,20
2020-01-22,31,18,0.0,11.6,7,7,11,04:27 AM,03:57 PM,06:49 AM,06:09 PM,15,25,25,24,26,6,60,0.0,1017,31,10,118,17
2020-01-23,31,19,0.0,11.6,7,7,3,05:24 AM,04:51 PM,06:49 AM,06:10 PM,13,26,26,25,18,3,53,0.0,1015,31,10,123,12
2020-01-24,32,20,0.0,11.6,7,7,0,06:16 AM,05:46 PM,06:49 AM,06:11 PM,12,27,27,26,21,2,47,0.0,1015,32,10,107,13
2020-01-25,33,20,0.0,11.6,7,7,0,07:06 AM,06:39 PM,06:49 AM,06:11 PM,12,28,28,27,18,3,44,0.0,1014,33,10,76,10
2020-01-26,33,21,0.0,11.6,7,7,4,07:51 AM,07:31 PM,06:49 AM,06:12 PM,12,28,28,28,16,4,42,0.0,1012,33,10,64,9
2020-01-27,33,21,0.0,11.6,7,7,11,08:33 AM,08:21 PM,06:49 AM,06:12 PM,12,29,29,28,22,3,43,0.0,1011,33,10,148,13
2020-01-28,32,21,0.0,11.6,7,7,18,09:12 AM,09:09 PM,06:48 AM,06:13 PM,15,27,27,27,18,20,52,0.0,1012,32,10,239,12
2020-01-29,33,23,0.0,11.6,7,7,26,09:48 AM,09:56 PM,06:48 AM,06:13 PM,14,28,28,28,15,17,45,0.0,1013,33,10,271,9
2020-01-30,34,22,0.0,11.6,7,7,33,10:23 AM,10:42 PM,06:48 AM,06:14 PM,15,29,29,28,14,15,47,0.0,1012,34,10,231,8
2020-01-31,33,21,0.0,11.6,7,7,37,10:59 AM,11:29 PM,06:48 AM,06:14 PM,15,29,29,28,23,9,51,0.0,1011,33,10,161,16
2020-02-01,32,21,0.0,11.6,7,7,49,11:35 AM,No moonset,06:48 AM,06:15 PM,16,27,27,26,26,14,55,0.0,1012,32,10,153,19
2020-02-02,31,20,0.0,11.6,7,7,57,12:12 PM,12:16 AM,06:48 AM,06:15 PM,16,26,26,26,27,19,58,0.0,1015,31,10,128,19
2020-02-03,32,20,0.0,11.6,7,7,64,12:53 PM,01:06 AM,06:47 AM,06:16 PM,13,26,26,26,27,8,50,0.0,1015,32,10,138,18
2020-02-04,32,20,0.0,11.6,7,7,72,01:38 PM,01:58 AM,06:47 AM,06:16 PM,13,26,26,26,27,6,50,0.0,1013,32,10,150,18
2020-02-05,32,19,0.0,11.6,7,7,79,02:27 PM,02:53 AM,06:47 AM,06:17 PM,13,27,27,26,24,6,51,0.0,1013,32,10,154,16
2020-02-06,33,20,0.0,11.6,7,7,87,03:23 PM,03:51 AM,06:47 AM,06:17 PM,11,27,27,27,28,11,42,0.0,1012,33,10,159,18
2020-02-07,33,20,0.0,11.6,7,7,95,04:23 PM,04:49 AM,06:46 AM,06:17 PM,14,27,27,27,22,21,49,0.0,1012,33,10,167,15
2020-02-08,32,21,0.0,11.6,7,7,100,05:26 PM,05:48 AM,06:46 AM,06:18 PM,16,28,28,27,23,22,56,0.0,1013,32,10,175,16
2020-02-09,31,21,0.0,10.2,6,6,100,06:30 PM,06:43 AM,06:46 AM,06:18 PM,17,27,27,25,28,59,62,0.8,1015,31,10,125,21
2020-02-10,32,20,0.0,11.6,7,7,83,07:33 PM,07:37 AM,06:45 AM,06:19 PM,17,26,26,25,22,54,64,0.4,1015,32,10,112,16
2020-02-11,29,20,0.0,11.6,7,7,75,08:34 PM,08:25 AM,06:45 AM,06:19 PM,16,25,25,25,27,28,63,0.0,1016,29,10,102,19
2020-02-12,32,18,0.0,10.2,7,7,68,09:35 PM,09:12 AM,06:44 AM,06:19 PM,16,25,25,25,21,26,61,0.0,1017,32,9,103,15
2020-02-13,33,21,0.0,11.6,7,7,60,10:33 PM,09:57 AM,06:44 AM,06:20 PM,13,28,28,27,18,9,48,0.0,1015,33,10,34,11
2020-02-14,33,21,0.0,11.6,7,7,53,11:31 PM,10:41 AM,06:44 AM,06:20 PM,8,28,28,27,13,0,36,0.0,1013,33,10,27,8
2020-02-15,36,21,0.0,11.6,7,7,45,No moonrise,11:27 AM,06:43 AM,06:21 PM,7,28,28,28,19,0,31,0.0,1012,36,10,57,11
2020-02-16,35,21,0.0,11.6,7,7,38,12:28 AM,12:13 PM,06:43 AM,06:21 PM,9,29,29,28,23,1,34,0.0,1013,35,10,102,14
2020-02-17,34,20,0.0,11.6,7,7,30,01:27 AM,01:03 PM,06:42 AM,06:21 PM,9,28,28,27,23,1,35,0.0,1015,34,10,97,14
2020-02-18,35,21,0.0,11.6,7,7,22,02:23 AM,01:54 PM,06:42 AM,06:22 PM,9,28,28,28,21,0,38,0.0,1014,35,10,47,12
2020-02-19,34,20,0.0,11.6,7,7,15,03:19 AM,02:46 PM,06:41 AM,06:22 PM,14,28,28,28,22,3,50,0.0,1013,34,10,121,14
2020-02-20,34,20,0.0,11.6,7,7,7,04:12 AM,03:40 PM,06:41 AM,06:22 PM,11,28,28,27,28,1,45,0.0,1014,34,10,115,18
2020-02-21,33,18,0.0,11.6,7,7,0,05:02 AM,04:33 PM,06:40 AM,06:23 PM,11,27,27,27,26,1,47,0.0,1015,33,10,122,17
2020-02-22,33,18,0.0,11.6,7,7,0,05:48 AM,05:25 PM,06:40 AM,06:23 PM,11,27,27,27,25,1,47,0.0,1016,33,10,114,16
2020-02-23,34,19,0.0,11.6,7,7,0,06:30 AM,06:15 PM,06:39 AM,06:23 PM,12,27,27,27,26,2,50,0.0,1015,34,10,123,16
2020-02-24,34,19,0.0,11.6,7,7,0,07:10 AM,07:04 PM,06:39 AM,06:23 PM,12,26,26,27,26,3,48,0.0,1012,34,10,153,16
2020-02-25,34,20,0.0,11.6,7,7,8,07:47 AM,07:51 PM,06:38 AM,06:24 PM,14,29,29,28,24,13,50,0.0,1010,34,10,149,14
2020-02-26,35,21,0.0,11.6,7,7,15,08:22 AM,08:37 PM,06:37 AM,06:24 PM,15,30,30,29,21,8,53,0.0,1011,35,10,137,14
2020-02-27,32,21,0.0,10.2,6,6,23,08:58 AM,09:24 PM,06:37 AM,06:24 PM,17,28,28,27,18,35,57,0.8,1012,32,10,109,12
2020-02-28,34,20,0.0,11.6,7,7,30,09:33 AM,10:11 PM,06:36 AM,06:24 PM,15,28,28,27,21,18,53,0.0,1011,34,10,99,14
2020-02-29,33,21,0.0,11.6,7,7,38,10:09 AM,10:59 PM,06:36 AM,06:25 PM,15,27,27,27,22,24,53,0.0,1011,33,10,99,15
2020-03-01,35,21,0.0,11.6,7,7,44,10:48 AM,11:49 PM,06:35 AM,06:25 PM,15,28,28,28,23,18,50,0.0,1011,35,10,99,16
2020-03-02,33,22,0.0,10.2,7,7,51,11:31 AM,No moonset,06:34 AM,06:25 PM,14,28,28,27,17,23,48,0.3,1011,33,10,60,10
2020-03-03,36,22,0.0,11.6,7,7,58,12:17 PM,12:41 AM,06:34 AM,06:25 PM,14,29,29,29,19,18,46,0.0,1011,36,10,209,12
2020-03-04,36,24,0.0,11.6,8,8,65,01:08 PM,01:36 AM,06:33 AM,06:26 PM,11,30,30,30,20,11,34,0.0,1010,36,10,282,13
2020-03-05,37,24,0.0,11.6,8,8,73,02:04 PM,02:33 AM,06:32 AM,06:26 PM,12,32,32,31,18,20,37,0.1,1009,37,10,255,12
2020-03-06,34,24,0.0,11.6,8,8,80,03:05 PM,03:30 AM,06:32 AM,06:26 PM,15,30,30,29,25,21,45,0.0,1010,34,10,252,18
