date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,7,-2,0.0,7.0,1,1,37,12:25 PM,No moonset,08:14 AM,05:44 PM,-8,-1,2,-1,22,22,49,0.0,1002,7,10,236,11
2020-01-02,2,-6,0.0,8.7,1,1,44,12:50 PM,12:07 AM,08:14 AM,05:45 PM,-6,-6,-1,-6,38,18,65,0.0,1006,2,8,349,23
2020-01-03,6,-4,0.0,8.7,2,2,51,01:15 PM,01:04 AM,08:14 AM,05:46 PM,-9,-3,1,-3,23,8,52,0.0,1019,6,10,233,14
2020-01-04,11,-2,0.0,8.7,3,3,59,01:41 PM,02:02 AM,08:14 AM,05:47 PM,-7,2,4,2,24,13,48,0.0,1020,11,10,210,12
2020-01-05,2,-2,0.0,8.7,2,2,66,02:09 PM,03:00 AM,08:14 AM,05:48 PM,-9,-5,0,-5,37,3,51,0.0,1025,2,10,126,22
2020-01-06,5,-3,0.0,8.7,2,2,73,02:41 PM,04:01 AM,08:14 AM,05:48 PM,-14,-5,0,-5,43,1,35,0.0,1025,5,10,311,28
2020-01-07,10,-1,0.0,8.7,3,3,80,03:18 PM,05:04 AM,08:14 AM,05:49 PM,-12,1,5,1,29,3,34,0.0,1022,10,10,203,16
2020-01-08,11,1,0.0,7.0,2,2,88,04:02 PM,06:08 AM,08:14 AM,05:50 PM,-8,2,5,2,32,27,39,0.0,1008,11,10,221,17
2020-01-09,4,-2,0.0,8.7,1,1,95,04:55 PM,07:11 AM,08:14 AM,05:51 PM,-11,-3,1,-3,25,48,42,0.0,1009,4,10,208,14
2020-01-10,-0,-8,0.3,7.0,1,1,100,05:56 PM,08:11 AM,08:14 AM,05:52 PM,-10,-9,-3,-9,26,44,62,0.3,1019,-0,8,93,20
2020-01-11,2,-8,0.0,5.2,1,1,100,07:04 PM,09:05 AM,08:14 AM,05:53 PM,-14,-9,-4,-9,24,47,48,0.1,1017,2,10,195,16
2020-01-12,4,-3,0.0,8.7,1,1,83,08:15 PM,09:53 AM,08:13 AM,05:54 PM,-14,-4,-0,-4,21,34,39,0.0,1013,4,10,253,12
2020-01-13,6,-3,0.0,8.7,2,2,76,09:28 PM,10:34 AM,08:13 AM,05:55 PM,-13,-3,1,-3,20,6,38,0.0,1014,6,10,238,12
2020-01-14,9,-2,0.0,8.7,2,2,69,10:39 PM,11:10 AM,08:13 AM,05:56 PM,-11,-3,2,-3,38,0,38,0.0,1013,9,10,206,21
2020-01-15,4,-4,0.0,8.7,2,2,61,11:50 PM,11:43 AM,08:13 AM,05:57 PM,-12,-5,-0,-5,30,1,41,0.0,1022,4,10,133,17
2020-01-16,1,-4,0.0,8.7,2,2,54,No moonrise,12:14 PM,08:12 AM,05:58 PM,-13,-10,-2,-10,59,36,46,0.0,1029,1,10,179,41
2020-01-17,10,-1,0.0,8.7,2,2,47,12:59 AM,12:45 PM,08:12 AM,05:59 PM,-5,-2,3,-2,53,47,60,0.6,1010,10,10,258,36
