date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,11,0.0,8.7,5,5,37,11:13 AM,10:57 PM,06:58 AM,05:23 PM,3,15,15,15,14,17,43,0.0,1021,21,10,141,8
2020-01-02,21,13,0.0,4.0,4,4,44,11:44 AM,11:49 PM,06:58 AM,05:23 PM,8,16,17,16,14,64,59,0.2,1020,21,9,87,8
2020-01-03,19,12,0.0,4.0,4,4,51,12:14 PM,No moonset,06:59 AM,05:24 PM,12,14,15,14,19,79,82,5.2,1017,19,10,103,13
2020-01-04,20,12,0.0,7.1,4,4,59,12:45 PM,12:40 AM,06:59 AM,05:25 PM,11,16,16,16,11,42,76,3.3,1015,20,10,193,7
2020-01-05,20,13,0.0,8.7,5,5,66,01:17 PM,01:33 AM,06:59 AM,05:25 PM,8,15,15,15,21,6,65,0.0,1016,20,10,285,13
2020-01-06,21,10,0.0,8.7,5,5,73,01:52 PM,02:27 AM,06:59 AM,05:26 PM,6,15,15,15,18,29,55,0.0,1017,21,10,290,11
2020-01-07,21,14,0.0,8.7,5,5,80,02:31 PM,03:23 AM,06:59 AM,05:27 PM,9,16,16,16,13,46,63,0.0,1017,21,10,219,8
2020-01-08,18,14,0.0,8.7,4,4,88,03:16 PM,04:22 AM,06:59 AM,05:28 PM,11,15,15,15,18,48,74,0.4,1015,18,9,119,11
2020-01-09,18,12,0.0,3.9,4,4,95,04:07 PM,05:23 AM,07:00 AM,05:28 PM,10,14,14,14,15,60,77,4.1,1016,18,9,334,9
2020-01-10,20,10,0.0,8.7,4,4,100,05:05 PM,06:23 AM,07:00 AM,05:29 PM,7,12,13,12,22,1,66,0.0,1017,20,10,270,13
2020-01-11,19,10,0.0,8.7,4,4,100,06:07 PM,07:21 AM,07:00 AM,05:30 PM,6,13,14,13,14,7,62,0.0,1017,19,10,255,9
2020-01-12,20,11,0.0,8.7,5,5,83,07:14 PM,08:15 AM,07:00 AM,05:31 PM,8,15,15,15,13,2,62,0.0,1015,20,10,275,9
