date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,21,12,0.0,5.6,4,4,37,10:48 AM,10:37 PM,06:31 AM,05:07 PM,10,16,16,16,10,48,64,0.0,1020,21,10,278,6
2020-01-02,24,14,0.0,8.7,4,4,44,11:21 AM,11:28 PM,06:31 AM,05:08 PM,12,19,19,19,10,38,64,0.1,1020,24,10,54,6
2020-01-03,23,16,0.0,5.6,5,5,51,11:53 AM,No moonset,06:31 AM,05:08 PM,13,19,20,19,7,63,70,1.3,1017,23,10,153,5
2020-01-04,24,14,0.0,7.1,5,5,59,12:24 PM,12:17 AM,06:31 AM,05:09 PM,12,19,19,19,11,31,67,0.1,1014,24,10,265,7
2020-01-05,22,14,0.0,8.7,5,5,66,12:58 PM,01:09 AM,06:32 AM,05:10 PM,11,18,18,18,18,3,67,0.0,1015,22,10,288,13
2020-01-06,22,13,0.0,8.7,5,5,73,01:34 PM,02:02 AM,06:32 AM,05:11 PM,8,17,18,17,15,2,57,0.0,1018,22,10,294,10
2020-01-07,23,13,0.0,8.7,5,5,80,02:14 PM,02:57 AM,06:32 AM,05:11 PM,8,18,18,18,8,10,54,0.0,1016,23,10,307,5
2020-01-08,25,14,0.0,8.7,5,5,88,02:59 PM,03:55 AM,06:32 AM,05:12 PM,8,19,19,19,12,33,49,0.0,1014,25,10,51,7
2020-01-09,23,14,0.0,4.1,4,4,95,03:51 PM,04:54 AM,06:32 AM,05:13 PM,14,18,19,18,17,80,77,5.2,1015,23,9,223,11
2020-01-10,20,12,0.0,7.2,5,5,100,04:49 PM,05:55 AM,06:32 AM,05:13 PM,12,15,15,15,20,30,79,0.1,1017,20,9,284,14
2020-01-11,20,12,0.0,8.7,5,5,100,05:51 PM,06:53 AM,06:33 AM,05:14 PM,10,16,16,16,16,0,68,0.0,1017,20,10,293,12
2020-01-12,21,12,0.0,8.7,5,5,83,06:56 PM,07:48 AM,06:33 AM,05:15 PM,8,16,16,16,15,0,61,0.0,1015,21,10,282,11
2020-01-13,23,12,0.0,8.7,5,5,76,08:02 PM,08:38 AM,06:33 AM,05:16 PM,8,17,18,17,9,0,56,0.0,1013,23,10,306,7
2020-01-14,25,15,0.0,8.7,6,6,69,09:07 PM,09:24 AM,06:33 AM,05:16 PM,9,20,20,20,5,1,52,0.0,1013,25,10,296,4
2020-01-15,26,15,0.0,8.7,6,6,61,10:10 PM,10:06 AM,06:33 AM,05:17 PM,9,20,20,20,6,6,52,0.0,1014,26,10,310,4
2020-01-16,29,16,0.0,8.7,6,6,54,11:11 PM,10:46 AM,06:33 AM,05:18 PM,12,21,21,21,14,11,56,0.0,1014,29,10,67,8
2020-01-17,30,18,0.0,8.7,6,6,47,No moonrise,11:25 AM,06:33 AM,05:19 PM,12,23,23,23,17,21,52,0.0,1014,30,10,142,10
2020-01-18,24,14,0.0,8.7,5,5,40,12:12 AM,12:03 PM,06:32 AM,05:19 PM,13,19,20,19,13,42,67,0.0,1014,24,10,343,8
2020-01-19,21,12,0.0,4.1,4,4,32,01:13 AM,12:44 PM,06:32 AM,05:20 PM,13,17,18,17,15,50,73,1.4,1015,21,10,285,10
2020-01-20,21,13,0.0,8.7,5,5,25,02:13 AM,01:28 PM,06:32 AM,05:21 PM,9,16,16,16,18,7,65,0.0,1016,21,10,282,12
2020-01-21,22,12,0.0,7.2,5,5,18,03:14 AM,02:14 PM,06:32 AM,05:22 PM,7,16,16,16,11,25,56,0.0,1018,22,10,293,7
2020-01-22,24,13,0.0,8.7,5,5,11,04:13 AM,03:05 PM,06:32 AM,05:22 PM,8,19,19,19,10,1,52,0.0,1017,24,10,289,7
2020-01-23,22,13,0.0,8.7,5,5,3,05:09 AM,03:59 PM,06:32 AM,05:23 PM,8,16,17,16,20,0,56,0.0,1015,22,10,277,13
2020-01-24,21,11,0.0,8.7,5,5,0,06:02 AM,04:54 PM,06:31 AM,05:24 PM,6,15,16,15,18,0,56,0.0,1015,21,10,288,12
2020-01-25,22,12,0.0,8.7,5,5,0,06:50 AM,05:49 PM,06:31 AM,05:25 PM,9,17,17,17,10,0,62,0.0,1014,22,10,293,8
2020-01-26,21,12,0.0,8.7,5,5,4,07:33 AM,06:44 PM,06:31 AM,05:25 PM,10,16,17,16,15,5,69,0.0,1013,21,10,285,10
2020-01-27,23,12,0.0,8.7,5,5,11,08:11 AM,07:38 PM,06:31 AM,05:26 PM,10,17,17,17,16,3,64,0.0,1012,23,10,282,11
2020-01-28,27,14,0.0,8.7,6,6,18,08:47 AM,08:29 PM,06:30 AM,05:27 PM,10,20,20,20,10,21,57,0.0,1012,27,10,165,6
2020-01-29,29,16,0.0,8.7,6,6,26,09:20 AM,09:20 PM,06:30 AM,05:28 PM,12,22,22,22,16,38,56,0.5,1013,29,10,262,10
2020-01-30,24,16,0.0,4.1,5,5,33,09:52 AM,10:09 PM,06:29 AM,05:28 PM,13,19,20,19,15,57,66,3.7,1013,24,10,288,9
2020-01-31,23,13,0.0,8.7,5,5,37,10:23 AM,11:00 PM,06:29 AM,05:29 PM,8,17,17,17,17,0,57,0.0,1014,23,10,281,12
2020-02-01,23,13,0.0,8.7,5,5,49,10:55 AM,11:51 PM,06:29 AM,05:30 PM,8,18,18,18,14,1,54,0.0,1016,23,10,293,9
2020-02-02,21,11,0.0,8.7,5,5,57,11:30 AM,No moonset,06:28 AM,05:31 PM,6,16,16,16,20,0,54,0.0,1018,21,10,282,14
2020-02-03,23,10,0.0,8.7,5,5,64,12:07 PM,12:44 AM,06:28 AM,05:31 PM,6,16,17,16,14,0,53,0.0,1018,23,10,298,10
2020-02-04,26,12,0.0,8.7,5,5,72,12:49 PM,01:39 AM,06:27 AM,05:32 PM,6,18,18,18,8,4,46,0.0,1016,26,10,116,5
2020-02-05,24,12,0.0,8.7,5,5,79,01:36 PM,02:37 AM,06:27 AM,05:33 PM,8,18,18,18,14,9,52,0.0,1014,24,10,287,9
2020-02-06,24,13,0.0,8.7,5,5,87,02:30 PM,03:36 AM,06:26 AM,05:33 PM,8,18,19,18,12,1,54,0.0,1016,24,10,301,9
2020-02-07,23,12,0.0,8.7,5,5,95,03:31 PM,04:35 AM,06:26 AM,05:34 PM,6,18,18,18,6,11,48,0.0,1017,23,10,207,3
2020-02-08,25,14,0.0,8.7,5,5,100,04:35 PM,05:33 AM,06:25 AM,05:35 PM,7,18,18,18,11,29,48,0.0,1018,25,10,320,6
2020-02-09,24,14,0.0,8.7,5,5,100,05:42 PM,06:25 AM,06:25 AM,05:36 PM,5,18,18,18,14,9,44,0.0,1019,24,10,291,10
2020-02-10,25,12,0.0,8.7,5,5,83,06:49 PM,07:15 AM,06:24 AM,05:36 PM,8,18,19,18,16,0,52,0.0,1018,25,10,304,11
2020-02-11,24,12,0.0,8.7,5,5,75,07:56 PM,08:00 AM,06:23 AM,05:37 PM,7,18,18,18,16,0,49,0.0,1018,24,10,289,10
2020-02-12,25,12,0.0,8.7,5,5,68,09:00 PM,08:42 AM,06:23 AM,05:38 PM,7,18,18,18,17,0,50,0.0,1017,25,10,289,11
2020-02-13,26,13,0.0,8.7,6,6,60,10:03 PM,09:22 AM,06:22 AM,05:38 PM,11,19,20,19,15,0,59,0.0,1014,26,10,287,11
2020-02-14,27,15,0.0,8.7,6,6,53,11:06 PM,10:02 AM,06:21 AM,05:39 PM,13,21,21,21,17,1,64,0.0,1010,27,10,285,12
2020-02-15,27,14,0.0,8.7,6,6,45,No moonrise,10:43 AM,06:21 AM,05:39 PM,10,20,20,20,19,7,55,0.0,1012,27,10,283,11
2020-02-16,28,13,0.0,8.7,6,6,38,12:08 AM,11:27 AM,06:20 AM,05:40 PM,11,21,21,21,12,4,54,0.0,1015,28,10,294,8
2020-02-17,28,16,0.0,8.7,6,6,30,01:09 AM,12:12 PM,06:19 AM,05:41 PM,12,22,22,22,14,0,57,0.0,1015,28,10,290,10
2020-02-18,27,16,0.0,8.7,6,6,22,02:08 AM,01:02 PM,06:18 AM,05:41 PM,10,22,22,21,17,0,49,0.0,1014,27,10,288,12
2020-02-19,30,16,0.0,8.7,6,6,15,03:05 AM,01:54 PM,06:18 AM,05:42 PM,5,21,21,22,10,10,36,0.0,1014,30,10,311,6
2020-02-20,29,15,0.0,4.2,5,5,7,03:58 AM,02:48 PM,06:17 AM,05:42 PM,6,22,22,22,9,65,35,0.0,1015,29,10,159,5
2020-02-21,32,17,0.0,8.7,7,7,0,04:46 AM,03:43 PM,06:16 AM,05:43 PM,8,24,24,24,19,14,38,0.0,1017,32,10,75,11
2020-02-22,29,19,0.0,5.7,5,5,0,05:31 AM,04:37 PM,06:15 AM,05:44 PM,10,23,23,23,17,49,45,0.8,1018,29,9,174,10
2020-02-23,32,19,0.0,7.2,6,6,0,06:10 AM,05:31 PM,06:14 AM,05:44 PM,13,26,26,25,12,58,51,2.2,1015,32,10,141,7
2020-02-24,30,19,0.0,8.7,6,6,0,06:46 AM,06:22 PM,06:14 AM,05:45 PM,14,24,24,24,13,40,59,1.9,1012,30,10,115,8
2020-02-25,29,17,0.0,4.2,5,5,8,07:20 AM,07:14 PM,06:13 AM,05:45 PM,14,22,22,22,13,79,64,14.9,1012,29,10,92,8
2020-02-26,26,16,0.0,5.7,5,5,15,07:52 AM,08:04 PM,06:12 AM,05:46 PM,14,21,21,21,10,72,68,4.1,1013,26,10,218,6
2020-02-27,27,17,0.0,8.7,6,6,23,08:23 AM,08:54 PM,06:11 AM,05:46 PM,13,22,22,22,7,7,59,0.0,1014,27,10,309,5
2020-02-28,29,20,0.0,8.7,7,7,30,08:55 AM,09:45 PM,06:10 AM,05:47 PM,12,25,25,24,6,4,46,0.0,1013,29,10,136,4
2020-02-29,31,19,0.0,8.7,7,7,38,09:28 AM,10:36 PM,06:09 AM,05:48 PM,11,25,25,25,7,9,44,0.0,1011,31,10,282,4
2020-03-01,31,21,0.0,8.7,7,7,44,10:03 AM,11:30 PM,06:08 AM,05:48 PM,12,27,27,26,7,7,42,0.0,1011,31,10,242,5
2020-03-02,29,21,0.0,7.2,7,7,51,10:42 AM,No moonset,06:07 AM,05:49 PM,13,26,26,25,10,26,48,0.3,1010,29,10,252,7
2020-03-03,32,20,0.0,8.7,7,7,58,11:26 AM,12:24 AM,06:06 AM,05:49 PM,12,26,26,26,15,23,44,0.3,1009,32,10,291,10
2020-03-04,32,22,0.0,8.7,7,7,65,12:15 PM,01:22 AM,06:06 AM,05:50 PM,10,26,26,26,9,25,37,0.0,1010,32,10,39,6
2020-03-05,32,22,0.0,8.7,7,7,73,01:11 PM,02:19 AM,06:05 AM,05:50 PM,13,27,27,26,13,37,46,0.6,1009,32,10,95,9
2020-03-06,33,21,0.0,8.7,6,6,80,02:12 PM,03:16 AM,06:04 AM,05:51 PM,13,27,27,26,17,39,47,0.7,1010,33,10,118,11
2020-03-07,31,22,0.0,7.2,6,6,87,03:18 PM,04:10 AM,06:03 AM,05:51 PM,16,27,27,25,12,59,59,4.8,1011,31,9,103,8
2020-03-08,30,20,0.0,8.7,7,7,95,04:25 PM,05:01 AM,06:02 AM,05:52 PM,13,25,25,25,18,11,52,0.1,1011,30,10,289,13
2020-03-09,29,18,0.0,8.7,7,7,100,05:33 PM,05:48 AM,06:01 AM,05:52 PM,8,25,25,24,17,0,37,0.0,1010,29,10,286,13
2020-03-10,32,20,0.0,11.5,7,7,100,06:39 PM,06:32 AM,06:00 AM,05:52 PM,7,26,26,26,10,5,31,0.0,1010,32,10,309,7
2020-03-11,32,22,0.0,11.6,7,7,84,07:46 PM,07:14 AM,05:59 AM,05:53 PM,9,27,27,27,13,24,34,0.0,1010,32,10,259,9
2020-03-12,34,23,0.0,8.8,6,6,76,08:51 PM,07:56 AM,05:58 AM,05:53 PM,14,29,29,29,13,41,43,1.8,1011,34,10,281,9
2020-03-13,34,23,0.0,11.6,6,6,69,09:56 PM,08:37 AM,05:57 AM,05:54 PM,14,27,27,27,14,39,47,0.8,1013,34,9,244,10
2020-03-14,22,19,0.0,7.4,5,5,62,11:00 PM,09:22 AM,05:56 AM,05:54 PM,17,21,21,21,15,53,81,30.4,1014,22,8,117,10
2020-03-15,31,19,0.0,11.6,7,7,55,No moonrise,10:08 AM,05:55 AM,05:55 PM,14,25,25,25,12,16,55,0.1,1012,31,10,261,8
