date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,17,0.0,4.1,5,5,37,11:22 AM,11:21 PM,06:55 AM,05:58 PM,16,23,23,22,24,64,71,1.3,1013,27,10,189,16
2020-01-02,27,19,0.0,5.7,5,5,44,11:57 AM,No moonset,06:56 AM,05:59 PM,16,24,24,23,20,66,65,2.8,1015,27,10,206,13
2020-01-03,29,20,0.0,11.4,6,6,51,12:31 PM,12:08 AM,06:56 AM,06:00 PM,12,24,24,24,14,14,51,0.0,1014,29,10,284,9
2020-01-04,26,17,0.0,10.1,5,5,59,01:06 PM,12:55 AM,06:56 AM,06:00 PM,16,22,22,21,15,34,72,0.1,1013,26,9,77,10
2020-01-05,26,17,0.0,11.4,6,6,66,01:43 PM,01:44 AM,06:57 AM,06:01 PM,13,21,21,21,22,18,65,0.0,1014,26,10,75,15
2020-01-06,26,16,0.0,11.4,6,6,73,02:21 PM,02:34 AM,06:57 AM,06:01 PM,13,22,22,22,19,27,60,0.0,1016,26,10,137,13
2020-01-07,28,19,0.0,11.5,6,6,80,03:04 PM,03:27 AM,06:57 AM,06:02 PM,16,25,25,24,15,26,63,0.0,1014,28,10,192,10
2020-01-08,29,20,0.0,5.7,5,5,88,03:52 PM,04:22 AM,06:58 AM,06:03 PM,17,26,26,24,21,59,64,1.5,1012,29,10,220,15
2020-01-09,26,19,0.0,11.5,6,6,95,04:44 PM,05:21 AM,06:58 AM,06:03 PM,13,23,23,22,17,37,55,0.0,1013,26,10,37,12
2020-01-10,25,16,0.0,11.5,6,6,100,05:43 PM,06:20 AM,06:58 AM,06:04 PM,12,20,21,20,23,24,61,0.0,1015,25,10,68,16
2020-01-11,27,16,0.0,11.5,6,6,100,06:44 PM,07:19 AM,06:58 AM,06:05 PM,11,21,22,21,17,24,55,0.0,1016,27,10,95,11
2020-01-12,29,17,0.0,11.5,6,6,83,07:48 PM,08:15 AM,06:58 AM,06:05 PM,8,23,23,23,16,4,42,0.0,1014,29,10,53,11
2020-01-13,30,17,0.0,11.5,6,6,76,08:51 PM,09:07 AM,06:58 AM,06:06 PM,5,24,24,24,12,4,31,0.0,1012,30,10,242,7
2020-01-14,30,19,0.0,11.5,7,7,69,09:52 PM,09:56 AM,06:59 AM,06:06 PM,10,25,25,25,17,7,42,0.0,1012,30,10,182,11
2020-01-15,29,18,0.0,11.5,6,6,61,10:52 PM,10:41 AM,06:59 AM,06:07 PM,10,23,23,23,24,4,47,0.0,1012,29,10,176,16
2020-01-16,28,17,0.0,11.5,6,6,54,11:50 PM,11:24 AM,06:59 AM,06:08 PM,12,23,23,22,22,7,54,0.0,1012,28,10,198,16
2020-01-17,28,15,0.0,11.5,6,6,47,No moonrise,12:06 PM,06:59 AM,06:08 PM,9,22,22,22,16,15,43,0.0,1013,28,10,185,11
2020-01-18,29,18,0.0,11.5,6,6,40,12:47 AM,12:48 PM,06:59 AM,06:09 PM,11,24,24,23,12,17,46,0.0,1013,29,10,190,8
2020-01-19,30,19,0.0,11.5,7,7,32,01:45 AM,01:32 PM,06:59 AM,06:09 PM,13,25,25,24,10,22,53,0.0,1013,30,10,202,7
2020-01-20,30,20,0.0,11.5,7,7,25,02:43 AM,02:18 PM,06:59 AM,06:10 PM,13,25,25,25,12,22,50,0.0,1014,30,10,192,9
2020-01-21,30,20,0.0,11.5,7,7,18,03:41 AM,03:07 PM,06:59 AM,06:11 PM,14,26,26,25,18,24,50,0.0,1014,30,10,192,12
2020-01-22,30,20,0.0,11.5,7,7,11,04:38 AM,03:58 PM,06:59 AM,06:11 PM,12,27,27,26,23,12,48,0.0,1015,30,10,131,16
2020-01-23,31,19,0.0,11.5,7,7,3,05:35 AM,04:52 PM,06:59 AM,06:12 PM,10,26,26,26,19,4,41,0.0,1015,31,10,86,12
2020-01-24,31,20,0.0,11.5,7,7,0,06:27 AM,05:47 PM,06:59 AM,06:13 PM,10,26,26,25,12,4,39,0.0,1014,31,10,66,8
2020-01-25,32,20,0.0,11.5,7,7,0,07:16 AM,06:41 PM,06:59 AM,06:13 PM,10,27,27,26,10,6,39,0.0,1014,32,10,273,7
2020-01-26,33,21,0.0,11.6,7,7,4,08:01 AM,07:34 PM,06:58 AM,06:14 PM,9,28,28,27,16,4,34,0.0,1012,33,10,148,10
2020-01-27,32,21,0.0,11.6,7,7,11,08:42 AM,08:24 PM,06:58 AM,06:14 PM,10,26,26,26,24,10,37,0.0,1011,32,10,210,16
2020-01-28,31,22,0.0,11.6,7,7,18,09:20 AM,09:13 PM,06:58 AM,06:15 PM,8,26,26,26,20,18,35,0.0,1011,31,10,248,14
2020-01-29,30,18,0.0,11.6,6,6,26,09:55 AM,10:01 PM,06:58 AM,06:15 PM,11,24,24,23,18,4,51,0.0,1014,30,10,268,12
2020-01-30,31,18,0.0,11.6,6,6,33,10:30 AM,10:48 PM,06:58 AM,06:16 PM,10,25,25,24,16,3,44,0.0,1013,31,10,247,11
2020-01-31,31,19,0.0,11.6,7,7,37,11:04 AM,11:36 PM,06:57 AM,06:17 PM,9,26,26,25,17,7,41,0.0,1011,31,10,183,12
2020-02-01,32,19,0.0,11.6,7,7,49,11:39 AM,No moonset,06:57 AM,06:17 PM,11,25,25,25,22,11,46,0.0,1011,32,10,204,15
2020-02-02,29,18,0.0,10.2,5,5,57,12:15 PM,12:24 AM,06:57 AM,06:18 PM,14,24,24,23,22,30,56,0.0,1014,29,10,173,15
2020-02-03,29,21,0.0,10.2,6,6,64,12:55 PM,01:15 AM,06:57 AM,06:18 PM,14,26,26,25,18,45,52,0.4,1013,29,10,207,12
2020-02-04,31,21,0.0,11.6,7,7,72,01:40 PM,02:08 AM,06:56 AM,06:19 PM,11,26,26,26,22,31,42,0.0,1012,31,10,198,16
2020-02-05,30,21,0.0,11.6,7,7,79,02:29 PM,03:04 AM,06:56 AM,06:19 PM,10,26,26,25,16,27,38,0.0,1012,30,10,204,12
2020-02-06,32,21,0.0,11.6,7,7,87,03:24 PM,04:02 AM,06:56 AM,06:20 PM,10,26,26,26,18,16,36,0.0,1011,32,10,225,13
2020-02-07,31,19,0.0,11.6,7,7,95,04:24 PM,05:00 AM,06:55 AM,06:20 PM,2,24,24,25,23,8,24,0.0,1012,31,10,226,14
2020-02-08,28,17,0.0,11.6,6,6,100,05:28 PM,05:58 AM,06:55 AM,06:21 PM,13,23,23,22,25,32,58,0.2,1013,28,10,62,17
2020-02-09,27,17,0.0,11.6,6,6,100,06:32 PM,06:54 AM,06:54 AM,06:21 PM,14,22,22,22,27,45,64,0.4,1015,27,10,82,19
