date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,8,1,0.0,3.2,2,2,37,01:34 PM,No moonset,09:56 AM,06:10 PM,5,3,6,3,23,64,89,0.2,1029,8,9,141,15
2020-01-02,10,6,0.0,5.0,2,2,44,01:52 PM,12:46 AM,09:56 AM,06:11 PM,7,6,9,6,32,81,88,0.0,1024,10,10,204,20
2020-01-03,10,9,0.0,3.2,3,3,51,02:10 PM,01:50 AM,09:56 AM,06:12 PM,7,6,10,6,48,92,85,1.0,1023,10,10,272,30
2020-01-04,9,2,0.0,3.2,2,2,59,02:28 PM,02:55 AM,09:56 AM,06:13 PM,4,5,8,5,33,66,75,0.5,1036,9,10,302,21
2020-01-05,9,7,0.0,5.0,2,2,66,02:49 PM,04:01 AM,09:56 AM,06:14 PM,5,6,8,6,19,62,79,0.8,1035,9,10,256,13
2020-01-06,8,2,0.0,6.9,3,3,73,03:12 PM,05:08 AM,09:55 AM,06:15 PM,4,2,6,2,36,26,81,0.6,1026,8,9,199,24
2020-01-07,11,5,0.0,5.1,2,2,80,03:41 PM,06:18 AM,09:55 AM,06:16 PM,8,6,9,6,36,60,91,0.4,1026,11,9,196,22
2020-01-08,11,5,0.0,3.2,3,3,88,04:16 PM,07:28 AM,09:55 AM,06:18 PM,10,8,11,8,34,99,94,5.0,1024,11,6,246,19
2020-01-09,12,9,0.0,3.2,3,3,95,05:03 PM,08:37 AM,09:54 AM,06:19 PM,9,8,11,8,58,93,86,5.2,1012,12,9,204,33
2020-01-10,8,7,0.0,6.9,2,2,100,06:01 PM,09:40 AM,09:54 AM,06:20 PM,4,5,8,5,35,66,78,2.3,1022,8,10,323,23
2020-01-11,8,1,0.0,6.9,3,3,100,07:10 PM,10:33 AM,09:54 AM,06:21 PM,4,3,7,3,41,47,80,0.0,1030,8,10,209,28
2020-01-12,10,8,0.0,5.1,2,2,83,08:27 PM,11:18 AM,09:53 AM,06:23 PM,7,6,9,6,48,71,85,1.0,1023,10,9,244,31
2020-01-13,11,3,0.0,3.3,2,2,76,09:48 PM,11:53 AM,09:52 AM,06:24 PM,6,5,8,5,54,71,83,2.5,1013,11,8,192,33
2020-01-14,12,10,0.0,3.3,3,3,69,11:09 PM,12:21 PM,09:52 AM,06:26 PM,9,7,11,7,68,99,88,19.2,1003,12,6,203,40
2020-01-15,11,3,0.0,3.3,2,2,61,No moonrise,12:46 PM,09:51 AM,06:27 PM,7,6,10,6,59,74,81,9.8,1010,11,8,248,38
2020-01-16,12,8,0.0,8.7,3,3,54,12:29 AM,01:10 PM,09:50 AM,06:29 PM,6,6,9,6,54,29,80,0.1,1018,12,10,173,33
2020-01-17,9,8,0.0,3.3,2,2,47,01:48 AM,01:32 PM,09:50 AM,06:30 PM,5,4,9,4,59,88,80,13.3,1015,9,8,250,39
2020-01-18,8,6,0.0,6.9,2,2,40,03:06 AM,01:55 PM,09:49 AM,06:32 PM,3,4,7,4,29,67,75,4.8,1028,8,10,170,19
2020-01-19,8,6,0.0,8.7,3,3,32,04:22 AM,02:21 PM,09:48 AM,06:33 PM,3,3,7,3,41,34,75,0.1,1042,8,10,31,27
2020-01-20,7,5,0.0,8.7,3,3,25,05:38 AM,02:52 PM,09:47 AM,06:35 PM,2,3,6,3,29,11,76,0.0,1047,7,10,59,18
2020-01-21,6,3,0.0,8.7,2,2,18,06:50 AM,03:30 PM,09:46 AM,06:36 PM,-1,1,4,1,18,15,71,0.0,1042,6,10,75,12
2020-01-22,7,3,0.0,8.7,2,2,11,07:56 AM,04:15 PM,09:45 AM,06:38 PM,-1,1,4,1,23,23,69,0.0,1036,7,10,76,15
2020-01-23,7,3,0.0,8.7,2,2,3,08:54 AM,05:09 PM,09:44 AM,06:39 PM,1,0,5,0,30,1,80,0.0,1030,7,10,68,21
2020-01-24,6,1,0.0,8.7,2,2,0,09:42 AM,06:09 PM,09:43 AM,06:41 PM,-1,1,4,1,15,31,73,0.0,1023,6,10,96,10
