date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,12,7,0.0,6.9,2,2,37,01:30 PM,No moonset,09:36 AM,06:38 PM,7,9,9,9,8,50,84,0.0,1032,12,10,165,5
2020-01-02,12,5,0.0,5.2,2,2,44,01:53 PM,12:56 AM,09:37 AM,06:39 PM,5,7,8,7,10,33,82,0.0,1029,12,10,101,5
2020-01-03,12,6,0.0,3.4,2,2,51,02:15 PM,01:56 AM,09:37 AM,06:40 PM,5,8,8,8,11,75,79,0.1,1032,12,9,219,6
2020-01-04,12,6,0.0,6.9,3,3,59,02:38 PM,02:56 AM,09:37 AM,06:41 PM,7,9,9,9,7,59,90,0.4,1036,12,6,103,4
2020-01-05,11,3,0.0,8.7,3,3,66,03:03 PM,03:57 AM,09:37 AM,06:42 PM,3,5,6,5,9,10,82,0.0,1032,11,7,63,5
2020-01-06,12,2,0.0,8.7,3,3,73,03:32 PM,04:59 AM,09:36 AM,06:43 PM,4,5,7,5,13,18,82,0.0,1029,12,10,249,7
2020-01-07,13,8,0.0,6.9,3,3,80,04:04 PM,06:04 AM,09:36 AM,06:44 PM,7,9,10,9,10,61,84,0.0,1032,13,10,125,6
2020-01-08,15,7,0.0,8.7,4,4,88,04:44 PM,07:10 AM,09:36 AM,06:45 PM,7,10,10,10,8,33,84,0.0,1030,15,10,103,5
2020-01-09,16,7,0.0,6.9,4,4,95,05:33 PM,08:16 AM,09:36 AM,06:46 PM,7,10,11,10,17,37,78,2.7,1024,16,10,192,10
2020-01-10,12,6,0.0,3.4,3,3,100,06:31 PM,09:18 AM,09:36 AM,06:47 PM,6,8,10,8,17,66,81,8.2,1029,12,10,315,10
2020-01-11,10,4,0.0,8.7,3,3,100,07:39 PM,10:13 AM,09:35 AM,06:48 PM,3,5,6,5,10,18,84,0.0,1032,10,10,98,6
2020-01-12,11,3,0.0,6.9,2,2,83,08:52 PM,11:01 AM,09:35 AM,06:49 PM,4,6,6,6,7,29,85,0.0,1031,11,10,214,4
2020-01-13,13,5,0.0,5.2,2,2,76,10:07 PM,11:41 AM,09:35 AM,06:51 PM,3,6,7,6,12,64,73,0.0,1022,13,10,146,6
2020-01-14,15,6,0.0,8.7,4,4,69,11:23 PM,12:15 PM,09:34 AM,06:52 PM,1,8,9,8,9,27,60,0.0,1017,15,10,170,5
2020-01-15,15,6,0.0,8.7,4,4,61,No moonrise,12:45 PM,09:34 AM,06:53 PM,3,9,10,9,15,22,63,0.0,1020,15,10,208,8
2020-01-16,17,8,0.0,8.7,4,4,54,12:37 AM,01:14 PM,09:33 AM,06:54 PM,6,11,12,11,16,9,71,0.0,1022,17,10,153,8
2020-01-17,12,7,0.0,5.2,3,3,47,01:50 AM,01:41 PM,09:33 AM,06:55 PM,6,8,10,8,21,71,78,13.8,1027,12,8,271,13
2020-01-18,10,5,0.0,7.0,2,2,40,03:02 AM,02:10 PM,09:32 AM,06:57 PM,4,5,7,5,17,65,80,3.2,1026,10,9,108,10
2020-01-19,9,5,0.0,8.7,3,3,32,04:13 AM,02:41 PM,09:32 AM,06:58 PM,0,3,6,3,27,36,66,4.2,1030,9,10,41,18
2020-01-20,8,1,0.0,8.7,2,2,25,05:23 AM,03:17 PM,09:31 AM,06:59 PM,-2,1,4,1,22,11,67,0.0,1035,8,10,65,14
2020-01-21,10,1,0.0,3.6,2,2,18,06:31 AM,03:58 PM,09:30 AM,07:01 PM,1,2,5,2,23,70,76,0.0,1031,10,10,71,14
2020-01-22,12,7,0.0,3.6,2,2,11,07:35 AM,04:45 PM,09:30 AM,07:02 PM,6,8,9,8,18,82,79,1.5,1023,12,8,83,11
2020-01-23,10,6,0.0,3.7,2,2,3,08:31 AM,05:40 PM,09:29 AM,07:03 PM,6,7,7,7,9,79,93,2.3,1019,10,4,217,5
2020-01-24,15,6,0.0,8.7,4,4,0,09:21 AM,06:38 PM,09:28 AM,07:04 PM,5,9,10,9,12,31,79,0.0,1021,15,10,128,6
2020-01-25,13,6,0.0,5.3,2,2,0,10:02 AM,07:40 PM,09:27 AM,07:06 PM,5,9,9,9,9,52,77,0.0,1019,13,10,104,5
2020-01-26,13,8,0.0,5.4,3,3,4,10:37 AM,08:42 PM,09:26 AM,07:07 PM,7,9,10,9,10,73,87,3.0,1020,13,9,251,6
2020-01-27,13,7,0.0,5.4,3,3,11,11:07 AM,09:44 PM,09:25 AM,07:08 PM,5,8,10,8,18,75,75,0.5,1017,13,9,222,9
2020-01-28,13,10,0.0,7.0,3,3,18,11:33 AM,10:44 PM,09:25 AM,07:10 PM,8,9,11,9,25,74,82,6.1,1018,13,9,266,16
2020-01-29,14,7,0.0,5.4,3,3,26,11:56 AM,11:44 PM,09:24 AM,07:11 PM,8,10,11,10,11,63,84,3.2,1020,14,10,162,6
2020-01-30,14,12,0.0,3.7,3,3,33,12:18 PM,No moonset,09:23 AM,07:12 PM,11,12,13,12,16,87,89,9.7,1019,14,8,233,9
2020-01-31,19,11,0.0,7.0,4,4,37,12:41 PM,12:43 AM,09:22 AM,07:14 PM,11,14,14,14,11,60,84,1.3,1020,19,7,145,6
2020-02-01,15,12,0.0,3.7,3,3,49,01:04 PM,01:44 AM,09:20 AM,07:15 PM,12,13,14,13,17,72,88,3.8,1020,15,9,255,9
2020-02-02,22,13,0.0,8.7,5,5,57,01:30 PM,02:44 AM,09:19 AM,07:17 PM,12,16,17,16,12,27,77,0.0,1025,22,10,247,6
2020-02-03,21,13,0.0,8.7,5,5,64,02:00 PM,03:47 AM,09:18 AM,07:18 PM,9,16,17,16,11,0,66,0.0,1027,21,10,114,6
2020-02-04,13,10,0.0,5.4,3,3,72,02:35 PM,04:51 AM,09:17 AM,07:19 PM,7,11,12,11,15,75,75,0.3,1031,13,10,326,10
2020-02-05,11,5,0.0,8.7,3,3,79,03:19 PM,05:56 AM,09:16 AM,07:21 PM,3,6,8,6,15,12,75,0.2,1033,11,10,77,10
2020-02-06,14,3,0.0,8.7,3,3,87,04:12 PM,06:59 AM,09:15 AM,07:22 PM,3,6,7,6,15,3,74,0.0,1024,14,10,87,9
2020-02-07,17,6,0.0,8.7,4,4,95,05:15 PM,07:58 AM,09:14 AM,07:23 PM,3,10,11,10,9,14,61,0.0,1021,17,10,124,5
2020-02-08,13,7,0.0,3.8,3,3,100,06:26 PM,08:49 AM,09:12 AM,07:25 PM,7,9,10,9,12,63,83,1.6,1023,13,9,249,7
2020-02-09,17,7,0.0,8.7,4,4,100,07:43 PM,09:34 AM,09:11 AM,07:26 PM,7,11,12,11,16,40,77,0.1,1025,17,8,203,9
2020-02-10,16,10,0.0,7.1,3,3,83,09:01 PM,10:11 AM,09:10 AM,07:27 PM,9,12,14,12,20,68,77,0.2,1026,16,10,276,12
2020-02-11,12,10,0.0,3.8,3,3,75,10:19 PM,10:44 AM,09:08 AM,07:29 PM,10,11,12,11,18,95,88,1.8,1027,12,8,267,12
2020-02-12,15,7,0.0,8.7,3,3,68,11:36 PM,11:15 AM,09:07 AM,07:30 PM,7,10,11,10,8,51,83,0.0,1024,15,10,93,4
2020-02-13,17,8,0.0,5.5,3,3,60,No moonrise,11:43 AM,09:06 AM,07:31 PM,8,12,13,12,19,53,80,0.2,1020,17,10,249,11
2020-02-14,17,9,0.0,8.7,4,4,53,12:50 AM,12:12 PM,09:04 AM,07:33 PM,8,13,14,13,9,30,78,0.0,1026,17,9,257,5
2020-02-15,20,7,0.0,8.7,4,4,45,02:04 AM,12:43 PM,09:03 AM,07:34 PM,8,12,13,12,11,11,75,0.0,1023,20,10,162,6
2020-02-16,22,10,0.0,8.7,5,5,38,03:16 AM,01:18 PM,09:01 AM,07:35 PM,7,15,16,15,11,10,63,0.0,1020,22,10,204,6
2020-02-17,13,8,0.0,6.8,3,3,30,04:24 AM,01:57 PM,09:00 AM,07:37 PM,8,10,11,10,19,61,80,2.7,1026,13,8,272,11
2020-02-18,13,5,0.0,10.8,2,2,22,05:29 AM,02:42 PM,08:58 AM,07:38 PM,5,7,8,7,12,33,79,0.2,1034,13,10,251,7
2020-02-19,13,6,0.0,10.8,4,4,15,06:27 AM,03:34 PM,08:57 AM,07:39 PM,6,8,9,8,13,47,84,0.3,1032,13,10,266,8
2020-02-20,14,5,0.0,10.9,4,4,7,07:18 AM,04:30 PM,08:55 AM,07:41 PM,5,8,9,8,13,9,80,0.0,1026,14,9,265,8
