date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,7.1,4,4,37,11:35 AM,11:16 PM,07:25 AM,05:36 PM,2,11,11,11,9,36,52,0.0,1021,18,10,133,6
2020-01-02,20,9,0.0,8.7,4,4,44,12:05 PM,No moonset,07:25 AM,05:36 PM,4,13,13,13,12,37,54,0.0,1022,20,10,242,6
2020-01-03,20,10,0.0,8.7,4,4,51,12:34 PM,12:08 AM,07:25 AM,05:37 PM,7,14,14,14,10,13,65,0.0,1018,20,10,324,6
2020-01-04,20,10,0.0,8.7,5,5,59,01:04 PM,01:01 AM,07:25 AM,05:38 PM,6,14,14,14,7,7,63,0.0,1017,20,10,305,4
2020-01-05,18,10,0.0,7.1,3,3,66,01:35 PM,01:55 AM,07:25 AM,05:39 PM,5,13,13,13,16,35,60,0.0,1017,18,10,329,10
2020-01-06,13,4,0.0,3.8,3,3,73,02:08 PM,02:51 AM,07:26 AM,05:39 PM,6,9,11,9,17,75,72,9.7,1019,13,9,117,11
2020-01-07,13,11,0.0,3.8,3,3,80,02:46 PM,03:49 AM,07:26 AM,05:40 PM,12,12,12,12,9,97,97,37.3,1017,13,7,119,6
2020-01-08,17,9,0.0,5.4,3,3,88,03:30 PM,04:48 AM,07:26 AM,05:41 PM,9,11,11,11,9,77,86,1.9,1016,17,6,152,6
2020-01-09,17,8,0.0,8.7,4,4,95,04:20 PM,05:50 AM,07:26 AM,05:42 PM,6,11,12,11,14,1,71,0.0,1019,17,10,324,10
2020-01-10,17,6,0.0,8.7,4,4,100,05:18 PM,06:50 AM,07:26 AM,05:43 PM,3,9,10,9,20,18,62,0.0,1019,17,10,317,12
2020-01-11,17,7,0.0,8.7,3,3,100,06:21 PM,07:49 AM,07:26 AM,05:43 PM,1,9,11,9,18,45,53,0.0,1018,17,10,312,10
2020-01-12,20,11,0.0,8.7,5,5,83,07:29 PM,08:42 AM,07:26 AM,05:44 PM,6,14,14,14,14,32,56,0.0,1015,20,10,295,8
2020-01-13,14,10,0.0,3.8,3,3,76,08:36 PM,09:30 AM,07:26 AM,05:45 PM,9,11,12,11,23,70,85,22.5,1011,14,9,149,13
2020-01-14,17,9,0.0,8.7,4,4,69,09:44 PM,10:13 AM,07:26 AM,05:46 PM,9,12,12,12,11,11,82,0.0,1016,17,10,326,8
2020-01-15,17,8,0.0,7.1,3,3,61,10:50 PM,10:52 AM,07:25 AM,05:47 PM,8,11,12,11,12,36,81,0.2,1017,17,10,305,7
2020-01-16,16,9,0.0,7.1,3,3,54,11:55 PM,11:29 AM,07:25 AM,05:48 PM,10,12,12,12,10,51,87,4.8,1015,16,9,249,6
2020-01-17,18,9,0.0,8.7,3,3,47,No moonrise,12:04 PM,07:25 AM,05:48 PM,10,13,13,13,7,59,83,1.1,1017,18,9,176,4
2020-01-18,21,9,0.0,8.7,4,4,40,12:59 AM,12:40 PM,07:25 AM,05:49 PM,9,13,13,13,7,28,78,0.0,1018,21,10,211,5
2020-01-19,18,9,0.0,8.7,4,4,32,02:02 AM,01:19 PM,07:25 AM,05:50 PM,9,12,12,12,14,14,80,0.0,1018,18,10,323,9
2020-01-20,18,9,0.0,7.1,3,3,25,03:05 AM,02:00 PM,07:24 AM,05:51 PM,5,12,12,12,16,62,60,0.0,1017,18,10,301,9
2020-01-21,18,10,0.0,8.7,4,4,18,04:08 AM,02:45 PM,07:24 AM,05:52 PM,7,12,13,12,17,35,69,0.0,1019,18,10,28,10
2020-01-22,19,8,0.0,8.7,4,4,11,05:08 AM,03:34 PM,07:24 AM,05:53 PM,7,12,13,12,20,3,69,0.0,1021,19,10,318,12
2020-01-23,17,7,0.0,8.7,4,4,3,06:05 AM,04:27 PM,07:23 AM,05:54 PM,5,10,11,10,21,0,67,0.0,1018,17,10,314,13
2020-01-24,18,7,0.0,8.7,4,4,0,06:57 AM,05:24 PM,07:23 AM,05:55 PM,4,10,12,10,21,2,61,0.0,1014,18,10,311,12
2020-01-25,19,6,0.0,8.7,4,4,0,07:44 AM,06:20 PM,07:23 AM,05:55 PM,4,12,12,12,10,21,58,0.0,1015,19,10,320,6
2020-01-26,20,9,0.0,8.7,5,5,4,08:25 AM,07:17 PM,07:22 AM,05:56 PM,9,14,14,14,14,9,71,0.0,1013,20,10,319,8
2020-01-27,20,9,0.0,5.5,4,4,11,09:02 AM,08:12 PM,07:22 AM,05:57 PM,9,14,14,14,13,64,74,1.0,1011,20,10,145,8
2020-01-28,14,12,0.0,3.9,3,3,18,09:35 AM,09:07 PM,07:21 AM,05:58 PM,11,11,13,11,25,80,92,19.9,1010,14,9,118,16
2020-01-29,18,10,0.0,5.5,3,3,26,10:05 AM,10:00 PM,07:21 AM,05:59 PM,10,12,13,12,12,54,83,2.7,1016,18,9,229,7
2020-01-30,17,9,0.0,10.8,4,4,33,10:34 AM,10:52 PM,07:20 AM,06:00 PM,9,12,13,12,17,1,79,0.0,1017,17,10,314,11
2020-01-31,20,9,0.0,10.8,4,4,37,11:03 AM,11:45 PM,07:20 AM,06:01 PM,8,12,13,12,10,5,75,0.0,1014,20,10,295,7
2020-02-01,18,8,0.0,10.8,4,4,49,11:33 AM,No moonset,07:19 AM,06:02 PM,8,13,13,13,9,7,72,0.0,1018,18,10,321,6
2020-02-02,19,9,0.0,10.8,4,4,57,12:05 PM,12:39 AM,07:18 AM,06:02 PM,9,13,13,13,14,0,76,0.0,1019,19,10,319,10
2020-02-03,21,8,0.0,10.9,5,5,64,12:40 PM,01:35 AM,07:18 AM,06:03 PM,8,14,14,14,10,0,70,0.0,1017,21,10,318,7
2020-02-04,19,10,0.0,10.9,4,4,72,01:20 PM,02:32 AM,07:17 AM,06:04 PM,7,12,13,12,12,32,71,0.3,1017,19,10,129,7
2020-02-05,19,9,0.0,10.9,4,4,79,02:06 PM,03:32 AM,07:16 AM,06:05 PM,8,12,13,12,16,2,72,0.0,1017,19,10,314,10
2020-02-06,20,9,0.0,10.9,4,4,87,02:59 PM,04:32 AM,07:16 AM,06:06 PM,7,13,13,13,10,3,67,0.0,1015,20,10,307,6
2020-02-07,20,8,0.0,10.9,4,4,95,04:00 PM,05:31 AM,07:15 AM,06:07 PM,7,13,14,13,8,22,68,0.2,1018,20,10,327,6
2020-02-08,21,10,0.0,10.9,5,5,100,05:06 PM,06:27 AM,07:14 AM,06:08 PM,9,15,16,15,11,0,70,0.0,1020,21,10,326,8
2020-02-09,23,9,0.0,11.0,5,5,100,06:15 PM,07:19 AM,07:13 AM,06:08 PM,9,15,16,15,9,0,69,0.0,1020,23,10,325,6
2020-02-10,21,10,0.0,11.0,5,5,83,07:26 PM,08:05 AM,07:13 AM,06:09 PM,8,15,16,15,12,8,69,0.0,1018,21,10,318,8
