date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,23,0.0,10.2,6,6,37,11:10 AM,11:19 PM,06:34 AM,06:07 PM,21,28,28,26,15,32,76,0.1,1013,30,10,69,11
2020-01-02,30,23,0.0,8.7,6,6,44,11:48 AM,No moonset,06:34 AM,06:08 PM,22,29,29,26,14,57,77,0.6,1014,30,10,58,10
2020-01-03,31,23,0.0,8.7,6,6,51,12:25 PM,12:03 AM,06:35 AM,06:08 PM,22,30,30,27,14,54,76,1.0,1013,31,10,80,9
2020-01-04,31,24,0.0,7.3,6,6,59,01:03 PM,12:47 AM,06:35 AM,06:09 PM,22,30,30,27,12,60,75,0.5,1011,31,10,81,8
2020-01-05,31,24,0.0,8.7,6,6,66,01:43 PM,01:33 AM,06:35 AM,06:10 PM,22,29,29,27,15,61,76,1.3,1011,31,10,73,11
2020-01-06,30,23,0.0,7.3,6,6,73,02:24 PM,02:19 AM,06:36 AM,06:10 PM,21,29,29,26,18,56,76,1.3,1013,30,10,57,13
2020-01-07,31,23,0.0,7.3,6,6,80,03:10 PM,03:10 AM,06:36 AM,06:11 PM,21,28,28,26,21,55,74,0.4,1013,31,10,47,15
2020-01-08,30,22,0.0,11.6,7,7,88,03:59 PM,04:02 AM,06:36 AM,06:11 PM,20,27,27,26,17,15,72,0.0,1013,30,10,44,13
2020-01-09,30,21,0.0,11.6,7,7,95,04:54 PM,04:59 AM,06:37 AM,06:12 PM,19,27,27,25,15,13,71,0.0,1013,30,10,39,12
2020-01-10,29,23,0.0,11.6,7,7,100,05:52 PM,05:57 AM,06:37 AM,06:12 PM,19,27,27,25,16,5,69,0.0,1013,29,10,38,13
2020-01-11,30,20,0.0,11.6,7,7,100,06:53 PM,06:56 AM,06:37 AM,06:13 PM,18,26,26,25,20,3,69,0.0,1013,30,10,37,14
2020-01-12,29,20,0.0,11.6,7,7,83,07:55 PM,07:54 AM,06:38 AM,06:13 PM,18,26,26,25,18,32,69,0.5,1013,29,10,27,13
2020-01-13,30,21,0.0,11.6,6,6,76,08:54 PM,08:49 AM,06:38 AM,06:14 PM,19,27,27,25,15,27,71,0.1,1012,30,10,30,11
2020-01-14,31,21,0.0,11.6,7,7,69,09:53 PM,09:41 AM,06:38 AM,06:14 PM,18,28,28,25,14,22,66,0.0,1012,31,10,48,10
2020-01-15,30,22,0.0,11.6,7,7,61,10:48 PM,10:30 AM,06:38 AM,06:15 PM,17,27,27,25,15,3,63,0.0,1012,30,10,41,12
2020-01-16,31,21,0.0,11.6,7,7,54,11:43 PM,11:17 AM,06:39 AM,06:15 PM,17,27,27,26,13,8,63,0.0,1012,31,10,51,10
2020-01-17,30,22,0.0,10.2,7,7,47,No moonrise,12:02 PM,06:39 AM,06:16 PM,19,28,28,26,14,34,68,0.1,1012,30,10,56,10
2020-01-18,31,23,0.0,5.9,6,6,40,12:36 AM,12:48 PM,06:39 AM,06:16 PM,21,29,29,26,20,64,75,1.7,1011,31,10,69,14
2020-01-19,30,23,0.0,7.3,6,6,32,01:31 AM,01:35 PM,06:39 AM,06:17 PM,20,28,28,26,20,49,73,0.2,1012,30,10,43,14
2020-01-20,32,22,0.0,11.6,7,7,25,02:25 AM,02:24 PM,06:39 AM,06:17 PM,19,28,28,26,18,20,68,0.0,1013,32,10,44,13
2020-01-21,31,22,0.0,11.6,7,7,18,03:21 AM,03:15 PM,06:39 AM,06:18 PM,19,28,28,26,21,9,67,0.0,1014,31,10,48,15
2020-01-22,30,22,0.0,11.6,7,7,11,04:17 AM,04:08 PM,06:40 AM,06:18 PM,20,28,28,26,22,29,71,0.0,1014,30,10,39,16
2020-01-23,30,24,0.0,8.7,6,6,3,05:12 AM,05:02 PM,06:40 AM,06:18 PM,20,29,29,27,22,49,70,0.6,1013,30,10,50,16
2020-01-24,31,22,0.0,11.6,7,7,0,06:05 AM,05:56 PM,06:40 AM,06:19 PM,19,28,28,26,20,15,68,0.0,1013,31,10,48,15
2020-01-25,32,22,0.0,11.6,7,7,0,06:55 AM,06:48 PM,06:40 AM,06:19 PM,16,28,28,27,16,0,59,0.0,1013,32,10,39,12
