date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,13,0.0,8.7,4,4,37,11:00 AM,10:46 PM,06:45 AM,05:13 PM,5,17,17,17,7,46,46,0.0,1022,23,10,119,4
2020-01-02,23,14,0.0,4.0,4,4,44,11:32 AM,11:38 PM,06:45 AM,05:14 PM,9,18,18,18,13,64,59,3.2,1022,23,10,111,7
2020-01-03,17,14,0.0,4.0,4,4,51,12:03 PM,No moonset,06:45 AM,05:14 PM,12,15,15,15,17,78,80,14.7,1019,17,9,104,10
2020-01-04,21,13,0.0,7.1,5,5,59,12:34 PM,12:28 AM,06:46 AM,05:15 PM,11,16,16,16,7,54,73,1.0,1016,21,10,239,5
2020-01-05,20,12,0.0,8.7,5,5,66,01:07 PM,01:21 AM,06:46 AM,05:16 PM,10,15,15,15,10,4,72,0.0,1016,20,10,260,7
2020-01-06,20,12,0.0,8.7,5,5,73,01:42 PM,02:14 AM,06:46 AM,05:17 PM,9,15,15,15,6,10,68,0.0,1018,20,10,126,4
2020-01-07,20,12,0.0,8.7,5,5,80,02:21 PM,03:10 AM,06:46 AM,05:17 PM,9,16,16,16,6,40,67,0.0,1017,20,10,232,3
2020-01-08,18,14,0.0,7.1,4,4,88,03:06 PM,04:09 AM,06:46 AM,05:18 PM,10,16,16,16,13,59,68,0.4,1016,18,9,69,8
2020-01-09,17,13,0.0,4.0,4,4,95,03:57 PM,05:09 AM,06:46 AM,05:19 PM,12,15,15,15,13,60,83,7.9,1017,17,10,274,8
2020-01-10,20,11,0.0,8.7,5,5,100,04:55 PM,06:09 AM,06:47 AM,05:20 PM,10,14,14,14,10,22,79,0.0,1018,20,10,250,6
2020-01-11,20,11,0.0,8.7,5,5,100,05:58 PM,07:08 AM,06:47 AM,05:20 PM,10,14,14,14,10,6,74,0.0,1018,20,10,249,7
2020-01-12,21,13,0.0,8.7,5,5,83,07:03 PM,08:02 AM,06:47 AM,05:21 PM,11,16,16,16,8,1,72,0.0,1016,21,10,248,6
2020-01-13,24,13,0.0,8.7,5,5,76,08:10 PM,08:52 AM,06:47 AM,05:22 PM,12,18,18,18,5,1,72,0.0,1014,24,10,186,4
2020-01-14,24,14,0.0,8.7,5,5,69,09:16 PM,09:37 AM,06:47 AM,05:23 PM,11,18,18,18,6,5,68,0.0,1015,24,10,253,4
2020-01-15,24,14,0.0,8.7,5,5,61,10:19 PM,10:17 AM,06:47 AM,05:24 PM,12,18,18,18,9,10,70,0.0,1016,24,10,254,6
2020-01-16,21,9,0.0,5.6,4,4,54,11:22 PM,10:56 AM,06:46 AM,05:24 PM,12,15,16,15,13,59,80,8.8,1016,21,8,55,8
2020-01-17,21,15,0.0,4.0,4,4,47,No moonrise,11:34 AM,06:46 AM,05:25 PM,13,17,17,17,20,71,81,16.7,1018,21,9,52,11
2020-01-18,25,14,0.0,8.7,4,4,40,12:24 AM,12:12 PM,06:46 AM,05:26 PM,12,18,19,18,11,22,67,0.1,1018,25,10,232,7
2020-01-19,22,13,0.0,8.7,5,5,32,01:26 AM,12:52 PM,06:46 AM,05:27 PM,11,17,17,17,11,4,71,0.0,1017,22,10,252,7
2020-01-20,22,12,0.0,8.7,5,5,25,02:27 AM,01:35 PM,06:46 AM,05:28 PM,11,15,16,15,9,7,76,0.0,1018,22,10,238,6
2020-01-21,21,12,0.0,8.7,5,5,18,03:28 AM,02:21 PM,06:46 AM,05:28 PM,10,15,16,15,7,34,72,0.0,1019,21,10,222,5
2020-01-22,22,14,0.0,8.7,5,5,11,04:27 AM,03:11 PM,06:45 AM,05:29 PM,12,17,17,17,9,0,71,0.0,1018,22,10,253,7
2020-01-23,21,12,0.0,8.7,5,5,3,05:24 AM,04:04 PM,06:45 AM,05:30 PM,10,15,15,15,14,1,73,0.0,1015,21,10,246,9
2020-01-24,20,10,0.0,8.7,5,5,0,06:16 AM,05:00 PM,06:45 AM,05:31 PM,10,15,15,15,8,2,74,0.0,1016,20,10,155,6
2020-01-25,21,11,0.0,8.7,5,5,0,07:04 AM,05:56 PM,06:45 AM,05:32 PM,10,15,16,15,6,4,71,0.0,1016,21,10,208,4
2020-01-26,21,12,0.0,8.7,5,5,4,07:47 AM,06:51 PM,06:44 AM,05:32 PM,10,16,15,16,7,9,73,0.0,1014,21,10,236,4
2020-01-27,22,11,0.0,8.7,5,5,11,08:24 AM,07:46 PM,06:44 AM,05:33 PM,12,16,16,16,5,22,77,0.0,1013,22,10,241,4
2020-01-28,24,13,0.0,8.7,5,5,18,08:59 AM,08:38 PM,06:44 AM,05:34 PM,12,18,18,18,11,10,70,0.0,1014,24,10,138,7
2020-01-29,25,15,0.0,8.7,6,6,26,09:32 AM,09:29 PM,06:43 AM,05:35 PM,12,19,19,19,9,30,66,0.6,1016,25,10,163,6
2020-01-30,22,13,0.0,8.7,4,4,33,10:02 AM,10:20 PM,06:43 AM,05:35 PM,11,17,17,17,14,26,70,1.1,1015,22,10,241,8
2020-01-31,22,11,0.0,8.7,5,5,37,10:33 AM,11:11 PM,06:42 AM,05:36 PM,10,16,16,16,11,5,69,0.0,1015,22,10,236,7
2020-02-01,21,11,0.0,8.7,5,5,49,11:04 AM,No moonset,06:42 AM,05:37 PM,9,16,16,16,9,23,65,0.0,1017,21,10,239,5
2020-02-02,22,11,0.0,8.7,5,5,57,11:38 AM,12:03 AM,06:41 AM,05:38 PM,9,15,15,15,11,2,66,0.0,1019,22,10,227,7
2020-02-03,22,12,0.0,8.7,5,5,64,12:14 PM,12:57 AM,06:41 AM,05:39 PM,9,16,16,16,7,1,67,0.0,1018,22,10,242,5
2020-02-04,24,12,0.0,8.7,5,5,72,12:55 PM,01:53 AM,06:40 AM,05:39 PM,10,17,17,17,6,1,66,0.0,1017,24,10,207,4
2020-02-05,22,13,0.0,8.7,5,5,79,01:43 PM,02:51 AM,06:40 AM,05:40 PM,10,17,17,17,12,1,66,0.0,1015,22,10,250,8
2020-02-06,22,10,0.0,8.7,5,5,87,02:36 PM,03:51 AM,06:39 AM,05:41 PM,10,16,16,16,7,6,69,0.0,1017,22,10,213,5
2020-02-07,24,13,0.0,8.7,5,5,95,03:37 PM,04:50 AM,06:38 AM,05:42 PM,9,17,18,17,8,6,63,0.0,1019,24,10,203,5
2020-02-08,22,11,0.0,8.7,5,5,100,04:42 PM,05:47 AM,06:38 AM,05:42 PM,7,16,16,16,9,13,58,0.0,1021,22,10,205,5
2020-02-09,24,12,0.0,8.7,5,5,100,05:50 PM,06:39 AM,06:37 AM,05:43 PM,9,17,18,17,8,3,58,0.0,1022,24,10,236,5
2020-02-10,23,13,0.0,8.7,5,5,83,06:58 PM,07:28 AM,06:36 AM,05:44 PM,9,17,17,17,9,1,61,0.0,1019,23,10,244,6
2020-02-11,23,13,0.0,8.7,5,5,75,08:05 PM,08:12 AM,06:36 AM,05:45 PM,9,17,17,17,9,4,62,0.0,1018,23,10,235,6
2020-02-12,24,12,0.0,8.7,5,5,68,09:11 PM,08:53 AM,06:35 AM,05:45 PM,10,17,17,17,8,4,66,0.0,1018,24,10,226,5
