date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,18,0.0,7.2,5,5,37,11:15 AM,11:16 PM,06:47 AM,05:56 PM,17,24,24,23,23,71,75,1.5,1015,29,10,130,16
2020-01-02,28,20,0.0,8.7,5,5,44,11:51 AM,No moonset,06:47 AM,05:57 PM,18,25,25,23,19,65,73,0.6,1015,28,10,114,14
2020-01-03,29,20,0.0,4.2,6,6,51,12:26 PM,12:02 AM,06:47 AM,05:57 PM,17,25,25,24,11,49,66,1.9,1013,29,10,207,8
2020-01-04,29,21,0.0,8.7,6,6,59,01:01 PM,12:49 AM,06:48 AM,05:58 PM,16,25,25,24,14,17,63,0.0,1012,29,10,160,9
2020-01-05,28,20,0.0,8.7,6,6,66,01:38 PM,01:37 AM,06:48 AM,05:58 PM,16,24,24,23,23,29,67,0.0,1013,28,10,88,16
2020-01-06,27,19,0.0,8.7,6,6,73,02:17 PM,02:26 AM,06:48 AM,05:59 PM,16,24,24,23,22,41,69,0.3,1016,27,10,104,16
2020-01-07,28,19,0.0,5.7,5,5,80,03:01 PM,03:19 AM,06:49 AM,05:59 PM,18,25,25,23,18,70,74,1.4,1015,28,10,110,13
2020-01-08,29,19,0.0,10.1,5,5,88,03:49 PM,04:13 AM,06:49 AM,06:00 PM,18,24,24,23,16,61,73,0.3,1013,29,8,186,11
2020-01-09,28,19,0.0,11.5,5,5,95,04:42 PM,05:12 AM,06:49 AM,06:01 PM,17,25,25,24,12,31,68,0.1,1013,28,10,242,8
2020-01-10,28,20,0.0,10.1,6,6,100,05:40 PM,06:10 AM,06:49 AM,06:01 PM,17,24,24,23,22,40,70,0.1,1014,28,10,94,15
2020-01-11,28,18,0.0,11.5,6,6,100,06:41 PM,07:10 AM,06:50 AM,06:02 PM,15,23,23,23,20,10,62,0.0,1015,28,10,100,14
2020-01-12,28,18,0.0,11.5,6,6,83,07:45 PM,08:06 AM,06:50 AM,06:02 PM,12,23,23,22,17,3,55,0.0,1014,28,10,107,11
2020-01-13,29,18,0.0,11.5,6,6,76,08:47 PM,08:59 AM,06:50 AM,06:03 PM,11,24,24,23,11,3,49,0.0,1012,29,10,234,7
2020-01-14,29,18,0.0,11.5,6,6,69,09:48 PM,09:49 AM,06:50 AM,06:04 PM,11,24,24,23,18,3,49,0.0,1012,29,10,120,11
2020-01-15,29,18,0.0,11.5,6,6,61,10:46 PM,10:34 AM,06:50 AM,06:04 PM,12,22,22,22,19,4,57,0.0,1013,29,10,114,13
2020-01-16,27,17,0.0,11.6,6,6,54,11:44 PM,11:18 AM,06:50 AM,06:05 PM,13,22,22,22,18,5,59,0.0,1013,27,10,174,12
