date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,33,22,0.0,10.2,6,6,37,11:19 AM,11:27 PM,06:44 AM,06:14 PM,22,29,29,26,5,37,81,2.1,1013,33,10,250,3
2020-01-02,33,22,0.0,8.7,6,6,44,11:57 AM,No moonset,06:45 AM,06:14 PM,22,30,30,27,5,48,80,1.3,1014,33,10,275,3
2020-01-03,35,22,0.0,11.6,7,7,51,12:34 PM,12:11 AM,06:45 AM,06:15 PM,22,31,31,27,5,20,77,0.1,1013,35,10,261,3
2020-01-04,34,23,0.0,11.6,6,6,59,01:11 PM,12:56 AM,06:45 AM,06:15 PM,23,31,31,27,6,39,78,0.3,1012,34,10,271,4
2020-01-05,34,22,0.0,8.7,6,6,66,01:50 PM,01:42 AM,06:46 AM,06:16 PM,22,30,30,27,5,54,77,0.6,1011,34,8,241,3
2020-01-06,35,22,0.0,10.2,6,6,73,02:31 PM,02:29 AM,06:46 AM,06:16 PM,22,31,31,27,3,43,74,0.6,1013,35,10,218,2
2020-01-07,36,22,0.0,11.6,8,8,80,03:17 PM,03:19 AM,06:46 AM,06:17 PM,21,31,31,28,5,11,68,0.0,1013,36,10,178,3
2020-01-08,35,22,0.0,11.6,7,7,88,04:06 PM,04:12 AM,06:47 AM,06:17 PM,20,30,30,27,5,29,69,0.2,1012,35,10,235,4
2020-01-09,36,22,0.0,11.6,7,7,95,05:00 PM,05:09 AM,06:47 AM,06:18 PM,20,30,30,27,5,21,70,0.0,1012,36,10,228,4
2020-01-10,35,23,0.0,11.6,7,7,100,05:59 PM,06:08 AM,06:47 AM,06:18 PM,20,30,30,28,5,12,68,0.0,1012,35,10,215,4
2020-01-11,37,23,0.0,11.6,8,8,100,07:00 PM,07:07 AM,06:48 AM,06:19 PM,20,31,31,29,4,1,62,0.0,1013,37,10,196,3
2020-01-12,36,22,0.0,11.6,7,7,83,08:01 PM,08:05 AM,06:48 AM,06:19 PM,17,30,30,28,5,2,59,0.0,1013,36,10,243,4
2020-01-13,35,21,0.0,11.6,7,7,76,09:02 PM,08:59 AM,06:48 AM,06:20 PM,19,30,30,27,5,7,65,0.0,1011,35,10,231,4
2020-01-14,36,21,0.0,11.6,7,7,69,10:00 PM,09:51 AM,06:48 AM,06:21 PM,19,29,29,27,6,17,67,0.0,1011,36,10,233,4
2020-01-15,35,21,0.0,11.6,7,7,61,10:56 PM,10:39 AM,06:49 AM,06:21 PM,19,30,30,27,6,9,68,0.0,1011,35,10,226,4
2020-01-16,35,20,0.0,11.6,7,7,54,11:51 PM,11:25 AM,06:49 AM,06:22 PM,18,28,28,27,6,17,64,0.0,1012,35,10,222,4
2020-01-17,35,21,0.0,11.6,7,7,47,No moonrise,12:10 PM,06:49 AM,06:22 PM,19,29,29,27,6,8,65,0.0,1012,35,10,240,4
2020-01-18,37,22,0.0,11.6,8,8,40,12:45 AM,12:56 PM,06:49 AM,06:23 PM,20,30,30,28,4,19,66,0.0,1011,37,10,242,3
2020-01-19,36,22,0.0,10.2,6,6,32,01:40 AM,01:42 PM,06:49 AM,06:23 PM,21,30,30,28,5,44,71,1.0,1012,36,10,244,4
2020-01-20,38,22,0.0,11.6,8,8,25,02:35 AM,02:31 PM,06:49 AM,06:24 PM,21,32,32,29,4,29,67,0.2,1012,38,10,232,3
2020-01-21,38,23,0.0,11.6,8,8,18,03:31 AM,03:22 PM,06:49 AM,06:24 PM,20,31,31,29,5,19,63,0.1,1013,38,10,222,3
2020-01-22,39,23,0.0,11.6,8,8,11,04:27 AM,04:14 PM,06:50 AM,06:24 PM,19,32,32,30,5,4,58,0.0,1013,39,10,178,3
2020-01-23,38,25,0.0,11.6,8,8,3,05:23 AM,05:09 PM,06:50 AM,06:25 PM,20,33,33,31,4,6,59,0.0,1012,38,10,168,3
2020-01-24,39,23,0.0,11.6,8,8,0,06:16 AM,06:02 PM,06:50 AM,06:25 PM,18,33,33,31,5,4,56,0.0,1013,39,10,188,3
2020-01-25,39,23,0.0,11.6,8,8,0,07:06 AM,06:55 PM,06:50 AM,06:26 PM,18,33,33,31,4,1,54,0.0,1013,39,10,233,3
2020-01-26,37,22,0.0,11.6,8,8,4,07:52 AM,07:46 PM,06:50 AM,06:26 PM,17,30,30,28,6,1,55,0.0,1012,37,10,247,5
2020-01-27,37,23,0.0,11.6,8,8,11,08:35 AM,08:34 PM,06:50 AM,06:27 PM,19,30,30,28,6,17,64,0.2,1012,37,10,249,5
2020-01-28,36,21,0.0,11.6,7,7,18,09:16 AM,09:20 PM,06:50 AM,06:27 PM,21,31,31,28,6,24,73,0.6,1013,36,10,277,5
2020-01-29,36,20,0.0,11.6,8,8,26,09:54 AM,10:05 PM,06:50 AM,06:28 PM,21,31,31,28,7,11,70,0.0,1013,36,10,251,5
2020-01-30,37,21,0.0,11.6,8,8,33,10:31 AM,10:50 PM,06:50 AM,06:28 PM,21,32,32,29,6,4,69,0.0,1012,37,10,251,5
2020-01-31,36,22,0.0,11.6,8,8,37,11:08 AM,11:35 PM,06:50 AM,06:28 PM,20,31,31,28,6,10,69,0.0,1011,36,10,248,5
2020-02-01,36,21,0.0,11.6,7,7,49,11:46 AM,No moonset,06:49 AM,06:29 PM,20,30,30,27,6,28,71,0.4,1012,36,10,234,5
2020-02-02,36,21,0.0,11.6,8,8,57,12:25 PM,12:20 AM,06:49 AM,06:29 PM,20,30,30,28,5,28,69,0.7,1013,36,10,202,4
2020-02-03,37,22,0.0,11.6,8,8,64,01:07 PM,01:09 AM,06:49 AM,06:29 PM,19,31,31,29,6,10,64,0.0,1013,37,10,238,4
2020-02-04,37,21,0.0,11.6,8,8,72,01:54 PM,01:59 AM,06:49 AM,06:30 PM,19,30,30,28,6,7,64,0.0,1012,37,10,233,5
2020-02-05,37,21,0.0,11.6,8,8,79,02:44 PM,02:53 AM,06:49 AM,06:30 PM,20,31,31,29,5,16,66,0.0,1012,37,10,249,4
2020-02-06,35,21,0.0,11.6,7,7,87,03:40 PM,03:50 AM,06:49 AM,06:30 PM,21,31,31,28,6,28,71,0.0,1013,35,10,265,5
2020-02-07,35,21,0.0,11.6,7,7,95,04:40 PM,04:48 AM,06:49 AM,06:31 PM,20,30,30,27,7,18,71,0.0,1013,35,10,249,5
2020-02-08,37,21,0.0,11.6,8,8,100,05:42 PM,05:48 AM,06:48 AM,06:31 PM,20,31,31,28,7,5,69,0.0,1014,37,10,260,6
2020-02-09,36,20,0.0,11.6,8,8,100,06:44 PM,06:44 AM,06:48 AM,06:31 PM,19,30,30,28,6,11,65,0.0,1013,36,10,257,5
2020-02-10,39,21,0.0,11.6,8,8,83,07:46 PM,07:39 AM,06:48 AM,06:32 PM,19,32,32,29,5,7,61,0.0,1013,39,10,217,4
2020-02-11,40,21,0.0,11.6,8,8,75,08:45 PM,08:30 AM,06:48 AM,06:32 PM,19,33,33,31,4,8,59,0.0,1013,40,10,157,3
2020-02-12,39,24,0.0,11.6,8,8,68,09:43 PM,09:19 AM,06:47 AM,06:32 PM,19,33,33,31,4,3,58,0.0,1014,39,10,260,3
2020-02-13,39,22,0.0,11.6,8,8,60,10:39 PM,10:06 AM,06:47 AM,06:33 PM,20,33,33,30,6,8,62,0.0,1013,39,10,237,4
2020-02-14,40,22,0.0,11.6,8,8,53,11:35 PM,10:53 AM,06:47 AM,06:33 PM,19,32,32,30,7,12,63,0.0,1012,40,9,269,5
2020-02-15,39,22,0.0,11.6,8,8,45,No moonrise,11:40 AM,06:47 AM,06:33 PM,21,32,32,29,7,23,69,0.0,1012,39,8,247,5
2020-02-16,39,22,0.0,11.6,8,8,38,12:31 AM,12:28 PM,06:46 AM,06:33 PM,20,32,32,30,6,8,65,0.0,1013,39,9,238,5
2020-02-17,41,23,0.0,11.6,8,8,30,01:27 AM,01:19 PM,06:46 AM,06:33 PM,19,34,34,32,5,1,57,0.0,1013,41,10,224,4
2020-02-18,40,23,0.0,11.6,8,8,22,02:23 AM,02:11 PM,06:46 AM,06:34 PM,18,32,32,31,6,1,55,0.0,1013,40,10,250,5
2020-02-19,39,22,0.0,11.6,8,8,15,03:18 AM,03:04 PM,06:45 AM,06:34 PM,19,32,32,30,6,2,58,0.0,1013,39,10,233,5
2020-02-20,42,23,0.0,11.6,8,8,7,04:11 AM,03:57 PM,06:45 AM,06:34 PM,20,34,34,32,5,0,59,0.0,1012,42,10,245,4
2020-02-21,41,23,0.0,11.6,8,8,0,05:02 AM,04:49 PM,06:44 AM,06:34 PM,19,34,34,31,5,0,57,0.0,1014,41,10,251,4
2020-02-22,42,24,0.0,11.6,8,8,0,05:49 AM,05:40 PM,06:44 AM,06:34 PM,19,35,35,33,4,3,56,0.0,1014,42,10,186,3
2020-02-23,40,23,0.0,11.6,8,8,0,06:32 AM,06:29 PM,06:44 AM,06:35 PM,19,34,34,32,5,4,59,0.0,1013,40,10,217,4
2020-02-24,41,23,0.0,11.6,8,8,0,07:14 AM,07:16 PM,06:43 AM,06:35 PM,20,32,32,30,5,3,61,0.0,1012,41,10,235,4
2020-02-25,40,21,0.0,11.6,8,8,8,07:53 AM,08:01 PM,06:43 AM,06:35 PM,20,33,33,30,7,6,64,0.0,1011,40,10,253,5
2020-02-26,38,22,0.0,11.6,8,8,15,08:30 AM,08:46 PM,06:42 AM,06:35 PM,20,32,32,29,7,6,66,0.0,1011,38,10,245,5
2020-02-27,37,22,0.0,6.0,7,7,23,09:07 AM,09:31 PM,06:42 AM,06:35 PM,21,33,33,30,6,53,67,1.2,1011,37,9,270,5
2020-02-28,37,22,0.0,11.6,8,8,30,09:44 AM,10:15 PM,06:41 AM,06:35 PM,20,32,32,29,6,47,64,0.5,1010,37,10,253,4
2020-02-29,37,22,0.0,11.6,8,8,38,10:21 AM,11:02 PM,06:41 AM,06:35 PM,19,31,31,29,7,31,63,1.0,1010,37,10,223,5
2020-03-01,37,22,0.0,11.6,8,8,44,11:02 AM,11:51 PM,06:40 AM,06:35 PM,21,31,31,28,6,41,67,4.1,1010,37,10,239,4
2020-03-02,35,23,0.0,6.0,6,6,51,11:46 AM,No moonset,06:40 AM,06:36 PM,21,31,31,28,7,78,67,3.0,1012,35,10,250,5
2020-03-03,34,23,0.0,6.0,7,7,58,12:33 PM,12:42 AM,06:39 AM,06:36 PM,21,31,31,28,7,74,70,6.1,1012,34,9,245,5
2020-03-04,36,23,0.0,6.0,7,7,65,01:25 PM,01:36 AM,06:39 AM,06:36 PM,22,32,32,29,6,65,70,2.2,1011,36,10,275,4
2020-03-05,35,23,0.0,7.4,7,7,73,02:21 PM,02:32 AM,06:38 AM,06:36 PM,22,31,31,28,7,59,72,4.7,1010,35,10,265,5
2020-03-06,35,23,0.0,10.2,7,7,80,03:22 PM,03:30 AM,06:38 AM,06:36 PM,21,31,31,28,7,44,68,0.3,1011,35,10,257,6
2020-03-07,35,22,0.0,8.8,7,7,87,04:23 PM,04:26 AM,06:37 AM,06:36 PM,21,32,32,29,6,32,69,0.2,1012,35,10,234,5
2020-03-08,36,22,0.0,8.8,6,6,95,05:25 PM,05:22 AM,06:37 AM,06:36 PM,22,31,31,28,6,44,72,0.1,1011,36,10,261,4
2020-03-09,36,23,0.0,7.4,7,7,100,06:26 PM,06:15 AM,06:36 AM,06:36 PM,22,32,32,28,6,63,73,1.9,1010,36,10,252,4
2020-03-10,35,23,0.0,11.6,7,7,100,07:26 PM,07:06 AM,06:36 AM,06:36 PM,23,33,33,29,6,28,72,0.0,1011,35,9,250,5
2020-03-11,37,23,0.0,11.6,8,8,84,08:24 PM,07:55 AM,06:35 AM,06:36 PM,22,33,33,30,6,29,68,0.2,1011,37,10,242,5
2020-03-12,37,23,0.0,8.8,7,7,76,09:23 PM,08:43 AM,06:34 AM,06:36 PM,22,33,33,29,6,32,69,0.5,1012,37,10,257,5
2020-03-13,40,24,0.0,11.6,8,8,69,10:21 PM,09:32 AM,06:34 AM,06:36 PM,21,34,34,31,6,4,63,0.0,1012,40,10,242,5
2020-03-14,40,24,0.0,11.6,8,8,62,11:20 PM,10:22 AM,06:33 AM,06:36 PM,21,34,34,31,5,7,61,0.0,1011,40,10,250,4
2020-03-15,39,24,0.0,11.6,8,8,55,No moonrise,11:13 AM,06:33 AM,06:36 PM,21,33,33,30,6,7,63,0.0,1011,39,10,250,5
2020-03-16,40,25,0.0,11.6,8,8,47,12:17 AM,12:06 PM,06:32 AM,06:36 PM,21,35,35,32,6,6,62,0.0,1012,40,10,253,5
2020-03-17,41,24,0.0,11.6,8,8,40,01:14 AM,01:00 PM,06:31 AM,06:36 PM,21,36,36,32,5,4,62,0.0,1012,41,10,219,4
2020-03-18,42,26,0.0,11.6,9,9,33,02:08 AM,01:53 PM,06:31 AM,06:36 PM,21,36,36,32,5,1,59,0.0,1012,42,10,258,4
2020-03-19,40,23,0.0,11.6,8,8,25,03:00 AM,02:46 PM,06:30 AM,06:36 PM,22,35,35,31,7,23,65,0.2,1012,40,10,257,5
2020-03-20,38,23,0.0,6.0,7,7,18,03:48 AM,03:37 PM,06:30 AM,06:36 PM,22,33,33,29,6,75,70,6.5,1012,38,9,264,4
2020-03-21,41,24,0.0,7.4,7,7,11,04:32 AM,04:26 PM,06:29 AM,06:36 PM,21,33,33,30,5,67,65,2.1,1011,41,10,242,3
2020-03-22,37,24,0.0,8.8,7,7,4,05:13 AM,05:13 PM,06:28 AM,06:36 PM,21,32,32,29,5,49,67,4.1,1012,37,10,249,4
2020-03-23,37,23,0.0,7.4,7,7,0,05:53 AM,05:59 PM,06:28 AM,06:36 PM,22,32,32,29,6,54,70,4.8,1011,37,10,228,4
2020-03-24,38,24,0.0,8.8,7,7,0,06:30 AM,06:44 PM,06:27 AM,06:36 PM,22,33,33,29,6,47,70,4.1,1010,38,10,247,5
2020-03-25,38,24,0.0,7.4,7,7,3,07:07 AM,07:28 PM,06:27 AM,06:36 PM,22,33,33,30,6,61,68,3.6,1010,38,10,246,4
2020-03-26,38,24,0.0,11.6,8,8,11,07:44 AM,08:13 PM,06:26 AM,06:36 PM,22,34,34,30,6,14,66,0.0,1010,38,10,245,5
2020-03-27,38,26,0.0,11.6,8,8,18,08:21 AM,08:59 PM,06:25 AM,06:36 PM,22,34,34,31,5,18,64,0.1,1012,38,10,250,4
2020-03-28,39,24,0.0,10.2,7,7,25,09:01 AM,09:47 PM,06:25 AM,06:36 PM,22,34,34,31,6,34,65,0.2,1011,39,10,253,5
2020-03-29,39,24,0.0,11.6,8,8,32,09:43 AM,10:36 PM,06:24 AM,06:36 PM,22,34,34,31,6,31,67,0.4,1010,39,10,236,5
2020-03-30,39,24,0.0,8.8,7,7,40,10:28 AM,11:29 PM,06:24 AM,06:36 PM,22,35,35,31,7,64,66,0.7,1010,39,10,255,5
2020-03-31,40,25,0.0,11.6,8,8,44,11:17 AM,No moonset,06:23 AM,06:36 PM,22,35,35,31,6,37,66,0.3,1011,40,10,246,5
2020-04-01,42,25,0.0,11.6,8,8,56,12:10 PM,12:22 AM,06:22 AM,06:36 PM,21,35,35,32,6,8,62,0.0,1010,42,10,240,5
2020-04-02,40,25,0.0,11.6,8,8,64,01:07 PM,01:18 AM,06:22 AM,06:36 PM,23,36,36,31,6,11,65,0.0,1010,40,10,255,5
2020-04-03,39,24,0.0,11.6,8,8,71,02:06 PM,02:13 AM,06:21 AM,06:36 PM,22,34,34,30,7,22,66,0.0,1010,39,10,246,5
2020-04-04,40,25,0.0,10.2,8,8,79,03:06 PM,03:08 AM,06:21 AM,06:37 PM,23,35,35,31,7,28,67,0.3,1011,40,10,250,5
