date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,10.2,5,5,37,11:17 AM,11:22 PM,06:43 AM,06:08 PM,18,24,24,23,17,60,79,10.0,1015,28,8,102,11
2020-01-02,27,19,0.0,7.3,5,5,44,11:54 AM,No moonset,06:44 AM,06:08 PM,19,24,24,23,12,64,79,0.3,1015,27,8,112,9
2020-01-03,30,20,0.0,11.6,7,7,51,12:30 PM,12:07 AM,06:44 AM,06:09 PM,19,26,26,24,8,25,72,0.0,1014,30,9,94,6
2020-01-04,31,20,0.0,10.2,6,6,59,01:07 PM,12:53 AM,06:45 AM,06:09 PM,18,27,27,25,7,40,67,0.4,1013,31,10,234,5
2020-01-05,29,20,0.0,7.3,6,6,66,01:46 PM,01:39 AM,06:45 AM,06:10 PM,18,26,26,24,10,50,69,0.5,1012,29,10,109,7
2020-01-06,29,19,0.0,5.8,5,5,73,02:26 PM,02:27 AM,06:45 AM,06:10 PM,19,25,25,24,19,63,75,0.7,1014,29,9,100,14
2020-01-07,29,19,0.0,10.2,5,5,80,03:11 PM,03:18 AM,06:46 AM,06:11 PM,17,24,24,23,19,38,73,0.3,1014,29,8,111,14
2020-01-08,29,18,0.0,11.6,6,6,88,04:00 PM,04:11 AM,06:46 AM,06:12 PM,16,25,25,24,12,19,67,0.0,1014,29,9,82,8
2020-01-09,29,18,0.0,11.6,6,6,95,04:54 PM,05:08 AM,06:46 AM,06:12 PM,17,24,24,23,12,24,71,0.0,1013,29,9,103,8
2020-01-10,29,19,0.0,11.6,6,6,100,05:53 PM,06:07 AM,06:46 AM,06:13 PM,16,24,24,23,18,15,68,0.0,1014,29,10,96,13
2020-01-11,28,16,0.0,11.6,6,6,100,06:54 PM,07:06 AM,06:47 AM,06:13 PM,13,22,22,21,21,3,63,0.0,1015,28,10,79,14
2020-01-12,28,15,0.0,11.6,6,6,83,07:56 PM,08:04 AM,06:47 AM,06:14 PM,14,22,22,22,18,13,66,0.0,1014,28,9,98,13
2020-01-13,30,17,0.0,11.6,6,6,76,08:57 PM,08:58 AM,06:47 AM,06:14 PM,15,25,25,25,8,19,65,0.0,1012,30,9,69,6
2020-01-14,30,18,0.0,11.6,6,6,69,09:56 PM,09:49 AM,06:47 AM,06:15 PM,15,25,25,24,12,17,64,0.0,1012,30,10,103,8
2020-01-15,30,17,0.0,11.6,6,6,61,10:52 PM,10:36 AM,06:48 AM,06:15 PM,11,24,24,24,14,3,52,0.0,1013,30,10,106,10
2020-01-16,29,18,0.0,11.6,6,6,54,11:48 PM,11:22 AM,06:48 AM,06:16 PM,14,23,23,23,10,5,60,0.0,1013,29,10,106,7
2020-01-17,29,18,0.0,11.6,6,6,47,No moonrise,12:06 PM,06:48 AM,06:16 PM,14,25,25,24,12,5,59,0.0,1013,29,10,117,8
2020-01-18,29,18,0.0,10.2,6,6,40,12:43 AM,12:51 PM,06:48 AM,06:17 PM,18,24,24,23,17,41,73,0.0,1013,29,9,107,12
2020-01-19,30,19,0.0,10.2,5,5,32,01:38 AM,01:37 PM,06:48 AM,06:17 PM,17,24,24,24,18,43,69,0.3,1013,30,9,97,13
2020-01-20,31,18,0.0,11.6,7,7,25,02:33 AM,02:25 PM,06:48 AM,06:18 PM,15,25,25,24,17,17,62,0.0,1014,31,9,95,12
2020-01-21,30,18,0.0,11.6,6,6,18,03:30 AM,03:16 PM,06:48 AM,06:19 PM,13,25,25,24,19,7,57,0.0,1015,30,10,90,13
2020-01-22,30,17,0.0,11.6,6,6,11,04:26 AM,04:08 PM,06:48 AM,06:19 PM,15,23,23,23,21,7,65,0.0,1015,30,10,103,15
2020-01-23,31,17,0.0,11.6,6,6,3,05:22 AM,05:02 PM,06:48 AM,06:19 PM,15,24,24,23,21,17,65,0.0,1014,31,9,106,15
2020-01-24,31,17,0.0,11.6,7,7,0,06:15 AM,05:56 PM,06:48 AM,06:20 PM,11,25,25,24,20,5,52,0.0,1014,31,9,94,14
2020-01-25,31,18,0.0,11.6,7,7,0,07:05 AM,06:49 PM,06:48 AM,06:20 PM,7,25,25,25,14,0,38,0.0,1014,31,10,83,9
2020-01-26,33,19,0.0,11.6,7,7,4,07:51 AM,07:40 PM,06:48 AM,06:21 PM,8,27,27,26,10,0,36,0.0,1013,33,10,84,7
2020-01-27,33,21,0.0,11.6,7,7,11,08:34 AM,08:29 PM,06:48 AM,06:21 PM,12,28,28,27,11,1,45,0.0,1013,33,10,125,8
2020-01-28,32,19,0.0,11.6,7,7,18,09:14 AM,09:16 PM,06:48 AM,06:22 PM,15,26,26,25,12,22,59,0.0,1013,32,8,183,8
2020-01-29,32,20,0.0,11.6,7,7,26,09:51 AM,10:02 PM,06:48 AM,06:22 PM,13,27,27,26,11,6,50,0.0,1014,32,10,112,7
2020-01-30,34,21,0.0,11.6,7,7,33,10:28 AM,10:46 PM,06:48 AM,06:23 PM,13,28,28,27,8,5,47,0.0,1013,34,10,138,6
2020-01-31,33,20,0.0,11.6,7,7,37,11:04 AM,11:32 PM,06:48 AM,06:23 PM,13,28,28,27,10,8,48,0.0,1011,33,10,120,7
2020-02-01,31,19,0.0,11.6,7,7,49,11:41 AM,No moonset,06:48 AM,06:24 PM,14,26,26,25,14,17,55,0.0,1012,31,10,122,10
2020-02-02,31,19,0.0,11.6,7,7,57,12:20 PM,12:18 AM,06:48 AM,06:24 PM,13,24,24,24,18,13,55,0.0,1014,31,10,115,13
2020-02-03,31,19,0.0,11.6,7,7,64,01:02 PM,01:07 AM,06:48 AM,06:24 PM,12,25,25,25,16,5,52,0.0,1015,31,10,89,11
2020-02-04,31,18,0.0,11.6,7,7,72,01:48 PM,01:58 AM,06:48 AM,06:25 PM,13,25,25,25,14,5,55,0.0,1013,31,10,114,10
2020-02-05,31,18,0.0,11.6,7,7,79,02:38 PM,02:52 AM,06:47 AM,06:25 PM,16,25,25,24,10,25,63,0.0,1013,31,9,67,7
2020-02-06,30,19,0.0,11.6,7,7,87,03:34 PM,03:49 AM,06:47 AM,06:25 PM,16,25,25,25,10,30,61,0.0,1013,30,10,147,7
2020-02-07,32,20,0.0,11.6,7,7,95,04:34 PM,04:48 AM,06:47 AM,06:26 PM,15,27,27,26,12,25,56,0.0,1014,32,10,172,9
2020-02-08,33,19,0.0,11.6,7,7,100,05:37 PM,05:47 AM,06:47 AM,06:26 PM,14,28,28,27,11,19,56,0.0,1014,33,10,220,8
2020-02-09,29,19,0.0,10.2,6,6,100,06:39 PM,06:43 AM,06:46 AM,06:26 PM,15,25,25,24,15,35,61,0.4,1014,29,10,124,11
2020-02-10,31,18,0.0,10.2,6,6,83,07:41 PM,07:37 AM,06:46 AM,06:27 PM,15,26,26,25,19,41,61,0.2,1014,31,9,105,14
2020-02-11,31,17,0.0,11.6,7,7,75,08:41 PM,08:28 AM,06:46 AM,06:27 PM,13,24,24,24,24,13,58,0.0,1014,31,10,111,17
