date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,6,0.0,7.1,4,4,37,11:36 AM,11:19 PM,07:24 AM,05:40 PM,-4,10,11,10,15,59,37,0.0,1021,17,10,105,8
2020-01-02,21,9,0.0,8.7,4,4,44,12:06 PM,No moonset,07:25 AM,05:40 PM,2,13,13,13,14,10,48,0.0,1021,21,10,65,8
2020-01-03,22,10,0.0,8.7,5,5,51,12:36 PM,12:11 AM,07:25 AM,05:41 PM,4,14,15,14,13,4,52,0.0,1018,22,10,304,8
2020-01-04,21,10,0.0,8.7,5,5,59,01:06 PM,01:03 AM,07:25 AM,05:42 PM,3,15,15,15,9,15,45,0.0,1016,21,10,292,5
2020-01-05,20,11,0.0,7.1,4,4,66,01:38 PM,01:57 AM,07:25 AM,05:43 PM,3,14,15,14,13,32,47,0.0,1017,20,10,318,7
2020-01-06,14,7,0.0,3.8,3,3,73,02:11 PM,02:51 AM,07:25 AM,05:43 PM,7,11,12,11,16,83,75,2.2,1019,14,9,47,11
2020-01-07,16,11,0.0,3.8,3,3,80,02:50 PM,03:49 AM,07:26 AM,05:44 PM,11,13,13,13,13,79,89,1.6,1017,16,7,223,9
2020-01-08,18,10,0.0,8.7,4,4,88,03:34 PM,04:48 AM,07:26 AM,05:45 PM,8,12,13,12,14,47,78,0.1,1015,18,8,346,9
2020-01-09,18,8,0.0,8.7,4,4,95,04:24 PM,05:50 AM,07:26 AM,05:46 PM,4,11,12,11,14,0,60,0.0,1019,18,10,340,9
2020-01-10,18,7,0.0,8.7,4,4,100,05:22 PM,06:50 AM,07:26 AM,05:46 PM,-2,10,11,10,19,22,42,0.0,1020,18,10,330,11
2020-01-11,20,8,0.0,8.7,4,4,100,06:25 PM,07:49 AM,07:26 AM,05:47 PM,-4,12,12,12,14,26,33,0.0,1019,20,10,329,8
2020-01-12,23,11,0.0,8.7,5,5,83,07:32 PM,08:42 AM,07:26 AM,05:48 PM,0,15,15,15,13,19,37,0.0,1015,23,10,295,7
2020-01-13,15,7,0.0,3.8,3,3,76,08:40 PM,09:31 AM,07:26 AM,05:49 PM,7,12,13,12,17,44,70,3.2,1011,15,10,212,10
2020-01-14,18,9,0.0,8.7,4,4,69,09:47 PM,10:13 AM,07:26 AM,05:50 PM,8,12,13,12,11,9,74,0.0,1016,18,10,233,8
