date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,8,0.0,8.7,4,4,37,11:25 AM,11:11 PM,07:10 AM,05:36 PM,2,12,13,12,16,16,49,0.0,1021,20,10,91,9
2020-01-02,18,11,0.0,8.7,4,4,44,11:56 AM,No moonset,07:10 AM,05:37 PM,7,14,14,14,14,39,60,0.0,1021,18,10,64,8
2020-01-03,21,12,0.0,8.7,4,4,51,12:26 PM,12:02 AM,07:10 AM,05:37 PM,12,16,16,16,13,36,77,0.4,1017,21,10,137,8
2020-01-04,21,13,0.0,8.7,5,5,59,12:58 PM,12:53 AM,07:10 AM,05:38 PM,10,16,16,16,8,8,70,0.0,1017,21,10,241,5
2020-01-05,21,12,0.0,8.7,5,5,66,01:30 PM,01:45 AM,07:11 AM,05:39 PM,7,16,16,16,11,6,56,0.0,1018,21,10,288,7
2020-01-06,21,12,0.0,7.1,5,5,73,02:05 PM,02:39 AM,07:11 AM,05:39 PM,7,16,16,16,11,40,57,0.0,1019,21,10,210,6
2020-01-07,23,13,0.0,8.7,5,5,80,02:45 PM,03:36 AM,07:11 AM,05:40 PM,10,16,17,16,18,29,65,0.0,1016,23,10,109,11
2020-01-08,20,11,0.0,8.7,5,5,88,03:30 PM,04:34 AM,07:11 AM,05:41 PM,11,14,15,14,21,52,77,1.2,1014,20,10,129,14
2020-01-09,18,8,0.0,8.7,4,4,95,04:21 PM,05:34 AM,07:11 AM,05:42 PM,7,11,12,11,20,13,72,0.0,1019,18,9,327,12
2020-01-10,19,8,0.0,8.7,4,4,100,05:19 PM,06:34 AM,07:11 AM,05:42 PM,4,12,12,12,17,1,58,0.0,1019,19,10,324,10
2020-01-11,19,7,0.0,8.7,4,4,100,06:21 PM,07:33 AM,07:11 AM,05:43 PM,2,12,12,12,14,11,51,0.0,1019,19,10,311,8
2020-01-12,22,9,0.0,8.7,5,5,83,07:28 PM,08:27 AM,07:11 AM,05:44 PM,4,16,16,16,9,4,46,0.0,1016,22,10,259,6
2020-01-13,23,13,0.0,7.1,4,4,76,08:34 PM,09:17 AM,07:11 AM,05:45 PM,7,16,17,16,15,40,55,1.3,1012,23,10,130,9
2020-01-14,22,11,0.0,8.7,5,5,69,09:40 PM,10:01 AM,07:11 AM,05:46 PM,11,15,16,15,14,31,76,0.0,1015,22,10,172,8
2020-01-15,21,12,0.0,7.1,4,4,61,10:44 PM,10:42 AM,07:11 AM,05:46 PM,11,15,16,15,14,44,74,0.0,1016,21,10,40,8
2020-01-16,17,12,0.0,3.9,4,4,54,11:47 PM,11:21 AM,07:11 AM,05:47 PM,13,14,15,14,12,95,92,17.4,1015,17,8,106,7
2020-01-17,18,10,0.0,5.5,4,4,47,No moonrise,11:58 AM,07:11 AM,05:48 PM,12,14,15,14,10,51,85,1.2,1016,18,8,293,7
2020-01-18,19,12,0.0,8.7,5,5,40,12:48 AM,12:36 PM,07:11 AM,05:49 PM,11,14,15,14,11,22,80,0.0,1018,19,10,353,7
2020-01-19,19,11,0.0,8.7,4,4,32,01:50 AM,01:16 PM,07:11 AM,05:50 PM,7,14,14,14,13,3,65,0.0,1018,19,10,323,9
2020-01-20,18,9,0.0,8.7,4,4,25,02:52 AM,01:58 PM,07:10 AM,05:50 PM,5,13,13,13,10,26,60,0.0,1018,18,10,271,6
2020-01-21,22,11,0.0,8.7,5,5,18,03:53 AM,02:44 PM,07:10 AM,05:51 PM,8,15,16,15,10,5,59,0.0,1018,22,10,118,6
2020-01-22,21,12,0.0,8.7,5,5,11,04:53 AM,03:35 PM,07:10 AM,05:52 PM,7,15,15,15,15,1,60,0.0,1020,21,10,328,9
2020-01-23,19,9,0.0,8.7,4,4,3,05:50 AM,04:28 PM,07:10 AM,05:53 PM,5,12,13,12,28,0,59,0.0,1019,19,10,310,16
2020-01-24,20,8,0.0,8.7,4,4,0,06:42 AM,05:24 PM,07:09 AM,05:53 PM,2,12,14,12,25,0,48,0.0,1017,20,10,295,15
2020-01-25,22,11,0.0,8.7,5,5,0,07:29 AM,06:20 PM,07:09 AM,05:54 PM,4,15,15,15,10,4,47,0.0,1016,22,10,210,6
2020-01-26,23,11,0.0,8.7,5,5,4,08:11 AM,07:15 PM,07:09 AM,05:55 PM,8,16,17,16,8,7,56,0.0,1015,23,10,298,5
2020-01-27,23,12,0.0,8.7,5,5,11,08:49 AM,08:09 PM,07:08 AM,05:56 PM,10,17,17,17,13,22,64,0.0,1012,23,10,124,8
2020-01-28,21,14,0.0,8.7,5,5,18,09:24 AM,09:02 PM,07:08 AM,05:57 PM,10,17,17,17,18,45,65,0.0,1011,21,10,154,10
2020-01-29,22,13,0.0,8.7,5,5,26,09:56 AM,09:54 PM,07:08 AM,05:57 PM,8,16,17,16,18,28,59,0.0,1016,22,10,316,11
2020-01-30,20,11,0.0,8.7,5,5,33,10:26 AM,10:44 PM,07:07 AM,05:58 PM,7,14,15,14,19,1,63,0.0,1018,20,10,318,12
2020-01-31,21,10,0.0,8.7,5,5,37,10:57 AM,11:36 PM,07:07 AM,05:59 PM,7,15,15,15,12,4,61,0.0,1015,21,10,257,7
2020-02-01,21,10,0.0,10.9,5,5,49,11:28 AM,No moonset,07:06 AM,06:00 PM,6,15,15,15,10,7,59,0.0,1018,21,10,297,6
2020-02-02,21,11,0.0,11.0,5,5,57,12:01 PM,12:28 AM,07:06 AM,06:01 PM,6,15,15,15,11,0,57,0.0,1020,21,10,319,8
2020-02-03,23,10,0.0,11.0,5,5,64,12:38 PM,01:22 AM,07:05 AM,06:01 PM,5,16,17,16,10,0,50,0.0,1019,23,10,290,6
2020-02-04,22,11,0.0,11.0,5,5,72,01:19 PM,02:18 AM,07:05 AM,06:02 PM,6,15,16,15,11,3,55,0.0,1017,22,10,87,7
2020-02-05,22,11,0.0,11.0,5,5,79,02:06 PM,03:17 AM,07:04 AM,06:03 PM,6,15,15,15,17,8,57,0.0,1017,22,10,331,10
2020-02-06,22,10,0.0,11.0,5,5,87,03:00 PM,04:16 AM,07:03 AM,06:04 PM,5,15,16,15,13,2,51,0.0,1016,22,10,305,8
2020-02-07,21,11,0.0,11.0,5,5,95,04:00 PM,05:16 AM,07:03 AM,06:04 PM,5,15,15,15,10,4,52,0.0,1019,21,10,191,6
2020-02-08,22,10,0.0,11.0,5,5,100,05:06 PM,06:12 AM,07:02 AM,06:05 PM,6,15,16,15,13,0,55,0.0,1021,22,10,342,8
2020-02-09,22,11,0.0,11.1,5,5,100,06:13 PM,07:05 AM,07:01 AM,06:06 PM,7,17,19,17,7,12,56,0.0,1021,22,10,233,5
2020-02-10,24,10,0.0,11.1,5,5,83,07:22 PM,07:53 AM,07:01 AM,06:07 PM,5,18,19,18,10,17,48,0.0,1019,24,10,300,6
2020-02-11,24,12,0.0,11.1,5,5,75,08:29 PM,08:36 AM,07:00 AM,06:07 PM,6,18,18,18,9,2,47,0.0,1019,24,10,182,6
2020-02-12,26,12,0.0,11.5,5,5,68,09:35 PM,09:17 AM,06:59 AM,06:08 PM,7,19,19,19,18,1,46,0.0,1018,26,10,291,11
2020-02-13,29,15,0.0,11.5,6,6,60,10:40 PM,09:56 AM,06:59 AM,06:09 PM,8,20,21,20,29,1,44,0.0,1015,29,10,304,17
2020-02-14,26,15,0.0,11.5,6,6,53,11:44 PM,10:35 AM,06:58 AM,06:09 PM,4,19,19,19,33,0,37,0.0,1013,26,10,308,20
2020-02-15,27,12,0.0,11.5,6,6,45,No moonrise,11:15 AM,06:57 AM,06:10 PM,2,18,19,18,23,0,32,0.0,1014,27,10,311,14
2020-02-16,29,14,0.0,11.6,6,6,38,12:46 AM,11:57 AM,06:56 AM,06:11 PM,0,20,20,20,16,0,27,0.0,1016,29,10,331,9
2020-02-17,29,15,0.0,11.6,6,6,30,01:48 AM,12:42 PM,06:55 AM,06:11 PM,2,20,20,21,16,0,31,0.0,1017,29,10,316,10
2020-02-18,29,14,0.0,11.6,6,6,22,02:48 AM,01:31 PM,06:54 AM,06:12 PM,-1,22,22,21,15,5,25,0.0,1014,29,10,315,9
2020-02-19,29,14,0.0,8.7,5,5,15,03:45 AM,02:23 PM,06:54 AM,06:13 PM,2,20,20,20,20,51,31,0.0,1013,29,10,123,12
2020-02-20,29,15,0.0,11.6,6,6,7,04:38 AM,03:18 PM,06:53 AM,06:13 PM,7,22,22,22,31,27,42,0.0,1012,29,10,120,18
2020-02-21,27,14,0.0,11.6,6,6,0,05:26 AM,04:13 PM,06:52 AM,06:14 PM,11,20,21,20,25,27,63,0.6,1015,27,10,182,15
2020-02-22,26,13,0.0,10.2,5,5,0,06:09 AM,05:08 PM,06:51 AM,06:15 PM,13,19,20,19,17,28,69,0.0,1019,26,10,59,10
2020-02-23,26,16,0.0,11.6,6,6,0,06:48 AM,06:02 PM,06:50 AM,06:15 PM,12,21,21,21,11,21,60,0.0,1016,26,10,24,6
2020-02-24,28,16,0.0,11.6,6,6,0,07:24 AM,06:55 PM,06:49 AM,06:16 PM,11,21,21,21,12,15,52,0.0,1013,28,10,145,7
2020-02-25,29,16,0.0,11.6,6,6,8,07:56 AM,07:47 PM,06:48 AM,06:17 PM,6,22,22,22,14,7,39,0.0,1013,29,10,337,9
2020-02-26,31,16,0.0,11.6,6,6,15,08:27 AM,08:38 PM,06:47 AM,06:17 PM,6,23,23,24,12,9,36,0.0,1013,31,10,173,8
2020-02-27,32,16,0.0,11.6,6,6,23,08:58 AM,09:30 PM,06:46 AM,06:18 PM,9,25,25,24,13,10,45,0.0,1013,32,10,148,7
2020-02-28,29,17,0.0,8.7,5,5,30,09:28 AM,10:21 PM,06:45 AM,06:19 PM,10,23,23,23,23,38,47,0.6,1012,29,10,135,14
2020-02-29,32,17,0.0,11.6,7,7,38,10:00 AM,11:14 PM,06:44 AM,06:19 PM,12,24,24,24,27,26,58,2.7,1011,32,10,145,17
2020-03-01,30,16,0.0,7.3,5,5,44,10:35 AM,No moonset,06:43 AM,06:20 PM,13,22,22,22,21,59,65,11.5,1012,30,9,107,13
2020-03-02,30,16,0.0,8.7,5,5,51,11:13 AM,12:08 AM,06:42 AM,06:20 PM,13,23,23,23,9,30,56,2.8,1012,30,10,313,5
