date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,26,0.0,11.6,7,7,37,10:11 AM,10:16 PM,05:40 AM,05:03 PM,23,31,31,27,30,17,78,0.0,1015,29,10,69,21
2020-01-02,29,27,0.0,11.6,7,7,44,10:48 AM,11:01 PM,05:41 AM,05:04 PM,23,31,31,27,29,6,76,0.0,1015,29,10,73,20
2020-01-03,29,26,0.0,11.6,7,7,51,11:25 AM,11:47 PM,05:41 AM,05:04 PM,22,30,30,27,22,12,74,0.0,1014,29,10,82,16
2020-01-04,28,26,0.0,10.2,6,6,59,12:01 PM,No moonset,05:42 AM,05:05 PM,22,30,30,27,20,29,75,0.2,1012,28,10,67,15
2020-01-05,28,26,0.0,11.6,7,7,66,12:39 PM,12:33 AM,05:42 AM,05:05 PM,22,30,30,27,18,13,73,0.0,1012,28,10,79,13
2020-01-06,28,26,0.0,10.2,6,6,73,01:20 PM,01:21 AM,05:42 AM,05:06 PM,23,29,29,27,28,27,79,0.3,1013,28,10,32,20
2020-01-07,27,25,0.0,11.6,7,7,80,02:04 PM,02:12 AM,05:43 AM,05:07 PM,22,28,28,26,26,11,78,0.0,1012,27,10,33,19
2020-01-08,28,25,0.0,11.6,7,7,88,02:53 PM,03:06 AM,05:43 AM,05:07 PM,21,28,28,26,23,3,75,0.0,1011,28,10,37,17
2020-01-09,28,25,0.0,11.6,7,7,95,03:47 PM,04:02 AM,05:43 AM,05:08 PM,22,29,29,27,24,17,76,0.0,1012,28,10,35,17
2020-01-10,28,26,0.0,11.6,7,7,100,04:45 PM,05:01 AM,05:43 AM,05:08 PM,21,29,29,27,26,15,73,0.0,1012,28,10,24,18
2020-01-11,27,25,0.0,11.6,7,7,100,05:46 PM,06:00 AM,05:44 AM,05:09 PM,21,28,28,26,28,5,73,0.0,1012,27,10,9,20
2020-01-12,26,24,0.0,11.6,7,7,83,06:48 PM,06:58 AM,05:44 AM,05:09 PM,20,27,27,25,25,17,74,0.0,1011,26,10,10,18
2020-01-13,27,24,0.0,11.6,7,7,76,07:50 PM,07:52 AM,05:44 AM,05:10 PM,19,27,27,25,17,11,70,0.0,1011,27,10,17,12
2020-01-14,27,24,0.0,11.6,7,7,69,08:49 PM,08:43 AM,05:44 AM,05:11 PM,21,27,27,25,19,21,75,0.0,1011,27,10,51,14
2020-01-15,27,24,0.0,11.6,6,6,61,09:46 PM,09:31 AM,05:45 AM,05:11 PM,22,28,28,26,22,35,79,0.2,1012,27,10,30,16
2020-01-16,28,25,0.0,11.6,7,7,54,10:41 PM,10:16 AM,05:45 AM,05:12 PM,22,29,29,26,22,15,77,0.1,1012,28,10,54,16
2020-01-17,28,25,0.0,11.6,7,7,47,11:37 PM,11:00 AM,05:45 AM,05:12 PM,21,29,29,26,23,2,72,0.0,1013,28,10,55,16
2020-01-18,28,25,0.0,11.6,7,7,40,No moonrise,11:45 AM,05:45 AM,05:13 PM,21,29,29,26,22,3,72,0.0,1012,28,10,45,16
2020-01-19,28,25,0.0,11.6,7,7,32,12:32 AM,12:30 PM,05:45 AM,05:13 PM,21,29,29,27,22,4,72,0.0,1012,28,10,67,16
2020-01-20,28,26,0.0,11.6,7,7,25,01:28 AM,01:19 PM,05:45 AM,05:14 PM,22,29,29,27,22,11,75,0.0,1013,28,10,46,16
2020-01-21,28,26,0.0,11.6,7,7,18,02:24 AM,02:09 PM,05:45 AM,05:14 PM,22,29,29,27,25,9,75,0.0,1014,28,10,53,18
2020-01-22,28,26,0.0,11.6,7,7,11,03:21 AM,03:01 PM,05:45 AM,05:15 PM,22,29,29,27,26,13,76,0.0,1014,28,10,31,19
2020-01-23,28,25,0.0,11.6,7,7,3,04:16 AM,03:55 PM,05:45 AM,05:15 PM,21,29,29,26,23,3,72,0.0,1013,28,10,29,16
2020-01-24,28,25,0.0,11.6,7,7,0,05:09 AM,04:49 PM,05:45 AM,05:16 PM,20,28,28,26,25,1,67,0.0,1012,28,10,23,18
2020-01-25,27,24,0.0,11.6,7,7,0,05:59 AM,05:42 PM,05:45 AM,05:16 PM,19,27,27,25,27,1,68,0.0,1012,27,10,11,20
2020-01-26,26,23,0.0,11.6,7,7,4,06:45 AM,06:33 PM,05:45 AM,05:17 PM,17,26,26,24,22,0,62,0.0,1012,26,10,346,16
2020-01-27,27,23,0.0,11.6,7,7,11,07:29 AM,07:23 PM,05:45 AM,05:17 PM,16,26,26,25,23,1,59,0.0,1012,27,10,129,16
2020-01-28,26,23,0.0,11.6,6,6,18,08:08 AM,08:09 PM,05:45 AM,05:18 PM,16,26,26,24,25,0,60,0.0,1012,26,10,23,18
2020-01-29,26,23,0.0,11.6,7,7,26,08:46 AM,08:55 PM,05:45 AM,05:18 PM,19,27,27,25,26,1,70,0.0,1013,26,10,29,19
2020-01-30,27,25,0.0,11.6,7,7,33,09:22 AM,09:41 PM,05:45 AM,05:19 PM,19,27,27,26,21,5,68,0.0,1012,27,10,48,14
2020-01-31,27,24,0.0,11.6,7,7,37,09:58 AM,10:26 PM,05:45 AM,05:19 PM,19,27,27,26,20,0,68,0.0,1012,27,10,59,14
2020-02-01,27,24,0.0,11.6,7,7,49,10:35 AM,11:13 PM,05:45 AM,05:19 PM,21,28,28,26,25,20,73,0.0,1012,27,10,54,18
2020-02-02,28,25,0.0,11.6,7,7,57,11:14 AM,No moonset,05:45 AM,05:20 PM,21,28,28,26,28,12,72,0.0,1014,28,10,54,20
2020-02-03,28,25,0.0,11.6,7,7,64,11:56 AM,12:01 AM,05:45 AM,05:20 PM,20,28,28,26,30,7,70,0.0,1014,28,10,32,22
2020-02-04,27,24,0.0,11.6,7,7,72,12:41 PM,12:52 AM,05:44 AM,05:21 PM,19,27,27,25,29,2,69,0.0,1013,27,10,25,21
2020-02-05,27,23,0.0,11.6,7,7,79,01:32 PM,01:46 AM,05:44 AM,05:21 PM,18,26,26,25,19,0,66,0.0,1013,27,10,25,13
2020-02-06,27,23,0.0,11.6,7,7,87,02:26 PM,02:43 AM,05:44 AM,05:21 PM,18,26,26,25,19,0,66,0.0,1013,27,10,46,13
2020-02-07,27,24,0.0,11.6,7,7,95,03:27 PM,03:42 AM,05:44 AM,05:22 PM,19,27,27,25,20,0,67,0.0,1014,27,10,54,14
2020-02-08,28,24,0.0,11.6,7,7,100,04:29 PM,04:40 AM,05:44 AM,05:22 PM,20,27,27,26,21,0,69,0.0,1014,28,10,38,15
2020-02-09,28,24,0.0,11.6,7,7,100,05:32 PM,05:38 AM,05:43 AM,05:23 PM,20,28,28,26,23,5,70,0.0,1014,28,10,37,16
