date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,9,0.0,8.7,4,4,37,11:26 AM,11:10 PM,07:13 AM,05:33 PM,0,13,13,13,12,9,41,0.0,1020,19,10,116,7
2020-01-02,21,11,0.0,8.7,4,4,44,11:57 AM,No moonset,07:13 AM,05:33 PM,6,15,16,15,12,25,53,0.0,1021,21,10,132,7
2020-01-03,21,14,0.0,3.8,4,4,51,12:26 PM,12:01 AM,07:13 AM,05:34 PM,10,16,16,16,8,46,68,8.0,1018,21,9,154,5
2020-01-04,21,14,0.0,8.7,5,5,59,12:57 PM,12:53 AM,07:13 AM,05:35 PM,8,16,16,16,10,6,61,0.0,1016,21,10,288,6
2020-01-05,20,12,0.0,8.7,4,4,66,01:29 PM,01:46 AM,07:14 AM,05:35 PM,5,15,15,15,18,18,50,0.0,1017,20,10,304,11
2020-01-06,17,12,0.0,5.5,3,3,73,02:03 PM,02:41 AM,07:14 AM,05:36 PM,5,13,14,13,17,66,56,0.4,1019,17,9,225,11
2020-01-07,15,14,0.0,3.8,3,3,80,02:42 PM,03:38 AM,07:14 AM,05:37 PM,10,14,14,14,11,77,79,5.1,1017,15,9,81,7
2020-01-08,19,8,0.0,3.8,4,4,88,03:27 PM,04:37 AM,07:14 AM,05:38 PM,10,13,14,13,14,74,79,25.7,1015,19,8,193,9
2020-01-09,17,9,0.0,8.7,4,4,95,04:17 PM,05:38 AM,07:14 AM,05:39 PM,6,11,12,11,18,1,66,0.0,1018,17,10,310,12
2020-01-10,18,8,0.0,8.7,4,4,100,05:15 PM,06:38 AM,07:14 AM,05:39 PM,4,11,12,11,22,15,59,0.0,1018,18,10,306,14
2020-01-11,19,8,0.0,8.7,4,4,100,06:18 PM,07:37 AM,07:14 AM,05:40 PM,4,12,13,12,17,16,56,0.0,1018,19,10,292,11
2020-01-12,21,9,0.0,8.7,5,5,83,07:25 PM,08:30 AM,07:14 AM,05:41 PM,4,15,16,15,13,11,49,0.0,1015,21,10,289,8
2020-01-13,20,13,0.0,8.7,4,4,76,08:31 PM,09:19 AM,07:14 AM,05:42 PM,7,16,16,16,13,39,57,3.5,1012,20,10,142,8
2020-01-14,22,12,0.0,8.7,5,5,69,09:38 PM,10:03 AM,07:14 AM,05:43 PM,11,16,16,16,10,42,73,0.0,1015,22,10,197,6
2020-01-15,23,12,0.0,8.7,5,5,61,10:43 PM,10:43 AM,07:14 AM,05:43 PM,9,16,16,16,12,14,63,0.0,1015,23,10,261,7
2020-01-16,16,14,0.0,3.9,3,3,54,11:47 PM,11:21 AM,07:14 AM,05:44 PM,12,14,14,14,12,86,84,34.5,1014,16,7,72,7
2020-01-17,19,13,0.0,5.5,4,4,47,No moonrise,11:57 AM,07:14 AM,05:45 PM,11,14,15,14,14,72,80,5.9,1016,19,9,49,10
2020-01-18,18,11,0.0,5.5,4,4,40,12:49 AM,12:34 PM,07:14 AM,05:46 PM,10,14,15,14,11,41,74,0.1,1018,18,10,309,8
2020-01-19,19,11,0.0,8.7,4,4,32,01:52 AM,01:14 PM,07:13 AM,05:47 PM,8,14,14,14,14,2,69,0.0,1018,19,10,294,10
2020-01-20,20,10,0.0,8.7,3,3,25,02:54 AM,01:56 PM,07:13 AM,05:47 PM,7,13,14,13,14,24,66,0.0,1017,20,10,298,9
2020-01-21,21,13,0.0,7.1,5,5,18,03:56 AM,02:41 PM,07:13 AM,05:48 PM,6,16,16,16,5,24,56,0.0,1018,21,10,113,3
2020-01-22,21,12,0.0,8.7,5,5,11,04:56 AM,03:31 PM,07:13 AM,05:49 PM,6,14,15,14,18,5,58,0.0,1019,21,10,302,11
