date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,15,0.0,10.8,6,6,37,11:43 AM,11:35 PM,07:23 AM,06:05 PM,9,19,20,19,19,6,52,0.0,1015,26,10,107,11
2020-01-02,25,15,0.0,10.1,5,5,44,12:16 PM,No moonset,07:23 AM,06:06 PM,12,19,20,19,20,23,65,0.2,1017,25,10,142,11
2020-01-03,25,15,0.0,10.8,6,6,51,12:48 PM,12:24 AM,07:23 AM,06:06 PM,11,19,20,19,14,7,60,0.0,1017,25,10,239,9
2020-01-04,26,15,0.0,10.8,6,6,59,01:21 PM,01:14 AM,07:23 AM,06:07 PM,8,20,20,20,15,11,50,0.0,1016,26,10,162,9
2020-01-05,25,15,0.0,10.8,6,6,66,01:55 PM,02:04 AM,07:24 AM,06:07 PM,6,20,20,20,21,1,42,0.0,1016,25,10,103,13
2020-01-06,28,15,0.0,10.8,6,6,73,02:32 PM,02:57 AM,07:24 AM,06:08 PM,7,20,21,20,22,14,41,0.0,1015,28,10,122,12
2020-01-07,28,18,0.0,10.9,6,6,80,03:13 PM,03:51 AM,07:24 AM,06:09 PM,10,24,24,23,18,23,47,0.0,1013,28,10,245,10
2020-01-08,25,16,0.0,10.9,6,6,88,03:59 PM,04:49 AM,07:24 AM,06:10 PM,7,20,21,20,23,5,46,0.0,1014,25,10,327,14
2020-01-09,24,12,0.0,10.9,5,5,95,04:51 PM,05:48 AM,07:24 AM,06:10 PM,3,18,19,18,19,0,40,0.0,1017,24,10,62,11
2020-01-10,23,11,0.0,10.9,5,5,100,05:49 PM,06:48 AM,07:25 AM,06:11 PM,1,15,17,15,30,0,37,0.0,1017,23,10,80,18
2020-01-11,26,13,0.0,10.9,5,5,100,06:52 PM,07:47 AM,07:25 AM,06:12 PM,4,18,19,18,28,3,38,0.0,1016,26,10,97,17
2020-01-12,29,16,0.0,10.9,6,6,83,07:57 PM,08:41 AM,07:25 AM,06:12 PM,11,23,23,23,22,5,49,0.0,1014,29,10,146,13
2020-01-13,21,15,0.0,10.1,4,4,76,09:02 PM,09:33 AM,07:25 AM,06:13 PM,12,18,19,18,16,33,69,0.0,1012,21,10,317,11
2020-01-14,25,13,0.0,10.9,5,5,69,10:05 PM,10:18 AM,07:25 AM,06:14 PM,7,19,20,19,15,0,52,0.0,1014,25,10,208,9
2020-01-15,26,13,0.0,10.9,5,5,61,11:07 PM,11:01 AM,07:25 AM,06:14 PM,5,18,20,18,18,0,46,0.0,1013,26,10,219,10
2020-01-16,23,11,0.0,10.9,5,5,54,No moonrise,11:42 AM,07:25 AM,06:15 PM,7,15,17,15,25,1,57,0.0,1014,23,10,313,15
2020-01-17,26,14,0.0,10.9,6,6,47,12:08 AM,12:21 PM,07:25 AM,06:16 PM,9,20,21,20,14,0,56,0.0,1016,26,10,222,9
2020-01-18,29,13,0.0,10.9,6,6,40,01:08 AM,01:01 PM,07:25 AM,06:17 PM,6,20,21,20,18,0,45,0.0,1016,29,10,244,10
2020-01-19,27,12,0.0,10.9,6,6,32,02:08 AM,01:43 PM,07:25 AM,06:17 PM,3,18,20,18,21,14,37,0.0,1017,27,10,64,12
2020-01-20,27,12,0.0,10.1,6,6,25,03:08 AM,02:26 PM,07:25 AM,06:18 PM,3,19,20,19,17,39,37,0.0,1015,27,10,73,10
2020-01-21,28,15,0.0,11.0,6,6,18,04:08 AM,03:14 PM,07:24 AM,06:19 PM,3,21,21,21,17,4,33,0.0,1015,28,10,228,9
2020-01-22,31,15,0.0,11.0,6,6,11,05:07 AM,04:05 PM,07:24 AM,06:19 PM,5,23,23,23,20,0,34,0.0,1017,31,10,137,11
2020-01-23,29,15,0.0,11.0,6,6,3,06:03 AM,04:59 PM,07:24 AM,06:20 PM,5,22,22,22,20,0,37,0.0,1018,29,10,68,13
2020-01-24,31,14,0.0,11.0,6,6,0,06:55 AM,05:54 PM,07:24 AM,06:21 PM,4,22,22,22,20,0,34,0.0,1016,31,10,250,12
2020-01-25,31,16,0.0,11.0,6,6,0,07:43 AM,06:49 PM,07:24 AM,06:22 PM,4,23,23,23,14,5,31,0.0,1015,31,10,146,8
2020-01-26,32,18,0.0,11.0,7,7,4,08:26 AM,07:43 PM,07:23 AM,06:22 PM,5,25,25,24,13,5,32,0.0,1013,32,10,230,8
2020-01-27,30,19,0.0,11.0,6,6,11,09:06 AM,08:36 PM,07:23 AM,06:23 PM,8,25,25,24,17,3,40,0.0,1010,30,10,252,11
2020-01-28,25,16,0.0,11.0,6,6,18,09:42 AM,09:27 PM,07:23 AM,06:24 PM,9,20,20,20,20,17,53,0.0,1011,25,10,263,13
2020-01-29,26,13,0.0,11.0,6,6,26,10:15 AM,10:16 PM,07:23 AM,06:24 PM,7,21,21,21,12,2,48,0.0,1015,26,10,289,7
2020-01-30,28,14,0.0,11.0,6,6,33,10:47 AM,11:06 PM,07:22 AM,06:25 PM,3,21,21,21,15,1,34,0.0,1016,28,10,124,9
2020-01-31,29,14,0.0,11.0,6,6,37,11:20 AM,11:56 PM,07:22 AM,06:26 PM,2,21,22,21,20,1,31,0.0,1014,29,10,253,12
2020-02-01,28,13,0.0,11.0,6,6,49,11:53 AM,No moonset,07:22 AM,06:26 PM,-2,22,22,21,22,0,23,0.0,1016,28,10,39,13
2020-02-02,29,14,0.0,11.1,6,6,57,12:27 PM,12:46 AM,07:21 AM,06:27 PM,-1,22,22,21,24,0,25,0.0,1017,29,10,85,14
2020-02-03,33,14,0.0,11.1,6,6,64,01:06 PM,01:39 AM,07:21 AM,06:28 PM,1,23,23,23,21,1,26,0.0,1015,33,10,165,12
2020-02-04,28,16,0.0,11.1,6,6,72,01:48 PM,02:33 AM,07:20 AM,06:29 PM,1,22,22,22,17,0,28,0.0,1014,28,10,298,10
2020-02-05,31,15,0.0,11.1,6,6,79,02:36 PM,03:31 AM,07:20 AM,06:29 PM,4,24,24,24,19,2,32,0.0,1015,31,10,155,11
2020-02-06,30,15,0.0,11.1,6,6,87,03:31 PM,04:29 AM,07:19 AM,06:30 PM,1,22,22,22,23,1,30,0.0,1014,30,10,231,13
2020-02-07,30,15,0.0,11.1,6,6,95,04:31 PM,05:29 AM,07:19 AM,06:30 PM,-1,24,24,23,20,0,23,0.0,1016,30,10,34,12
2020-02-08,29,14,0.0,11.1,6,6,100,05:36 PM,06:26 AM,07:18 AM,06:31 PM,-2,22,22,22,25,0,23,0.0,1018,29,10,64,15
2020-02-09,29,14,0.0,11.1,6,6,100,06:42 PM,07:20 AM,07:18 AM,06:32 PM,-4,22,22,22,27,0,22,0.0,1019,29,10,89,16
2020-02-10,33,14,0.0,11.2,6,6,83,07:49 PM,08:09 AM,07:17 AM,06:32 PM,-2,23,23,23,19,0,21,0.0,1016,33,10,88,11
2020-02-11,34,16,0.0,11.2,7,7,75,08:54 PM,08:55 AM,07:17 AM,06:33 PM,2,25,25,25,22,0,25,0.0,1016,34,10,208,13
2020-02-12,34,18,0.0,11.2,7,7,68,09:58 PM,09:38 AM,07:16 AM,06:34 PM,5,27,27,27,24,2,29,0.0,1017,34,10,235,14
2020-02-13,34,20,0.0,11.2,7,7,60,11:00 PM,10:19 AM,07:15 AM,06:34 PM,4,27,27,27,20,3,25,0.0,1016,34,10,300,12
2020-02-14,33,20,0.0,10.1,6,6,53,No moonrise,11:00 AM,07:15 AM,06:35 PM,4,27,27,27,18,34,26,0.0,1014,33,10,205,11
