date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,-1,-5,0.3,3.9,1,1,37,01:18 PM,No moonset,09:39 AM,05:41 PM,-6,-7,-3,-7,19,61,83,0.4,995,-1,9,270,10
2020-01-02,-3,-9,0.8,3.9,1,1,44,01:35 PM,12:42 AM,09:39 AM,05:42 PM,-8,-10,-6,-10,20,51,83,1.4,1007,-3,7,245,12
2020-01-03,-6,-14,0.0,5.8,1,1,51,01:52 PM,01:48 AM,09:39 AM,05:43 PM,-9,-13,-8,-13,21,53,82,0.0,1012,-6,10,174,11
2020-01-04,4,-5,0.9,3.9,1,1,59,02:09 PM,02:53 AM,09:39 AM,05:44 PM,-6,-6,-0,-6,43,40,66,1.0,1004,4,9,281,22
2020-01-05,-2,-9,0.0,5.8,2,2,66,02:29 PM,04:01 AM,09:39 AM,05:45 PM,-11,-11,-6,-11,32,6,66,0.0,1017,-2,10,220,15
2020-01-06,-7,-15,0.0,5.8,2,2,73,02:53 PM,05:11 AM,09:38 AM,05:46 PM,-11,-13,-8,-13,22,16,80,0.0,1020,-7,10,214,11
2020-01-07,-7,-12,1.2,2.0,1,1,80,03:23 PM,06:22 AM,09:38 AM,05:48 PM,-11,-15,-10,-15,20,75,88,1.4,1018,-7,7,167,12
2020-01-08,-5,-14,1.3,3.9,1,1,88,04:00 PM,07:33 AM,09:38 AM,05:49 PM,-10,-16,-9,-16,26,75,92,1.5,1002,-5,5,345,18
2020-01-09,-16,-20,0.2,3.9,1,1,95,04:49 PM,08:41 AM,09:37 AM,05:50 PM,-19,-24,-18,-24,15,54,91,0.2,1024,-16,8,267,9
2020-01-10,-12,-21,0.0,2.0,1,1,100,05:51 PM,09:41 AM,09:37 AM,05:52 PM,-18,-23,-17,-23,16,56,90,0.0,1020,-12,7,165,8
2020-01-11,-19,-21,0.1,2.0,1,1,100,07:05 PM,10:31 AM,09:36 AM,05:53 PM,-20,-27,-19,-27,20,85,93,0.1,1015,-19,9,181,13
2020-01-12,-25,-27,0.2,2.0,1,1,83,08:24 PM,11:11 AM,09:35 AM,05:54 PM,-26,-35,-25,-35,21,100,91,0.2,1026,-25,10,178,16
2020-01-13,-27,-31,0.9,2.1,1,1,76,09:47 PM,11:43 AM,09:35 AM,05:56 PM,-29,-37,-28,-37,14,100,92,1.0,1030,-27,5,261,10
2020-01-14,-28,-32,0.0,2.1,1,1,69,11:10 PM,12:09 PM,09:34 AM,05:57 PM,-31,-36,-31,-36,9,90,93,0.0,1034,-28,9,119,5
2020-01-15,-29,-36,0.0,3.9,1,1,61,No moonrise,12:31 PM,09:33 AM,05:59 PM,-33,-36,-32,-36,8,71,92,0.0,1038,-29,6,225,5
2020-01-16,-27,-31,0.4,3.3,1,1,54,12:30 AM,12:53 PM,09:32 AM,06:00 PM,-30,-39,-29,-39,15,100,98,0.5,1029,-27,9,108,11
2020-01-17,-26,-29,0.4,3.3,1,1,47,01:51 AM,01:14 PM,09:31 AM,06:02 PM,-29,-38,-28,-38,20,90,92,0.5,1029,-26,8,336,14
2020-01-18,-21,-27,0.0,3.3,1,1,40,03:09 AM,01:37 PM,09:31 AM,06:03 PM,-25,-30,-24,-30,13,63,93,0.0,1040,-21,8,177,7
2020-01-19,-1,-24,0.0,8.7,1,1,32,04:27 AM,02:03 PM,09:30 AM,06:05 PM,-13,-17,-11,-17,25,44,86,0.0,1031,-1,8,242,12
2020-01-20,2,-5,0.0,3.3,1,1,25,05:43 AM,02:34 PM,09:29 AM,06:07 PM,-4,-5,-1,-5,30,54,75,0.0,1015,2,10,225,14
2020-01-21,1,-7,0.0,8.7,2,2,18,06:55 AM,03:13 PM,09:28 AM,06:08 PM,-4,-5,-2,-5,19,26,81,0.0,1007,1,10,207,9
2020-01-22,0,-5,0.0,8.7,2,2,11,07:59 AM,04:01 PM,09:26 AM,06:10 PM,-6,-7,-3,-7,25,22,77,0.1,1009,0,10,282,12
2020-01-23,-0,-7,0.1,6.9,1,1,3,08:53 AM,04:57 PM,09:25 AM,06:11 PM,-7,-9,-4,-9,25,23,77,0.1,1015,-0,10,224,12
2020-01-24,3,-4,0.0,5.1,1,1,0,09:38 AM,06:00 PM,09:24 AM,06:13 PM,-2,-2,1,-2,29,59,80,0.0,1007,3,10,238,14
2020-01-25,2,-2,0.0,8.7,2,2,0,10:12 AM,07:07 PM,09:23 AM,06:15 PM,-4,-5,-0,-5,29,14,76,0.0,1013,2,10,278,14
2020-01-26,-3,-8,0.0,5.1,1,1,4,10:40 AM,08:14 PM,09:22 AM,06:16 PM,-8,-9,-5,-9,19,33,81,0.0,1017,-3,10,174,10
2020-01-27,1,-5,0.0,8.7,2,2,11,11:03 AM,09:22 PM,09:20 AM,06:18 PM,-7,-8,-3,-8,28,14,77,0.0,1015,1,10,269,13
2020-01-28,-1,-6,0.0,3.4,1,1,18,11:23 AM,10:28 PM,09:19 AM,06:20 PM,-8,-8,-5,-8,18,38,79,0.2,1016,-1,10,264,9
2020-01-29,-1,-8,0.0,5.2,1,1,26,11:40 AM,11:34 PM,09:18 AM,06:22 PM,-8,-9,-5,-9,26,38,76,0.0,1016,-1,10,219,12
2020-01-30,1,-6,0.0,8.7,2,2,33,11:57 AM,No moonset,09:16 AM,06:23 PM,-6,-7,-3,-7,27,27,75,0.0,1019,1,10,222,13
2020-01-31,0,-6,0.0,8.7,2,2,37,12:14 PM,12:39 AM,09:15 AM,06:25 PM,-6,-5,-2,-5,15,29,76,0.0,1011,0,10,198,8
2020-02-01,7,-1,4.9,5.2,1,1,49,12:32 PM,01:45 AM,09:13 AM,06:27 PM,-1,0,4,0,41,39,76,6.6,997,7,8,175,22
2020-02-02,-4,-9,6.5,8.7,2,2,57,12:53 PM,02:52 AM,09:12 AM,06:29 PM,-11,-12,-7,-12,22,45,72,7.7,1016,-4,7,253,12
2020-02-03,-9,-13,0.3,7.0,1,1,64,01:19 PM,04:01 AM,09:10 AM,06:31 PM,-13,-16,-11,-16,18,54,86,0.4,1025,-9,9,260,10
2020-02-04,-5,-14,0.0,7.0,1,1,72,01:52 PM,05:11 AM,09:09 AM,06:32 PM,-14,-17,-10,-17,34,27,73,0.0,1021,-5,10,259,17
2020-02-05,-2,-9,0.0,7.0,1,1,79,02:34 PM,06:20 AM,09:07 AM,06:34 PM,-10,-12,-6,-12,39,28,73,0.0,1010,-2,10,274,19
2020-02-06,-1,-8,0.0,8.7,2,2,87,03:30 PM,07:24 AM,09:05 AM,06:36 PM,-9,-9,-4,-9,28,30,72,0.0,1010,-1,10,276,14
2020-02-07,-1,-9,0.0,8.7,2,2,95,04:37 PM,08:19 AM,09:04 AM,06:38 PM,-8,-9,-6,-9,14,49,82,0.0,1014,-1,10,220,8
2020-02-08,-5,-8,3.1,5.2,1,1,100,05:56 PM,09:04 AM,09:02 AM,06:40 PM,-8,-11,-6,-11,20,82,90,3.7,1016,-5,7,349,14
2020-02-09,-1,-10,0.9,6.4,1,1,100,07:21 PM,09:40 AM,09:00 AM,06:41 PM,-9,-11,-6,-11,28,58,77,1.1,1022,-1,8,288,15
2020-02-10,-1,-9,0.3,9.9,2,2,83,08:46 PM,10:09 AM,08:58 AM,06:43 PM,-10,-12,-6,-12,27,29,76,0.4,1027,-1,9,245,14
2020-02-11,1,-6,0.4,4.9,1,1,75,10:11 PM,10:34 AM,08:57 AM,06:45 PM,-7,-10,-4,-10,34,70,80,0.8,1013,1,7,297,19
2020-02-12,-10,-15,1.1,5.0,1,1,68,11:35 PM,10:56 AM,08:55 AM,06:47 PM,-13,-18,-12,-18,17,97,96,1.3,1030,-10,7,160,11
2020-02-13,0,-12,0.0,10.0,2,2,60,No moonrise,11:18 AM,08:53 AM,06:49 PM,-8,-10,-5,-10,20,31,83,0.1,1010,0,10,214,10
2020-02-14,-2,-7,2.2,8.3,1,1,53,12:56 AM,11:41 AM,08:51 AM,06:50 PM,-6,-9,-5,-9,15,63,89,2.7,1007,-2,7,135,9
2020-02-15,-3,-11,0.5,8.3,1,1,45,02:16 AM,12:06 PM,08:49 AM,06:52 PM,-9,-12,-8,-12,15,66,89,0.7,1014,-3,8,187,9
2020-02-16,-1,-8,0.3,10.0,1,1,38,03:34 AM,12:36 PM,08:47 AM,06:54 PM,-9,-8,-5,-8,15,49,77,0.3,1013,-1,9,248,8
2020-02-17,-9,-17,0.3,5.1,1,1,30,04:47 AM,01:12 PM,08:45 AM,06:56 PM,-14,-18,-12,-18,18,64,86,0.3,1026,-9,9,199,11
2020-02-18,-9,-18,0.5,8.3,1,1,22,05:54 AM,01:57 PM,08:43 AM,06:58 PM,-16,-19,-14,-19,13,76,90,0.6,1035,-9,8,180,8
2020-02-19,1,-12,0.0,10.2,2,2,15,06:50 AM,02:50 PM,08:42 AM,06:59 PM,-11,-12,-7,-12,22,7,74,0.0,1031,1,10,243,11
2020-02-20,3,-9,0.0,10.6,2,2,7,07:37 AM,03:50 PM,08:40 AM,07:01 PM,-9,-9,-4,-9,33,0,67,0.0,1023,3,10,279,16
2020-02-21,2,-6,0.2,10.0,1,1,0,08:14 AM,04:55 PM,08:38 AM,07:03 PM,-8,-9,-3,-9,38,23,69,0.2,1017,2,10,265,18
2020-02-22,-1,-5,0.1,10.0,1,1,0,08:43 AM,06:03 PM,08:36 AM,07:05 PM,-7,-7,-3,-7,25,52,74,0.3,1013,-1,10,328,14
2020-02-23,-3,-7,0.6,5.4,1,1,0,09:07 AM,07:10 PM,08:34 AM,07:06 PM,-7,-10,-5,-10,20,73,87,0.7,1014,-3,7,122,12
2020-02-24,-3,-10,2.0,6.9,1,1,0,09:28 AM,08:16 PM,08:31 AM,07:08 PM,-7,-10,-6,-10,14,82,92,2.3,1025,-3,6,184,9
