date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,14,0.0,4.0,3,3,37,11:03 AM,10:52 PM,06:45 AM,05:21 PM,8,14,14,14,17,53,65,0.3,1021,17,9,77,10
2020-01-02,24,12,0.0,5.6,4,4,44,11:35 AM,11:42 PM,06:45 AM,05:22 PM,11,17,18,17,15,51,69,0.8,1020,24,10,120,10
2020-01-03,21,15,0.0,4.0,4,4,51,12:07 PM,No moonset,06:45 AM,05:23 PM,14,17,17,17,14,79,84,16.1,1017,21,9,76,10
2020-01-04,21,13,0.0,5.6,4,4,59,12:39 PM,12:32 AM,06:46 AM,05:23 PM,13,17,18,17,10,57,77,0.1,1016,21,8,306,7
2020-01-05,23,14,0.0,8.7,5,5,66,01:12 PM,01:23 AM,06:46 AM,05:24 PM,11,18,19,18,14,4,65,0.0,1017,23,10,292,11
2020-01-06,24,14,0.0,8.7,5,5,73,01:49 PM,02:16 AM,06:46 AM,05:25 PM,8,18,18,18,12,11,54,0.0,1018,24,10,306,8
2020-01-07,26,16,0.0,8.7,6,6,80,02:28 PM,03:11 AM,06:46 AM,05:25 PM,9,20,20,20,8,13,52,0.0,1016,26,10,193,5
2020-01-08,21,14,0.0,5.6,4,4,88,03:14 PM,04:09 AM,06:46 AM,05:26 PM,11,17,17,17,23,61,68,7.4,1014,21,10,69,15
2020-01-09,17,12,0.0,4.1,4,4,95,04:05 PM,05:09 AM,06:46 AM,05:27 PM,13,15,16,15,17,57,86,3.0,1016,17,10,307,13
2020-01-10,20,12,0.0,8.7,5,5,100,05:03 PM,06:09 AM,06:47 AM,05:28 PM,9,15,15,15,14,4,68,0.0,1019,20,10,290,11
2020-01-11,20,11,0.0,8.7,5,5,100,06:06 PM,07:08 AM,06:47 AM,05:28 PM,6,16,16,16,9,1,53,0.0,1020,20,10,296,7
2020-01-12,22,12,0.0,8.7,5,5,83,07:11 PM,08:02 AM,06:47 AM,05:29 PM,7,17,18,17,10,1,52,0.0,1017,22,10,293,8
2020-01-13,26,15,0.0,8.7,6,6,76,08:17 PM,08:53 AM,06:47 AM,05:30 PM,8,20,20,20,8,1,47,0.0,1013,26,10,100,6
2020-01-14,26,15,0.0,8.7,6,6,69,09:22 PM,09:39 AM,06:47 AM,05:31 PM,8,20,20,20,9,7,48,0.0,1014,26,10,206,6
2020-01-15,23,17,0.0,8.7,5,5,61,10:24 PM,10:20 AM,06:47 AM,05:31 PM,10,18,19,18,9,36,58,0.0,1015,23,10,24,6
2020-01-16,25,15,0.0,8.7,5,5,54,11:26 PM,11:00 AM,06:47 AM,05:32 PM,12,18,19,18,18,36,68,0.2,1014,25,10,50,12
2020-01-17,22,14,0.0,7.2,4,4,47,No moonrise,11:39 AM,06:47 AM,05:33 PM,14,18,18,18,11,46,78,0.0,1015,22,10,221,7
2020-01-18,20,16,0.0,8.7,5,5,40,12:26 AM,12:18 PM,06:46 AM,05:34 PM,14,17,17,17,9,60,83,1.6,1016,20,10,135,6
2020-01-19,22,15,0.0,7.2,4,4,32,01:27 AM,12:59 PM,06:46 AM,05:34 PM,12,18,18,18,13,39,68,0.6,1018,22,10,295,10
2020-01-20,21,12,0.0,8.7,5,5,25,02:28 AM,01:42 PM,06:46 AM,05:35 PM,7,16,16,16,11,7,59,0.0,1018,21,10,306,8
2020-01-21,22,11,0.0,4.1,4,4,18,03:28 AM,02:29 PM,06:46 AM,05:36 PM,5,16,16,16,8,64,48,0.0,1019,22,10,46,5
2020-01-22,23,13,0.0,8.7,5,5,11,04:27 AM,03:20 PM,06:46 AM,05:37 PM,7,18,18,18,10,17,51,0.0,1019,23,10,336,7
2020-01-23,22,13,0.0,8.7,5,5,3,05:24 AM,04:13 PM,06:46 AM,05:37 PM,7,16,17,16,22,0,56,0.0,1017,22,10,278,16
2020-01-24,21,11,0.0,8.7,5,5,0,06:16 AM,05:08 PM,06:45 AM,05:38 PM,6,15,16,15,20,0,54,0.0,1017,21,10,275,15
2020-01-25,23,12,0.0,8.7,5,5,0,07:04 AM,06:04 PM,06:45 AM,05:39 PM,9,18,18,18,10,0,57,0.0,1016,23,10,308,9
2020-01-26,23,14,0.0,8.7,5,5,4,07:47 AM,06:59 PM,06:45 AM,05:40 PM,8,17,18,17,12,4,56,0.0,1015,23,10,300,9
2020-01-27,25,15,0.0,8.7,6,6,11,08:26 AM,07:52 PM,06:45 AM,05:40 PM,10,19,20,19,10,4,55,0.0,1013,25,10,306,7
2020-01-28,27,16,0.0,7.2,5,5,18,09:01 AM,08:43 PM,06:44 AM,05:41 PM,11,20,21,20,17,42,56,1.8,1011,27,10,104,10
2020-01-29,26,15,0.0,8.7,5,5,26,09:35 AM,09:34 PM,06:44 AM,05:42 PM,12,20,21,20,13,34,63,0.1,1014,26,10,336,8
2020-01-30,23,14,0.0,8.7,5,5,33,10:06 AM,10:24 PM,06:44 AM,05:43 PM,10,18,18,18,20,5,64,0.0,1016,23,10,297,14
2020-01-31,24,13,0.0,8.7,5,5,37,10:37 AM,11:14 PM,06:43 AM,05:43 PM,8,18,18,18,12,0,54,0.0,1016,24,10,290,9
2020-02-01,22,13,0.0,8.7,5,5,49,11:10 AM,No moonset,06:43 AM,05:44 PM,7,18,18,18,11,4,52,0.0,1018,22,10,314,8
2020-02-02,23,14,0.0,8.7,5,5,57,11:44 AM,12:05 AM,06:42 AM,05:45 PM,8,18,19,18,11,0,53,0.0,1020,23,10,305,9
2020-02-03,24,12,0.0,8.7,5,5,64,12:21 PM,12:58 AM,06:42 AM,05:45 PM,6,18,19,18,9,0,46,0.0,1019,24,10,300,7
2020-02-04,24,14,0.0,8.7,5,5,72,01:03 PM,01:54 AM,06:41 AM,05:46 PM,7,18,18,18,11,24,49,0.0,1016,24,10,57,7
2020-02-05,24,14,0.0,8.7,5,5,79,01:51 PM,02:51 AM,06:41 AM,05:47 PM,9,18,19,18,13,6,54,0.0,1016,24,10,306,10
2020-02-06,24,13,0.0,8.7,5,5,87,02:45 PM,03:51 AM,06:40 AM,05:47 PM,8,18,18,18,13,13,55,0.0,1016,24,10,233,8
2020-02-07,24,13,0.0,8.7,5,5,95,03:45 PM,04:50 AM,06:40 AM,05:48 PM,8,18,19,18,14,10,55,0.0,1018,24,10,49,9
2020-02-08,23,14,0.0,8.7,5,5,100,04:50 PM,05:47 AM,06:39 AM,05:49 PM,6,18,18,18,11,14,48,0.0,1020,23,10,218,8
2020-02-09,25,13,0.0,8.7,6,6,100,05:57 PM,06:40 AM,06:39 AM,05:49 PM,8,19,20,19,7,0,50,0.0,1021,25,10,120,6
2020-02-10,26,12,0.0,8.7,6,6,83,07:04 PM,07:29 AM,06:38 AM,05:50 PM,9,20,20,20,9,2,52,0.0,1019,26,10,314,7
2020-02-11,26,14,0.0,8.7,6,6,75,08:10 PM,08:14 AM,06:37 AM,05:51 PM,7,20,20,20,9,0,46,0.0,1019,26,10,295,7
2020-02-12,25,14,0.0,8.7,6,6,68,09:15 PM,08:56 AM,06:37 AM,05:51 PM,8,20,20,20,11,0,46,0.0,1018,25,10,306,9
2020-02-13,28,16,0.0,8.7,6,6,60,10:18 PM,09:37 AM,06:36 AM,05:52 PM,11,22,22,22,17,0,52,0.0,1014,28,10,296,13
2020-02-14,29,17,0.0,8.7,6,6,53,11:21 PM,10:17 AM,06:35 AM,05:53 PM,10,23,23,22,26,2,51,0.0,1011,29,10,290,17
2020-02-15,26,13,0.0,8.7,6,6,45,No moonrise,10:58 AM,06:35 AM,05:53 PM,6,19,20,19,19,18,43,0.0,1013,26,10,303,12
2020-02-16,29,15,0.0,8.7,6,6,38,12:22 AM,11:41 AM,06:34 AM,05:54 PM,11,23,23,22,8,2,49,0.0,1016,29,10,312,6
2020-02-17,28,16,0.0,8.7,6,6,30,01:23 AM,12:27 PM,06:33 AM,05:55 PM,10,22,22,22,13,0,49,0.0,1017,28,10,300,10
2020-02-18,29,16,0.0,8.7,6,6,22,02:22 AM,01:16 PM,06:32 AM,05:55 PM,7,22,22,23,12,0,38,0.0,1015,29,10,301,9
2020-02-19,29,17,0.0,8.7,5,5,15,03:20 AM,02:08 PM,06:32 AM,05:56 PM,5,22,22,22,12,36,33,0.0,1015,29,10,186,7
2020-02-20,30,17,0.0,5.7,5,5,7,04:12 AM,03:02 PM,06:31 AM,05:56 PM,5,23,23,23,19,56,35,0.0,1014,30,10,80,11
2020-02-21,29,17,0.0,8.7,6,6,0,05:01 AM,03:57 PM,06:30 AM,05:57 PM,9,23,23,22,28,23,42,0.3,1016,29,10,76,17
2020-02-22,32,17,0.0,4.2,5,5,0,05:45 AM,04:52 PM,06:29 AM,05:57 PM,14,23,23,23,23,79,59,4.8,1017,32,10,146,14
2020-02-23,30,18,0.0,7.2,5,5,0,06:24 AM,05:45 PM,06:28 AM,05:58 PM,15,24,24,24,10,50,62,1.5,1015,30,10,268,7
2020-02-24,29,19,0.0,8.7,7,7,0,07:01 AM,06:37 PM,06:27 AM,05:59 PM,14,24,24,24,9,29,55,0.2,1012,29,10,265,6
2020-02-25,28,17,0.0,7.2,5,5,8,07:35 AM,07:28 PM,06:27 AM,05:59 PM,12,23,23,22,12,41,54,2.1,1012,28,10,299,8
