date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,38,23,0.0,12.5,8,8,37,10:51 AM,11:11 PM,05:58 AM,06:05 PM,18,31,31,29,6,15,53,0.0,1008,38,10,143,4
2020-01-02,38,23,0.0,12.5,8,8,44,11:33 AM,11:52 PM,05:59 AM,06:05 PM,18,30,30,28,7,19,57,0.0,1009,38,10,301,4
2020-01-03,34,24,0.0,12.5,7,7,51,12:13 PM,No moonset,05:59 AM,06:05 PM,13,28,28,27,6,15,43,0.0,1010,34,10,43,4
2020-01-04,36,21,0.0,12.5,8,8,59,12:55 PM,12:33 AM,05:59 AM,06:06 PM,9,30,30,29,6,19,32,0.0,1010,36,10,258,4
2020-01-05,36,21,0.0,12.1,8,8,66,01:38 PM,01:15 AM,06:00 AM,06:06 PM,12,30,30,28,5,13,40,0.0,1010,36,10,121,3
2020-01-06,37,21,0.0,12.1,8,8,73,02:23 PM,01:59 AM,06:00 AM,06:07 PM,12,30,30,29,6,12,38,0.0,1009,37,10,76,4
2020-01-07,37,22,0.0,11.6,8,8,80,03:12 PM,02:46 AM,06:01 AM,06:07 PM,12,31,31,30,7,13,38,0.0,1008,37,10,53,5
2020-01-08,38,23,0.0,11.6,8,8,88,04:05 PM,03:38 AM,06:01 AM,06:08 PM,12,32,32,31,7,16,36,0.0,1008,38,10,156,4
2020-01-09,35,24,0.0,8.8,7,7,95,05:01 PM,04:32 AM,06:02 AM,06:08 PM,19,30,30,28,10,44,62,1.4,1010,35,9,292,7
2020-01-10,32,22,0.0,8.8,6,6,100,06:01 PM,05:31 AM,06:02 AM,06:08 PM,20,28,28,25,11,63,78,9.6,1012,32,9,233,7
2020-01-11,34,22,0.0,11.6,7,7,100,07:00 PM,06:30 AM,06:02 AM,06:09 PM,19,29,29,27,8,37,65,0.0,1012,34,10,236,5
