date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,20,8,0.0,5.5,3,3,37,11:22 AM,11:05 PM,07:08 AM,05:29 PM,1,13,13,13,12,51,45,0.0,1021,20,10,142,7
2020-01-02,20,11,0.0,8.7,4,4,44,11:52 AM,11:57 PM,07:08 AM,05:29 PM,7,15,15,15,10,45,57,0.0,1021,20,9,118,5
2020-01-03,21,12,0.0,3.8,4,4,51,12:22 PM,No moonset,07:09 AM,05:30 PM,11,16,16,16,8,83,74,3.9,1018,21,9,62,5
2020-01-04,21,12,0.0,8.7,4,4,59,12:53 PM,12:49 AM,07:09 AM,05:31 PM,10,16,16,16,11,34,71,0.3,1016,21,9,265,7
2020-01-05,20,11,0.0,8.7,5,5,66,01:25 PM,01:42 AM,07:09 AM,05:31 PM,6,14,14,14,21,14,57,0.0,1016,20,10,297,13
2020-01-06,19,10,0.0,7.1,4,4,73,01:59 PM,02:36 AM,07:09 AM,05:32 PM,4,14,14,14,23,50,52,0.0,1018,19,10,306,13
2020-01-07,15,13,0.0,3.8,3,3,80,02:38 PM,03:33 AM,07:09 AM,05:33 PM,10,13,14,13,16,70,78,4.1,1017,15,7,143,9
2020-01-08,19,12,0.0,7.1,4,4,88,03:22 PM,04:32 AM,07:09 AM,05:34 PM,11,14,15,14,19,67,80,22.4,1015,19,9,119,13
2020-01-09,19,10,0.0,8.7,4,4,95,04:13 PM,05:33 AM,07:09 AM,05:35 PM,8,12,13,12,18,15,72,7.1,1018,19,10,306,13
2020-01-10,20,9,0.0,8.7,4,4,100,05:11 PM,06:33 AM,07:09 AM,05:35 PM,6,12,13,12,20,5,65,0.0,1018,20,10,286,13
2020-01-11,20,8,0.0,8.7,4,4,100,06:14 PM,07:32 AM,07:10 AM,05:36 PM,6,12,13,12,15,14,65,0.0,1018,20,10,266,9
2020-01-12,22,9,0.0,8.7,5,5,83,07:20 PM,08:25 AM,07:10 AM,05:37 PM,7,15,16,15,13,8,59,0.0,1015,22,10,280,9
2020-01-13,22,13,0.0,7.1,4,4,76,08:27 PM,09:14 AM,07:09 AM,05:38 PM,8,16,16,16,12,37,59,4.2,1012,22,10,128,7
2020-01-14,22,14,0.0,8.7,5,5,69,09:34 PM,09:58 AM,07:09 AM,05:38 PM,12,16,17,16,11,39,76,1.9,1015,22,10,138,6
2020-01-15,22,13,0.0,8.7,5,5,61,10:38 PM,10:38 AM,07:09 AM,05:39 PM,10,17,17,17,11,25,68,0.0,1015,22,10,278,7
2020-01-16,17,13,0.0,5.5,4,4,54,11:42 PM,11:16 AM,07:09 AM,05:40 PM,11,15,15,15,10,77,80,9.0,1015,17,9,145,6
2020-01-17,18,12,0.0,3.9,3,3,47,No moonrise,11:53 AM,07:09 AM,05:41 PM,12,14,14,14,23,85,87,39.9,1016,18,7,98,12
2020-01-18,20,11,0.0,3.9,4,4,40,12:45 AM,12:30 PM,07:09 AM,05:42 PM,12,14,14,14,11,79,85,11.0,1017,20,9,190,7
2020-01-19,20,11,0.0,8.7,5,5,32,01:47 AM,01:09 PM,07:09 AM,05:43 PM,10,13,14,13,20,3,77,0.0,1017,20,10,289,12
2020-01-20,20,8,0.0,8.7,4,4,25,02:49 AM,01:51 PM,07:09 AM,05:43 PM,8,13,14,13,14,17,72,0.0,1017,20,9,275,8
