date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,15,0.0,10.9,5,5,37,11:49 AM,11:42 PM,07:27 AM,06:13 PM,8,19,20,19,24,8,50,0.0,1014,24,10,39,14
2020-01-02,25,17,0.0,10.9,6,6,44,12:22 PM,No moonset,07:28 AM,06:13 PM,11,20,21,20,22,5,59,0.0,1016,25,10,29,14
2020-01-03,25,17,0.0,10.9,6,6,51,12:55 PM,12:31 AM,07:28 AM,06:14 PM,10,20,20,20,23,8,56,0.0,1017,25,10,25,14
2020-01-04,25,16,0.0,10.9,6,6,59,01:28 PM,01:20 AM,07:28 AM,06:15 PM,9,20,20,20,22,4,50,0.0,1015,25,10,33,13
2020-01-05,28,16,0.0,10.9,6,6,66,02:02 PM,02:10 AM,07:28 AM,06:15 PM,6,21,21,21,28,1,41,0.0,1015,28,10,88,17
2020-01-06,31,17,0.0,10.9,6,6,73,02:39 PM,03:02 AM,07:29 AM,06:16 PM,6,24,24,23,23,9,37,0.0,1014,31,10,203,13
2020-01-07,28,19,0.0,10.9,6,6,80,03:21 PM,03:57 AM,07:29 AM,06:17 PM,10,23,23,22,19,9,46,0.0,1013,28,10,232,12
2020-01-08,25,17,0.0,10.9,6,6,88,04:07 PM,04:54 AM,07:29 AM,06:17 PM,9,20,21,20,24,4,52,0.0,1014,25,10,120,15
2020-01-09,23,14,0.0,10.9,5,5,95,04:59 PM,05:53 AM,07:29 AM,06:18 PM,2,17,18,17,29,0,37,0.0,1017,23,10,51,18
2020-01-10,24,12,0.0,10.9,5,5,100,05:57 PM,06:53 AM,07:29 AM,06:19 PM,2,17,18,17,33,0,37,0.0,1016,24,10,64,20
2020-01-11,29,14,0.0,10.9,6,6,100,07:00 PM,07:52 AM,07:30 AM,06:19 PM,6,21,22,21,30,2,39,0.0,1014,29,10,90,18
2020-01-12,30,19,0.0,10.9,6,6,83,08:04 PM,08:47 AM,07:30 AM,06:20 PM,13,23,23,23,24,1,55,0.0,1013,30,10,242,15
2020-01-13,24,16,0.0,8.5,4,4,76,09:09 PM,09:38 AM,07:30 AM,06:21 PM,11,19,19,19,24,35,65,1.8,1012,24,9,336,17
2020-01-14,24,13,0.0,10.9,5,5,69,10:12 PM,10:24 AM,07:30 AM,06:21 PM,7,18,19,18,16,0,49,0.0,1014,24,10,320,9
2020-01-15,23,13,0.0,10.9,5,5,61,11:14 PM,11:07 AM,07:30 AM,06:22 PM,3,18,18,18,21,0,40,0.0,1013,23,10,243,13
2020-01-16,22,13,0.0,10.9,5,5,54,No moonrise,11:48 AM,07:30 AM,06:23 PM,4,16,17,16,28,0,43,0.0,1015,22,10,340,18
2020-01-17,23,13,0.0,10.9,5,5,47,12:14 AM,12:28 PM,07:30 AM,06:24 PM,5,17,18,17,22,0,47,0.0,1016,23,10,18,14
2020-01-18,24,13,0.0,10.9,5,5,40,01:14 AM,01:08 PM,07:30 AM,06:24 PM,2,18,19,18,25,0,37,0.0,1016,24,10,23,15
2020-01-19,25,15,0.0,11.0,6,6,32,02:13 AM,01:50 PM,07:30 AM,06:25 PM,5,19,20,19,34,3,39,0.0,1016,25,10,43,20
2020-01-20,27,14,0.0,11.0,6,6,25,03:13 AM,02:34 PM,07:30 AM,06:26 PM,3,20,20,20,25,3,35,0.0,1015,27,10,48,14
