date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,8.7,4,4,37,11:23 AM,11:10 PM,07:06 AM,05:37 PM,4,11,12,11,20,20,59,0.0,1021,18,10,97,12
2020-01-02,19,9,0.0,8.7,3,3,44,11:55 AM,No moonset,07:06 AM,05:37 PM,8,13,14,13,18,37,67,0.0,1020,19,10,68,10
2020-01-03,21,12,0.0,7.1,4,4,51,12:25 PM,12:01 AM,07:07 AM,05:38 PM,11,16,16,16,12,61,76,0.4,1017,21,10,18,7
2020-01-04,21,12,0.0,8.7,5,5,59,12:57 PM,12:51 AM,07:07 AM,05:39 PM,11,16,16,16,6,11,72,0.0,1017,21,10,250,4
2020-01-05,22,12,0.0,8.7,5,5,66,01:30 PM,01:43 AM,07:07 AM,05:40 PM,8,16,16,16,9,3,62,0.0,1018,22,10,184,6
2020-01-06,23,12,0.0,8.7,5,5,73,02:05 PM,02:36 AM,07:07 AM,05:40 PM,8,17,17,17,12,34,56,0.0,1019,23,10,200,7
2020-01-07,24,14,0.0,8.7,5,5,80,02:45 PM,03:33 AM,07:07 AM,05:41 PM,8,18,18,18,22,24,56,0.0,1015,24,10,123,13
2020-01-08,21,12,0.0,3.9,4,4,88,03:31 PM,04:30 AM,07:08 AM,05:42 PM,11,15,16,15,21,63,74,1.1,1013,21,9,97,13
2020-01-09,18,9,0.0,8.7,4,4,95,04:21 PM,05:31 AM,07:08 AM,05:42 PM,6,11,12,11,20,23,70,0.0,1019,18,8,335,12
2020-01-10,18,6,0.0,8.7,4,4,100,05:20 PM,06:31 AM,07:08 AM,05:43 PM,3,11,11,11,14,0,58,0.0,1020,18,10,327,8
2020-01-11,20,7,0.0,8.7,4,4,100,06:22 PM,07:30 AM,07:08 AM,05:44 PM,2,12,12,12,10,8,51,0.0,1020,20,10,207,5
2020-01-12,23,10,0.0,8.7,5,5,83,07:28 PM,08:24 AM,07:08 AM,05:45 PM,2,16,15,16,8,2,42,0.0,1017,23,10,185,5
2020-01-13,27,13,0.0,8.7,5,5,76,08:34 PM,09:14 AM,07:08 AM,05:45 PM,5,18,18,18,13,19,44,0.5,1011,27,10,107,7
2020-01-14,22,12,0.0,8.7,5,5,69,09:40 PM,09:59 AM,07:08 AM,05:46 PM,10,16,16,16,11,40,68,0.0,1014,22,10,92,6
2020-01-15,20,12,0.0,7.1,4,4,61,10:43 PM,10:40 AM,07:08 AM,05:47 PM,11,15,15,15,15,61,78,0.9,1016,20,10,91,9
2020-01-16,16,14,0.0,3.9,4,4,54,11:45 PM,11:19 AM,07:08 AM,05:48 PM,14,15,15,15,17,95,94,11.5,1014,16,9,93,12
2020-01-17,19,14,0.0,5.5,4,4,47,No moonrise,11:57 AM,07:08 AM,05:49 PM,12,16,16,16,9,51,82,0.2,1016,19,9,283,6
2020-01-18,20,12,0.0,7.1,4,4,40,12:46 AM,12:35 PM,07:08 AM,05:49 PM,10,15,15,15,10,25,76,0.0,1018,20,10,127,6
2020-01-19,20,11,0.0,8.7,5,5,32,01:48 AM,01:16 PM,07:07 AM,05:50 PM,8,14,14,14,12,5,69,0.0,1019,20,10,226,7
2020-01-20,19,10,0.0,8.7,4,4,25,02:49 AM,01:59 PM,07:07 AM,05:51 PM,4,13,13,13,10,14,54,0.0,1018,19,10,224,6
2020-01-21,21,10,0.0,8.7,5,5,18,03:50 AM,02:45 PM,07:07 AM,05:52 PM,6,14,15,14,15,22,59,0.0,1018,21,10,106,9
2020-01-22,21,11,0.0,8.7,5,5,11,04:49 AM,03:36 PM,07:07 AM,05:52 PM,6,14,15,14,14,0,59,0.0,1020,21,10,346,8
2020-01-23,20,9,0.0,8.7,4,4,3,05:46 AM,04:29 PM,07:07 AM,05:53 PM,5,13,13,13,21,0,57,0.0,1020,20,10,314,12
2020-01-24,21,9,0.0,8.7,5,5,0,06:38 AM,05:25 PM,07:06 AM,05:54 PM,3,14,15,14,18,0,46,0.0,1018,21,10,297,11
2020-01-25,21,10,0.0,8.7,5,5,0,07:26 AM,06:20 PM,07:06 AM,05:55 PM,2,15,15,15,9,2,43,0.0,1017,21,10,219,5
2020-01-26,23,12,0.0,8.7,5,5,4,08:08 AM,07:16 PM,07:06 AM,05:56 PM,5,17,17,17,8,3,48,0.0,1015,23,10,201,5
2020-01-27,24,14,0.0,7.1,4,4,11,08:46 AM,08:09 PM,07:05 AM,05:56 PM,8,18,18,18,16,20,55,0.0,1012,24,10,92,9
2020-01-28,23,14,0.0,8.7,4,4,18,09:22 AM,09:01 PM,07:05 AM,05:57 PM,9,17,18,17,21,39,59,0.0,1010,23,10,258,12
2020-01-29,23,13,0.0,8.7,5,5,26,09:54 AM,09:53 PM,07:05 AM,05:58 PM,8,17,17,17,17,11,55,0.0,1016,23,10,324,10
2020-01-30,21,10,0.0,8.7,5,5,33,10:25 AM,10:43 PM,07:04 AM,05:59 PM,5,14,14,14,17,4,54,0.0,1018,21,10,326,10
2020-01-31,21,10,0.0,8.7,5,5,37,10:56 AM,11:34 PM,07:04 AM,05:59 PM,6,15,15,15,10,3,54,0.0,1016,21,10,186,5
2020-02-01,21,9,0.0,11.0,5,5,49,11:28 AM,No moonset,07:03 AM,06:00 PM,6,15,15,15,11,6,55,0.0,1019,21,10,265,7
2020-02-02,21,10,0.0,11.0,5,5,57,12:01 PM,12:25 AM,07:03 AM,06:01 PM,4,15,15,15,12,0,50,0.0,1021,21,10,329,7
2020-02-03,22,10,0.0,11.0,5,5,64,12:38 PM,01:19 AM,07:02 AM,06:02 PM,4,15,15,15,10,0,48,0.0,1019,22,10,167,5
2020-02-04,22,10,0.0,11.0,5,5,72,01:20 PM,02:15 AM,07:02 AM,06:02 PM,5,15,16,15,18,13,51,0.0,1017,22,10,73,10
2020-02-05,22,11,0.0,11.0,5,5,79,02:07 PM,03:13 AM,07:01 AM,06:03 PM,6,16,16,16,11,7,53,0.0,1018,22,10,228,6
2020-02-06,23,10,0.0,11.0,5,5,87,03:01 PM,04:12 AM,07:01 AM,06:04 PM,5,16,17,16,12,5,52,0.0,1017,23,10,159,6
2020-02-07,22,10,0.0,11.0,5,5,95,04:01 PM,05:12 AM,07:00 AM,06:04 PM,5,15,15,15,15,5,54,0.0,1019,22,10,257,9
2020-02-08,22,10,0.0,11.5,5,5,100,05:06 PM,06:09 AM,06:59 AM,06:05 PM,4,15,15,15,10,0,51,0.0,1022,22,10,123,7
2020-02-09,23,10,0.0,11.5,5,5,100,06:14 PM,07:02 AM,06:59 AM,06:06 PM,5,16,17,16,7,7,50,0.0,1022,23,10,116,4
2020-02-10,24,10,0.0,10.1,4,4,83,07:22 PM,07:50 AM,06:58 AM,06:07 PM,4,17,17,17,8,18,46,0.0,1020,24,10,188,5
