date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,23,13,0.0,8.7,5,5,37,10:47 AM,10:35 PM,06:30 AM,05:05 PM,10,17,18,17,9,41,60,0.0,1020,23,10,178,5
2020-01-02,24,14,0.0,5.6,5,5,44,11:20 AM,11:26 PM,06:30 AM,05:06 PM,11,19,19,19,7,57,60,0.4,1020,24,10,149,5
2020-01-03,23,16,0.0,7.1,4,4,51,11:51 AM,No moonset,06:30 AM,05:06 PM,13,19,19,19,7,56,70,1.5,1017,23,10,247,5
2020-01-04,24,15,0.0,5.6,5,5,59,12:23 PM,12:16 AM,06:30 AM,05:07 PM,13,19,20,19,10,37,69,0.5,1014,24,10,253,6
2020-01-05,22,14,0.0,8.7,5,5,66,12:56 PM,01:07 AM,06:31 AM,05:08 PM,11,18,19,18,19,2,67,0.0,1015,22,10,286,14
2020-01-06,23,13,0.0,8.7,5,5,73,01:32 PM,02:00 AM,06:31 AM,05:09 PM,8,17,17,17,14,3,58,0.0,1017,23,10,297,10
2020-01-07,22,14,0.0,8.7,5,5,80,02:12 PM,02:55 AM,06:31 AM,05:09 PM,8,18,18,18,7,9,53,0.0,1016,22,10,311,5
2020-01-08,24,14,0.0,8.7,5,5,88,02:57 PM,03:53 AM,06:31 AM,05:10 PM,8,19,19,19,9,33,50,0.0,1015,24,10,71,6
2020-01-09,23,16,0.0,5.6,4,4,95,03:49 PM,04:53 AM,06:31 AM,05:11 PM,14,18,19,18,16,61,76,2.2,1015,23,9,123,10
2020-01-10,21,12,0.0,8.7,5,5,100,04:46 PM,05:53 AM,06:31 AM,05:11 PM,12,15,16,15,22,28,78,0.0,1016,21,10,286,15
2020-01-11,20,13,0.0,8.7,5,5,100,05:49 PM,06:52 AM,06:31 AM,05:12 PM,10,16,16,16,19,0,69,0.0,1017,20,10,290,14
2020-01-12,22,12,0.0,8.7,5,5,83,06:54 PM,07:47 AM,06:31 AM,05:13 PM,9,16,17,16,17,0,61,0.0,1015,22,10,281,12
2020-01-13,24,12,0.0,8.7,5,5,76,08:00 PM,08:37 AM,06:32 AM,05:14 PM,9,18,18,18,9,0,57,0.0,1013,24,10,292,8
2020-01-14,26,16,0.0,8.7,6,6,69,09:05 PM,09:23 AM,06:32 AM,05:14 PM,10,20,21,20,6,1,53,0.0,1013,26,10,281,5
2020-01-15,26,15,0.0,8.7,6,6,61,10:08 PM,10:05 AM,06:31 AM,05:15 PM,10,20,20,20,7,6,53,0.0,1014,26,10,291,4
2020-01-16,27,16,0.0,8.7,6,6,54,11:10 PM,10:44 AM,06:31 AM,05:16 PM,12,21,21,21,12,10,57,0.0,1014,27,10,70,7
2020-01-17,29,17,0.0,8.7,6,6,47,No moonrise,11:23 AM,06:31 AM,05:17 PM,12,22,22,22,18,18,55,0.0,1015,29,10,98,11
2020-01-18,23,17,0.0,8.7,5,5,40,12:10 AM,12:02 PM,06:31 AM,05:18 PM,14,20,20,20,14,36,68,0.0,1014,23,10,311,9
2020-01-19,22,11,0.0,4.1,4,4,32,01:11 AM,12:42 PM,06:31 AM,05:18 PM,13,18,18,18,18,56,72,3.1,1015,22,9,281,12
