date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:27 AM,11:09 PM,07:14 AM,05:32 PM,-1,12,13,12,12,39,40,0.0,1021,19,10,130,7
2020-01-02,22,11,0.0,8.7,4,4,44,11:57 AM,No moonset,07:14 AM,05:32 PM,6,15,16,15,11,26,53,0.0,1021,22,10,186,6
2020-01-03,21,12,0.0,3.8,4,4,51,12:26 PM,12:01 AM,07:14 AM,05:33 PM,10,15,15,15,9,46,70,10.5,1018,21,9,183,5
2020-01-04,20,12,0.0,8.7,5,5,59,12:57 PM,12:53 AM,07:15 AM,05:34 PM,9,15,15,15,10,5,65,0.0,1017,20,10,301,6
2020-01-05,19,10,0.0,8.7,4,4,66,01:29 PM,01:47 AM,07:15 AM,05:34 PM,5,13,14,13,17,21,57,0.0,1017,19,10,307,10
2020-01-06,17,11,0.0,7.1,3,3,73,02:03 PM,02:41 AM,07:15 AM,05:35 PM,5,12,13,12,19,60,57,0.6,1019,17,9,333,11
2020-01-07,15,12,0.0,3.8,3,3,80,02:41 PM,03:39 AM,07:15 AM,05:36 PM,11,13,13,13,13,75,87,11.7,1017,15,9,94,8
2020-01-08,15,4,0.0,3.8,3,3,88,03:26 PM,04:38 AM,07:15 AM,05:37 PM,10,10,11,10,21,73,89,19.6,1015,15,8,142,12
2020-01-09,16,8,0.0,8.7,4,4,95,04:16 PM,05:39 AM,07:15 AM,05:38 PM,6,10,11,10,17,2,75,0.0,1019,16,10,305,11
2020-01-10,18,7,0.0,8.7,4,4,100,05:14 PM,06:39 AM,07:15 AM,05:38 PM,5,9,11,9,21,7,68,0.0,1019,18,10,302,12
2020-01-11,18,7,0.0,8.7,4,4,100,06:17 PM,07:38 AM,07:15 AM,05:39 PM,5,11,12,11,17,19,66,0.0,1018,18,10,289,10
2020-01-12,20,8,0.0,8.7,5,5,83,07:24 PM,08:31 AM,07:15 AM,05:40 PM,6,14,14,14,13,15,61,0.0,1015,20,10,290,8
2020-01-13,19,13,0.0,5.5,4,4,76,08:31 PM,09:20 AM,07:15 AM,05:41 PM,8,15,15,15,13,41,65,4.2,1012,19,10,134,8
2020-01-14,21,13,0.0,8.7,4,4,69,09:38 PM,10:04 AM,07:15 AM,05:42 PM,11,16,16,16,11,50,76,0.0,1015,21,10,213,7
2020-01-15,20,11,0.0,8.7,5,5,61,10:43 PM,10:43 AM,07:15 AM,05:42 PM,10,15,15,15,13,23,71,0.0,1016,20,10,237,8
