date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,5.8,5,5,37,11:18 AM,11:23 PM,06:44 AM,06:09 PM,19,23,23,23,14,65,79,10.4,1014,28,8,100,10
2020-01-02,28,19,0.0,5.8,5,5,44,11:55 AM,No moonset,06:44 AM,06:10 PM,19,25,25,23,10,78,79,1.6,1015,28,8,93,8
2020-01-03,31,20,0.0,11.6,7,7,51,12:31 PM,12:08 AM,06:45 AM,06:10 PM,19,26,26,25,8,34,71,0.2,1014,31,10,103,6
2020-01-04,30,21,0.0,8.7,6,6,59,01:08 PM,12:54 AM,06:45 AM,06:11 PM,18,27,27,25,7,46,68,0.6,1013,30,10,226,5
2020-01-05,29,21,0.0,7.3,6,6,66,01:47 PM,01:40 AM,06:45 AM,06:11 PM,18,26,26,24,11,61,71,1.8,1012,29,10,113,7
2020-01-06,29,19,0.0,10.2,6,6,73,02:27 PM,02:28 AM,06:46 AM,06:12 PM,18,25,25,24,18,39,74,0.0,1014,29,9,93,14
2020-01-07,29,19,0.0,11.6,6,6,80,03:12 PM,03:19 AM,06:46 AM,06:12 PM,17,24,24,23,20,35,71,0.2,1014,29,9,95,14
2020-01-08,30,18,0.0,11.6,6,6,88,04:02 PM,04:12 AM,06:46 AM,06:13 PM,16,25,25,24,10,25,67,0.0,1013,30,9,90,8
2020-01-09,30,18,0.0,11.6,6,6,95,04:56 PM,05:09 AM,06:47 AM,06:13 PM,17,24,24,23,11,18,68,0.0,1013,30,10,95,8
2020-01-10,29,19,0.0,11.6,6,6,100,05:54 PM,06:08 AM,06:47 AM,06:14 PM,16,24,24,23,18,21,68,0.0,1013,29,10,92,13
2020-01-11,28,16,0.0,11.6,6,6,100,06:55 PM,07:07 AM,06:47 AM,06:15 PM,13,22,22,22,18,4,61,0.0,1014,28,10,77,13
2020-01-12,28,15,0.0,11.6,6,6,83,07:57 PM,08:04 AM,06:48 AM,06:15 PM,14,23,23,22,19,10,65,0.0,1014,28,9,96,13
2020-01-13,30,18,0.0,11.6,6,6,76,08:58 PM,08:59 AM,06:48 AM,06:16 PM,15,24,24,24,7,11,63,0.0,1012,30,10,85,6
2020-01-14,30,18,0.0,11.6,6,6,69,09:57 PM,09:50 AM,06:48 AM,06:16 PM,16,25,25,25,10,13,65,0.0,1012,30,10,106,8
2020-01-15,29,18,0.0,11.6,6,6,61,10:54 PM,10:37 AM,06:48 AM,06:17 PM,13,24,24,23,13,6,55,0.0,1012,29,10,93,10
2020-01-16,30,17,0.0,11.6,6,6,54,11:49 PM,11:23 AM,06:48 AM,06:17 PM,14,25,25,24,10,11,58,0.0,1013,30,10,112,7
2020-01-17,30,18,0.0,11.6,6,6,47,No moonrise,12:07 PM,06:49 AM,06:18 PM,14,25,25,24,13,9,58,0.0,1013,30,10,119,9
2020-01-18,29,18,0.0,10.2,6,6,40,12:44 AM,12:52 PM,06:49 AM,06:18 PM,17,24,24,23,17,34,71,0.0,1012,29,10,91,13
2020-01-19,29,19,0.0,5.9,6,6,32,01:39 AM,01:39 PM,06:49 AM,06:19 PM,17,25,25,24,17,59,69,1.1,1013,29,8,92,13
2020-01-20,30,18,0.0,10.2,6,6,25,02:34 AM,02:26 PM,06:49 AM,06:19 PM,15,26,26,25,17,30,62,0.4,1014,30,9,93,13
2020-01-21,30,19,0.0,11.6,7,7,18,03:31 AM,03:17 PM,06:49 AM,06:20 PM,13,25,25,24,19,7,56,0.0,1015,30,10,89,14
2020-01-22,30,17,0.0,11.6,6,6,11,04:27 AM,04:10 PM,06:49 AM,06:20 PM,15,24,24,23,22,9,64,0.0,1015,30,10,89,17
2020-01-23,30,17,0.0,11.6,6,6,3,05:23 AM,05:04 PM,06:49 AM,06:21 PM,16,24,24,23,22,18,65,0.0,1014,30,10,88,16
2020-01-24,31,17,0.0,11.6,7,7,0,06:15 AM,05:58 PM,06:49 AM,06:21 PM,12,25,25,24,20,5,52,0.0,1014,31,10,90,14
2020-01-25,31,19,0.0,11.6,7,7,0,07:06 AM,06:50 PM,06:49 AM,06:22 PM,8,25,25,25,13,0,38,0.0,1014,31,10,76,9
2020-01-26,34,19,0.0,11.6,7,7,4,07:52 AM,07:42 PM,06:49 AM,06:22 PM,8,27,27,27,8,0,35,0.0,1013,34,10,71,6
2020-01-27,33,20,0.0,11.6,7,7,11,08:34 AM,08:30 PM,06:49 AM,06:23 PM,13,28,28,27,11,5,52,0.0,1013,33,10,100,9
2020-01-28,32,19,0.0,11.6,7,7,18,09:15 AM,09:17 PM,06:49 AM,06:23 PM,16,26,26,25,10,27,62,0.0,1013,32,9,192,7
2020-01-29,33,19,0.0,11.6,7,7,26,09:52 AM,10:03 PM,06:49 AM,06:24 PM,15,28,28,27,10,9,55,0.0,1014,33,10,121,7
2020-01-30,34,21,0.0,11.6,7,7,33,10:29 AM,10:47 PM,06:49 AM,06:24 PM,15,28,28,28,8,5,54,0.0,1013,34,10,150,6
2020-01-31,34,21,0.0,11.6,7,7,37,11:05 AM,11:33 PM,06:49 AM,06:24 PM,15,29,29,28,8,8,54,0.0,1011,34,10,130,6
2020-02-01,32,19,0.0,11.6,7,7,49,11:43 AM,No moonset,06:49 AM,06:25 PM,14,26,26,25,13,18,55,0.0,1012,32,10,137,10
2020-02-02,31,19,0.0,11.6,7,7,57,12:21 PM,12:19 AM,06:49 AM,06:25 PM,12,24,24,24,20,12,53,0.0,1014,31,10,106,14
2020-02-03,31,20,0.0,11.6,7,7,64,01:03 PM,01:08 AM,06:48 AM,06:26 PM,12,25,25,25,13,6,49,0.0,1014,31,10,86,10
2020-02-04,31,18,0.0,11.6,7,7,72,01:49 PM,01:59 AM,06:48 AM,06:26 PM,12,26,26,25,14,3,51,0.0,1013,31,10,94,10
2020-02-05,31,18,0.0,11.6,7,7,79,02:40 PM,02:53 AM,06:48 AM,06:26 PM,16,26,26,25,11,23,62,0.0,1013,31,10,101,8
2020-02-06,31,19,0.0,11.6,7,7,87,03:36 PM,03:50 AM,06:48 AM,06:27 PM,17,26,26,25,10,35,63,0.1,1013,31,10,117,7
2020-02-07,32,19,0.0,11.6,7,7,95,04:35 PM,04:48 AM,06:48 AM,06:27 PM,15,27,27,26,10,44,60,0.2,1014,32,10,192,8
2020-02-08,33,19,0.0,11.6,7,7,100,05:38 PM,05:47 AM,06:47 AM,06:27 PM,13,27,27,26,13,15,57,0.0,1014,33,10,234,10
2020-02-09,31,18,0.0,10.2,6,6,100,06:40 PM,06:44 AM,06:47 AM,06:28 PM,15,25,25,24,15,41,61,0.6,1014,31,10,122,11
2020-02-10,31,18,0.0,8.8,6,6,83,07:42 PM,07:38 AM,06:47 AM,06:28 PM,14,26,26,25,17,40,58,0.2,1014,31,10,94,12
2020-02-11,31,18,0.0,11.6,7,7,75,08:42 PM,08:29 AM,06:47 AM,06:28 PM,13,24,24,24,25,14,57,0.0,1014,31,10,95,18
2020-02-12,31,17,0.0,11.6,7,7,68,09:41 PM,09:17 AM,06:46 AM,06:29 PM,15,25,25,24,25,13,62,0.0,1015,31,10,94,18
2020-02-13,33,17,0.0,11.6,7,7,60,10:37 PM,10:03 AM,06:46 AM,06:29 PM,13,26,26,26,18,19,54,0.0,1015,33,9,68,13
2020-02-14,34,19,0.0,11.6,7,7,53,11:34 PM,10:50 AM,06:46 AM,06:29 PM,12,26,26,26,10,4,47,0.0,1013,34,10,57,8
2020-02-15,35,20,0.0,11.6,7,7,45,No moonrise,11:37 AM,06:45 AM,06:29 PM,13,27,27,27,9,3,48,0.0,1013,35,10,58,7
2020-02-16,34,20,0.0,11.6,7,7,38,12:30 AM,12:24 PM,06:45 AM,06:30 PM,10,28,28,28,15,2,39,0.0,1014,34,10,86,10
2020-02-17,33,19,0.0,11.6,7,7,30,01:27 AM,01:14 PM,06:45 AM,06:30 PM,6,27,27,27,15,0,35,0.0,1015,33,10,73,11
2020-02-18,33,19,0.0,11.6,7,7,22,02:23 AM,02:06 PM,06:44 AM,06:30 PM,7,25,25,26,16,0,36,0.0,1014,33,10,79,11
2020-02-19,33,20,0.0,11.6,7,7,15,03:18 AM,02:59 PM,06:44 AM,06:30 PM,9,28,28,27,12,0,38,0.0,1014,33,10,84,10
2020-02-20,33,19,0.0,11.6,7,7,7,04:11 AM,03:52 PM,06:43 AM,06:31 PM,9,27,27,26,19,0,42,0.0,1013,33,10,88,14
2020-02-21,33,18,0.0,11.6,7,7,0,05:01 AM,04:45 PM,06:43 AM,06:31 PM,9,26,26,26,19,0,45,0.0,1015,33,10,90,13
2020-02-22,33,17,0.0,11.6,7,7,0,05:48 AM,05:36 PM,06:43 AM,06:31 PM,13,26,26,25,24,16,57,0.0,1015,33,9,92,17
2020-02-23,33,18,0.0,11.6,7,7,0,06:32 AM,06:25 PM,06:42 AM,06:31 PM,13,26,26,25,20,18,55,0.0,1014,33,9,92,14
2020-02-24,33,18,0.0,11.6,7,7,0,07:13 AM,07:13 PM,06:42 AM,06:31 PM,12,25,25,25,17,8,52,0.0,1013,33,9,86,12
2020-02-25,34,20,0.0,11.6,7,7,8,07:51 AM,07:58 PM,06:41 AM,06:32 PM,13,29,29,28,12,2,49,0.0,1012,34,10,98,9
2020-02-26,34,19,0.0,11.6,7,7,15,08:27 AM,08:43 PM,06:41 AM,06:32 PM,14,28,28,27,13,9,54,0.0,1011,34,10,107,9
2020-02-27,34,19,0.0,11.6,7,7,23,09:04 AM,09:29 PM,06:40 AM,06:32 PM,14,27,27,26,18,26,53,0.0,1012,34,10,75,13
2020-02-28,33,19,0.0,10.2,6,6,30,09:41 AM,10:14 PM,06:40 AM,06:32 PM,14,26,26,26,18,32,54,0.1,1011,33,10,73,14
2020-02-29,31,19,0.0,10.2,6,6,38,10:18 AM,11:01 PM,06:39 AM,06:32 PM,15,26,26,25,11,39,58,0.0,1011,31,10,160,8
2020-03-01,31,20,0.0,7.4,6,6,44,10:58 AM,11:50 PM,06:39 AM,06:32 PM,16,27,27,26,14,59,57,1.7,1011,31,10,84,10
2020-03-02,32,20,0.0,7.4,6,6,51,11:42 AM,No moonset,06:38 AM,06:33 PM,17,27,27,25,11,68,61,3.2,1012,32,10,237,8
2020-03-03,32,21,0.0,8.8,6,6,58,12:28 PM,12:41 AM,06:38 AM,06:33 PM,17,29,29,27,10,55,61,2.1,1012,32,10,181,7
2020-03-04,33,22,0.0,8.8,6,6,65,01:21 PM,01:36 AM,06:37 AM,06:33 PM,17,28,28,27,13,49,58,2.1,1012,33,10,202,10
2020-03-05,31,21,0.0,7.4,6,6,73,02:17 PM,02:32 AM,06:36 AM,06:33 PM,18,28,28,26,15,53,63,1.9,1011,31,10,144,11
2020-03-06,31,21,0.0,10.2,7,7,80,03:17 PM,03:30 AM,06:36 AM,06:33 PM,17,27,27,25,13,55,62,0.2,1011,31,10,210,10
2020-03-07,31,21,0.0,11.6,7,7,87,04:19 PM,04:26 AM,06:35 AM,06:33 PM,17,27,27,26,11,41,61,0.3,1012,31,10,197,8
2020-03-08,32,22,0.0,10.2,6,6,95,05:21 PM,05:21 AM,06:35 AM,06:33 PM,18,28,28,27,11,44,62,0.3,1012,32,10,148,9
2020-03-09,33,22,0.0,11.6,7,7,100,06:22 PM,06:14 AM,06:34 AM,06:33 PM,18,29,29,27,11,53,61,1.8,1011,33,10,148,9
2020-03-10,34,23,0.0,8.8,6,6,100,07:23 PM,07:04 AM,06:34 AM,06:33 PM,17,29,29,28,12,60,56,1.5,1011,34,10,145,10
2020-03-11,34,23,0.0,11.6,7,7,84,08:22 PM,07:53 AM,06:33 AM,06:34 PM,16,29,29,28,10,11,53,0.0,1011,34,10,158,8
2020-03-12,34,22,0.0,11.6,7,7,76,09:21 PM,08:40 AM,06:32 AM,06:34 PM,16,29,29,28,12,15,55,0.0,1013,34,10,122,10
2020-03-13,34,23,0.0,11.6,7,7,69,10:20 PM,09:29 AM,06:32 AM,06:34 PM,13,28,28,28,14,3,44,0.0,1013,34,10,111,11
2020-03-14,35,22,0.0,11.6,7,7,62,11:19 PM,10:18 AM,06:31 AM,06:34 PM,13,29,29,29,14,6,42,0.0,1011,35,10,99,11
2020-03-15,35,22,0.0,11.6,7,7,55,No moonrise,11:09 AM,06:30 AM,06:34 PM,14,30,30,29,14,7,46,0.0,1011,35,10,103,11
2020-03-16,35,22,0.0,11.6,7,7,47,12:17 AM,12:01 PM,06:30 AM,06:34 PM,15,29,29,28,16,6,48,0.0,1013,35,10,109,13
2020-03-17,36,23,0.0,11.6,8,8,40,01:14 AM,12:55 PM,06:29 AM,06:34 PM,13,29,29,29,21,3,43,0.0,1013,36,10,109,16
2020-03-18,36,23,0.0,11.6,8,8,33,02:08 AM,01:49 PM,06:29 AM,06:34 PM,10,30,30,29,17,0,35,0.0,1013,36,10,106,14
2020-03-19,36,23,0.0,11.6,8,8,25,02:59 AM,02:41 PM,06:28 AM,06:34 PM,14,30,30,29,12,4,43,0.0,1012,36,10,117,10
2020-03-20,33,23,0.0,6.0,6,6,18,03:47 AM,03:33 PM,06:27 AM,06:34 PM,17,29,29,28,10,77,55,8.9,1013,33,9,246,8
2020-03-21,38,23,0.0,11.6,8,8,11,04:31 AM,04:22 PM,06:27 AM,06:34 PM,13,32,32,31,12,24,45,2.1,1012,38,10,17,9
2020-03-22,34,24,0.0,11.6,7,7,4,05:12 AM,05:10 PM,06:26 AM,06:34 PM,15,30,30,29,13,32,48,0.2,1012,34,10,143,10
2020-03-23,33,23,0.0,10.2,6,6,0,05:51 AM,05:56 PM,06:25 AM,06:34 PM,17,28,28,27,11,47,56,1.0,1011,33,10,103,8
2020-03-24,35,23,0.0,8.8,6,6,0,06:28 AM,06:41 PM,06:25 AM,06:34 PM,16,29,29,28,10,36,52,0.8,1010,35,10,98,8
2020-03-25,34,22,0.0,11.6,7,7,3,07:04 AM,07:26 PM,06:24 AM,06:34 PM,13,28,28,28,15,29,45,0.6,1010,34,10,108,11
2020-03-26,36,23,0.0,11.6,8,8,11,07:41 AM,08:11 PM,06:23 AM,06:34 PM,13,30,30,29,17,6,42,0.0,1010,36,10,92,13
2020-03-27,34,25,0.0,11.6,8,8,18,08:18 AM,08:58 PM,06:23 AM,06:34 PM,13,30,30,29,13,2,43,0.0,1012,34,10,92,10
2020-03-28,36,22,0.0,11.6,8,8,25,08:57 AM,09:46 PM,06:22 AM,06:34 PM,13,30,30,29,12,3,44,0.0,1011,36,10,95,9
2020-03-29,36,24,0.0,11.6,8,8,32,09:39 AM,10:36 PM,06:21 AM,06:34 PM,13,29,29,29,14,0,46,0.0,1011,36,10,101,11
