date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,27,16,0.0,10.9,6,6,37,11:41 AM,11:34 PM,07:19 AM,06:05 PM,11,20,21,20,21,6,55,0.0,1014,27,10,161,13
2020-01-02,27,15,0.0,10.9,6,6,44,12:14 PM,No moonset,07:19 AM,06:05 PM,13,21,21,21,19,5,64,0.0,1016,27,10,146,12
2020-01-03,27,15,0.0,10.9,6,6,51,12:46 PM,12:22 AM,07:20 AM,06:06 PM,11,21,22,21,18,12,58,0.0,1016,27,10,24,11
2020-01-04,26,15,0.0,10.9,6,6,59,01:20 PM,01:12 AM,07:20 AM,06:07 PM,9,20,20,20,21,3,50,0.0,1015,26,10,40,13
2020-01-05,27,15,0.0,10.9,6,6,66,01:54 PM,02:02 AM,07:20 AM,06:07 PM,7,20,21,20,24,0,42,0.0,1015,27,10,83,14
2020-01-06,31,15,0.0,10.9,6,6,73,02:31 PM,02:54 AM,07:20 AM,06:08 PM,9,23,23,22,16,9,43,0.0,1015,31,10,125,9
2020-01-07,30,20,0.0,10.9,7,7,80,03:13 PM,03:48 AM,07:21 AM,06:09 PM,13,25,25,24,13,19,50,0.0,1013,30,10,205,8
2020-01-08,27,17,0.0,10.9,6,6,88,03:59 PM,04:45 AM,07:21 AM,06:09 PM,8,22,22,21,22,7,44,0.0,1013,27,10,323,13
2020-01-09,24,12,0.0,10.9,5,5,95,04:51 PM,05:44 AM,07:21 AM,06:10 PM,3,18,19,18,28,0,41,0.0,1016,24,10,48,17
2020-01-10,25,12,0.0,10.9,5,5,100,05:49 PM,06:44 AM,07:21 AM,06:11 PM,2,18,19,18,32,0,36,0.0,1016,25,10,66,19
2020-01-11,29,14,0.0,10.9,6,6,100,06:51 PM,07:43 AM,07:21 AM,06:11 PM,7,21,22,21,25,2,41,0.0,1015,29,10,76,15
2020-01-12,31,18,0.0,10.9,7,7,83,07:56 PM,08:38 AM,07:21 AM,06:12 PM,13,25,25,24,17,6,51,0.0,1013,31,10,167,10
2020-01-13,26,16,0.0,7.0,5,5,76,09:01 PM,09:29 AM,07:21 AM,06:13 PM,14,21,21,21,20,40,66,0.1,1012,26,10,286,13
2020-01-14,27,13,0.0,10.9,6,6,69,10:04 PM,10:16 AM,07:21 AM,06:14 PM,8,20,21,20,18,9,49,0.0,1014,27,10,203,11
2020-01-15,26,15,0.0,10.9,6,6,61,11:06 PM,10:59 AM,07:21 AM,06:14 PM,5,20,21,20,18,4,41,0.0,1013,26,10,200,11
2020-01-16,23,13,0.0,10.9,5,5,54,No moonrise,11:40 AM,07:21 AM,06:15 PM,7,18,20,18,20,0,52,0.0,1014,23,10,302,13
2020-01-17,27,14,0.0,11.0,6,6,47,12:06 AM,12:19 PM,07:21 AM,06:16 PM,10,21,22,21,12,0,58,0.0,1016,27,10,143,8
2020-01-18,28,14,0.0,11.0,6,6,40,01:06 AM,01:00 PM,07:21 AM,06:16 PM,7,21,22,21,18,0,45,0.0,1015,28,10,148,11
2020-01-19,27,13,0.0,11.0,6,6,32,02:05 AM,01:42 PM,07:21 AM,06:17 PM,5,19,20,19,28,3,40,0.0,1016,27,10,46,17
2020-01-20,29,13,0.0,10.1,6,6,25,03:05 AM,02:26 PM,07:21 AM,06:18 PM,4,21,22,21,23,20,35,0.0,1015,29,10,42,13
2020-01-21,30,16,0.0,11.0,6,6,18,04:04 AM,03:14 PM,07:21 AM,06:18 PM,4,23,23,23,18,0,32,0.0,1015,30,10,225,10
2020-01-22,31,15,0.0,11.0,6,6,11,05:03 AM,04:05 PM,07:21 AM,06:19 PM,5,23,23,23,22,0,34,0.0,1016,31,10,27,13
2020-01-23,29,15,0.0,11.0,6,6,3,05:59 AM,04:59 PM,07:21 AM,06:20 PM,6,23,23,22,31,0,38,0.0,1016,29,10,49,19
2020-01-24,31,15,0.0,11.0,6,6,0,06:51 AM,05:54 PM,07:21 AM,06:21 PM,6,23,23,23,24,0,35,0.0,1015,31,10,144,14
2020-01-25,31,16,0.0,11.0,6,6,0,07:40 AM,06:49 PM,07:20 AM,06:21 PM,4,24,24,24,17,3,30,0.0,1014,31,10,140,10
2020-01-26,33,18,0.0,11.0,7,7,4,08:23 AM,07:43 PM,07:20 AM,06:22 PM,5,25,25,25,16,3,30,0.0,1013,33,10,227,9
2020-01-27,32,18,0.0,11.0,7,7,11,09:03 AM,08:35 PM,07:20 AM,06:23 PM,8,26,26,26,13,3,37,0.0,1010,32,10,266,8
2020-01-28,25,17,0.0,8.6,5,5,18,09:39 AM,09:26 PM,07:20 AM,06:23 PM,10,21,22,21,18,30,54,0.0,1011,25,10,256,11
2020-01-29,27,15,0.0,11.1,6,6,26,10:13 AM,10:15 PM,07:19 AM,06:24 PM,8,21,21,21,11,1,45,0.0,1015,27,10,325,7
2020-01-30,29,15,0.0,11.1,6,6,33,10:45 AM,11:04 PM,07:19 AM,06:25 PM,4,22,22,22,14,0,34,0.0,1016,29,10,51,9
2020-01-31,31,13,0.0,11.1,6,6,37,11:18 AM,11:53 PM,07:19 AM,06:25 PM,3,22,22,22,22,0,32,0.0,1013,31,10,139,13
2020-02-01,28,13,0.0,11.1,6,6,49,11:51 AM,No moonset,07:18 AM,06:26 PM,0,21,21,21,29,0,27,0.0,1015,28,10,47,17
2020-02-02,30,15,0.0,11.1,6,6,57,12:26 PM,12:43 AM,07:18 AM,06:27 PM,2,23,23,22,30,2,29,0.0,1016,30,10,55,18
2020-02-03,31,16,0.0,11.1,6,6,64,01:05 PM,01:36 AM,07:18 AM,06:27 PM,3,24,24,24,25,4,28,0.0,1015,31,10,141,15
2020-02-04,29,17,0.0,11.1,6,6,72,01:48 PM,02:30 AM,07:17 AM,06:28 PM,3,24,24,24,19,0,30,0.0,1014,29,10,314,12
2020-02-05,33,16,0.0,11.1,6,6,79,02:36 PM,03:27 AM,07:17 AM,06:29 PM,3,25,25,24,16,0,30,0.0,1014,33,10,157,10
2020-02-06,30,15,0.0,11.1,6,6,87,03:31 PM,04:26 AM,07:16 AM,06:29 PM,3,23,23,23,24,0,31,0.0,1013,30,10,249,14
2020-02-07,29,15,0.0,11.1,6,6,95,04:31 PM,05:25 AM,07:16 AM,06:30 PM,2,22,22,22,23,0,28,0.0,1015,29,10,41,14
2020-02-08,29,15,0.0,11.2,6,6,100,05:35 PM,06:22 AM,07:15 AM,06:30 PM,2,22,22,22,32,0,29,0.0,1017,29,10,53,20
2020-02-09,29,15,0.0,11.2,6,6,100,06:41 PM,07:16 AM,07:15 AM,06:31 PM,-1,22,22,22,31,0,24,0.0,1018,29,10,71,19
2020-02-10,33,14,0.0,11.2,6,6,83,07:48 PM,08:06 AM,07:14 AM,06:32 PM,0,24,24,24,26,1,23,0.0,1015,33,10,42,15
2020-02-11,35,17,0.0,11.2,7,7,75,08:52 PM,08:52 AM,07:14 AM,06:32 PM,6,27,27,26,23,6,30,0.0,1015,35,10,212,13
2020-02-12,35,19,0.0,11.2,7,7,68,09:56 PM,09:36 AM,07:13 AM,06:33 PM,7,27,27,27,25,6,31,0.0,1016,35,10,255,15
2020-02-13,34,20,0.0,11.2,7,7,60,10:57 PM,10:17 AM,07:12 AM,06:33 PM,6,28,28,27,22,8,28,0.0,1016,34,10,213,13
2020-02-14,34,20,0.0,11.2,7,7,53,11:59 PM,10:58 AM,07:12 AM,06:34 PM,4,28,28,27,19,19,26,0.0,1014,34,10,237,11
2020-02-15,35,18,0.0,11.2,7,7,45,No moonrise,11:41 AM,07:11 AM,06:34 PM,4,28,28,27,14,15,25,0.0,1013,35,10,151,8
2020-02-16,39,19,0.0,11.3,7,7,38,12:59 AM,12:25 PM,07:10 AM,06:35 PM,5,31,31,31,18,2,24,0.0,1013,39,10,139,11
2020-02-17,37,20,0.0,11.3,7,7,30,01:59 AM,01:12 PM,07:10 AM,06:36 PM,-2,29,29,29,25,2,15,0.0,1014,37,10,43,15
2020-02-18,39,19,0.0,11.3,7,7,22,02:58 AM,02:02 PM,07:09 AM,06:36 PM,-3,30,30,29,19,4,14,0.0,1013,39,10,245,11
