date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,24,0.0,5.7,6,6,37,11:04 AM,11:11 PM,06:28 AM,05:59 PM,22,29,29,26,17,62,80,5.1,1013,29,9,96,11
2020-01-02,29,25,0.0,7.3,6,6,44,11:42 AM,11:56 PM,06:29 AM,06:00 PM,23,30,30,26,16,68,83,3.8,1014,29,10,70,11
2020-01-03,29,25,0.0,5.9,6,6,51,12:18 PM,No moonset,06:29 AM,06:00 PM,23,30,30,27,18,74,83,3.5,1013,29,10,69,12
2020-01-04,29,25,0.0,7.3,6,6,59,12:56 PM,12:40 AM,06:30 AM,06:01 PM,23,30,30,27,17,66,81,2.1,1011,29,10,95,11
2020-01-05,29,25,0.0,8.7,6,6,66,01:35 PM,01:26 AM,06:30 AM,06:01 PM,23,30,30,27,20,52,79,1.5,1012,29,10,75,13
2020-01-06,29,25,0.0,5.9,6,6,73,02:16 PM,02:13 AM,06:30 AM,06:02 PM,23,30,30,27,27,69,80,3.3,1013,29,10,67,18
2020-01-07,28,25,0.0,5.9,6,6,80,03:01 PM,03:03 AM,06:31 AM,06:02 PM,22,29,29,26,32,65,79,2.4,1013,28,10,62,21
2020-01-08,28,23,0.0,8.7,6,6,88,03:51 PM,03:57 AM,06:31 AM,06:03 PM,21,28,28,25,29,52,77,1.0,1013,28,10,42,19
2020-01-09,28,23,0.0,11.6,7,7,95,04:45 PM,04:53 AM,06:31 AM,06:03 PM,19,27,27,25,21,9,69,0.0,1013,28,10,46,13
2020-01-10,28,23,0.0,5.9,6,6,100,05:44 PM,05:52 AM,06:32 AM,06:04 PM,19,27,27,25,23,53,72,0.3,1013,28,10,43,15
2020-01-11,28,20,0.0,11.6,6,6,100,06:44 PM,06:51 AM,06:32 AM,06:05 PM,20,27,27,25,29,47,75,0.4,1014,28,10,25,20
2020-01-12,28,24,0.0,5.9,6,6,83,07:46 PM,07:49 AM,06:32 AM,06:05 PM,21,27,27,25,27,65,75,1.8,1013,28,10,61,18
2020-01-13,28,23,0.0,8.7,6,6,76,08:46 PM,08:43 AM,06:32 AM,06:06 PM,20,27,27,25,26,47,72,1.9,1012,28,10,49,17
2020-01-14,27,22,0.0,11.6,7,7,69,09:45 PM,09:35 AM,06:33 AM,06:06 PM,17,26,26,24,23,4,66,0.0,1012,27,10,46,14
2020-01-15,27,22,0.0,7.3,6,6,61,10:41 PM,10:23 AM,06:33 AM,06:07 PM,18,26,26,24,22,50,69,0.2,1012,27,10,49,14
2020-01-16,28,23,0.0,10.2,7,7,54,11:36 PM,11:10 AM,06:33 AM,06:07 PM,19,27,27,25,19,40,70,0.0,1013,28,10,140,12
2020-01-17,28,24,0.0,7.3,6,6,47,No moonrise,11:55 AM,06:33 AM,06:08 PM,22,28,28,26,24,69,80,1.4,1012,28,9,53,16
2020-01-18,28,25,0.0,7.3,6,6,40,12:30 AM,12:40 PM,06:33 AM,06:08 PM,23,29,29,26,31,61,82,10.4,1012,28,9,70,20
2020-01-19,28,25,0.0,10.2,6,6,32,01:24 AM,01:27 PM,06:34 AM,06:09 PM,22,28,28,26,27,55,78,0.3,1013,28,10,50,19
2020-01-20,28,24,0.0,11.6,7,7,25,02:19 AM,02:15 PM,06:34 AM,06:09 PM,21,28,28,26,25,34,76,0.0,1014,28,10,49,17
2020-01-21,28,23,0.0,5.9,6,6,18,03:15 AM,03:07 PM,06:34 AM,06:09 PM,21,28,28,26,28,68,77,0.6,1014,28,10,42,19
2020-01-22,28,24,0.0,7.3,6,6,11,04:11 AM,03:59 PM,06:34 AM,06:10 PM,22,28,28,26,32,73,80,1.7,1015,28,10,39,22
2020-01-23,28,22,0.0,5.9,6,6,3,05:06 AM,04:53 PM,06:34 AM,06:10 PM,22,29,29,26,32,78,77,2.2,1014,28,10,45,22
2020-01-24,28,24,0.0,5.9,6,6,0,06:00 AM,05:47 PM,06:34 AM,06:11 PM,21,28,28,25,27,65,78,1.2,1014,28,10,41,18
2020-01-25,28,22,0.0,11.6,7,7,0,06:50 AM,06:39 PM,06:34 AM,06:11 PM,19,26,26,25,23,9,71,0.0,1014,28,10,37,15
2020-01-26,28,22,0.0,11.6,7,7,4,07:37 AM,07:30 PM,06:34 AM,06:12 PM,18,27,27,25,16,0,67,0.0,1013,28,10,63,11
2020-01-27,28,23,0.0,11.6,7,7,11,08:19 AM,08:18 PM,06:34 AM,06:12 PM,19,27,27,25,15,0,68,0.0,1012,28,10,94,10
2020-01-28,29,23,0.0,11.6,7,7,18,09:00 AM,09:05 PM,06:34 AM,06:13 PM,20,28,28,26,19,6,71,0.0,1013,29,10,83,12
2020-01-29,29,23,0.0,11.6,7,7,26,09:39 AM,09:50 PM,06:34 AM,06:13 PM,20,28,28,26,17,3,73,0.0,1014,29,10,80,11
2020-01-30,29,24,0.0,11.6,7,7,33,10:15 AM,10:34 PM,06:34 AM,06:13 PM,20,28,28,26,16,2,70,0.0,1013,29,10,86,10
2020-01-31,29,24,0.0,11.6,7,7,37,10:52 AM,11:19 PM,06:34 AM,06:14 PM,20,28,28,26,18,6,72,0.0,1012,29,10,86,11
2020-02-01,29,25,0.0,11.6,7,7,49,11:30 AM,No moonset,06:34 AM,06:14 PM,20,28,28,26,20,29,70,0.0,1012,29,10,90,13
2020-02-02,29,24,0.0,8.8,6,6,57,12:10 PM,12:05 AM,06:34 AM,06:14 PM,20,28,28,26,24,42,69,0.4,1014,29,10,69,16
2020-02-03,28,23,0.0,11.6,7,7,64,12:52 PM,12:53 AM,06:34 AM,06:15 PM,20,28,28,26,26,17,71,0.0,1014,28,10,48,18
2020-02-04,28,24,0.0,5.9,6,6,72,01:39 PM,01:43 AM,06:34 AM,06:15 PM,21,28,28,26,25,49,77,3.5,1013,28,10,82,17
2020-02-05,28,24,0.0,10.2,6,6,79,02:29 PM,02:37 AM,06:33 AM,06:15 PM,20,28,28,26,25,34,71,1.3,1013,28,10,66,17
2020-02-06,29,24,0.0,11.6,7,7,87,03:25 PM,03:34 AM,06:33 AM,06:16 PM,19,27,27,26,19,4,67,0.0,1013,29,10,88,12
2020-02-07,28,23,0.0,11.6,7,7,95,04:25 PM,04:32 AM,06:33 AM,06:16 PM,20,28,28,26,22,12,69,0.0,1014,28,10,85,14
2020-02-08,29,24,0.0,11.6,7,7,100,05:27 PM,05:31 AM,06:33 AM,06:16 PM,19,28,28,26,21,10,67,0.0,1014,29,10,93,14
2020-02-09,29,24,0.0,11.6,6,6,100,06:29 PM,06:28 AM,06:33 AM,06:17 PM,20,28,28,26,23,38,70,0.2,1014,29,10,69,16
2020-02-10,29,24,0.0,11.6,7,7,83,07:31 PM,07:23 AM,06:32 AM,06:17 PM,21,28,28,26,28,29,72,0.3,1014,29,10,55,19
2020-02-11,29,25,0.0,5.9,6,6,75,08:29 PM,08:14 AM,06:32 AM,06:17 PM,21,29,29,27,30,82,73,1.9,1014,29,10,61,21
2020-02-12,29,25,0.0,5.9,6,6,68,09:27 PM,09:03 AM,06:32 AM,06:17 PM,22,29,29,27,35,74,76,2.6,1015,29,10,54,25
2020-02-13,29,25,0.0,10.2,6,6,60,10:23 PM,09:51 AM,06:32 AM,06:18 PM,21,29,29,26,29,41,74,0.9,1014,29,10,47,21
2020-02-14,29,24,0.0,11.6,7,7,53,11:19 PM,10:37 AM,06:31 AM,06:18 PM,19,28,28,26,22,0,65,0.0,1013,29,10,51,15
2020-02-15,29,24,0.0,11.6,7,7,45,No moonrise,11:25 AM,06:31 AM,06:18 PM,18,27,27,26,21,1,61,0.0,1013,29,10,53,14
2020-02-16,29,23,0.0,11.6,7,7,38,12:15 AM,12:13 PM,06:31 AM,06:18 PM,19,27,27,26,21,0,66,0.0,1014,29,10,70,14
2020-02-17,29,23,0.0,11.6,7,7,30,01:11 AM,01:04 PM,06:30 AM,06:19 PM,19,27,27,26,23,6,66,0.0,1015,29,10,57,15
2020-02-18,29,23,0.0,11.6,7,7,22,02:07 AM,01:56 PM,06:30 AM,06:19 PM,18,27,27,25,22,3,64,0.0,1014,29,10,56,14
2020-02-19,29,23,0.0,11.6,7,7,15,03:02 AM,02:49 PM,06:30 AM,06:19 PM,19,27,27,26,23,12,67,0.0,1014,29,10,58,15
2020-02-20,28,23,0.0,11.6,7,7,7,03:55 AM,03:42 PM,06:29 AM,06:19 PM,20,27,27,25,25,36,73,0.0,1014,28,10,60,17
2020-02-21,29,24,0.0,7.4,6,6,0,04:45 AM,04:34 PM,06:29 AM,06:19 PM,22,29,29,27,32,57,76,0.9,1014,29,10,41,23
2020-02-22,29,26,0.0,6.0,6,6,0,05:33 AM,05:25 PM,06:29 AM,06:20 PM,22,30,30,27,34,71,75,2.5,1015,29,10,60,24
2020-02-23,29,25,0.0,6.0,6,6,0,06:17 AM,06:13 PM,06:28 AM,06:20 PM,22,29,29,27,30,72,76,1.0,1014,29,10,56,22
2020-02-24,29,24,0.0,8.8,6,6,0,06:58 AM,07:00 PM,06:28 AM,06:20 PM,22,29,29,26,23,48,75,0.3,1013,29,10,58,16
2020-02-25,29,24,0.0,11.6,6,6,8,07:37 AM,07:46 PM,06:27 AM,06:20 PM,22,29,29,26,19,29,77,0.2,1011,29,10,80,13
2020-02-26,30,25,0.0,10.2,6,6,15,08:14 AM,08:30 PM,06:27 AM,06:20 PM,22,29,29,27,22,44,75,0.3,1011,30,10,79,15
2020-02-27,30,25,0.0,11.6,7,7,23,08:51 AM,09:15 PM,06:26 AM,06:20 PM,22,29,29,27,24,31,74,0.0,1012,30,10,61,17
2020-02-28,29,25,0.0,11.6,7,7,30,09:28 AM,10:00 PM,06:26 AM,06:20 PM,21,29,29,27,26,28,72,0.1,1011,29,10,71,18
2020-02-29,29,25,0.0,10.2,6,6,38,10:06 AM,10:46 PM,06:26 AM,06:20 PM,20,29,29,27,25,28,68,0.1,1011,29,10,79,17
2020-03-01,29,25,0.0,11.6,7,7,44,10:47 AM,11:35 PM,06:25 AM,06:21 PM,20,28,28,27,22,8,67,0.0,1011,29,10,77,16
2020-03-02,29,24,0.0,11.6,7,7,51,11:31 AM,No moonset,06:25 AM,06:21 PM,20,28,28,27,19,6,66,0.0,1012,29,10,72,14
2020-03-03,30,25,0.0,11.6,7,7,58,12:18 PM,12:26 AM,06:24 AM,06:21 PM,19,29,29,27,19,12,64,0.0,1011,30,10,77,13
2020-03-04,30,22,0.0,11.6,7,7,65,01:10 PM,01:20 AM,06:24 AM,06:21 PM,19,28,28,27,16,10,64,0.0,1011,30,10,98,11
