date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,14,0.0,7.2,4,4,37,11:14 AM,11:08 PM,06:51 AM,05:43 PM,14,18,19,18,19,48,73,2.3,1016,24,10,131,13
2020-01-02,23,15,0.0,4.1,4,4,44,11:48 AM,11:57 PM,06:51 AM,05:44 PM,15,19,19,19,14,77,79,11.9,1017,23,9,132,9
2020-01-03,26,16,0.0,5.6,5,5,51,12:21 PM,No moonset,06:51 AM,05:45 PM,15,20,21,20,8,54,73,0.4,1015,26,10,134,6
2020-01-04,25,18,0.0,7.2,5,5,59,12:55 PM,12:45 AM,06:52 AM,05:45 PM,14,21,21,21,13,56,66,0.2,1014,25,10,129,9
2020-01-05,25,15,0.0,8.7,6,6,66,01:30 PM,01:35 AM,06:52 AM,05:46 PM,8,19,19,19,19,3,51,0.0,1016,25,10,45,12
2020-01-06,26,14,0.0,8.7,6,6,73,02:07 PM,02:26 AM,06:52 AM,05:46 PM,7,20,20,20,14,0,46,0.0,1018,26,10,87,9
2020-01-07,27,15,0.0,8.7,6,6,80,02:49 PM,03:20 AM,06:52 AM,05:47 PM,10,21,21,21,12,19,52,0.0,1015,27,10,195,7
2020-01-08,26,19,0.0,4.1,5,5,88,03:36 PM,04:16 AM,06:53 AM,05:48 PM,17,21,22,21,15,74,76,20.2,1012,26,9,90,8
2020-01-09,25,17,0.0,8.7,6,6,95,04:28 PM,05:15 AM,06:53 AM,05:48 PM,14,20,21,20,19,41,69,0.2,1015,25,9,30,13
2020-01-10,23,13,0.0,8.7,5,5,100,05:27 PM,06:15 AM,06:53 AM,05:49 PM,5,16,17,16,21,0,49,0.0,1018,23,10,17,13
2020-01-11,25,11,0.0,8.7,5,5,100,06:28 PM,07:14 AM,06:53 AM,05:50 PM,6,17,18,17,12,0,46,0.0,1018,25,10,63,8
2020-01-12,27,14,0.0,8.7,6,6,83,07:33 PM,08:09 AM,06:53 AM,05:50 PM,4,20,20,20,9,0,36,0.0,1016,27,10,55,6
2020-01-13,28,17,0.0,8.7,6,6,76,08:37 PM,09:01 AM,06:53 AM,05:51 PM,4,22,22,22,9,0,31,0.0,1013,28,10,168,5
2020-01-14,28,17,0.0,8.7,6,6,69,09:40 PM,09:49 AM,06:53 AM,05:52 PM,6,23,23,23,6,2,35,0.0,1013,28,10,144,4
2020-01-15,28,17,0.0,8.7,6,6,61,10:40 PM,10:32 AM,06:53 AM,05:52 PM,11,23,23,22,13,11,48,0.0,1013,28,10,156,8
2020-01-16,28,18,0.0,8.7,6,6,54,11:40 PM,11:14 AM,06:53 AM,05:53 PM,12,23,23,22,20,24,54,0.0,1013,28,10,187,13
2020-01-17,27,20,0.0,4.1,5,5,47,No moonrise,11:55 AM,06:53 AM,05:54 PM,14,24,24,23,10,52,57,0.6,1014,27,10,202,8
2020-01-18,28,18,0.0,8.7,6,6,40,12:38 AM,12:35 PM,06:53 AM,05:54 PM,14,23,23,22,12,23,59,0.0,1014,28,10,183,8
2020-01-19,28,18,0.0,7.2,5,5,32,01:38 AM,01:18 PM,06:53 AM,05:55 PM,14,22,22,22,15,42,61,0.1,1015,28,10,207,10
2020-01-20,27,16,0.0,8.7,6,6,25,02:36 AM,02:03 PM,06:53 AM,05:56 PM,10,21,22,21,12,13,49,0.0,1016,27,10,85,8
2020-01-21,29,17,0.0,8.7,6,6,18,03:36 AM,02:51 PM,06:53 AM,05:56 PM,13,24,24,23,13,22,54,0.0,1016,29,10,183,8
2020-01-22,30,20,0.0,8.7,7,7,11,04:33 AM,03:43 PM,06:53 AM,05:57 PM,15,26,26,25,12,18,55,0.0,1016,30,10,203,8
