date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,15,5,0.0,8.7,4,4,37,11:19 AM,11:02 PM,07:07 AM,05:25 PM,-0,9,10,9,13,25,50,0.2,1024,15,10,138,8
2020-01-02,13,7,0.0,7.1,3,3,44,11:50 AM,11:54 PM,07:07 AM,05:25 PM,5,9,10,9,13,68,75,3.6,1024,13,10,59,8
2020-01-03,13,7,0.0,3.8,3,3,51,12:19 PM,No moonset,07:07 AM,05:26 PM,7,9,9,9,7,80,84,12.1,1020,13,9,222,4
2020-01-04,13,6,0.0,5.5,2,2,59,12:49 PM,12:46 AM,07:07 AM,05:27 PM,6,8,8,8,8,52,83,5.1,1018,13,9,253,5
2020-01-05,14,5,0.0,8.7,3,3,66,01:21 PM,01:39 AM,07:08 AM,05:28 PM,2,7,8,7,11,10,66,0.0,1018,14,10,274,6
2020-01-06,14,7,0.0,5.5,3,3,73,01:56 PM,02:34 AM,07:08 AM,05:28 PM,1,9,10,9,12,53,55,2.0,1019,14,9,187,7
2020-01-07,11,3,0.0,3.8,2,2,80,02:34 PM,03:31 AM,07:08 AM,05:29 PM,8,8,9,8,7,79,90,18.8,1017,11,9,282,4
2020-01-08,11,7,0.0,5.5,2,2,88,03:19 PM,04:30 AM,07:08 AM,05:30 PM,7,8,9,8,9,78,88,32.0,1015,11,8,133,6
2020-01-09,11,4,33.2,7.1,2,2,95,04:09 PM,05:31 AM,07:08 AM,05:31 PM,4,5,6,5,8,50,88,47.0,1019,11,9,226,5
2020-01-10,16,5,0.0,8.7,4,4,100,05:07 PM,06:32 AM,07:08 AM,05:31 PM,4,10,10,10,9,1,68,0.0,1021,16,10,260,5
