date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,30,20,0.0,10.2,6,6,37,10:58 AM,11:09 PM,06:20 AM,06:01 PM,21,25,25,24,7,65,85,0.6,1012,30,6,62,4
2020-01-02,30,20,0.0,8.8,6,6,44,11:37 AM,11:53 PM,06:20 AM,06:02 PM,21,26,26,24,8,58,84,1.0,1013,30,7,75,6
2020-01-03,31,20,0.0,11.6,7,7,51,12:15 PM,No moonset,06:21 AM,06:02 PM,21,27,27,25,7,54,81,0.3,1012,31,5,80,5
2020-01-04,31,21,0.0,11.6,7,7,59,12:54 PM,12:36 AM,06:21 AM,06:03 PM,21,27,27,25,7,23,79,0.0,1011,31,7,64,5
2020-01-05,31,20,0.0,11.6,7,7,66,01:34 PM,01:21 AM,06:21 AM,06:03 PM,20,26,26,25,8,10,77,0.0,1011,31,7,70,6
2020-01-06,30,20,0.0,8.8,6,6,73,02:16 PM,02:07 AM,06:22 AM,06:04 PM,20,25,25,24,10,66,80,1.3,1012,30,7,69,7
2020-01-07,29,20,0.0,5.9,6,6,80,03:02 PM,02:56 AM,06:22 AM,06:04 PM,20,25,25,24,10,81,82,3.3,1011,29,7,64,7
2020-01-08,28,19,0.0,5.9,5,5,88,03:53 PM,03:49 AM,06:23 AM,06:05 PM,20,24,24,23,10,71,84,3.1,1011,28,9,53,7
2020-01-09,31,18,0.0,11.6,7,7,95,04:47 PM,04:44 AM,06:23 AM,06:05 PM,19,25,25,23,9,28,79,0.2,1012,31,7,48,6
2020-01-10,30,18,0.0,11.6,7,7,100,05:46 PM,05:43 AM,06:23 AM,06:06 PM,18,25,25,24,9,26,77,0.1,1012,30,7,61,6
2020-01-11,27,19,0.0,8.8,5,5,100,06:46 PM,06:42 AM,06:24 AM,06:06 PM,20,24,24,23,10,50,85,3.7,1011,27,10,53,7
2020-01-12,27,19,0.0,5.9,5,5,83,07:48 PM,07:40 AM,06:24 AM,06:07 PM,20,24,24,23,10,74,86,3.4,1011,27,9,60,8
2020-01-13,29,19,0.0,10.2,5,5,76,08:46 PM,08:36 AM,06:24 AM,06:07 PM,18,24,24,23,9,33,79,0.4,1011,29,8,47,7
