date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,12,0.0,8.7,5,5,37,10:27 AM,10:14 PM,06:12 AM,04:43 PM,11,17,17,17,12,28,67,0.0,1022,24,10,62,8
2020-01-02,23,15,0.0,5.5,4,4,44,10:59 AM,11:05 PM,06:12 AM,04:43 PM,11,18,18,18,13,54,67,0.8,1022,23,9,83,8
2020-01-03,19,15,0.0,5.5,4,4,51,11:31 AM,11:56 PM,06:12 AM,04:44 PM,14,17,17,17,11,67,82,4.3,1019,19,10,118,7
2020-01-04,23,14,0.0,7.1,4,4,59,12:02 PM,No moonset,06:13 AM,04:45 PM,14,17,18,17,7,54,81,1.0,1016,23,8,275,4
2020-01-05,22,13,0.0,5.5,4,4,66,12:35 PM,12:47 AM,06:13 AM,04:46 PM,11,16,17,16,14,72,74,2.0,1016,22,10,253,8
2020-01-06,23,12,0.0,8.7,5,5,73,01:11 PM,01:41 AM,06:13 AM,04:46 PM,10,17,17,17,7,7,68,0.0,1019,23,10,50,5
2020-01-07,23,11,0.0,8.7,4,4,80,01:50 PM,02:36 AM,06:13 AM,04:47 PM,11,17,17,17,8,20,70,0.1,1017,23,10,48,5
2020-01-08,24,13,0.0,8.7,5,5,88,02:35 PM,03:35 AM,06:13 AM,04:48 PM,12,18,18,18,8,10,70,0.0,1016,24,10,56,5
2020-01-09,22,15,0.0,7.1,4,4,95,03:26 PM,04:34 AM,06:13 AM,04:49 PM,13,17,18,17,7,50,78,4.0,1016,22,10,46,4
2020-01-10,23,14,0.0,3.9,4,4,100,04:23 PM,05:35 AM,06:14 AM,04:49 PM,12,18,18,18,5,65,71,1.0,1016,23,10,177,3
2020-01-11,24,13,0.0,8.7,5,5,100,05:26 PM,06:33 AM,06:14 AM,04:50 PM,12,18,18,18,7,19,70,0.0,1017,24,10,42,4
2020-01-12,25,15,0.0,8.7,6,6,83,06:32 PM,07:28 AM,06:14 AM,04:51 PM,13,19,19,19,8,4,72,0.0,1014,25,10,60,6
