date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,29,22,0.0,7.3,6,6,37,11:11 AM,11:18 PM,06:36 AM,06:05 PM,21,27,27,25,9,57,80,0.8,1014,29,10,113,6
2020-01-02,29,22,0.0,8.7,6,6,44,11:49 AM,No moonset,06:36 AM,06:05 PM,21,28,28,26,7,42,78,0.3,1015,29,10,101,5
2020-01-03,30,22,0.0,10.2,6,6,51,12:25 PM,12:02 AM,06:37 AM,06:06 PM,21,28,28,26,7,42,77,0.1,1014,30,10,128,5
2020-01-04,30,23,0.0,8.7,6,6,59,01:03 PM,12:47 AM,06:37 AM,06:07 PM,22,28,28,26,9,43,79,0.3,1012,30,10,148,6
2020-01-05,29,23,0.0,5.9,6,6,66,01:42 PM,01:33 AM,06:37 AM,06:07 PM,21,28,28,26,13,75,77,2.5,1012,29,10,128,9
2020-01-06,30,22,0.0,7.3,6,6,73,02:22 PM,02:20 AM,06:38 AM,06:08 PM,21,28,28,25,9,59,80,4.5,1014,30,10,102,6
2020-01-07,29,22,0.0,8.7,6,6,80,03:08 PM,03:11 AM,06:38 AM,06:08 PM,20,27,27,25,10,50,77,0.2,1014,29,10,77,7
2020-01-08,31,21,0.0,11.6,7,7,88,03:57 PM,04:04 AM,06:38 AM,06:09 PM,19,28,28,26,8,7,71,0.0,1014,31,10,74,6
2020-01-09,30,20,0.0,11.6,7,7,95,04:51 PM,05:01 AM,06:39 AM,06:09 PM,19,26,26,25,5,22,72,0.0,1013,30,10,115,4
2020-01-10,30,23,0.0,11.6,7,7,100,05:50 PM,05:59 AM,06:39 AM,06:10 PM,19,27,27,25,8,3,68,0.0,1014,30,10,69,7
2020-01-11,31,21,0.0,11.6,7,7,100,06:51 PM,06:59 AM,06:39 AM,06:10 PM,18,27,27,25,8,0,67,0.0,1015,31,10,63,7
2020-01-12,30,20,0.0,11.6,6,6,83,07:52 PM,07:56 AM,06:40 AM,06:11 PM,18,26,26,24,6,36,71,0.3,1014,30,10,57,5
2020-01-13,28,20,0.0,10.2,6,6,76,08:53 PM,08:51 AM,06:40 AM,06:11 PM,19,26,26,24,8,46,73,0.2,1012,28,10,103,5
2020-01-14,29,21,0.0,11.6,7,7,69,09:51 PM,09:43 AM,06:40 AM,06:12 PM,18,26,26,24,7,34,68,0.0,1012,29,10,215,5
2020-01-15,32,21,0.0,11.6,7,7,61,10:48 PM,10:30 AM,06:40 AM,06:12 PM,17,28,28,26,6,0,62,0.0,1013,32,10,90,5
2020-01-16,30,20,0.0,11.6,7,7,54,11:43 PM,11:17 AM,06:40 AM,06:13 PM,17,26,26,25,8,8,64,0.0,1013,30,10,99,6
2020-01-17,31,22,0.0,11.6,7,7,47,No moonrise,12:02 PM,06:41 AM,06:13 PM,19,27,27,26,9,14,69,0.0,1013,31,10,116,6
2020-01-18,30,21,0.0,5.9,6,6,40,12:37 AM,12:47 PM,06:41 AM,06:14 PM,21,27,27,25,10,62,78,1.8,1013,30,10,81,7
2020-01-19,29,22,0.0,10.2,6,6,32,01:32 AM,01:34 PM,06:41 AM,06:14 PM,20,27,27,25,10,44,73,0.6,1013,29,10,73,7
2020-01-20,31,21,0.0,11.6,7,7,25,02:26 AM,02:22 PM,06:41 AM,06:15 PM,18,27,27,26,11,19,64,0.0,1014,31,10,70,7
2020-01-21,31,21,0.0,11.6,7,7,18,03:23 AM,03:13 PM,06:41 AM,06:15 PM,17,27,27,25,11,5,63,0.0,1015,31,10,74,8
2020-01-22,30,21,0.0,11.6,7,7,11,04:19 AM,04:05 PM,06:41 AM,06:16 PM,19,27,27,25,12,7,70,0.0,1016,30,10,76,9
2020-01-23,29,23,0.0,10.2,6,6,3,05:14 AM,04:59 PM,06:41 AM,06:16 PM,19,27,27,26,11,28,69,0.0,1015,29,10,70,8
2020-01-24,31,21,0.0,11.6,7,7,0,06:07 AM,05:53 PM,06:41 AM,06:17 PM,16,27,27,26,10,2,61,0.0,1015,31,10,77,8
2020-01-25,33,21,0.0,11.6,7,7,0,06:57 AM,06:46 PM,06:41 AM,06:17 PM,13,27,27,26,7,0,49,0.0,1015,33,10,81,5
2020-01-26,34,21,0.0,11.6,7,7,4,07:44 AM,07:37 PM,06:41 AM,06:18 PM,16,28,28,27,6,1,55,0.0,1014,34,10,188,4
2020-01-27,32,22,0.0,11.6,7,7,11,08:27 AM,08:25 PM,06:41 AM,06:18 PM,17,28,28,27,9,2,57,0.0,1013,32,10,172,6
2020-01-28,32,22,0.0,11.6,7,7,18,09:07 AM,09:12 PM,06:41 AM,06:19 PM,18,29,29,28,12,0,60,0.0,1013,32,10,147,9
2020-01-29,33,23,0.0,11.6,7,7,26,09:46 AM,09:57 PM,06:41 AM,06:19 PM,18,28,28,27,11,2,61,0.0,1014,33,10,142,8
2020-01-30,34,22,0.0,11.6,7,7,33,10:22 AM,10:41 PM,06:41 AM,06:19 PM,17,28,28,27,10,0,58,0.0,1013,34,10,151,8
2020-01-31,33,22,0.0,11.6,7,7,37,10:59 AM,11:26 PM,06:41 AM,06:20 PM,17,28,28,27,12,6,60,0.0,1012,33,10,142,9
2020-02-01,31,22,0.0,11.6,7,7,49,11:37 AM,No moonset,06:41 AM,06:20 PM,18,28,28,26,14,20,64,0.0,1013,31,10,120,10
