date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,15,0.0,11.0,6,6,37,11:35 AM,11:31 PM,07:10 AM,06:06 PM,8,19,19,19,13,3,50,0.0,1014,26,10,227,9
2020-01-02,27,14,0.0,11.0,6,6,44,12:09 PM,No moonset,07:10 AM,06:07 PM,11,20,21,20,13,8,58,0.0,1015,27,10,228,9
2020-01-03,26,14,0.0,11.0,6,6,51,12:43 PM,12:19 AM,07:11 AM,06:08 PM,9,19,20,19,12,6,55,0.0,1015,26,10,134,7
2020-01-04,25,15,0.0,10.1,6,6,59,01:17 PM,01:07 AM,07:11 AM,06:08 PM,11,19,20,19,10,22,59,0.0,1013,25,10,82,7
2020-01-05,25,13,0.0,11.0,5,5,66,01:53 PM,01:56 AM,07:11 AM,06:09 PM,9,19,19,19,23,3,55,0.0,1014,25,10,109,15
2020-01-06,28,14,0.0,11.0,6,6,73,02:31 PM,02:47 AM,07:11 AM,06:09 PM,11,21,22,21,19,8,55,0.0,1015,28,10,162,12
2020-01-07,29,16,0.0,11.0,6,6,80,03:13 PM,03:41 AM,07:12 AM,06:10 PM,13,23,23,22,17,18,61,0.0,1013,29,10,228,11
2020-01-08,26,16,0.0,11.0,6,6,88,04:00 PM,04:36 AM,07:12 AM,06:11 PM,13,21,22,21,17,8,66,0.0,1013,26,10,268,12
2020-01-09,25,14,0.0,11.0,6,6,95,04:53 PM,05:35 AM,07:12 AM,06:11 PM,8,20,21,20,12,1,50,0.0,1014,25,10,99,8
2020-01-10,25,12,0.0,11.0,5,5,100,05:51 PM,06:34 AM,07:12 AM,06:12 PM,9,18,20,18,25,4,54,0.0,1014,25,10,110,16
2020-01-11,28,13,0.0,11.0,6,6,100,06:53 PM,07:34 AM,07:12 AM,06:13 PM,10,21,22,21,18,6,51,0.0,1014,28,10,114,11
2020-01-12,28,16,0.0,11.0,6,6,83,07:57 PM,08:29 AM,07:12 AM,06:13 PM,12,23,23,22,16,4,58,0.0,1014,28,10,106,10
2020-01-13,27,17,0.0,11.0,5,5,76,09:00 PM,09:21 AM,07:13 AM,06:14 PM,15,21,21,21,17,19,72,0.1,1012,27,10,262,12
2020-01-14,25,14,0.0,8.6,5,5,69,10:02 PM,10:09 AM,07:13 AM,06:15 PM,14,20,22,20,11,39,73,0.6,1012,25,9,243,7
2020-01-15,27,15,0.0,11.0,6,6,61,11:03 PM,10:53 AM,07:13 AM,06:15 PM,11,20,21,20,18,9,62,0.0,1012,27,10,205,12
2020-01-16,22,12,0.0,11.0,5,5,54,No moonrise,11:36 AM,07:13 AM,06:16 PM,7,16,17,16,19,12,58,0.0,1014,22,10,285,12
2020-01-17,26,10,0.0,11.0,5,5,47,12:02 AM,12:17 PM,07:13 AM,06:17 PM,1,18,19,18,10,0,36,0.0,1014,26,10,195,7
