date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,12,0.0,7.1,4,4,37,10:50 AM,10:39 PM,06:32 AM,05:10 PM,9,15,15,15,8,47,69,0.9,1021,18,8,265,5
2020-01-02,23,14,0.0,8.7,4,4,44,11:23 AM,11:30 PM,06:33 AM,05:11 PM,13,18,19,18,9,52,71,0.6,1020,23,10,120,6
2020-01-03,22,16,0.0,5.6,4,4,51,11:55 AM,No moonset,06:33 AM,05:11 PM,13,18,19,18,12,71,73,0.8,1017,22,10,134,8
2020-01-04,24,15,0.0,8.7,6,6,59,12:27 PM,12:20 AM,06:33 AM,05:12 PM,12,19,19,19,10,28,69,0.0,1014,24,10,298,7
2020-01-05,22,14,0.0,8.7,5,5,66,01:00 PM,01:11 AM,06:33 AM,05:13 PM,11,18,18,18,14,3,65,0.0,1016,22,10,287,11
2020-01-06,23,13,0.0,8.7,5,5,73,01:37 PM,02:04 AM,06:34 AM,05:13 PM,8,18,18,18,13,2,56,0.0,1018,23,10,297,9
2020-01-07,23,13,0.0,8.7,5,5,80,02:17 PM,02:59 AM,06:34 AM,05:14 PM,8,18,18,18,9,12,53,0.0,1016,23,10,317,6
2020-01-08,25,15,0.0,8.7,6,6,88,03:02 PM,03:56 AM,06:34 AM,05:15 PM,8,20,20,20,10,29,50,0.0,1014,25,10,69,7
2020-01-09,24,14,0.0,5.6,5,5,95,03:54 PM,04:56 AM,06:34 AM,05:15 PM,14,18,19,18,16,58,78,5.2,1015,24,10,246,11
2020-01-10,20,9,0.0,7.2,4,4,100,04:52 PM,05:56 AM,06:34 AM,05:16 PM,11,14,15,14,17,29,78,0.0,1017,20,10,290,12
2020-01-11,21,12,0.0,8.7,5,5,100,05:54 PM,06:55 AM,06:34 AM,05:17 PM,10,16,16,16,12,0,66,0.0,1018,21,10,294,10
2020-01-12,22,12,0.0,8.7,5,5,83,06:59 PM,07:50 AM,06:34 AM,05:18 PM,8,16,17,16,11,0,58,0.0,1015,22,10,284,9
2020-01-13,24,13,0.0,8.7,5,5,76,08:05 PM,08:40 AM,06:34 AM,05:18 PM,9,18,18,18,8,0,54,0.0,1013,24,10,309,7
2020-01-14,26,16,0.0,8.7,6,6,69,09:09 PM,09:26 AM,06:34 AM,05:19 PM,9,20,21,20,6,2,50,0.0,1013,26,10,307,5
2020-01-15,27,15,0.0,8.7,6,6,61,10:12 PM,10:08 AM,06:34 AM,05:20 PM,9,20,21,20,7,5,50,0.0,1014,27,10,337,5
