date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,8,0.0,8.7,3,3,37,11:16 AM,10:55 PM,07:07 AM,05:12 PM,0,11,12,11,10,39,47,0.0,1020,17,10,79,6
2020-01-02,19,10,0.0,8.7,5,5,44,11:45 AM,11:48 PM,07:07 AM,05:13 PM,-1,14,14,14,8,59,37,0.0,1021,19,10,126,4
2020-01-03,21,10,0.0,8.7,5,5,51,12:14 PM,No moonset,07:07 AM,05:14 PM,1,14,14,14,7,29,41,0.0,1017,21,10,282,4
2020-01-04,21,10,0.0,8.7,5,5,59,12:42 PM,12:41 AM,07:07 AM,05:14 PM,3,14,14,14,7,10,47,0.0,1016,21,10,224,4
2020-01-05,18,10,0.0,5.4,4,4,66,01:13 PM,01:36 AM,07:07 AM,05:15 PM,3,13,14,13,14,53,50,0.0,1017,18,10,220,9
2020-01-06,10,3,0.0,3.8,2,2,73,01:47 PM,02:32 AM,07:08 AM,05:16 PM,7,8,10,8,11,96,81,7.5,1021,10,6,41,8
2020-01-07,12,10,0.0,3.8,3,3,80,02:24 PM,03:30 AM,07:08 AM,05:17 PM,9,10,11,10,10,72,91,4.3,1018,12,7,202,7
2020-01-08,16,8,0.0,8.7,3,3,88,03:07 PM,04:30 AM,07:08 AM,05:18 PM,6,11,12,11,10,17,69,0.1,1016,16,10,311,7
2020-01-09,19,8,0.0,8.7,5,5,95,03:57 PM,05:33 AM,07:08 AM,05:19 PM,-0,12,13,12,12,0,42,0.0,1018,19,10,308,8
2020-01-10,19,7,0.0,8.7,4,4,100,04:55 PM,06:33 AM,07:08 AM,05:19 PM,-5,11,11,11,14,23,32,0.0,1018,19,10,304,8
2020-01-11,18,8,0.0,7.1,3,3,100,05:58 PM,07:32 AM,07:08 AM,05:20 PM,-5,12,12,12,8,52,29,0.0,1018,18,10,257,5
2020-01-12,21,12,0.0,8.7,5,5,83,07:06 PM,08:24 AM,07:08 AM,05:21 PM,-0,15,15,15,13,61,37,0.0,1016,21,10,315,8
2020-01-13,12,3,0.0,3.8,3,3,76,08:14 PM,09:12 AM,07:08 AM,05:22 PM,8,9,11,9,15,88,83,4.4,1011,12,10,128,10
2020-01-14,17,8,0.0,8.7,4,4,69,09:23 PM,09:54 AM,07:07 AM,05:23 PM,8,11,12,11,11,16,78,0.0,1016,17,7,226,7
2020-01-15,19,11,0.0,8.7,5,5,61,10:29 PM,10:32 AM,07:07 AM,05:24 PM,6,15,15,15,7,16,61,0.0,1016,19,10,328,5
2020-01-16,19,10,0.0,8.7,5,5,54,11:35 PM,11:08 AM,07:07 AM,05:25 PM,4,13,13,13,9,26,56,0.0,1015,19,10,311,6
2020-01-17,18,9,0.0,7.1,3,3,47,No moonrise,11:44 AM,07:07 AM,05:26 PM,8,13,13,13,7,45,71,1.2,1017,18,10,87,4
2020-01-18,18,10,0.0,8.7,4,4,40,12:39 AM,12:19 PM,07:07 AM,05:26 PM,8,14,14,14,7,33,67,0.3,1018,18,10,131,4
2020-01-19,20,11,0.0,8.7,5,5,32,01:44 AM,12:56 PM,07:06 AM,05:27 PM,1,14,14,14,10,14,44,0.0,1018,20,10,318,6
2020-01-20,20,11,0.0,8.7,5,5,25,02:47 AM,01:37 PM,07:06 AM,05:28 PM,-1,14,14,14,11,53,35,0.0,1017,20,10,301,7
2020-01-21,17,10,0.0,3.8,3,3,18,03:50 AM,02:22 PM,07:06 AM,05:29 PM,5,12,13,12,15,56,60,0.2,1021,17,10,38,9
2020-01-22,19,8,0.0,8.7,5,5,11,04:51 AM,03:11 PM,07:05 AM,05:30 PM,5,12,13,12,19,4,62,0.0,1022,19,10,326,12
2020-01-23,19,9,0.0,8.7,5,5,3,05:48 AM,04:04 PM,07:05 AM,05:31 PM,2,13,14,13,19,0,49,0.0,1019,19,10,323,12
2020-01-24,21,8,0.0,8.7,5,5,0,06:40 AM,05:01 PM,07:05 AM,05:32 PM,-3,13,13,13,16,6,32,0.0,1015,21,10,308,9
2020-01-25,20,12,0.0,7.1,4,4,0,07:27 AM,05:58 PM,07:04 AM,05:33 PM,-1,15,15,15,7,38,35,0.1,1015,20,10,229,4
2020-01-26,22,11,0.0,8.7,5,5,4,08:07 AM,06:55 PM,07:04 AM,05:34 PM,5,16,16,16,9,8,51,0.0,1014,22,10,335,6
2020-01-27,19,8,0.0,3.9,4,4,11,08:43 AM,07:51 PM,07:03 AM,05:35 PM,6,13,14,13,15,60,63,3.5,1012,19,9,191,9
2020-01-28,12,8,0.0,3.9,3,3,18,09:16 AM,08:45 PM,07:03 AM,05:36 PM,10,10,11,10,17,98,92,17.7,1011,12,6,46,12
2020-01-29,16,11,0.0,3.9,3,3,26,09:46 AM,09:39 PM,07:02 AM,05:37 PM,10,12,13,12,12,67,84,11.2,1017,16,10,209,8
2020-01-30,18,9,0.0,8.7,5,5,33,10:14 AM,10:32 PM,07:02 AM,05:38 PM,9,14,14,14,8,3,74,0.0,1017,18,10,306,6
2020-01-31,19,9,0.0,8.7,5,5,37,10:42 AM,11:26 PM,07:01 AM,05:38 PM,5,13,13,13,6,17,61,0.0,1014,19,10,256,4
2020-02-01,20,9,0.0,8.7,5,5,49,11:12 AM,No moonset,07:00 AM,05:39 PM,6,14,14,14,6,3,58,0.0,1018,20,10,238,4
2020-02-02,22,11,0.0,8.7,5,5,57,11:43 AM,12:20 AM,07:00 AM,05:40 PM,6,16,16,16,9,0,53,0.0,1019,22,10,311,6
2020-02-03,23,11,0.0,8.7,5,5,64,12:18 PM,01:16 AM,06:59 AM,05:41 PM,4,17,17,17,6,1,47,0.0,1017,23,10,291,4
2020-02-04,17,9,0.0,7.2,3,3,72,12:57 PM,02:14 AM,06:58 AM,05:42 PM,4,12,12,12,11,47,59,0.0,1017,17,10,109,7
2020-02-05,20,8,0.0,8.7,5,5,79,01:43 PM,03:14 AM,06:58 AM,05:43 PM,4,14,15,14,13,4,57,0.0,1017,20,10,303,8
