date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,19,0.0,4.1,5,5,37,11:16 AM,11:13 PM,06:50 AM,05:50 PM,17,23,23,22,19,62,76,2.3,1015,28,10,140,13
2020-01-02,29,19,0.0,4.1,5,5,44,11:50 AM,No moonset,06:50 AM,05:51 PM,18,24,24,23,13,76,76,5.0,1015,29,9,180,9
2020-01-03,26,20,0.0,4.1,5,5,51,12:24 PM,12:00 AM,06:50 AM,05:51 PM,19,23,23,22,13,76,85,13.4,1014,26,9,82,8
2020-01-04,27,19,0.0,8.7,6,6,59,12:59 PM,12:48 AM,06:51 AM,05:52 PM,16,23,23,22,11,29,72,0.0,1013,27,10,242,7
2020-01-05,25,17,0.0,8.7,6,6,66,01:35 PM,01:37 AM,06:51 AM,05:53 PM,13,20,21,20,18,10,62,0.0,1015,25,10,46,11
2020-01-06,27,16,0.0,8.7,6,6,73,02:13 PM,02:27 AM,06:51 AM,05:53 PM,13,21,22,21,14,25,58,0.0,1016,27,10,116,9
2020-01-07,28,19,0.0,8.7,5,5,80,02:55 PM,03:21 AM,06:51 AM,05:54 PM,16,24,24,23,13,48,66,0.9,1015,28,10,148,9
2020-01-08,30,20,0.0,5.7,6,6,88,03:43 PM,04:16 AM,06:52 AM,05:54 PM,18,26,26,25,16,57,69,1.5,1012,30,10,206,11
2020-01-09,27,20,0.0,5.7,5,5,95,04:35 PM,05:14 AM,06:52 AM,05:55 PM,17,25,25,23,16,50,69,0.5,1013,27,10,10,11
2020-01-10,25,16,0.0,8.7,6,6,100,05:34 PM,06:14 AM,06:52 AM,05:56 PM,10,19,20,19,21,11,57,0.0,1016,25,10,36,14
2020-01-11,29,15,0.0,8.7,6,6,100,06:35 PM,07:13 AM,06:52 AM,05:56 PM,8,20,21,20,15,7,46,0.0,1016,29,10,45,9
2020-01-12,29,17,0.0,8.7,6,6,83,07:39 PM,08:09 AM,06:52 AM,05:57 PM,4,22,22,22,10,0,33,0.0,1015,29,10,71,7
2020-01-13,31,18,0.0,8.7,6,6,76,08:42 PM,09:01 AM,06:53 AM,05:58 PM,5,23,23,24,7,0,30,0.0,1013,31,10,228,4
2020-01-14,30,18,0.0,8.7,6,6,69,09:44 PM,09:50 AM,06:53 AM,05:58 PM,10,24,24,23,13,5,43,0.0,1012,30,10,102,7
2020-01-15,29,18,0.0,8.7,6,6,61,10:44 PM,10:34 AM,06:53 AM,05:59 PM,14,23,23,23,19,8,57,0.0,1012,29,10,137,12
