date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,4.1,5,5,37,11:16 AM,11:14 PM,06:50 AM,05:52 PM,17,23,23,23,25,64,74,2.9,1014,28,9,163,16
2020-01-02,29,19,0.0,7.2,5,5,44,11:51 AM,No moonset,06:50 AM,05:52 PM,18,25,25,23,14,42,72,0.9,1015,29,8,133,10
2020-01-03,29,21,0.0,5.7,5,5,51,12:25 PM,12:01 AM,06:50 AM,05:53 PM,19,25,25,23,17,58,78,7.4,1014,29,10,166,11
2020-01-04,26,19,0.0,7.2,5,5,59,01:00 PM,12:49 AM,06:51 AM,05:54 PM,17,23,23,22,12,43,76,0.3,1013,26,8,35,8
2020-01-05,25,18,0.0,8.7,6,6,66,01:36 PM,01:38 AM,06:51 AM,05:54 PM,14,21,21,21,17,13,67,0.0,1014,25,10,58,11
2020-01-06,27,17,0.0,8.7,5,5,73,02:14 PM,02:28 AM,06:51 AM,05:55 PM,14,23,23,22,15,40,64,0.1,1016,27,10,116,9
2020-01-07,28,20,0.0,4.1,5,5,80,02:57 PM,03:21 AM,06:52 AM,05:56 PM,18,25,25,24,15,53,70,1.1,1014,28,10,165,10
2020-01-08,29,20,0.0,4.1,6,6,88,03:45 PM,04:16 AM,06:52 AM,05:56 PM,18,26,26,25,19,47,67,0.5,1012,29,10,204,13
2020-01-09,27,20,0.0,4.1,5,5,95,04:37 PM,05:15 AM,06:52 AM,05:57 PM,17,25,25,23,15,54,69,0.5,1013,27,10,236,10
2020-01-10,26,17,0.0,8.7,6,6,100,05:36 PM,06:14 AM,06:52 AM,05:57 PM,12,20,21,20,19,18,62,0.0,1015,26,10,47,13
2020-01-11,28,15,0.0,8.7,6,6,100,06:37 PM,07:13 AM,06:52 AM,05:58 PM,11,21,22,21,14,10,52,0.0,1016,28,10,52,9
2020-01-12,29,18,0.0,8.7,6,6,83,07:41 PM,08:09 AM,06:53 AM,05:59 PM,6,22,22,23,10,0,36,0.0,1015,29,10,39,7
2020-01-13,30,19,0.0,8.7,7,7,76,08:44 PM,09:01 AM,06:53 AM,05:59 PM,7,25,25,25,10,1,34,0.0,1012,30,10,214,6
2020-01-14,31,19,0.0,11.5,7,7,69,09:46 PM,09:50 AM,06:53 AM,06:00 PM,11,25,25,25,14,5,45,0.0,1012,31,10,128,8
2020-01-15,30,19,0.0,11.5,6,6,61,10:45 PM,10:35 AM,06:53 AM,06:01 PM,13,24,24,24,22,7,55,0.0,1012,30,10,141,14
2020-01-16,29,18,0.0,11.5,6,6,54,11:44 PM,11:18 AM,06:53 AM,06:01 PM,13,24,24,23,20,5,54,0.0,1012,29,10,165,13
2020-01-17,28,19,0.0,11.5,6,6,47,No moonrise,11:59 AM,06:53 AM,06:02 PM,15,24,24,23,13,24,61,0.0,1013,28,10,178,10
2020-01-18,30,20,0.0,11.5,7,7,40,12:41 AM,12:41 PM,06:53 AM,06:02 PM,15,25,25,24,12,16,59,0.0,1013,30,10,164,8
2020-01-19,30,20,0.0,11.5,6,6,32,01:39 AM,01:25 PM,06:53 AM,06:03 PM,15,26,26,25,12,23,58,0.1,1013,30,10,262,7
