date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,21,0.0,11.1,7,7,37,11:32 AM,11:34 PM,07:01 AM,06:15 PM,19,27,27,25,17,3,72,0.0,1013,28,10,291,11
2020-01-02,28,21,0.0,11.1,7,7,44,12:07 PM,No moonset,07:01 AM,06:15 PM,20,27,27,25,21,16,76,0.0,1014,28,10,306,15
2020-01-03,28,21,0.0,11.1,7,7,51,12:43 PM,12:20 AM,07:02 AM,06:16 PM,19,26,26,24,27,2,75,0.0,1014,28,10,314,19
2020-01-04,27,20,0.0,11.2,6,6,59,01:19 PM,01:06 AM,07:02 AM,06:17 PM,18,25,25,23,18,7,74,0.0,1012,27,10,299,12
2020-01-05,28,20,0.0,11.1,6,6,66,01:56 PM,01:54 AM,07:03 AM,06:17 PM,18,25,25,24,12,3,72,0.0,1011,28,10,238,9
2020-01-06,31,22,0.0,11.2,7,7,73,02:36 PM,02:42 AM,07:03 AM,06:18 PM,21,29,29,26,15,34,74,0.2,1013,31,10,218,10
2020-01-07,32,24,0.0,11.2,7,7,80,03:20 PM,03:35 AM,07:03 AM,06:18 PM,21,30,30,27,18,30,72,0.0,1012,32,10,290,11
2020-01-08,30,24,0.0,11.2,7,7,88,04:08 PM,04:29 AM,07:03 AM,06:19 PM,21,28,28,26,24,23,76,0.0,1012,30,10,310,17
2020-01-09,28,22,0.0,11.2,7,7,95,05:02 PM,05:27 AM,07:04 AM,06:20 PM,21,27,27,25,22,10,77,0.0,1012,28,10,298,15
2020-01-10,31,22,0.0,11.2,7,7,100,06:00 PM,06:25 AM,07:04 AM,06:20 PM,20,28,28,26,11,17,72,0.0,1012,31,10,253,7
2020-01-11,32,24,0.0,11.2,7,7,100,07:01 PM,07:25 AM,07:04 AM,06:21 PM,21,29,29,27,13,11,70,0.0,1012,32,10,199,9
2020-01-12,32,24,0.0,11.2,7,7,83,08:04 PM,08:21 AM,07:04 AM,06:21 PM,19,28,28,26,17,6,66,0.0,1012,32,10,196,11
2020-01-13,29,22,0.0,11.2,7,7,76,09:06 PM,09:15 AM,07:05 AM,06:22 PM,19,27,27,25,19,8,70,0.0,1011,29,10,291,13
2020-01-14,28,22,0.0,11.2,7,7,69,10:06 PM,10:04 AM,07:05 AM,06:22 PM,21,27,27,24,23,8,80,0.0,1011,28,10,308,16
2020-01-15,28,21,0.0,11.2,7,7,61,11:04 PM,10:51 AM,07:05 AM,06:23 PM,20,26,26,24,24,9,78,0.0,1011,28,10,307,17
2020-01-16,27,20,0.0,11.2,6,6,54,No moonrise,11:35 AM,07:05 AM,06:24 PM,18,24,24,23,32,10,73,0.0,1012,27,10,316,22
2020-01-17,26,19,0.0,11.2,6,6,47,12:01 AM,12:18 PM,07:05 AM,06:24 PM,16,23,23,22,28,1,67,0.0,1012,26,10,313,19
2020-01-18,28,19,0.0,11.2,6,6,40,12:57 AM,01:02 PM,07:05 AM,06:25 PM,17,25,25,23,20,6,68,0.0,1011,28,10,302,14
2020-01-19,29,22,0.0,11.2,7,7,32,01:54 AM,01:47 PM,07:05 AM,06:25 PM,19,27,27,25,18,10,69,0.0,1012,29,10,297,12
2020-01-20,32,24,0.0,11.2,7,7,25,02:50 AM,02:34 PM,07:05 AM,06:26 PM,19,29,29,27,17,10,64,0.0,1012,32,10,255,11
2020-01-21,31,23,0.0,11.2,7,7,18,03:48 AM,03:24 PM,07:05 AM,06:26 PM,19,28,28,26,19,11,66,0.0,1013,31,10,292,13
2020-01-22,32,24,0.0,11.2,7,7,11,04:44 AM,04:16 PM,07:05 AM,06:27 PM,18,28,28,27,20,2,58,0.0,1013,32,10,222,13
2020-01-23,33,23,0.0,11.2,7,7,3,05:40 AM,05:10 PM,07:05 AM,06:28 PM,18,29,29,27,22,2,57,0.0,1012,33,10,218,13
2020-01-24,34,23,0.0,11.2,7,7,0,06:33 AM,06:04 PM,07:05 AM,06:28 PM,16,29,29,27,19,1,53,0.0,1012,34,10,215,11
2020-01-25,34,23,0.0,11.2,7,7,0,07:23 AM,06:57 PM,07:05 AM,06:29 PM,17,28,28,27,13,1,54,0.0,1012,34,10,221,9
2020-01-26,31,24,0.0,11.2,7,7,4,08:08 AM,07:49 PM,07:05 AM,06:29 PM,18,28,28,27,15,2,59,0.0,1011,31,10,262,11
2020-01-27,29,24,0.0,11.3,7,7,11,08:50 AM,08:39 PM,07:05 AM,06:30 PM,21,28,28,26,13,3,75,0.0,1011,29,10,264,10
2020-01-28,28,22,0.0,10.1,6,6,18,09:29 AM,09:27 PM,07:05 AM,06:30 PM,20,27,27,25,16,40,74,0.2,1012,28,10,293,11
2020-01-29,28,21,0.0,11.3,7,7,26,10:05 AM,10:13 PM,07:05 AM,06:31 PM,19,26,26,24,22,11,75,0.0,1013,28,10,303,16
2020-01-30,27,20,0.0,11.3,6,6,33,10:41 AM,11:00 PM,07:05 AM,06:31 PM,18,24,24,23,25,0,74,0.0,1013,27,10,307,17
2020-01-31,27,20,0.0,11.3,6,6,37,11:16 AM,11:46 PM,07:05 AM,06:32 PM,18,24,24,23,21,3,77,0.0,1011,27,10,298,14
2020-02-01,28,19,0.0,11.3,6,6,49,11:52 AM,No moonset,07:04 AM,06:32 PM,18,24,24,23,15,2,72,0.0,1012,28,10,274,10
2020-02-02,28,20,0.0,11.3,6,6,57,12:30 PM,12:33 AM,07:04 AM,06:33 PM,18,25,25,24,17,10,70,0.0,1013,28,10,286,12
2020-02-03,29,22,0.0,11.3,7,7,64,01:11 PM,01:23 AM,07:04 AM,06:33 PM,19,27,27,25,20,10,73,0.0,1013,29,10,287,14
2020-02-04,28,22,0.0,11.3,7,7,72,01:56 PM,02:15 AM,07:04 AM,06:34 PM,20,27,27,25,23,6,77,0.0,1012,28,10,301,16
2020-02-05,29,22,0.0,11.3,7,7,79,02:46 PM,03:10 AM,07:03 AM,06:34 PM,19,27,27,25,20,4,70,0.0,1012,29,10,273,13
2020-02-06,28,22,0.0,11.3,7,7,87,03:42 PM,04:07 AM,07:03 AM,06:34 PM,19,26,26,24,18,2,72,0.0,1012,28,10,284,12
2020-02-07,26,20,0.0,11.3,6,6,95,04:41 PM,05:06 AM,07:03 AM,06:35 PM,17,24,24,23,16,1,71,0.0,1013,26,10,296,12
2020-02-08,27,19,0.0,11.3,6,6,100,05:45 PM,06:04 AM,07:03 AM,06:35 PM,16,24,24,23,13,0,67,0.0,1013,27,10,269,10
2020-02-09,28,19,0.0,11.3,6,6,100,06:48 PM,07:01 AM,07:02 AM,06:36 PM,18,25,25,24,14,1,69,0.0,1013,28,10,217,10
2020-02-10,29,21,0.0,11.3,7,7,83,07:51 PM,07:53 AM,07:02 AM,06:36 PM,19,26,26,25,14,11,71,0.0,1012,29,10,227,10
2020-02-11,32,23,0.0,11.4,7,7,75,08:52 PM,08:43 AM,07:02 AM,06:37 PM,19,29,29,27,15,11,66,0.0,1012,32,10,208,10
2020-02-12,32,24,0.0,11.4,7,7,68,09:52 PM,09:30 AM,07:01 AM,06:37 PM,19,29,29,27,19,6,64,0.0,1014,32,10,229,12
2020-02-13,33,23,0.0,11.4,7,7,60,10:50 PM,10:15 AM,07:01 AM,06:37 PM,18,29,29,27,21,5,59,0.0,1013,33,10,222,13
2020-02-14,34,23,0.0,11.4,7,7,53,11:48 PM,10:59 AM,07:00 AM,06:38 PM,19,29,29,28,16,4,60,0.0,1012,34,10,249,10
2020-02-15,32,23,0.0,11.4,7,7,45,No moonrise,11:45 AM,07:00 AM,06:38 PM,19,29,29,27,20,0,62,0.0,1011,32,10,289,13
2020-02-16,33,24,0.0,11.6,7,7,38,12:46 AM,12:32 PM,06:59 AM,06:38 PM,18,29,29,28,14,0,59,0.0,1012,33,10,265,10
2020-02-17,33,24,0.0,11.6,7,7,30,01:44 AM,01:21 PM,06:59 AM,06:39 PM,18,29,29,27,13,0,59,0.0,1013,33,10,239,9
2020-02-18,33,23,0.0,11.6,7,7,22,02:40 AM,02:12 PM,06:59 AM,06:39 PM,18,30,30,28,13,2,54,0.0,1012,33,10,223,9
2020-02-19,31,24,0.0,11.6,7,7,15,03:36 AM,03:05 PM,06:58 AM,06:39 PM,19,29,29,27,15,0,62,0.0,1012,31,10,254,11
2020-02-20,33,24,0.0,11.6,7,7,7,04:29 AM,03:58 PM,06:58 AM,06:40 PM,19,29,29,27,15,1,64,0.0,1011,33,10,258,11
2020-02-21,32,24,0.0,11.6,7,7,0,05:19 AM,04:51 PM,06:57 AM,06:40 PM,18,28,28,27,16,1,60,0.0,1013,32,10,249,11
2020-02-22,35,23,0.0,11.6,7,7,0,06:05 AM,05:43 PM,06:57 AM,06:40 PM,17,29,29,28,21,1,52,0.0,1013,35,10,197,13
2020-02-23,35,24,0.0,11.6,7,7,0,06:47 AM,06:33 PM,06:56 AM,06:41 PM,17,30,30,28,18,2,52,0.0,1012,35,10,239,11
