date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,19,0.0,10.2,6,6,37,10:55 AM,11:10 PM,05:58 AM,05:47 PM,17,27,27,25,13,34,64,0.1,1012,31,10,58,9
2020-01-02,33,19,0.0,11.6,7,7,44,11:34 AM,11:53 PM,05:59 AM,05:47 PM,16,28,28,26,14,38,62,0.1,1012,33,10,58,9
2020-01-03,34,18,0.0,11.6,7,7,51,12:13 PM,No moonset,05:59 AM,05:48 PM,13,27,27,26,13,9,54,0.0,1014,34,10,57,9
2020-01-04,34,19,0.0,11.6,7,7,59,12:53 PM,12:35 AM,05:59 AM,05:48 PM,14,27,27,26,13,24,54,0.0,1015,34,10,62,8
2020-01-05,33,19,0.0,11.5,7,7,66,01:35 PM,01:20 AM,06:00 AM,05:49 PM,16,28,28,26,14,29,59,0.0,1014,33,10,57,9
2020-01-06,33,19,0.0,11.5,7,7,73,02:19 PM,02:07 AM,06:00 AM,05:49 PM,15,28,28,26,14,20,56,0.0,1012,33,10,60,9
2020-01-07,34,19,0.0,8.7,7,7,80,03:08 PM,02:57 AM,06:01 AM,05:50 PM,15,28,28,27,15,19,55,0.0,1013,34,10,61,10
2020-01-08,34,18,0.0,8.7,7,7,88,04:00 PM,03:50 AM,06:01 AM,05:50 PM,13,27,27,27,15,10,48,0.0,1014,34,10,64,10
2020-01-09,33,18,0.0,8.7,7,7,95,04:57 PM,04:46 AM,06:01 AM,05:51 PM,14,28,28,26,16,15,52,0.0,1014,33,10,61,10
2020-01-10,34,18,0.0,8.7,7,7,100,05:57 PM,05:46 AM,06:02 AM,05:51 PM,12,28,28,27,18,9,47,0.0,1013,34,10,57,12
2020-01-11,30,18,0.0,8.7,7,7,100,06:57 PM,06:45 AM,06:02 AM,05:51 PM,12,26,26,25,16,8,51,0.0,1014,30,10,60,10
2020-01-12,32,19,0.0,8.7,7,7,83,07:57 PM,07:43 AM,06:02 AM,05:52 PM,13,27,27,26,16,10,51,0.0,1014,32,10,58,11
2020-01-13,33,21,0.0,8.7,7,7,76,08:54 PM,08:38 AM,06:03 AM,05:52 PM,14,28,28,27,16,11,51,0.0,1013,33,10,63,10
2020-01-14,34,19,0.0,8.7,7,7,69,09:50 PM,09:30 AM,06:03 AM,05:53 PM,14,28,28,27,14,16,51,0.0,1012,34,10,69,9
2020-01-15,34,20,0.0,7.2,7,7,61,10:43 PM,10:19 AM,06:03 AM,05:53 PM,15,29,29,27,12,39,53,0.7,1012,34,10,68,8
2020-01-16,33,19,0.0,5.8,6,6,54,11:35 PM,11:07 AM,06:03 AM,05:54 PM,16,28,28,27,12,50,56,1.3,1014,33,10,70,8
2020-01-17,34,20,0.0,7.2,6,6,47,No moonrise,11:55 AM,06:04 AM,05:54 PM,17,28,28,26,12,55,63,4.3,1014,34,10,64,8
2020-01-18,33,19,0.0,7.2,6,6,40,12:27 AM,12:42 PM,06:04 AM,05:54 PM,18,28,28,26,11,63,67,2.2,1013,33,10,74,7
2020-01-19,32,19,0.0,8.7,7,7,32,01:20 AM,01:32 PM,06:04 AM,05:55 PM,17,28,28,26,14,44,63,0.4,1013,32,10,59,9
2020-01-20,31,20,0.0,7.2,6,6,25,02:13 AM,02:23 PM,06:04 AM,05:55 PM,17,28,28,26,9,57,63,0.9,1013,31,10,63,6
2020-01-21,33,21,0.0,4.3,6,6,18,03:09 AM,03:16 PM,06:05 AM,05:56 PM,18,28,28,26,11,72,63,1.8,1012,33,10,62,7
2020-01-22,34,21,0.0,4.3,7,7,11,04:04 AM,04:09 PM,06:05 AM,05:56 PM,17,30,30,27,11,63,59,2.6,1011,34,9,56,7
2020-01-23,33,20,0.0,7.2,6,6,3,04:58 AM,05:04 PM,06:05 AM,05:56 PM,17,29,29,27,12,48,61,7.2,1011,33,9,50,7
2020-01-24,35,22,0.0,7.2,7,7,0,05:51 AM,05:56 PM,06:05 AM,05:57 PM,17,29,29,27,14,70,58,2.0,1011,35,10,63,9
2020-01-25,33,24,0.0,7.2,7,7,0,06:40 AM,06:47 PM,06:05 AM,05:57 PM,18,30,30,28,11,52,57,0.7,1012,33,10,57,8
2020-01-26,33,21,0.0,8.7,7,7,4,07:27 AM,07:35 PM,06:05 AM,05:57 PM,15,29,29,28,10,45,52,0.1,1013,33,10,66,7
2020-01-27,33,21,0.0,5.8,7,7,11,08:10 AM,08:20 PM,06:05 AM,05:58 PM,15,30,30,28,12,46,50,0.3,1013,33,10,57,8
2020-01-28,34,21,0.0,8.7,8,8,18,08:51 AM,09:05 PM,06:06 AM,05:58 PM,15,30,30,28,14,30,52,0.1,1012,34,10,54,9
2020-01-29,34,21,0.0,8.7,8,8,26,09:31 AM,09:48 PM,06:06 AM,05:58 PM,15,31,31,28,15,38,50,0.1,1011,34,10,54,9
2020-01-30,35,21,0.0,7.2,7,7,33,10:09 AM,10:30 PM,06:06 AM,05:58 PM,14,30,30,29,15,32,48,0.2,1012,35,10,64,10
2020-01-31,36,21,0.0,8.7,8,8,37,10:48 AM,11:14 PM,06:06 AM,05:59 PM,14,30,30,28,14,13,46,0.0,1013,36,10,71,9
2020-02-01,34,21,0.0,7.2,7,7,49,11:29 AM,11:58 PM,06:06 AM,05:59 PM,16,31,31,28,13,45,52,1.7,1013,34,10,58,9
2020-02-02,34,21,0.0,8.7,8,8,57,12:11 PM,No moonset,06:06 AM,05:59 PM,17,30,30,28,14,43,56,0.7,1013,34,10,65,9
2020-02-03,35,21,0.0,8.7,8,8,64,12:56 PM,12:45 AM,06:06 AM,05:59 PM,15,30,30,28,11,32,52,0.3,1013,35,10,65,8
2020-02-04,36,22,0.0,11.6,8,8,72,01:46 PM,01:36 AM,06:06 AM,06:00 PM,13,31,31,29,15,10,45,0.0,1014,36,10,67,10
2020-02-05,35,20,0.0,11.6,8,8,79,02:39 PM,02:30 AM,06:06 AM,06:00 PM,11,28,28,28,16,6,42,0.0,1013,35,10,62,11
2020-02-06,35,19,0.0,11.6,8,8,87,03:38 PM,03:27 AM,06:06 AM,06:00 PM,10,28,28,28,16,6,39,0.0,1013,35,10,66,10
2020-02-07,35,19,0.0,11.6,8,8,95,04:38 PM,04:26 AM,06:06 AM,06:00 PM,11,28,28,28,16,9,41,0.0,1013,35,10,65,11
2020-02-08,33,22,0.0,11.6,8,8,100,05:39 PM,05:26 AM,06:06 AM,06:00 PM,14,29,29,28,16,30,47,0.0,1013,33,10,56,11
2020-02-09,34,20,0.0,11.6,8,8,100,06:39 PM,06:23 AM,06:05 AM,06:01 PM,12,28,28,28,17,19,42,0.0,1013,34,10,57,12
2020-02-10,35,19,0.0,11.6,8,8,83,07:38 PM,07:19 AM,06:05 AM,06:01 PM,12,29,29,28,16,11,43,0.0,1014,35,10,62,11
2020-02-11,36,20,0.0,11.6,8,8,75,08:34 PM,08:11 AM,06:05 AM,06:01 PM,12,29,29,29,14,13,42,0.0,1013,36,10,68,9
2020-02-12,37,20,0.0,11.6,8,8,68,09:29 PM,09:01 AM,06:05 AM,06:01 PM,12,29,29,28,14,25,40,0.0,1012,37,10,71,9
2020-02-13,34,22,0.0,11.6,8,8,60,10:22 PM,09:50 AM,06:05 AM,06:01 PM,14,30,30,29,16,26,45,0.0,1011,34,10,65,11
2020-02-14,33,21,0.0,11.6,8,8,53,11:16 PM,10:39 AM,06:05 AM,06:01 PM,15,29,29,28,16,25,50,0.0,1012,33,10,58,11
2020-02-15,35,22,0.0,10.2,7,7,45,No moonrise,11:29 AM,06:05 AM,06:01 PM,14,30,30,29,14,39,46,0.2,1012,35,10,62,10
2020-02-16,36,21,0.0,10.2,7,7,38,12:10 AM,12:20 PM,06:04 AM,06:01 PM,13,31,31,29,15,27,43,0.5,1011,36,10,69,10
2020-02-17,37,20,0.0,11.6,8,8,30,01:05 AM,01:12 PM,06:04 AM,06:01 PM,11,31,31,30,15,5,39,0.0,1010,37,10,72,10
