date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,18,0.0,5.7,5,5,37,11:25 AM,11:23 PM,06:57 AM,06:01 PM,16,23,23,23,28,71,69,1.9,1013,28,10,166,19
2020-01-02,27,20,0.0,8.7,5,5,44,11:59 AM,No moonset,06:58 AM,06:02 PM,16,25,25,24,20,61,62,4.4,1015,27,10,191,13
2020-01-03,29,20,0.0,11.4,6,6,51,12:33 PM,12:10 AM,06:58 AM,06:02 PM,10,25,25,24,20,8,42,0.0,1014,29,10,277,12
2020-01-04,29,18,0.0,11.5,6,6,59,01:09 PM,12:57 AM,06:58 AM,06:03 PM,13,23,23,23,22,8,58,0.0,1013,29,10,195,14
2020-01-05,27,18,0.0,11.5,6,6,66,01:45 PM,01:46 AM,06:58 AM,06:03 PM,13,22,22,22,29,15,60,0.0,1014,27,10,89,20
2020-01-06,27,18,0.0,11.5,6,6,73,02:23 PM,02:36 AM,06:59 AM,06:04 PM,14,23,23,22,26,29,60,0.0,1016,27,10,143,18
2020-01-07,28,20,0.0,10.1,6,6,80,03:06 PM,03:29 AM,06:59 AM,06:05 PM,16,25,25,25,17,36,59,0.1,1014,28,10,190,12
2020-01-08,28,21,0.0,5.7,5,5,88,03:54 PM,04:24 AM,06:59 AM,06:05 PM,16,26,26,24,20,59,62,2.4,1013,28,10,222,15
2020-01-09,28,19,0.0,10.1,6,6,95,04:47 PM,05:22 AM,07:00 AM,06:06 PM,12,24,24,23,23,32,52,0.0,1013,28,10,54,15
2020-01-10,26,18,0.0,11.1,6,6,100,05:45 PM,06:21 AM,07:00 AM,06:06 PM,13,22,22,22,30,27,58,0.0,1015,26,10,78,21
2020-01-11,27,17,0.0,10.1,6,6,100,06:47 PM,07:21 AM,07:00 AM,06:07 PM,12,22,22,22,23,29,55,0.0,1015,27,10,92,15
2020-01-12,29,18,0.0,11.1,6,6,83,07:50 PM,08:16 AM,07:00 AM,06:08 PM,10,24,24,24,22,7,47,0.0,1014,29,10,74,13
2020-01-13,29,18,0.0,11.1,6,6,76,08:53 PM,09:09 AM,07:00 AM,06:08 PM,6,24,24,24,13,6,32,0.0,1012,29,10,236,8
2020-01-14,30,19,0.0,11.1,7,7,69,09:55 PM,09:58 AM,07:00 AM,06:09 PM,9,26,26,25,15,7,39,0.0,1011,30,10,191,9
2020-01-15,29,18,0.0,11.1,6,6,61,10:54 PM,10:43 AM,07:00 AM,06:09 PM,10,23,23,23,27,6,44,0.0,1011,29,10,170,18
2020-01-16,28,18,0.0,11.1,6,6,54,11:52 PM,11:26 AM,07:01 AM,06:10 PM,11,23,23,22,23,7,52,0.0,1012,28,10,212,17
2020-01-17,28,16,0.0,11.1,6,6,47,No moonrise,12:08 PM,07:01 AM,06:11 PM,8,22,22,22,23,13,40,0.0,1013,28,10,181,15
2020-01-18,29,18,0.0,11.1,6,6,40,12:49 AM,12:50 PM,07:01 AM,06:11 PM,11,24,24,24,20,16,45,0.0,1013,29,10,176,13
2020-01-19,29,19,0.0,11.1,6,6,32,01:47 AM,01:34 PM,07:01 AM,06:12 PM,13,25,25,24,13,20,51,0.0,1013,29,10,195,8
2020-01-20,30,20,0.0,11.1,7,7,25,02:45 AM,02:20 PM,07:01 AM,06:13 PM,13,26,26,25,17,12,48,0.0,1014,30,10,180,11
2020-01-21,30,20,0.0,11.1,7,7,18,03:43 AM,03:09 PM,07:01 AM,06:13 PM,13,26,26,25,22,15,48,0.0,1014,30,10,172,15
2020-01-22,30,20,0.0,11.1,7,7,11,04:40 AM,04:01 PM,07:01 AM,06:14 PM,11,25,25,25,23,6,45,0.0,1016,30,10,135,16
2020-01-23,32,19,0.0,11.1,7,7,3,05:37 AM,04:55 PM,07:01 AM,06:14 PM,9,27,27,26,23,3,39,0.0,1015,32,10,103,14
2020-01-24,32,20,0.0,11.2,7,7,0,06:29 AM,05:50 PM,07:00 AM,06:15 PM,9,27,27,26,18,4,37,0.0,1014,32,10,87,10
2020-01-25,32,21,0.0,11.2,7,7,0,07:18 AM,06:43 PM,07:00 AM,06:16 PM,9,27,27,27,14,6,36,0.0,1014,32,10,235,8
2020-01-26,34,21,0.0,11.2,7,7,4,08:03 AM,07:36 PM,07:00 AM,06:16 PM,8,28,28,28,19,5,32,0.0,1012,34,10,255,10
2020-01-27,32,22,0.0,11.2,7,7,11,08:44 AM,08:26 PM,07:00 AM,06:17 PM,9,27,27,27,23,8,35,0.0,1011,32,10,203,15
2020-01-28,30,19,0.0,11.2,7,7,18,09:22 AM,09:16 PM,07:00 AM,06:17 PM,9,25,25,25,24,11,38,0.0,1012,30,10,245,16
2020-01-29,29,18,0.0,11.2,6,6,26,09:58 AM,10:03 PM,07:00 AM,06:18 PM,11,23,23,23,19,4,51,0.0,1014,29,10,254,13
2020-01-30,31,18,0.0,11.6,6,6,33,10:32 AM,10:50 PM,06:59 AM,06:18 PM,8,25,25,25,20,2,39,0.0,1014,31,10,206,13
2020-01-31,31,18,0.0,11.6,7,7,37,11:06 AM,11:38 PM,06:59 AM,06:19 PM,9,25,25,25,25,5,38,0.0,1011,31,10,188,16
2020-02-01,31,20,0.0,11.6,7,7,49,11:41 AM,No moonset,06:59 AM,06:20 PM,9,25,25,26,26,2,41,0.0,1011,31,10,192,17
2020-02-02,29,19,0.0,11.6,6,6,57,12:18 PM,12:26 AM,06:59 AM,06:20 PM,13,24,24,24,27,33,51,0.0,1014,29,10,168,19
2020-02-03,30,21,0.0,11.6,7,7,64,12:58 PM,01:17 AM,06:58 AM,06:21 PM,13,26,26,25,23,23,49,0.0,1013,30,10,181,16
2020-02-04,31,22,0.0,11.6,7,7,72,01:42 PM,02:10 AM,06:58 AM,06:21 PM,11,27,27,27,16,37,40,0.0,1012,31,10,199,13
2020-02-05,31,21,0.0,11.6,7,7,79,02:31 PM,03:05 AM,06:58 AM,06:22 PM,9,26,26,26,21,15,35,0.0,1013,31,10,195,14
2020-02-06,32,20,0.0,11.6,7,7,87,03:27 PM,04:03 AM,06:57 AM,06:22 PM,8,26,26,26,20,12,34,0.0,1012,32,10,233,13
2020-02-07,30,18,0.0,11.6,7,7,95,04:26 PM,05:02 AM,06:57 AM,06:23 PM,1,25,25,25,22,3,24,0.0,1012,30,10,231,14
2020-02-08,31,18,0.0,11.6,6,6,100,05:30 PM,06:00 AM,06:57 AM,06:23 PM,11,25,25,24,29,6,48,0.0,1013,31,10,79,21
2020-02-09,28,18,0.0,8.7,5,5,100,06:35 PM,06:56 AM,06:56 AM,06:24 PM,14,23,23,23,35,45,60,0.6,1015,28,10,99,26
2020-02-10,28,19,0.0,11.6,6,6,83,07:39 PM,07:48 AM,06:56 AM,06:24 PM,14,24,24,24,22,41,57,0.2,1015,28,10,162,16
