date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,31,21,0.0,7.3,6,6,37,11:17 AM,11:24 PM,06:41 AM,06:12 PM,20,28,28,26,20,59,75,1.4,1013,31,10,77,13
2020-01-02,32,21,0.0,11.6,6,6,44,11:55 AM,No moonset,06:42 AM,06:12 PM,20,28,28,26,19,40,74,0.4,1014,32,10,79,12
2020-01-03,33,22,0.0,11.6,7,7,51,12:31 PM,12:09 AM,06:42 AM,06:13 PM,20,30,30,27,15,27,72,0.2,1013,33,10,79,10
2020-01-04,34,22,0.0,10.2,6,6,59,01:09 PM,12:53 AM,06:42 AM,06:13 PM,21,31,31,28,10,42,74,0.6,1012,34,10,93,7
2020-01-05,33,23,0.0,10.2,6,6,66,01:48 PM,01:39 AM,06:43 AM,06:14 PM,21,30,30,27,12,58,74,0.5,1012,33,8,79,9
2020-01-06,32,23,0.0,11.6,7,7,73,02:29 PM,02:26 AM,06:43 AM,06:14 PM,20,29,29,27,24,14,70,0.0,1013,32,10,69,17
2020-01-07,31,22,0.0,11.6,7,7,80,03:15 PM,03:17 AM,06:43 AM,06:15 PM,19,28,28,26,26,22,68,0.1,1013,31,10,77,18
2020-01-08,32,21,0.0,11.6,7,7,88,04:04 PM,04:10 AM,06:44 AM,06:15 PM,18,28,28,26,21,16,66,0.0,1012,32,10,85,14
2020-01-09,31,21,0.0,11.6,7,7,95,04:58 PM,05:06 AM,06:44 AM,06:16 PM,19,27,27,25,20,10,70,0.0,1012,31,10,85,14
2020-01-10,31,21,0.0,11.6,7,7,100,05:57 PM,06:05 AM,06:44 AM,06:17 PM,18,27,27,25,24,5,66,0.0,1012,31,10,77,15
2020-01-11,31,19,0.0,11.6,7,7,100,06:58 PM,07:04 AM,06:45 AM,06:17 PM,15,25,25,24,30,3,60,0.0,1013,31,10,73,18
2020-01-12,31,18,0.0,11.6,7,7,83,07:59 PM,08:02 AM,06:45 AM,06:18 PM,15,27,27,25,23,0,60,0.0,1013,31,10,83,15
2020-01-13,33,19,0.0,11.6,7,7,76,09:00 PM,08:57 AM,06:45 AM,06:18 PM,18,28,28,26,13,16,67,0.0,1012,33,10,91,9
2020-01-14,33,19,0.0,11.6,7,7,69,09:58 PM,09:48 AM,06:45 AM,06:19 PM,18,28,28,26,14,14,68,0.0,1011,33,10,90,10
2020-01-15,31,19,0.0,11.6,7,7,61,10:54 PM,10:36 AM,06:46 AM,06:19 PM,15,26,26,24,20,2,59,0.0,1012,31,10,89,13
2020-01-16,32,18,0.0,11.6,7,7,54,11:49 PM,11:23 AM,06:46 AM,06:20 PM,16,26,26,25,18,11,62,0.0,1012,32,10,88,12
2020-01-17,33,20,0.0,11.6,7,7,47,No moonrise,12:08 PM,06:46 AM,06:20 PM,16,28,28,26,15,10,60,0.0,1012,33,10,81,10
2020-01-18,33,21,0.0,11.6,7,7,40,12:43 AM,12:53 PM,06:46 AM,06:21 PM,19,29,29,27,26,37,69,0.1,1011,33,10,71,17
2020-01-19,33,22,0.0,11.6,7,7,32,01:38 AM,01:40 PM,06:46 AM,06:21 PM,19,29,29,27,25,30,66,0.0,1012,33,10,86,17
2020-01-20,34,22,0.0,11.6,7,7,25,02:32 AM,02:29 PM,06:47 AM,06:22 PM,18,29,29,27,25,10,60,0.0,1013,34,10,83,16
2020-01-21,34,21,0.0,11.6,7,7,18,03:29 AM,03:20 PM,06:47 AM,06:22 PM,17,28,28,27,27,5,57,0.0,1014,34,10,83,18
2020-01-22,34,21,0.0,11.6,7,7,11,04:24 AM,04:12 PM,06:47 AM,06:23 PM,18,29,29,27,33,2,62,0.0,1014,34,10,78,23
2020-01-23,33,22,0.0,11.6,7,7,3,05:20 AM,05:07 PM,06:47 AM,06:23 PM,18,29,29,27,33,5,61,0.0,1013,33,10,73,22
2020-01-24,34,20,0.0,11.6,7,7,0,06:13 AM,06:00 PM,06:47 AM,06:23 PM,16,27,27,26,29,4,57,0.0,1013,34,10,81,19
2020-01-25,34,20,0.0,11.6,7,7,0,07:03 AM,06:53 PM,06:47 AM,06:24 PM,12,28,28,27,22,0,46,0.0,1013,34,10,84,14
2020-01-26,36,19,0.0,11.6,7,7,4,07:50 AM,07:44 PM,06:47 AM,06:24 PM,14,29,29,28,15,0,51,0.0,1013,36,10,81,10
2020-01-27,36,21,0.0,11.6,7,7,11,08:33 AM,08:31 PM,06:47 AM,06:25 PM,16,29,29,28,10,2,59,0.0,1013,36,10,141,7
2020-01-28,36,19,0.0,11.6,7,7,18,09:13 AM,09:18 PM,06:47 AM,06:25 PM,19,30,30,28,6,10,67,0.0,1013,36,10,156,5
2020-01-29,36,21,0.0,11.6,7,7,26,09:52 AM,10:03 PM,06:47 AM,06:26 PM,19,31,31,29,10,5,64,0.0,1013,36,10,84,8
2020-01-30,36,21,0.0,11.6,8,8,33,10:28 AM,10:47 PM,06:47 AM,06:26 PM,18,31,31,29,10,2,60,0.0,1012,36,10,83,8
2020-01-31,36,21,0.0,11.6,7,7,37,11:06 AM,11:32 PM,06:47 AM,06:26 PM,17,29,29,28,12,5,59,0.0,1011,36,10,82,9
2020-02-01,35,20,0.0,11.6,7,7,49,11:43 AM,No moonset,06:47 AM,06:27 PM,18,29,29,27,14,28,63,0.5,1012,35,10,79,10
2020-02-02,34,21,0.0,11.6,7,7,57,12:23 PM,12:18 AM,06:47 AM,06:27 PM,15,28,28,27,23,8,55,0.0,1014,34,10,84,16
2020-02-03,34,21,0.0,11.6,7,7,64,01:05 PM,01:06 AM,06:47 AM,06:27 PM,16,29,29,28,19,5,57,0.0,1014,34,10,81,14
2020-02-04,34,20,0.0,11.6,7,7,72,01:52 PM,01:56 AM,06:46 AM,06:28 PM,16,29,29,27,19,8,57,0.0,1012,34,10,83,14
2020-02-05,34,22,0.0,11.6,7,7,79,02:42 PM,02:50 AM,06:46 AM,06:28 PM,19,30,30,28,15,29,66,0.1,1013,34,10,80,12
2020-02-06,36,21,0.0,11.6,7,7,87,03:39 PM,03:47 AM,06:46 AM,06:28 PM,19,31,31,29,11,30,66,0.2,1013,36,10,116,8
2020-02-07,35,20,0.0,11.6,7,7,95,04:38 PM,04:45 AM,06:46 AM,06:29 PM,18,30,30,28,13,27,66,0.0,1013,35,10,105,9
2020-02-08,37,21,0.0,11.6,7,7,100,05:40 PM,05:45 AM,06:46 AM,06:29 PM,18,31,31,28,13,12,65,0.0,1014,37,10,165,9
2020-02-09,35,19,0.0,11.6,7,7,100,06:42 PM,06:42 AM,06:46 AM,06:29 PM,17,28,28,27,17,22,62,0.0,1013,35,10,75,12
2020-02-10,35,21,0.0,11.6,7,7,83,07:44 PM,07:36 AM,06:45 AM,06:30 PM,17,29,29,28,27,12,57,0.0,1013,35,10,83,18
2020-02-11,34,21,0.0,11.6,7,7,75,08:43 PM,08:27 AM,06:45 AM,06:30 PM,16,29,29,27,33,5,56,0.0,1013,34,10,81,22
2020-02-12,34,21,0.0,11.6,7,7,68,09:41 PM,09:17 AM,06:45 AM,06:30 PM,18,30,30,28,30,8,59,0.0,1014,34,10,67,22
2020-02-13,36,22,0.0,11.6,7,7,60,10:36 PM,10:04 AM,06:45 AM,06:30 PM,18,30,30,29,20,17,59,0.0,1014,36,10,74,15
2020-02-14,38,21,0.0,11.6,8,8,53,11:33 PM,10:50 AM,06:44 AM,06:31 PM,16,32,32,30,16,6,57,0.0,1012,38,10,98,11
2020-02-15,38,21,0.0,11.6,8,8,45,No moonrise,11:38 AM,06:44 AM,06:31 PM,18,32,32,30,12,13,63,0.0,1012,38,9,88,9
2020-02-16,37,20,0.0,11.6,7,7,38,12:28 AM,12:26 PM,06:44 AM,06:31 PM,15,30,30,29,19,3,50,0.0,1013,37,10,82,13
2020-02-17,36,19,0.0,11.6,7,7,30,01:25 AM,01:17 PM,06:43 AM,06:31 PM,12,29,29,28,23,0,45,0.0,1014,36,10,81,16
2020-02-18,36,19,0.0,11.6,7,7,22,02:20 AM,02:09 PM,06:43 AM,06:32 PM,12,29,29,28,21,0,46,0.0,1013,36,10,80,15
2020-02-19,36,19,0.0,11.6,7,7,15,03:15 AM,03:02 PM,06:43 AM,06:32 PM,12,29,29,28,20,0,44,0.0,1013,36,10,80,14
2020-02-20,37,20,0.0,11.6,7,7,7,04:08 AM,03:55 PM,06:42 AM,06:32 PM,14,29,29,29,26,1,49,0.0,1012,37,10,83,18
2020-02-21,36,19,0.0,11.6,7,7,0,04:59 AM,04:47 PM,06:42 AM,06:32 PM,15,29,29,28,30,3,53,0.0,1014,36,10,71,20
2020-02-22,35,22,0.0,11.6,7,7,0,05:46 AM,05:38 PM,06:41 AM,06:32 PM,18,31,31,29,33,11,59,0.0,1014,35,10,78,23
2020-02-23,36,21,0.0,11.6,7,7,0,06:30 AM,06:26 PM,06:41 AM,06:32 PM,17,31,31,29,30,6,55,0.0,1013,36,10,83,21
2020-02-24,37,21,0.0,11.6,8,8,0,07:11 AM,07:14 PM,06:41 AM,06:33 PM,16,29,29,28,22,6,55,0.0,1012,37,10,86,16
2020-02-25,38,22,0.0,11.6,8,8,8,07:50 AM,07:59 PM,06:40 AM,06:33 PM,16,31,31,30,14,2,57,0.0,1011,38,10,79,11
2020-02-26,38,20,0.0,11.6,8,8,15,08:27 AM,08:43 PM,06:40 AM,06:33 PM,17,31,31,30,15,5,59,0.0,1011,38,10,80,12
