date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,24,11,0.0,8.7,5,5,37,11:41 AM,11:30 PM,07:23 AM,05:57 PM,5,16,16,16,28,2,47,0.0,1017,24,10,78,16
2020-01-02,23,12,0.0,8.7,4,4,44,12:13 PM,No moonset,07:24 AM,05:58 PM,10,17,18,17,23,35,66,0.2,1019,23,10,75,14
2020-01-03,23,13,0.0,8.7,5,5,51,12:44 PM,12:20 AM,07:24 AM,05:58 PM,7,16,17,16,19,10,54,0.0,1018,23,10,29,11
2020-01-04,24,11,0.0,8.7,5,5,59,01:16 PM,01:11 AM,07:24 AM,05:59 PM,4,17,18,17,14,4,42,0.0,1017,24,10,271,8
2020-01-05,26,13,0.0,10.8,5,5,66,01:50 PM,02:02 AM,07:24 AM,06:00 PM,3,18,18,18,15,8,39,0.0,1017,26,10,202,8
2020-01-06,26,15,0.0,10.8,6,6,73,02:25 PM,02:55 AM,07:25 AM,06:00 PM,3,20,20,20,15,22,33,0.0,1016,26,10,258,8
2020-01-07,25,15,0.0,10.8,6,6,80,03:06 PM,03:51 AM,07:25 AM,06:01 PM,4,19,20,19,17,15,40,0.0,1015,25,10,327,10
2020-01-08,21,12,0.0,10.8,5,5,88,03:51 PM,04:49 AM,07:25 AM,06:02 PM,6,15,16,15,20,13,54,0.0,1015,21,10,327,12
2020-01-09,21,9,0.0,10.8,5,5,95,04:42 PM,05:49 AM,07:25 AM,06:02 PM,1,13,15,13,25,0,43,0.0,1019,21,10,43,14
2020-01-10,22,8,0.0,10.8,4,4,100,05:41 PM,06:49 AM,07:25 AM,06:03 PM,-3,14,15,14,28,3,35,0.0,1020,22,10,63,16
2020-01-11,24,10,0.0,10.8,5,5,100,06:43 PM,07:47 AM,07:25 AM,06:04 PM,-3,16,17,16,26,8,29,0.0,1018,24,10,90,14
2020-01-12,28,13,0.0,10.8,6,6,83,07:49 PM,08:42 AM,07:25 AM,06:05 PM,7,20,21,20,15,8,44,0.0,1014,28,10,195,8
2020-01-13,20,11,0.0,8.5,4,4,76,08:55 PM,09:32 AM,07:25 AM,06:05 PM,11,16,16,16,20,48,72,0.7,1011,20,9,271,13
2020-01-14,22,10,0.0,10.8,5,5,69,09:59 PM,10:17 AM,07:25 AM,06:06 PM,5,14,15,14,16,0,56,0.0,1015,22,10,240,9
2020-01-15,23,9,0.0,10.8,5,5,61,11:03 PM,10:59 AM,07:25 AM,06:07 PM,6,15,17,15,24,20,52,0.2,1014,23,10,257,14
2020-01-16,21,13,0.0,7.0,4,4,54,No moonrise,11:38 AM,07:25 AM,06:08 PM,7,15,16,15,25,68,56,0.8,1014,21,10,247,17
2020-01-17,23,10,0.0,10.8,5,5,47,12:04 AM,12:16 PM,07:25 AM,06:08 PM,3,15,16,15,16,3,43,0.0,1017,23,10,244,9
2020-01-18,22,10,0.0,10.8,5,5,40,01:06 AM,12:55 PM,07:25 AM,06:09 PM,-1,15,16,15,20,3,34,0.0,1017,22,10,228,11
2020-01-19,22,9,0.0,10.9,5,5,32,02:06 AM,01:36 PM,07:25 AM,06:10 PM,-2,14,15,14,22,7,34,0.0,1018,22,10,145,12
2020-01-20,23,10,0.0,7.0,4,4,25,03:07 AM,02:19 PM,07:25 AM,06:11 PM,-0,16,16,16,16,68,34,0.0,1017,23,10,206,8
2020-01-21,25,11,0.0,10.9,5,5,18,04:08 AM,03:06 PM,07:25 AM,06:11 PM,1,18,18,18,12,25,34,0.0,1016,25,10,293,7
2020-01-22,25,12,0.0,10.9,5,5,11,05:07 AM,03:57 PM,07:24 AM,06:12 PM,4,18,19,18,24,2,42,0.0,1019,25,10,46,14
2020-01-23,23,11,0.0,10.9,5,5,3,06:04 AM,04:50 PM,07:24 AM,06:13 PM,1,16,17,16,25,0,38,0.0,1019,23,10,44,14
2020-01-24,25,11,0.0,10.9,5,5,0,06:56 AM,05:46 PM,07:24 AM,06:14 PM,-0,16,17,16,19,0,33,0.0,1017,25,10,255,11
2020-01-25,27,13,0.0,10.9,6,6,0,07:44 AM,06:41 PM,07:24 AM,06:14 PM,1,20,21,20,12,3,31,0.0,1016,27,10,266,7
2020-01-26,29,15,0.0,10.9,6,6,4,08:26 AM,07:36 PM,07:23 AM,06:15 PM,3,21,21,21,9,7,31,0.0,1013,29,10,240,5
2020-01-27,29,15,0.0,10.9,6,6,11,09:05 AM,08:29 PM,07:23 AM,06:16 PM,5,23,23,22,21,11,35,0.0,1010,29,10,243,13
2020-01-28,22,13,0.0,8.5,4,4,18,09:40 AM,09:22 PM,07:23 AM,06:17 PM,7,18,18,18,17,31,52,0.8,1011,22,10,276,11
2020-01-29,24,12,0.0,11.0,5,5,26,10:12 AM,10:12 PM,07:22 AM,06:17 PM,2,17,18,17,16,6,38,0.0,1016,24,10,264,9
2020-01-30,23,13,0.0,11.0,5,5,33,10:44 AM,11:02 PM,07:22 AM,06:18 PM,-2,17,18,17,20,3,28,0.0,1017,23,10,32,11
