date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,8,0.0,8.7,4,4,37,11:27 AM,11:12 PM,07:12 AM,05:36 PM,0,12,12,12,15,17,44,0.0,1021,19,10,96,8
2020-01-02,20,11,0.0,8.7,5,5,44,11:58 AM,No moonset,07:13 AM,05:37 PM,6,15,15,15,11,26,58,0.0,1021,20,10,89,7
2020-01-03,21,12,0.0,7.1,4,4,51,12:28 PM,12:03 AM,07:13 AM,05:37 PM,11,16,16,16,10,42,74,0.8,1017,21,10,38,6
2020-01-04,22,14,0.0,8.7,5,5,59,12:59 PM,12:55 AM,07:13 AM,05:38 PM,9,17,17,17,11,6,61,0.0,1017,22,10,282,6
2020-01-05,21,12,0.0,8.7,5,5,66,01:31 PM,01:47 AM,07:13 AM,05:39 PM,6,16,16,16,13,10,52,0.0,1017,21,10,290,8
2020-01-06,20,13,0.0,8.7,5,5,73,02:06 PM,02:41 AM,07:13 AM,05:39 PM,7,15,15,15,12,46,57,0.0,1019,20,10,137,7
2020-01-07,21,13,0.0,7.1,4,4,80,02:45 PM,03:38 AM,07:14 AM,05:40 PM,10,16,16,16,14,45,71,0.0,1017,21,10,69,9
2020-01-08,20,10,0.0,5.5,4,4,88,03:30 PM,04:36 AM,07:14 AM,05:41 PM,11,14,14,14,18,58,79,7.6,1015,20,9,160,12
2020-01-09,18,10,0.0,8.7,4,4,95,04:20 PM,05:37 AM,07:14 AM,05:42 PM,7,12,13,12,16,2,68,0.0,1019,18,10,307,11
2020-01-10,19,9,0.0,8.7,4,4,100,05:19 PM,06:37 AM,07:14 AM,05:43 PM,4,11,12,11,19,3,56,0.0,1019,19,10,312,12
2020-01-11,19,7,0.0,8.7,4,4,100,06:21 PM,07:36 AM,07:14 AM,05:43 PM,3,12,13,12,15,13,50,0.0,1019,19,10,300,9
2020-01-12,23,10,0.0,8.7,5,5,83,07:28 PM,08:30 AM,07:14 AM,05:44 PM,4,16,16,16,10,8,45,0.0,1015,23,10,275,6
2020-01-13,19,13,0.0,8.7,4,4,76,08:34 PM,09:19 AM,07:14 AM,05:45 PM,8,15,15,15,17,43,63,4.5,1012,19,10,134,10
2020-01-14,22,11,0.0,8.7,5,5,69,09:41 PM,10:03 AM,07:14 AM,05:46 PM,11,15,16,15,16,27,78,0.0,1015,22,10,195,9
2020-01-15,21,13,0.0,8.7,5,5,61,10:45 PM,10:44 AM,07:14 AM,05:46 PM,9,16,16,16,12,23,66,0.0,1016,21,10,149,7
2020-01-16,16,12,0.0,3.9,3,3,54,11:48 PM,11:22 AM,07:14 AM,05:47 PM,12,13,14,13,11,92,89,23.7,1015,16,7,79,6
2020-01-17,19,13,0.0,7.1,4,4,47,No moonrise,11:59 AM,07:14 AM,05:48 PM,12,15,15,15,10,53,82,0.4,1017,19,9,323,7
2020-01-18,19,12,0.0,8.7,5,5,40,12:50 AM,12:37 PM,07:13 AM,05:49 PM,10,15,15,15,9,22,74,0.0,1018,19,10,313,5
2020-01-19,19,11,0.0,8.7,4,4,32,01:53 AM,01:16 PM,07:13 AM,05:50 PM,5,13,14,13,15,3,56,0.0,1018,19,10,295,10
2020-01-20,19,10,0.0,8.7,4,4,25,02:54 AM,01:59 PM,07:13 AM,05:50 PM,6,13,14,13,11,27,60,0.0,1017,19,10,274,7
2020-01-21,22,12,0.0,8.7,5,5,18,03:56 AM,02:44 PM,07:13 AM,05:51 PM,7,16,16,16,9,18,56,0.0,1018,22,10,129,5
2020-01-22,21,12,0.0,8.7,5,5,11,04:56 AM,03:35 PM,07:13 AM,05:52 PM,7,15,16,15,16,2,60,0.0,1020,21,10,306,10
2020-01-23,19,10,0.0,8.7,4,4,3,05:53 AM,04:28 PM,07:12 AM,05:53 PM,5,12,13,12,28,0,57,0.0,1018,19,10,303,17
2020-01-24,20,9,0.0,8.7,4,4,0,06:45 AM,05:24 PM,07:12 AM,05:54 PM,3,13,14,13,26,0,48,0.0,1016,20,10,291,16
2020-01-25,23,12,0.0,8.7,5,5,0,07:32 AM,06:20 PM,07:12 AM,05:55 PM,4,15,15,15,11,5,47,0.0,1016,23,10,300,7
2020-01-26,23,11,0.0,8.7,5,5,4,08:14 AM,07:16 PM,07:11 AM,05:55 PM,8,17,17,17,9,7,56,0.0,1014,23,10,287,6
2020-01-27,22,12,0.0,8.7,4,4,11,08:51 AM,08:10 PM,07:11 AM,05:56 PM,10,17,17,17,12,43,67,0.1,1012,22,10,71,6
2020-01-28,20,13,0.0,7.1,5,5,18,09:26 AM,09:03 PM,07:10 AM,05:57 PM,11,15,16,15,16,47,75,1.4,1011,20,10,114,10
2020-01-29,21,13,0.0,7.1,5,5,26,09:58 AM,09:55 PM,07:10 AM,05:58 PM,9,16,16,16,14,23,64,0.0,1016,21,10,309,9
2020-01-30,20,12,0.0,8.7,5,5,33,10:28 AM,10:46 PM,07:10 AM,05:59 PM,8,15,15,15,19,2,64,0.0,1017,20,10,311,13
2020-01-31,20,11,0.0,8.7,5,5,37,10:58 AM,11:38 PM,07:09 AM,05:59 PM,7,14,15,14,13,4,61,0.0,1015,20,10,308,9
2020-02-01,21,10,0.0,10.9,5,5,49,11:29 AM,No moonset,07:09 AM,06:00 PM,7,15,15,15,10,6,60,0.0,1018,21,10,281,6
2020-02-02,21,12,0.0,10.9,5,5,57,12:02 PM,12:30 AM,07:08 AM,06:01 PM,7,15,15,15,13,0,58,0.0,1020,21,10,301,9
2020-02-03,23,11,0.0,11.0,5,5,64,12:38 PM,01:25 AM,07:07 AM,06:02 PM,6,16,17,16,8,0,52,0.0,1018,23,10,303,6
2020-02-04,21,12,0.0,11.0,5,5,72,01:19 PM,02:21 AM,07:07 AM,06:02 PM,7,16,16,16,8,5,56,0.0,1016,21,10,109,6
2020-02-05,21,11,0.0,11.0,5,5,79,02:06 PM,03:20 AM,07:06 AM,06:03 PM,7,15,15,15,15,7,57,0.0,1016,21,10,313,9
2020-02-06,22,10,0.0,11.0,5,5,87,03:00 PM,04:19 AM,07:06 AM,06:04 PM,6,16,16,16,9,1,53,0.0,1016,22,10,300,6
2020-02-07,21,10,0.0,11.0,5,5,95,04:00 PM,05:19 AM,07:05 AM,06:05 PM,5,15,15,15,9,4,53,0.0,1018,21,10,288,6
2020-02-08,22,11,0.0,11.0,5,5,100,05:06 PM,06:15 AM,07:04 AM,06:06 PM,7,16,17,16,11,0,57,0.0,1020,22,10,318,8
2020-02-09,22,12,0.0,11.0,5,5,100,06:14 PM,07:07 AM,07:04 AM,06:06 PM,7,18,19,18,9,6,56,0.0,1021,22,10,320,6
2020-02-10,24,10,0.0,11.0,5,5,83,07:23 PM,07:55 AM,07:03 AM,06:07 PM,5,17,17,17,11,19,49,0.0,1018,24,10,302,7
2020-02-11,25,13,0.0,11.1,5,5,75,08:30 PM,08:38 AM,07:02 AM,06:08 PM,7,18,18,18,8,1,49,0.0,1018,25,10,297,6
2020-02-12,25,13,0.0,11.1,5,5,68,09:37 PM,09:19 AM,07:01 AM,06:09 PM,8,18,19,18,20,2,50,0.0,1017,25,10,286,12
2020-02-13,27,15,0.0,11.1,6,6,60,10:41 PM,09:58 AM,07:01 AM,06:09 PM,9,20,20,20,32,2,49,0.0,1014,27,10,293,18
2020-02-14,25,15,0.0,11.1,6,6,53,11:46 PM,10:36 AM,07:00 AM,06:10 PM,5,19,19,19,32,0,42,0.0,1012,25,10,300,19
2020-02-15,26,12,0.0,11.5,5,5,45,No moonrise,11:16 AM,06:59 AM,06:11 PM,3,18,19,18,25,0,36,0.0,1013,26,10,300,15
2020-02-16,28,15,0.0,11.5,6,6,38,12:49 AM,11:58 AM,06:58 AM,06:11 PM,2,21,21,21,15,0,30,0.0,1015,28,10,309,9
2020-02-17,27,16,0.0,11.6,6,6,30,01:51 AM,12:43 PM,06:57 AM,06:12 PM,5,22,22,22,16,0,35,0.0,1016,27,10,298,10
2020-02-18,28,14,0.0,11.6,6,6,22,02:51 AM,01:31 PM,06:57 AM,06:13 PM,0,20,20,20,18,3,27,0.0,1014,28,10,300,11
2020-02-19,27,13,0.0,10.1,5,5,15,03:48 AM,02:23 PM,06:56 AM,06:14 PM,3,19,19,19,21,45,34,0.0,1013,27,10,119,12
2020-02-20,28,14,0.0,11.6,6,6,7,04:41 AM,03:18 PM,06:55 AM,06:14 PM,8,20,21,20,32,18,48,0.0,1012,28,10,118,19
2020-02-21,25,14,0.0,11.6,5,5,0,05:29 AM,04:13 PM,06:54 AM,06:15 PM,12,17,18,17,35,40,72,2.3,1015,25,10,80,22
2020-02-22,26,13,0.0,11.6,6,6,0,06:12 AM,05:08 PM,06:53 AM,06:16 PM,13,19,20,19,14,15,70,0.0,1019,26,10,58,9
2020-02-23,26,16,0.0,11.6,6,6,0,06:51 AM,06:03 PM,06:52 AM,06:16 PM,13,21,21,21,8,18,61,0.0,1016,26,10,26,5
2020-02-24,27,17,0.0,11.6,6,6,0,07:26 AM,06:56 PM,06:51 AM,06:17 PM,11,22,22,22,11,5,52,0.0,1013,27,10,331,7
2020-02-25,28,16,0.0,11.6,6,6,8,07:58 AM,07:49 PM,06:50 AM,06:18 PM,8,23,23,22,11,6,43,0.0,1012,28,10,332,7
2020-02-26,31,16,0.0,11.6,6,6,15,08:29 AM,08:40 PM,06:49 AM,06:18 PM,8,23,23,23,11,8,41,0.0,1012,31,10,173,7
2020-02-27,31,17,0.0,10.2,6,6,23,08:59 AM,09:31 PM,06:48 AM,06:19 PM,10,24,24,23,13,16,48,0.0,1013,31,10,149,8
2020-02-28,29,16,0.0,8.7,5,5,30,09:30 AM,10:23 PM,06:47 AM,06:20 PM,12,23,23,23,21,36,54,0.3,1012,29,10,136,13
2020-02-29,31,17,0.0,10.2,5,5,38,10:01 AM,11:16 PM,06:46 AM,06:20 PM,12,24,24,23,26,36,58,23.4,1010,31,10,138,16
2020-03-01,29,16,0.0,8.7,5,5,44,10:35 AM,No moonset,06:45 AM,06:21 PM,14,21,21,21,13,56,70,22.0,1012,29,9,219,8
2020-03-02,29,17,0.0,11.6,6,6,51,11:13 AM,12:10 AM,06:44 AM,06:21 PM,12,23,23,23,10,11,55,0.0,1011,29,10,289,6
2020-03-03,30,18,0.0,11.6,7,7,58,11:56 AM,01:07 AM,06:43 AM,06:22 PM,10,25,25,24,8,16,43,0.0,1010,30,10,270,5
2020-03-04,30,14,0.0,10.2,5,5,65,12:45 PM,02:04 AM,06:42 AM,06:23 PM,10,22,22,21,19,40,50,3.4,1009,30,10,171,12
2020-03-05,29,16,0.0,8.8,5,5,73,01:41 PM,03:02 AM,06:41 AM,06:23 PM,13,23,23,22,21,45,67,5.0,1008,29,9,144,13
2020-03-06,24,15,0.0,8.8,4,4,80,02:43 PM,03:59 AM,06:40 AM,06:24 PM,14,18,19,18,24,62,79,10.4,1008,24,9,110,16
2020-03-07,23,13,0.0,8.8,4,4,87,03:49 PM,04:52 AM,06:39 AM,06:24 PM,12,18,18,18,14,55,72,0.1,1013,23,9,131,9
2020-03-08,26,17,0.0,11.6,6,6,95,04:58 PM,05:42 AM,06:38 AM,06:25 PM,11,21,21,21,13,1,54,0.0,1015,26,10,309,9
2020-03-09,26,16,0.0,11.6,6,6,100,06:07 PM,06:27 AM,06:37 AM,06:26 PM,8,20,20,20,22,0,45,0.0,1012,26,10,311,15
2020-03-10,27,16,0.0,11.6,6,6,100,07:15 PM,07:10 AM,06:35 AM,06:26 PM,6,21,21,21,12,29,40,0.4,1011,27,9,119,7
2020-03-11,28,16,0.0,10.2,5,5,84,08:23 PM,07:50 AM,06:34 AM,06:27 PM,12,20,21,20,23,48,58,1.9,1009,28,10,122,14
2020-03-12,30,18,0.0,11.6,6,6,76,09:30 PM,08:30 AM,06:33 AM,06:27 PM,9,23,23,24,14,10,45,0.0,1010,30,10,152,10
2020-03-13,30,19,0.0,11.6,7,7,69,10:36 PM,09:11 AM,06:32 AM,06:28 PM,6,25,25,24,9,11,36,0.8,1012,30,10,196,7
2020-03-14,26,15,0.0,11.6,5,5,62,11:42 PM,09:53 AM,06:31 AM,06:29 PM,10,21,21,21,16,35,57,0.9,1013,26,10,249,10
2020-03-15,27,14,0.0,11.6,6,6,55,No moonrise,10:38 AM,06:30 AM,06:29 PM,8,20,20,20,9,11,46,0.0,1015,27,10,29,5
2020-03-16,28,17,0.0,11.6,6,6,47,12:44 AM,11:27 AM,06:29 AM,06:30 PM,9,23,23,23,12,8,45,0.0,1015,28,10,331,8
2020-03-17,30,19,0.0,11.6,7,7,40,01:44 AM,12:19 PM,06:28 AM,06:30 PM,10,25,25,25,15,2,43,0.0,1015,30,10,323,11
2020-03-18,31,20,0.0,11.6,7,7,33,02:39 AM,01:13 PM,06:26 AM,06:31 PM,10,25,25,25,16,3,39,0.0,1013,31,10,318,11
2020-03-19,33,20,0.0,11.6,7,7,25,03:28 AM,02:08 PM,06:25 AM,06:31 PM,9,27,27,27,11,5,35,0.0,1009,33,10,293,8
2020-03-20,35,21,0.0,11.6,7,7,18,04:12 AM,03:04 PM,06:24 AM,06:32 PM,8,28,28,28,14,12,32,0.0,1008,35,10,233,9
2020-03-21,34,21,0.0,11.6,7,7,11,04:52 AM,03:58 PM,06:23 AM,06:32 PM,10,29,29,28,14,18,38,0.7,1009,34,10,187,9
2020-03-22,34,21,0.0,11.6,7,7,4,05:28 AM,04:51 PM,06:22 AM,06:33 PM,11,28,28,28,13,9,39,0.0,1010,34,10,294,8
2020-03-23,34,22,0.0,11.6,7,7,0,06:00 AM,05:44 PM,06:21 AM,06:34 PM,9,27,27,27,10,18,32,0.0,1010,34,10,259,6
2020-03-24,34,19,0.0,6.1,6,6,0,06:31 AM,06:35 PM,06:20 AM,06:34 PM,11,26,26,26,16,70,41,5.0,1008,34,10,185,10
2020-03-25,35,22,0.0,11.6,7,7,3,07:01 AM,07:27 PM,06:19 AM,06:35 PM,9,28,28,28,17,8,35,0.0,1009,35,10,310,11
2020-03-26,32,24,0.0,10.2,6,6,11,07:31 AM,08:18 PM,06:17 AM,06:35 PM,10,27,27,27,19,50,35,0.5,1010,32,10,302,13
2020-03-27,25,20,0.0,8.9,5,5,18,08:02 AM,09:11 PM,06:16 AM,06:36 PM,14,24,24,23,16,65,60,1.3,1013,25,9,141,11
2020-03-28,32,19,0.0,11.6,7,7,25,08:35 AM,10:05 PM,06:15 AM,06:36 PM,11,25,25,26,16,14,46,0.1,1012,32,10,325,11
2020-03-29,32,22,0.0,11.6,7,7,32,09:12 AM,11:00 PM,06:14 AM,06:37 PM,8,26,26,26,23,3,34,0.0,1011,32,10,315,16
2020-03-30,33,22,0.0,11.6,7,7,40,09:52 AM,11:56 PM,06:13 AM,06:37 PM,7,27,27,27,21,8,29,0.0,1010,33,10,312,14
2020-03-31,34,21,0.0,11.6,7,7,44,10:38 AM,No moonset,06:12 AM,06:38 PM,7,27,27,27,20,14,29,0.0,1009,34,10,325,13
2020-04-01,37,23,0.0,11.6,8,8,56,11:30 AM,12:53 AM,06:11 AM,06:38 PM,7,30,30,30,18,3,27,0.0,1008,37,10,285,13
2020-04-02,34,23,0.0,11.6,7,7,64,12:27 PM,01:48 AM,06:09 AM,06:39 PM,6,27,27,28,24,1,26,0.0,1009,34,10,311,17
2020-04-03,34,23,0.0,11.6,7,7,71,01:29 PM,02:41 AM,06:08 AM,06:39 PM,1,26,26,28,21,0,20,0.0,1010,34,10,308,15
2020-04-04,35,23,0.0,11.6,8,8,79,02:35 PM,03:31 AM,06:07 AM,06:40 PM,2,28,28,29,22,0,19,0.0,1010,35,10,315,15
2020-04-05,37,23,0.0,11.6,8,8,87,03:42 PM,04:17 AM,06:06 AM,06:41 PM,4,29,29,31,15,5,19,0.0,1009,37,10,291,11
2020-04-06,38,27,0.0,11.6,8,8,94,04:50 PM,05:00 AM,06:05 AM,06:41 PM,4,31,31,32,19,1,19,0.0,1009,38,10,310,13
2020-04-07,38,26,0.0,11.6,8,8,100,05:58 PM,05:41 AM,06:04 AM,06:42 PM,5,32,32,32,20,23,20,1.6,1006,38,10,311,13
2020-04-08,36,23,0.0,11.6,8,8,100,07:07 PM,06:20 AM,06:03 AM,06:42 PM,5,29,29,30,22,15,23,0.1,1007,36,10,314,14
