date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,19,7,0.0,5.4,3,3,37,11:30 AM,11:12 PM,07:17 AM,05:35 PM,-1,11,12,11,14,50,42,0.0,1020,19,10,108,8
2020-01-02,21,11,0.0,8.7,5,5,44,12:00 PM,No moonset,07:17 AM,05:35 PM,5,14,15,14,13,15,53,0.0,1021,21,10,188,7
2020-01-03,21,12,0.0,5.4,4,4,51,12:29 PM,12:04 AM,07:17 AM,05:36 PM,9,16,16,16,10,42,62,0.6,1018,21,10,271,6
2020-01-04,21,12,0.0,8.7,5,5,59,01:00 PM,12:56 AM,07:17 AM,05:37 PM,8,16,16,16,9,6,61,0.0,1016,21,10,298,6
2020-01-05,20,11,0.0,8.7,4,4,66,01:32 PM,01:50 AM,07:18 AM,05:38 PM,5,14,15,14,17,23,52,0.0,1017,20,10,311,10
2020-01-06,14,8,0.0,3.8,3,3,73,02:06 PM,02:44 AM,07:18 AM,05:38 PM,6,11,13,11,16,61,67,3.1,1019,14,9,114,10
2020-01-07,14,12,0.0,5.5,3,3,80,02:44 PM,03:41 AM,07:18 AM,05:39 PM,11,12,13,12,16,61,88,3.1,1017,14,9,118,10
2020-01-08,15,5,0.0,3.8,3,3,88,03:29 PM,04:40 AM,07:18 AM,05:40 PM,10,11,12,11,17,81,88,13.8,1015,15,7,86,10
2020-01-09,17,8,0.0,8.7,4,4,95,04:19 PM,05:42 AM,07:18 AM,05:41 PM,7,11,12,11,14,1,72,0.0,1019,17,10,314,10
2020-01-10,17,7,0.0,8.7,4,4,100,05:17 PM,06:42 AM,07:18 AM,05:41 PM,4,10,11,10,21,8,63,0.0,1019,17,10,310,13
2020-01-11,18,7,0.0,8.7,4,4,100,06:20 PM,07:41 AM,07:18 AM,05:42 PM,4,11,12,11,18,16,59,0.0,1018,18,10,304,10
2020-01-12,21,9,0.0,8.7,5,5,83,07:27 PM,08:34 AM,07:18 AM,05:43 PM,4,14,14,14,13,17,52,0.0,1015,21,10,290,8
2020-01-13,17,12,0.0,3.8,3,3,76,08:34 PM,09:23 AM,07:18 AM,05:44 PM,8,14,14,14,16,63,68,8.7,1012,17,9,140,9
2020-01-14,19,10,0.0,8.7,4,4,69,09:41 PM,10:06 AM,07:18 AM,05:45 PM,11,13,14,13,14,34,82,0.0,1015,19,8,310,9
2020-01-15,21,10,0.0,8.7,5,5,61,10:46 PM,10:46 AM,07:18 AM,05:45 PM,8,14,15,14,12,9,69,0.0,1015,21,10,286,7
2020-01-16,16,9,0.0,3.9,3,3,54,11:50 PM,11:24 AM,07:18 AM,05:46 PM,10,12,13,12,14,68,83,22.8,1015,16,8,170,8
2020-01-17,17,12,0.0,3.9,3,3,47,No moonrise,12:00 PM,07:18 AM,05:47 PM,12,14,14,14,10,87,86,10.3,1016,17,9,266,6
2020-01-18,19,11,0.0,8.7,5,5,40,12:53 AM,12:37 PM,07:17 AM,05:48 PM,10,14,14,14,10,10,75,0.0,1018,19,8,297,7
2020-01-19,19,10,0.0,8.7,4,4,32,01:56 AM,01:16 PM,07:17 AM,05:49 PM,9,13,13,13,13,2,75,0.0,1018,19,10,304,9
2020-01-20,19,9,0.0,8.7,3,3,25,02:58 AM,01:58 PM,07:17 AM,05:50 PM,7,12,13,12,15,25,71,0.0,1017,19,10,311,9
2020-01-21,20,12,0.0,8.7,5,5,18,04:00 AM,02:43 PM,07:17 AM,05:50 PM,7,15,15,15,7,17,62,0.0,1018,20,10,218,4
2020-01-22,20,10,0.0,8.7,5,5,11,05:00 AM,03:33 PM,07:16 AM,05:51 PM,8,14,14,14,17,2,69,0.0,1019,20,10,312,11
2020-01-23,18,8,0.0,8.7,4,4,3,05:57 AM,04:26 PM,07:16 AM,05:52 PM,4,10,12,10,31,0,62,0.0,1017,18,10,301,18
2020-01-24,19,7,0.0,8.7,4,4,0,06:49 AM,05:23 PM,07:16 AM,05:53 PM,3,11,12,11,28,0,55,0.0,1015,19,10,296,17
2020-01-25,19,10,0.0,8.7,4,4,0,07:36 AM,06:19 PM,07:15 AM,05:54 PM,5,13,14,13,12,13,57,0.0,1015,19,10,314,8
2020-01-26,21,10,0.0,8.7,5,5,4,08:17 AM,07:15 PM,07:15 AM,05:55 PM,8,15,15,15,15,7,64,0.0,1013,21,10,301,9
2020-01-27,21,11,0.0,7.1,4,4,11,08:55 AM,08:10 PM,07:15 AM,05:55 PM,9,15,15,15,12,55,68,0.9,1011,21,9,149,7
2020-01-28,18,12,0.0,3.9,3,3,18,09:29 AM,09:03 PM,07:14 AM,05:56 PM,12,13,14,13,23,81,86,8.2,1010,18,10,101,14
2020-01-29,20,11,0.0,8.7,5,5,26,10:00 AM,09:56 PM,07:14 AM,05:57 PM,10,14,15,14,12,23,77,2.0,1016,20,10,293,8
2020-01-30,18,10,0.0,8.7,4,4,33,10:29 AM,10:47 PM,07:13 AM,05:58 PM,8,12,13,12,22,2,73,0.0,1016,18,10,311,14
2020-01-31,19,9,0.0,8.7,4,4,37,10:59 AM,11:40 PM,07:13 AM,05:59 PM,7,13,13,13,14,1,68,0.0,1014,19,10,295,9
2020-02-01,18,9,0.0,10.9,4,4,49,11:30 AM,No moonset,07:12 AM,06:00 PM,8,14,14,14,11,3,68,0.0,1017,18,10,307,8
2020-02-02,19,9,0.0,10.9,4,4,57,12:02 PM,12:33 AM,07:11 AM,06:00 PM,8,13,14,13,15,0,72,0.0,1018,19,10,311,11
2020-02-03,21,9,0.0,10.9,5,5,64,12:38 PM,01:28 AM,07:11 AM,06:01 PM,8,14,15,14,12,0,66,0.0,1017,21,10,310,8
2020-02-04,21,11,0.0,10.1,5,5,72,01:18 PM,02:24 AM,07:10 AM,06:02 PM,7,14,15,14,12,24,64,0.0,1016,21,10,242,7
2020-02-05,19,10,0.0,10.9,4,4,79,02:05 PM,03:24 AM,07:10 AM,06:03 PM,7,13,14,13,17,2,62,0.0,1016,19,10,309,12
2020-02-06,21,9,0.0,11.0,5,5,87,02:58 PM,04:23 AM,07:09 AM,06:04 PM,7,14,14,14,11,1,63,0.0,1015,21,10,313,8
2020-02-07,19,8,0.0,11.0,4,4,95,03:59 PM,05:23 AM,07:08 AM,06:05 PM,6,13,14,13,12,10,62,0.0,1017,19,10,316,7
2020-02-08,21,10,0.0,11.0,5,5,100,05:05 PM,06:19 AM,07:08 AM,06:05 PM,9,14,15,14,14,0,69,0.0,1019,21,10,314,10
2020-02-09,23,10,0.0,11.0,5,5,100,06:13 PM,07:11 AM,07:07 AM,06:06 PM,8,15,15,15,11,1,63,0.0,1020,23,10,309,7
2020-02-10,22,10,0.0,11.0,5,5,83,07:23 PM,07:58 AM,07:06 AM,06:07 PM,7,15,17,15,12,7,60,0.0,1018,22,10,304,8
2020-02-11,23,9,0.0,11.0,5,5,75,08:31 PM,08:41 AM,07:05 AM,06:08 PM,8,15,16,15,11,11,62,0.0,1018,23,10,305,7
2020-02-12,24,11,0.0,11.0,5,5,68,09:38 PM,09:21 AM,07:05 AM,06:08 PM,10,16,17,16,26,5,64,0.0,1017,24,10,298,16
2020-02-13,27,15,0.0,11.1,6,6,60,10:44 PM,09:59 AM,07:04 AM,06:09 PM,11,19,20,19,33,5,57,0.0,1014,27,10,289,19
2020-02-14,23,14,0.0,11.1,5,5,53,11:49 PM,10:36 AM,07:03 AM,06:10 PM,7,17,18,17,34,0,53,0.0,1011,23,10,304,20
