date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,26,15,0.0,10.8,6,6,37,11:45 AM,11:36 PM,07:24 AM,06:06 PM,9,20,21,20,16,13,50,0.0,1015,26,10,122,9
2020-01-02,25,15,0.0,10.1,5,5,44,12:17 PM,No moonset,07:25 AM,06:06 PM,12,19,20,19,19,24,63,0.2,1017,25,10,248,11
2020-01-03,26,16,0.0,10.8,6,6,51,12:50 PM,12:25 AM,07:25 AM,06:07 PM,11,20,21,20,14,5,58,0.0,1017,26,10,243,8
2020-01-04,26,15,0.0,10.8,6,6,59,01:22 PM,01:15 AM,07:25 AM,06:07 PM,8,20,20,20,16,14,48,0.0,1016,26,10,162,9
2020-01-05,26,15,0.0,10.8,6,6,66,01:56 PM,02:06 AM,07:25 AM,06:08 PM,6,20,20,20,19,2,43,0.0,1016,26,10,115,12
2020-01-06,28,15,0.0,10.1,5,5,73,02:33 PM,02:58 AM,07:26 AM,06:09 PM,6,20,21,20,21,18,39,0.0,1015,28,10,135,12
2020-01-07,28,18,0.0,10.8,6,6,80,03:14 PM,03:53 AM,07:26 AM,06:10 PM,9,22,22,22,18,24,45,0.0,1013,28,10,249,10
2020-01-08,24,15,0.0,10.8,5,5,88,04:00 PM,04:50 AM,07:26 AM,06:10 PM,7,19,20,19,25,3,48,0.0,1014,24,10,335,15
2020-01-09,24,11,0.0,10.9,5,5,95,04:52 PM,05:50 AM,07:26 AM,06:11 PM,2,17,18,17,19,0,38,0.0,1018,24,10,49,11
2020-01-10,23,11,0.0,10.9,5,5,100,05:50 PM,06:50 AM,07:26 AM,06:12 PM,1,17,18,17,26,0,35,0.0,1018,23,10,91,15
2020-01-11,26,12,0.0,10.9,5,5,100,06:52 PM,07:48 AM,07:26 AM,06:12 PM,4,18,19,18,25,4,38,0.0,1016,26,10,103,15
2020-01-12,29,16,0.0,10.9,6,6,83,07:57 PM,08:43 AM,07:26 AM,06:13 PM,11,23,23,22,23,6,49,0.0,1013,29,10,149,14
2020-01-13,22,15,0.0,7.0,4,4,76,09:02 PM,09:34 AM,07:26 AM,06:14 PM,12,18,19,18,14,47,69,0.7,1012,22,9,329,10
2020-01-14,25,13,0.0,10.9,5,5,69,10:06 PM,10:20 AM,07:26 AM,06:14 PM,7,19,20,19,15,0,53,0.0,1014,25,10,214,9
2020-01-15,25,12,0.0,10.9,5,5,61,11:09 PM,11:03 AM,07:26 AM,06:15 PM,5,18,19,18,19,0,45,0.0,1013,25,10,222,11
2020-01-16,22,11,0.0,10.9,5,5,54,No moonrise,11:43 AM,07:26 AM,06:16 PM,6,15,16,15,29,2,54,0.0,1014,22,10,326,17
2020-01-17,26,12,0.0,10.9,5,5,47,12:09 AM,12:22 PM,07:26 AM,06:17 PM,7,19,20,19,17,0,51,0.0,1016,26,10,222,10
2020-01-18,28,13,0.0,10.9,6,6,40,01:09 AM,01:02 PM,07:26 AM,06:17 PM,4,19,21,19,20,0,40,0.0,1016,28,10,246,11
2020-01-19,27,12,0.0,10.9,5,5,32,02:09 AM,01:44 PM,07:26 AM,06:18 PM,2,18,20,18,23,11,35,0.0,1017,27,10,45,13
2020-01-20,27,12,0.0,8.5,5,5,25,03:10 AM,02:27 PM,07:26 AM,06:19 PM,3,19,20,19,17,42,37,0.0,1016,27,10,173,9
2020-01-21,27,16,0.0,10.9,6,6,18,04:09 AM,03:15 PM,07:26 AM,06:19 PM,3,21,21,21,18,3,32,0.0,1015,27,10,232,10
2020-01-22,30,15,0.0,10.9,6,6,11,05:08 AM,04:06 PM,07:26 AM,06:20 PM,4,22,22,22,22,0,35,0.0,1017,30,10,131,12
2020-01-23,29,15,0.0,11.0,6,6,3,06:04 AM,04:59 PM,07:26 AM,06:21 PM,5,22,22,22,20,0,37,0.0,1018,29,10,168,12
2020-01-24,30,15,0.0,11.0,6,6,0,06:57 AM,05:55 PM,07:25 AM,06:22 PM,4,22,22,22,17,0,34,0.0,1017,30,10,239,10
2020-01-25,30,17,0.0,11.0,6,6,0,07:45 AM,06:50 PM,07:25 AM,06:22 PM,4,23,23,23,14,5,32,0.0,1015,30,10,257,8
2020-01-26,31,18,0.0,11.0,7,7,4,08:28 AM,07:44 PM,07:25 AM,06:23 PM,5,24,24,25,12,5,32,0.0,1013,31,10,237,7
2020-01-27,29,18,0.0,11.0,6,6,11,09:07 AM,08:37 PM,07:25 AM,06:24 PM,9,23,23,23,17,5,44,0.0,1010,29,10,245,11
2020-01-28,25,17,0.0,11.0,6,6,18,09:43 AM,09:28 PM,07:24 AM,06:25 PM,9,20,20,20,20,17,51,0.0,1011,25,10,264,13
2020-01-29,25,13,0.0,11.0,6,6,26,10:16 AM,10:18 PM,07:24 AM,06:25 PM,7,20,21,20,11,2,48,0.0,1015,25,10,277,7
2020-01-30,29,14,0.0,11.0,6,6,33,10:49 AM,11:07 PM,07:24 AM,06:26 PM,3,22,22,22,15,1,34,0.0,1017,29,10,157,9
