date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,34,22,0.0,8.7,6,6,37,11:15 AM,11:24 PM,06:38 AM,06:14 PM,22,29,29,27,5,44,77,0.3,1012,34,10,277,3
2020-01-02,34,23,0.0,11.6,6,6,44,11:53 AM,No moonset,06:38 AM,06:14 PM,22,30,30,27,6,28,78,0.3,1013,34,9,203,4
2020-01-03,35,22,0.0,10.2,6,6,51,12:31 PM,12:08 AM,06:39 AM,06:15 PM,22,30,30,27,5,42,76,1.2,1012,35,9,256,4
2020-01-04,35,23,0.0,8.7,6,6,59,01:09 PM,12:52 AM,06:39 AM,06:15 PM,23,31,31,27,5,54,81,2.6,1011,35,9,258,3
2020-01-05,34,23,0.0,11.6,6,6,66,01:49 PM,01:38 AM,06:40 AM,06:16 PM,23,30,30,27,4,53,83,2.2,1011,34,7,276,2
2020-01-06,35,22,0.0,11.6,7,7,73,02:30 PM,02:24 AM,06:40 AM,06:16 PM,21,31,31,28,5,12,74,0.0,1012,35,8,187,3
2020-01-07,36,23,0.0,11.6,8,8,80,03:16 PM,03:14 AM,06:40 AM,06:17 PM,21,30,30,28,6,8,68,0.0,1012,36,10,152,4
2020-01-08,35,22,0.0,10.2,6,6,88,04:06 PM,04:07 AM,06:41 AM,06:17 PM,20,30,30,27,6,36,70,0.3,1012,35,10,178,4
2020-01-09,36,21,0.0,10.2,7,7,95,05:01 PM,05:03 AM,06:41 AM,06:18 PM,20,30,30,27,5,31,69,0.2,1011,36,10,182,3
2020-01-10,35,22,0.0,11.6,7,7,100,05:59 PM,06:01 AM,06:41 AM,06:19 PM,19,29,29,27,7,4,65,0.0,1011,35,10,203,5
2020-01-11,36,21,0.0,11.6,7,7,100,07:00 PM,07:01 AM,06:42 AM,06:19 PM,18,30,30,28,6,0,62,0.0,1011,36,10,177,4
2020-01-12,37,20,0.0,11.6,7,7,83,08:01 PM,07:59 AM,06:42 AM,06:20 PM,16,27,27,27,7,0,59,0.0,1012,37,10,166,4
2020-01-13,34,21,0.0,11.6,7,7,76,09:01 PM,08:54 AM,06:42 AM,06:20 PM,18,28,28,26,7,20,66,0.0,1011,34,10,258,4
2020-01-14,35,21,0.0,11.6,7,7,69,09:59 PM,09:46 AM,06:42 AM,06:21 PM,19,29,29,27,7,32,68,0.2,1011,35,10,204,4
2020-01-15,35,21,0.0,11.6,7,7,61,10:54 PM,10:35 AM,06:43 AM,06:21 PM,18,29,29,27,7,22,63,0.0,1011,35,10,184,5
2020-01-16,35,20,0.0,11.6,7,7,54,11:48 PM,11:22 AM,06:43 AM,06:22 PM,18,28,28,26,7,29,66,0.4,1011,35,10,250,5
2020-01-17,37,20,0.0,11.6,7,7,47,No moonrise,12:08 PM,06:43 AM,06:22 PM,18,28,28,27,7,17,64,0.1,1011,37,10,261,4
