date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,8,0.0,7.1,4,4,37,11:37 AM,11:16 PM,07:29 AM,05:33 PM,-2,12,12,12,6,39,40,0.0,1024,18,10,227,3
2020-01-02,17,9,0.0,3.8,3,3,44,12:06 PM,No moonset,07:29 AM,05:34 PM,-1,12,12,12,8,81,41,0.0,1025,17,10,279,4
2020-01-03,19,9,0.0,8.7,3,3,51,12:35 PM,12:09 AM,07:29 AM,05:35 PM,2,13,13,13,5,53,49,0.6,1020,19,10,223,3
2020-01-04,18,9,0.0,3.8,3,3,59,01:04 PM,01:03 AM,07:29 AM,05:35 PM,6,13,13,13,9,53,63,2.4,1018,18,10,238,5
2020-01-05,16,9,0.0,5.4,3,3,66,01:34 PM,01:57 AM,07:30 AM,05:36 PM,1,12,12,12,10,51,49,0.0,1020,16,10,215,6
2020-01-06,13,7,0.0,3.8,3,3,73,02:07 PM,02:53 AM,07:30 AM,05:37 PM,5,10,11,10,8,75,69,10.2,1019,13,8,179,5
2020-01-07,15,10,0.0,3.8,3,3,80,02:44 PM,03:52 AM,07:30 AM,05:38 PM,10,12,12,12,10,92,88,27.8,1017,15,8,232,7
2020-01-08,16,9,0.0,3.8,3,3,88,03:28 PM,04:52 AM,07:30 AM,05:39 PM,7,11,11,11,10,62,76,3.3,1018,16,10,284,7
2020-01-09,16,9,0.0,8.7,4,4,95,04:18 PM,05:54 AM,07:30 AM,05:39 PM,5,12,12,12,5,0,62,0.0,1022,16,10,271,4
2020-01-10,17,7,0.0,8.7,4,4,100,05:15 PM,06:55 AM,07:30 AM,05:40 PM,1,11,11,11,5,18,54,0.0,1021,17,10,281,4
2020-01-11,17,7,0.0,5.4,3,3,100,06:19 PM,07:53 AM,07:30 AM,05:41 PM,1,11,11,11,5,56,51,0.0,1020,17,10,278,3
2020-01-12,21,11,0.0,8.7,4,4,83,07:27 PM,08:46 AM,07:30 AM,05:42 PM,6,15,15,15,10,63,53,0.0,1017,21,10,270,6
2020-01-13,14,10,0.0,3.8,3,3,76,08:35 PM,09:34 AM,07:30 AM,05:43 PM,9,11,12,11,19,77,82,51.3,1011,14,8,179,12
2020-01-14,17,9,0.0,5.4,3,3,69,09:44 PM,10:15 AM,07:29 AM,05:44 PM,9,12,12,12,6,74,82,1.7,1019,17,10,298,4
2020-01-15,18,9,0.0,3.8,3,3,61,10:50 PM,10:54 AM,07:29 AM,05:45 PM,9,12,12,12,5,79,81,16.5,1018,18,9,262,3
2020-01-16,17,10,0.0,3.8,3,3,54,11:56 PM,11:30 AM,07:29 AM,05:45 PM,8,13,13,13,9,86,76,9.3,1017,17,10,245,5
2020-01-17,17,9,0.0,7.1,3,3,47,No moonrise,12:04 PM,07:29 AM,05:46 PM,9,12,12,12,7,69,79,7.5,1018,17,9,285,4
2020-01-18,17,10,0.0,5.4,3,3,40,01:00 AM,12:40 PM,07:29 AM,05:47 PM,9,13,13,13,7,35,77,2.0,1020,17,10,279,5
2020-01-19,18,11,0.0,8.7,4,4,32,02:05 AM,01:17 PM,07:28 AM,05:48 PM,5,13,13,13,6,10,61,0.0,1021,18,10,275,4
2020-01-20,17,9,0.0,8.7,4,4,25,03:09 AM,01:58 PM,07:28 AM,05:49 PM,4,12,12,12,7,45,58,0.0,1018,17,10,261,4
2020-01-21,16,9,0.0,5.5,3,3,18,04:12 AM,02:42 PM,07:28 AM,05:50 PM,6,10,11,10,17,67,70,2.8,1020,16,8,56,11
2020-01-22,18,8,0.0,8.7,4,4,11,05:13 AM,03:32 PM,07:27 AM,05:51 PM,5,12,13,12,9,10,60,0.0,1024,18,10,277,6
2020-01-23,18,9,0.0,8.7,4,4,3,06:10 AM,04:25 PM,07:27 AM,05:52 PM,5,13,13,13,5,1,59,0.0,1022,18,10,271,4
2020-01-24,18,8,0.0,8.7,4,4,0,07:02 AM,05:21 PM,07:27 AM,05:53 PM,2,12,12,12,7,11,49,0.0,1017,18,10,276,4
2020-01-25,17,9,0.0,7.1,3,3,0,07:48 AM,06:18 PM,07:26 AM,05:54 PM,4,12,12,12,8,55,59,0.2,1016,17,10,189,5
2020-01-26,20,9,0.0,8.7,5,5,4,08:28 AM,07:16 PM,07:26 AM,05:55 PM,8,15,14,15,7,5,68,0.0,1016,20,10,277,5
2020-01-27,20,11,0.0,8.7,4,4,11,09:05 AM,08:11 PM,07:25 AM,05:56 PM,5,14,14,14,9,39,54,0.0,1014,20,10,207,5
2020-01-28,12,10,0.0,3.9,3,3,18,09:37 AM,09:06 PM,07:25 AM,05:56 PM,9,10,11,10,23,88,83,29.0,1012,12,7,76,14
2020-01-29,17,10,0.0,3.9,3,3,26,10:07 AM,10:00 PM,07:24 AM,05:57 PM,9,12,13,12,13,82,78,23.9,1018,17,8,195,8
2020-01-30,17,7,0.0,8.7,4,4,33,10:35 AM,10:53 PM,07:23 AM,05:58 PM,7,12,12,12,8,4,70,0.0,1021,17,10,278,5
2020-01-31,17,8,0.0,8.7,4,4,37,11:04 AM,11:47 PM,07:23 AM,05:59 PM,6,12,12,12,6,22,68,1.2,1016,17,10,242,4
