date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,18,7,0.0,5.4,3,3,37,11:33 AM,11:14 PM,07:21 AM,05:35 PM,0,11,11,11,12,67,47,0.0,1021,18,10,142,7
2020-01-02,21,10,0.0,8.7,5,5,44,12:02 PM,No moonset,07:21 AM,05:35 PM,5,14,14,14,10,17,52,0.0,1021,21,10,174,5
2020-01-03,21,11,0.0,8.7,5,5,51,12:32 PM,12:06 AM,07:22 AM,05:36 PM,8,15,15,15,9,14,63,0.0,1018,21,10,249,6
2020-01-04,20,11,0.0,8.7,5,5,59,01:02 PM,12:59 AM,07:22 AM,05:37 PM,7,14,14,14,9,7,64,0.0,1017,20,10,297,5
2020-01-05,19,10,0.0,7.1,3,3,66,01:33 PM,01:53 AM,07:22 AM,05:38 PM,5,13,14,13,19,32,57,0.0,1017,19,10,327,11
2020-01-06,14,7,0.0,3.8,3,3,73,02:07 PM,02:48 AM,07:22 AM,05:38 PM,6,10,12,10,21,76,67,6.1,1019,14,10,112,13
2020-01-07,14,12,0.0,3.8,3,3,80,02:45 PM,03:45 AM,07:22 AM,05:39 PM,12,12,13,12,15,96,93,12.9,1017,14,7,140,10
2020-01-08,14,6,0.0,3.8,3,3,88,03:29 PM,04:45 AM,07:22 AM,05:40 PM,10,11,12,11,10,62,91,36.3,1015,14,9,160,6
2020-01-09,16,7,0.0,8.7,4,4,95,04:19 PM,05:46 AM,07:22 AM,05:41 PM,6,10,11,10,18,1,73,0.0,1019,16,10,318,12
2020-01-10,16,7,0.0,8.7,4,4,100,05:17 PM,06:47 AM,07:22 AM,05:42 PM,4,9,10,9,23,11,65,0.0,1019,16,10,314,13
2020-01-11,17,7,0.0,8.7,4,4,100,06:20 PM,07:45 AM,07:22 AM,05:42 PM,3,10,11,10,18,28,59,0.0,1018,17,10,313,10
