date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,22,14,0.0,8.7,5,5,37,10:53 AM,10:41 PM,06:35 AM,05:10 PM,8,17,17,17,9,32,56,0.0,1020,22,10,200,6
2020-01-02,24,15,0.0,5.6,4,4,44,11:25 AM,11:32 PM,06:36 AM,05:11 PM,11,19,19,19,10,41,63,0.9,1020,24,10,126,7
2020-01-03,22,16,0.0,7.1,4,4,51,11:56 AM,No moonset,06:36 AM,05:11 PM,13,18,18,18,13,57,74,1.3,1017,22,10,62,9
2020-01-04,23,15,0.0,7.1,4,4,59,12:28 PM,12:21 AM,06:36 AM,05:12 PM,13,18,19,18,13,37,70,0.2,1014,23,10,305,9
2020-01-05,22,14,0.0,8.7,5,5,66,01:01 PM,01:13 AM,06:36 AM,05:13 PM,11,18,19,18,18,5,66,0.0,1015,22,10,283,14
2020-01-06,23,14,0.0,8.7,5,5,73,01:38 PM,02:06 AM,06:37 AM,05:14 PM,9,18,18,18,14,3,57,0.0,1017,23,10,285,10
2020-01-07,23,14,0.0,8.7,5,5,80,02:17 PM,03:01 AM,06:37 AM,05:14 PM,8,18,18,18,8,13,53,0.0,1016,23,10,299,5
2020-01-08,23,15,0.0,8.7,4,4,88,03:03 PM,03:59 AM,06:37 AM,05:15 PM,9,19,19,19,12,40,56,0.3,1014,23,10,66,8
2020-01-09,22,14,0.0,4.0,4,4,95,03:54 PM,04:59 AM,06:37 AM,05:16 PM,15,17,18,17,20,70,84,8.3,1015,22,9,233,13
2020-01-10,20,12,0.0,8.7,5,5,100,04:52 PM,05:59 AM,06:37 AM,05:16 PM,12,14,16,14,18,25,79,0.0,1016,20,8,273,13
2020-01-11,21,13,0.0,8.7,5,5,100,05:54 PM,06:58 AM,06:37 AM,05:17 PM,9,16,17,16,15,0,62,0.0,1017,21,10,284,12
2020-01-12,22,13,0.0,8.7,5,5,83,07:00 PM,07:53 AM,06:37 AM,05:18 PM,9,16,17,16,14,0,61,0.0,1015,22,10,275,11
2020-01-13,25,14,0.0,8.7,5,5,76,08:05 PM,08:43 AM,06:37 AM,05:19 PM,10,19,19,19,7,0,58,0.0,1013,25,10,291,6
2020-01-14,25,15,0.0,8.7,6,6,69,09:10 PM,09:29 AM,06:37 AM,05:19 PM,10,20,20,20,5,3,54,0.0,1013,25,10,282,4
2020-01-15,25,15,0.0,8.7,6,6,61,10:13 PM,10:10 AM,06:37 AM,05:20 PM,10,20,20,20,7,11,55,0.0,1014,25,10,246,5
2020-01-16,27,17,0.0,8.7,6,6,54,11:15 PM,10:50 AM,06:37 AM,05:21 PM,13,21,21,21,14,12,60,0.0,1013,27,10,79,8
2020-01-17,28,17,0.0,8.7,6,6,47,No moonrise,11:28 AM,06:37 AM,05:22 PM,13,22,22,22,16,18,58,0.0,1014,28,10,238,9
2020-01-18,23,18,0.0,4.1,5,5,40,12:16 AM,12:07 PM,06:37 AM,05:23 PM,15,20,21,20,10,61,71,4.8,1014,23,10,103,6
2020-01-19,21,16,0.0,5.6,4,4,32,01:17 AM,12:47 PM,06:37 AM,05:23 PM,13,18,18,18,16,41,73,0.7,1015,21,10,263,12
2020-01-20,23,14,0.0,8.7,5,5,25,02:18 AM,01:31 PM,06:37 AM,05:24 PM,10,16,17,16,17,6,67,0.0,1015,23,10,275,12
2020-01-21,22,13,0.0,5.6,4,4,18,03:19 AM,02:17 PM,06:37 AM,05:25 PM,8,16,17,16,11,33,58,0.0,1018,22,10,272,7
2020-01-22,25,15,0.0,8.7,6,6,11,04:18 AM,03:08 PM,06:36 AM,05:26 PM,9,19,20,19,11,0,54,0.0,1017,25,10,285,8
2020-01-23,22,13,0.0,8.7,5,5,3,05:14 AM,04:02 PM,06:36 AM,05:26 PM,8,16,17,16,21,0,59,0.0,1014,22,10,269,15
2020-01-24,20,11,0.0,8.7,5,5,0,06:07 AM,04:57 PM,06:36 AM,05:27 PM,8,16,16,16,16,0,61,0.0,1014,20,10,274,13
2020-01-25,22,13,0.0,8.7,5,5,0,06:55 AM,05:53 PM,06:36 AM,05:28 PM,11,18,18,18,10,1,67,0.0,1014,22,10,277,8
2020-01-26,22,14,0.0,8.7,5,5,4,07:38 AM,06:47 PM,06:35 AM,05:29 PM,11,17,17,17,13,6,70,0.0,1013,22,10,281,10
2020-01-27,23,14,0.0,8.7,5,5,11,08:16 AM,07:41 PM,06:35 AM,05:29 PM,11,18,18,18,14,4,65,0.0,1012,23,10,281,10
2020-01-28,26,15,0.0,8.7,6,6,18,08:51 AM,08:32 PM,06:35 AM,05:30 PM,11,19,19,19,11,22,60,0.0,1011,26,10,128,6
2020-01-29,28,15,0.0,8.7,6,6,26,09:24 AM,09:24 PM,06:34 AM,05:31 PM,13,20,21,20,18,37,65,3.5,1012,28,10,183,11
2020-01-30,24,17,0.0,4.1,5,5,33,09:56 AM,10:13 PM,06:34 AM,05:32 PM,13,20,20,20,16,52,67,6.0,1013,24,9,284,10
2020-01-31,23,13,0.0,8.7,5,5,37,10:27 AM,11:04 PM,06:34 AM,05:32 PM,9,18,19,18,15,0,57,0.0,1013,23,10,267,12
2020-02-01,24,14,0.0,8.7,5,5,49,10:59 AM,11:55 PM,06:33 AM,05:33 PM,9,18,19,18,14,0,56,0.0,1016,24,10,267,10
2020-02-02,21,13,0.0,8.7,5,5,57,11:33 AM,No moonset,06:33 AM,05:34 PM,8,16,17,16,20,0,57,0.0,1017,21,10,283,14
2020-02-03,24,12,0.0,8.7,5,5,64,12:10 PM,12:48 AM,06:32 AM,05:35 PM,7,17,18,17,13,0,53,0.0,1017,24,10,276,10
2020-02-04,25,13,0.0,8.7,6,6,72,12:52 PM,01:44 AM,06:32 AM,05:35 PM,8,19,19,19,7,5,52,0.0,1015,25,10,106,5
2020-02-05,24,13,0.0,8.7,5,5,79,01:40 PM,02:42 AM,06:31 AM,05:36 PM,9,18,18,18,15,5,55,0.0,1014,24,10,282,10
2020-02-06,25,14,0.0,8.7,6,6,87,02:33 PM,03:41 AM,06:31 AM,05:37 PM,9,19,19,19,12,0,55,0.0,1015,25,10,286,9
2020-02-07,24,13,0.0,8.7,5,5,95,03:34 PM,04:40 AM,06:30 AM,05:37 PM,8,18,18,18,9,7,53,0.0,1016,24,10,179,6
2020-02-08,24,13,0.0,8.7,5,5,100,04:38 PM,05:37 AM,06:30 AM,05:38 PM,6,17,18,17,17,13,48,0.0,1018,24,10,313,10
2020-02-09,24,15,0.0,8.7,5,5,100,05:46 PM,06:30 AM,06:29 AM,05:39 PM,6,19,19,19,12,7,45,0.0,1019,24,10,285,9
2020-02-10,25,13,0.0,8.7,5,5,83,06:53 PM,07:20 AM,06:28 AM,05:40 PM,9,19,19,19,15,0,56,0.0,1017,25,10,291,11
2020-02-11,25,13,0.0,8.7,5,5,75,07:59 PM,08:04 AM,06:28 AM,05:40 PM,8,18,19,18,14,0,51,0.0,1017,25,10,280,10
2020-02-12,25,12,0.0,8.7,5,5,68,09:04 PM,08:46 AM,06:27 AM,05:41 PM,9,18,19,18,15,0,54,0.0,1016,25,10,280,11
2020-02-13,27,15,0.0,8.7,6,6,60,10:08 PM,09:26 AM,06:26 AM,05:42 PM,13,21,21,21,12,0,62,0.0,1013,27,10,277,10
2020-02-14,26,17,0.0,8.7,6,6,53,11:11 PM,10:06 AM,06:26 AM,05:42 PM,15,22,22,22,15,1,69,0.0,1009,26,10,274,11
2020-02-15,27,14,0.0,8.7,6,6,45,No moonrise,10:47 AM,06:25 AM,05:43 PM,11,20,21,20,18,4,57,0.0,1012,27,10,271,12
2020-02-16,29,16,0.0,8.7,6,6,38,12:12 AM,11:30 AM,06:24 AM,05:43 PM,13,22,22,22,10,0,59,0.0,1014,29,10,279,8
2020-02-17,29,18,0.0,8.7,6,6,30,01:14 AM,12:15 PM,06:23 AM,05:44 PM,14,23,23,23,13,0,60,0.0,1015,29,10,279,10
2020-02-18,27,16,0.0,8.7,6,6,22,02:13 AM,01:05 PM,06:23 AM,05:45 PM,11,22,22,22,16,0,51,0.0,1013,27,10,281,11
2020-02-19,29,16,0.0,8.7,6,6,15,03:10 AM,01:57 PM,06:22 AM,05:45 PM,6,22,22,22,8,27,38,0.0,1014,29,10,306,5
2020-02-20,28,15,0.0,7.2,5,5,7,04:03 AM,02:51 PM,06:21 AM,05:46 PM,7,22,22,22,10,48,38,0.0,1015,28,10,74,6
2020-02-21,31,16,0.0,8.7,6,6,0,04:51 AM,03:46 PM,06:20 AM,05:47 PM,9,23,23,23,22,8,42,0.0,1017,31,10,73,13
2020-02-22,29,19,0.0,4.2,5,5,0,05:36 AM,04:40 PM,06:19 AM,05:47 PM,13,24,24,23,17,66,52,0.6,1017,29,10,153,11
2020-02-23,31,19,0.0,5.7,6,6,0,06:15 AM,05:34 PM,06:19 AM,05:48 PM,14,25,25,24,11,55,56,3.0,1014,31,10,202,7
2020-02-24,29,20,0.0,8.7,7,7,0,06:51 AM,06:26 PM,06:18 AM,05:48 PM,15,25,25,24,10,12,61,0.2,1011,29,10,223,6
2020-02-25,30,18,0.0,8.7,5,5,8,07:25 AM,07:18 PM,06:17 AM,05:49 PM,15,22,22,22,17,58,69,12.0,1011,30,9,152,12
2020-02-26,25,16,0.0,5.7,5,5,15,07:56 AM,08:08 PM,06:16 AM,05:49 PM,15,20,21,20,11,38,74,6.5,1013,25,9,236,8
2020-02-27,29,17,0.0,8.7,6,6,23,08:27 AM,08:58 PM,06:15 AM,05:50 PM,13,24,24,23,7,5,59,0.0,1013,29,10,245,5
2020-02-28,30,18,0.0,8.7,6,6,30,08:59 AM,09:49 PM,06:14 AM,05:51 PM,11,24,24,23,7,5,48,0.0,1013,30,10,71,5
2020-02-29,30,19,0.0,8.7,7,7,38,09:32 AM,10:40 PM,06:13 AM,05:51 PM,11,24,24,24,9,14,45,0.0,1011,30,10,241,5
2020-03-01,31,20,0.0,8.7,7,7,44,10:07 AM,11:34 PM,06:12 AM,05:52 PM,12,26,26,26,7,7,44,0.0,1011,31,10,280,5
2020-03-02,31,20,0.0,7.2,6,6,51,10:46 AM,No moonset,06:11 AM,05:52 PM,13,26,26,25,11,49,50,1.6,1010,31,10,270,7
2020-03-03,31,20,0.0,8.7,7,7,58,11:30 AM,12:29 AM,06:11 AM,05:53 PM,12,26,26,25,14,14,46,0.0,1009,31,10,299,9
2020-03-04,32,21,0.0,7.2,6,6,65,12:18 PM,01:27 AM,06:10 AM,05:53 PM,11,26,26,25,9,36,42,0.3,1009,32,10,39,6
2020-03-05,32,20,0.0,8.7,6,6,73,01:15 PM,02:24 AM,06:09 AM,05:54 PM,12,25,25,25,13,29,46,0.5,1009,32,9,135,9
2020-03-06,32,21,0.0,8.7,6,6,80,02:16 PM,03:21 AM,06:08 AM,05:54 PM,13,26,26,25,15,24,48,0.1,1009,32,10,104,10
2020-03-07,32,21,0.0,7.2,6,6,87,03:21 PM,04:15 AM,06:07 AM,05:55 PM,16,26,26,24,15,66,64,6.6,1011,32,9,163,10
2020-03-08,29,19,0.0,8.7,7,7,95,04:28 PM,05:06 AM,06:06 AM,05:55 PM,14,25,25,24,19,1,55,0.0,1011,29,10,286,14
2020-03-09,30,19,0.0,8.7,7,7,100,05:37 PM,05:53 AM,06:05 AM,05:56 PM,9,24,24,24,17,0,40,0.0,1010,30,10,281,13
2020-03-10,32,19,0.0,8.7,7,7,100,06:43 PM,06:36 AM,06:04 AM,05:56 PM,7,25,25,25,13,11,33,0.0,1010,32,10,263,9
2020-03-11,33,21,0.0,8.7,7,7,84,07:50 PM,07:18 AM,06:03 AM,05:57 PM,11,26,26,26,13,34,39,0.2,1010,33,10,231,9
2020-03-12,34,23,0.0,7.2,6,6,76,08:55 PM,07:59 AM,06:02 AM,05:57 PM,15,29,29,29,9,38,47,1.8,1011,34,10,294,6
2020-03-13,34,16,0.0,4.3,6,6,69,10:00 PM,08:41 AM,06:01 AM,05:58 PM,15,26,26,25,11,68,53,5.1,1013,34,9,193,7
2020-03-14,23,19,0.0,7.2,5,5,62,11:04 PM,09:25 AM,06:00 AM,05:58 PM,17,21,23,21,18,54,78,7.4,1013,23,9,181,12
2020-03-15,31,17,0.0,11.6,7,7,55,No moonrise,10:11 AM,05:59 AM,05:59 PM,14,25,25,24,13,25,58,0.2,1012,31,9,249,8
2020-03-16,31,21,0.0,11.6,7,7,47,12:06 AM,11:00 AM,05:58 AM,05:59 PM,9,26,26,26,16,3,35,0.0,1012,31,10,281,11
2020-03-17,31,20,0.0,11.6,7,7,40,01:06 AM,11:53 AM,05:57 AM,05:59 PM,10,26,26,27,14,1,36,0.0,1012,31,10,278,11
2020-03-18,33,22,0.0,12.4,7,7,33,02:01 AM,12:46 PM,05:56 AM,06:00 PM,9,27,27,28,17,0,33,0.0,1011,33,10,272,13
2020-03-19,33,23,0.0,12.5,7,7,25,02:50 AM,01:42 PM,05:55 AM,06:00 PM,9,27,27,28,17,5,30,0.0,1009,33,10,284,11
2020-03-20,35,22,0.0,12.5,7,7,18,03:36 AM,02:36 PM,05:54 AM,06:01 PM,7,27,27,28,12,12,27,0.0,1009,35,10,291,8
2020-03-21,33,23,0.0,11.8,6,6,11,04:16 AM,03:30 PM,05:53 AM,06:01 PM,9,27,27,28,12,43,31,1.8,1009,33,10,264,7
2020-03-22,33,22,0.0,12.5,7,7,4,04:52 AM,04:22 PM,05:51 AM,06:02 PM,12,28,28,28,13,20,39,0.0,1010,33,10,286,8
2020-03-23,34,23,0.0,12.5,7,7,0,05:26 AM,05:13 PM,05:50 AM,06:02 PM,13,29,29,28,15,12,41,0.0,1009,34,10,264,10
