date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,17,5,0.0,5.4,3,3,37,11:23 AM,11:04 PM,07:11 AM,05:26 PM,-4,9,10,9,11,52,38,0.0,1024,17,10,146,6
2020-01-02,18,8,0.0,8.7,3,3,44,11:53 AM,11:57 PM,07:11 AM,05:26 PM,1,11,12,11,12,65,52,1.0,1024,18,10,243,6
2020-01-03,15,6,0.0,3.8,3,3,51,12:22 PM,No moonset,07:12 AM,05:27 PM,6,10,10,10,10,79,76,13.0,1020,15,9,267,5
2020-01-04,17,9,0.0,3.8,3,3,59,12:52 PM,12:49 AM,07:12 AM,05:28 PM,8,11,12,11,9,64,79,7.4,1018,17,9,166,5
2020-01-05,17,7,0.0,8.7,4,4,66,01:23 PM,01:43 AM,07:12 AM,05:29 PM,4,11,11,11,11,11,63,0.0,1019,17,10,275,7
2020-01-06,14,7,0.0,3.8,3,3,73,01:57 PM,02:37 AM,07:12 AM,05:29 PM,2,10,11,10,15,64,57,2.4,1019,14,9,301,8
2020-01-07,12,8,0.0,3.8,3,3,80,02:35 PM,03:35 AM,07:12 AM,05:30 PM,8,9,9,9,11,92,90,23.4,1017,12,7,76,5
2020-01-08,10,4,0.0,3.8,2,2,88,03:20 PM,04:34 AM,07:12 AM,05:31 PM,5,6,7,6,17,84,91,64.7,1015,10,7,118,8
2020-01-09,12,3,0.0,8.7,3,3,95,04:10 PM,05:36 AM,07:12 AM,05:32 PM,4,7,8,7,10,16,79,0.1,1019,12,10,251,5
2020-01-10,18,4,0.0,8.7,4,4,100,05:08 PM,06:36 AM,07:12 AM,05:32 PM,3,10,11,10,10,4,62,0.0,1020,18,10,258,6
2020-01-11,18,6,0.0,8.7,4,4,100,06:11 PM,07:35 AM,07:12 AM,05:33 PM,1,10,10,10,11,23,55,0.0,1020,18,10,234,6
2020-01-12,20,6,0.0,8.7,4,4,83,07:18 PM,08:28 AM,07:12 AM,05:34 PM,4,12,12,12,10,16,59,0.0,1017,20,10,245,5
2020-01-13,16,9,0.0,5.5,3,3,76,08:25 PM,09:17 AM,07:12 AM,05:35 PM,8,13,13,13,8,58,75,8.5,1013,16,9,218,5
2020-01-14,15,8,0.0,3.8,3,3,69,09:33 PM,10:00 AM,07:12 AM,05:36 PM,8,11,11,11,8,80,85,3.9,1016,15,10,258,4
2020-01-15,16,7,0.0,7.1,3,3,61,10:38 PM,10:39 AM,07:12 AM,05:37 PM,7,11,11,11,13,34,75,0.5,1018,16,10,220,6
2020-01-16,16,8,0.0,3.8,3,3,54,11:43 PM,11:17 AM,07:12 AM,05:37 PM,6,10,11,10,12,71,76,6.3,1017,16,10,155,6
2020-01-17,13,6,0.0,3.8,3,3,47,No moonrise,11:53 AM,07:12 AM,05:38 PM,7,9,10,9,11,80,80,8.2,1017,13,9,72,6
2020-01-18,17,8,0.0,3.9,3,3,40,12:46 AM,12:29 PM,07:12 AM,05:39 PM,9,12,12,12,8,74,82,20.6,1018,17,9,234,5
2020-01-19,18,7,0.0,8.7,4,4,32,01:49 AM,01:07 PM,07:11 AM,05:40 PM,7,11,12,11,11,24,73,0.4,1019,18,10,259,6
2020-01-20,18,9,0.0,8.7,3,3,25,02:52 AM,01:49 PM,07:11 AM,05:41 PM,4,12,13,12,10,43,56,0.0,1018,18,10,221,6
2020-01-21,19,9,0.0,8.7,3,3,18,03:54 AM,02:34 PM,07:11 AM,05:42 PM,6,13,14,13,10,30,64,0.1,1020,19,10,221,6
2020-01-22,20,6,0.0,8.7,4,4,11,04:54 AM,03:24 PM,07:11 AM,05:43 PM,5,11,12,11,12,7,64,0.0,1022,20,10,257,7
2020-01-23,19,6,0.0,8.7,4,4,3,05:51 AM,04:17 PM,07:10 AM,05:44 PM,3,11,11,11,10,0,58,0.0,1019,19,10,261,6
2020-01-24,18,5,0.0,8.7,4,4,0,06:43 AM,05:13 PM,07:10 AM,05:44 PM,-0,10,11,10,10,1,49,0.0,1016,18,10,239,5
2020-01-25,16,5,0.0,8.7,4,4,0,07:30 AM,06:10 PM,07:09 AM,05:45 PM,4,11,11,11,8,19,68,0.0,1017,16,10,235,5
2020-01-26,17,6,0.0,8.7,4,4,4,08:11 AM,07:06 PM,07:09 AM,05:46 PM,6,11,11,11,10,7,72,0.0,1015,17,10,249,6
2020-01-27,20,6,0.0,8.7,4,4,11,08:48 AM,08:01 PM,07:09 AM,05:47 PM,5,12,12,12,10,31,63,0.0,1014,20,10,234,6
2020-01-28,17,11,0.0,3.9,3,3,18,09:22 AM,08:55 PM,07:08 AM,05:48 PM,8,13,14,13,11,68,70,3.8,1012,17,8,73,7
2020-01-29,18,11,0.0,3.9,3,3,26,09:53 AM,09:48 PM,07:08 AM,05:49 PM,10,13,13,13,9,59,80,26.0,1017,18,8,247,5
2020-01-30,18,7,0.0,8.7,4,4,33,10:22 AM,10:40 PM,07:07 AM,05:50 PM,5,11,11,11,11,9,69,0.0,1018,18,10,265,7
2020-01-31,18,8,0.0,8.7,4,4,37,10:51 AM,11:33 PM,07:07 AM,05:50 PM,5,11,12,11,8,11,65,0.0,1016,18,10,231,5
2020-02-01,16,7,0.0,7.1,3,3,49,11:22 AM,No moonset,07:06 AM,05:51 PM,6,10,11,10,10,21,73,0.5,1019,16,10,259,6
2020-02-02,19,7,0.0,8.7,4,4,57,11:54 AM,12:26 AM,07:05 AM,05:52 PM,4,12,12,12,10,0,58,0.0,1021,19,10,255,6
2020-02-03,20,9,0.0,8.7,5,5,64,12:29 PM,01:21 AM,07:05 AM,05:53 PM,4,14,14,14,9,0,54,0.0,1020,20,10,239,6
2020-02-04,19,9,0.0,8.7,4,4,72,01:09 PM,02:18 AM,07:04 AM,05:54 PM,5,13,13,13,9,17,58,0.0,1019,19,10,231,6
2020-02-05,19,9,0.0,8.7,5,5,79,01:56 PM,03:18 AM,07:03 AM,05:55 PM,6,14,14,14,9,0,62,0.0,1018,19,10,262,7
2020-02-06,18,8,0.0,8.7,4,4,87,02:49 PM,04:18 AM,07:03 AM,05:56 PM,4,12,13,12,9,3,63,0.0,1017,18,10,232,6
2020-02-07,18,5,0.0,4.0,3,3,95,03:50 PM,05:17 AM,07:02 AM,05:56 PM,3,10,10,10,10,55,64,1.0,1021,18,10,243,6
2020-02-08,19,4,0.0,8.7,4,4,100,04:55 PM,06:13 AM,07:01 AM,05:57 PM,-1,11,12,11,13,0,47,0.0,1024,19,10,244,7
