date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-01,28,20,0.0,7.2,5,5,37,11:11 AM,11:09 PM,06:45 AM,05:47 PM,19,24,24,23,18,66,79,14.1,1015,28,8,170,12
2020-01-02,29,19,0.0,5.7,5,5,44,11:46 AM,11:56 PM,06:45 AM,05:48 PM,20,25,25,24,13,75,80,6.9,1016,29,10,138,9
2020-01-03,24,20,0.0,4.1,5,5,51,12:20 PM,No moonset,06:45 AM,05:48 PM,19,21,22,21,12,88,89,8.6,1014,24,9,61,8
2020-01-04,27,19,0.0,7.2,5,5,59,12:55 PM,12:44 AM,06:46 AM,05:49 PM,17,23,23,23,12,43,74,0.0,1013,27,9,14,7
2020-01-05,26,18,0.0,8.7,6,6,66,01:31 PM,01:33 AM,06:46 AM,05:49 PM,14,22,22,21,19,17,64,0.0,1014,26,10,12,11
2020-01-06,28,16,0.0,8.7,6,6,73,02:09 PM,02:22 AM,06:46 AM,05:50 PM,14,23,23,22,13,22,62,0.0,1016,28,10,87,8
2020-01-07,29,20,0.0,7.2,5,5,80,02:52 PM,03:16 AM,06:46 AM,05:51 PM,16,26,26,24,7,57,62,1.3,1015,29,10,173,4
2020-01-08,28,21,0.0,7.2,5,5,88,03:40 PM,04:11 AM,06:47 AM,05:51 PM,19,26,26,24,24,71,78,0.9,1013,28,10,175,17
2020-01-09,28,21,0.0,4.1,5,5,95,04:32 PM,05:09 AM,06:47 AM,05:52 PM,19,25,25,23,16,76,80,6.3,1013,28,10,139,10
2020-01-10,26,17,0.0,8.7,6,6,100,05:31 PM,06:08 AM,06:47 AM,05:53 PM,13,20,21,20,22,21,65,0.0,1015,26,10,10,14
2020-01-11,28,15,0.0,8.7,6,6,100,06:32 PM,07:08 AM,06:47 AM,05:53 PM,10,20,21,20,15,0,52,0.0,1016,28,10,26,9
2020-01-12,28,16,0.0,8.7,6,6,83,07:36 PM,08:04 AM,06:47 AM,05:54 PM,8,21,21,21,11,0,43,0.0,1015,28,10,23,7
